ID;Woningkenmerken;WijkenEnBuurten;Gemeentenaam_1;SoortRegio_2;Codering_3;GemiddeldAardgasverbruik_4;GemiddeldElektriciteitsverbruik_5;Stadsverwarming_6
0;Totaal woningen;Nederland;Nederland                               ;Land      ;NL00      ;1450.0;3250.0;4.5
1;Totaal woningen;Appingedam;Appingedam                              ;Gemeente  ;GM0003    ;1600.0;2950.0;
2;Totaal woningen;Wijk 00;Wijk 00                                 ;Wijk      ;WK000300  ;1600.0;2950.0;
3;Totaal woningen;Appingedam-Centrum;Appingedam-Centrum                      ;Buurt     ;BU00030000;1550.0;2600.0;
4;Totaal woningen;Appingedam-West;Appingedam-West                         ;Buurt     ;BU00030001;1750.0;3400.0;
5;Totaal woningen;Appingedam-Oost;Appingedam-Oost                         ;Buurt     ;BU00030002;1600.0;2800.0;
6;Totaal woningen;Verspr.h. Damsterdiep en Eemskanaal;Verspreide huizen Damsterdiep en Eemskan;Buurt     ;BU00030007;1900.0;4200.0;
7;Totaal woningen;Verspr.h. ten zuiden van Eemskanaal;Verspreide huizen ten zuiden van Eemskan;Buurt     ;BU00030008;2100.0;4650.0;
8;Totaal woningen;Verspr.h. ten N. van het Damsterdiep;Verspreide huizen ten noorden van het Da;Buurt     ;BU00030009;2500.0;4100.0;
9;Totaal woningen;Bedum;Bedum                                   ;Gemeente  ;GM0005    ;1850.0;3250.0;
10;Totaal woningen;Wijk 00;Wijk 00                                 ;Wijk      ;WK000500  ;1850.0;3250.0;
11;Totaal woningen;Bedum;Bedum                                   ;Buurt     ;BU00050000;1750.0;3150.0;
12;Totaal woningen;Verspreide huizen Bedum;Verspreide huizen Bedum                 ;Buurt     ;BU00050001;2250.0;4000.0;
13;Totaal woningen;Zuidwolde;Zuidwolde                               ;Buurt     ;BU00050002;2200.0;3500.0;
14;Totaal woningen;Verspreide huizen Zuidwolde;Verspreide huizen Zuidwolde             ;Buurt     ;BU00050003;2750.0;4550.0;
15;Totaal woningen;Onderdendam;Onderdendam                             ;Buurt     ;BU00050004;2050.0;3050.0;
16;Totaal woningen;Verspreide huizen Onderdendam;Verspreide huizen Onderdendam           ;Buurt     ;BU00050005;2050.0;4150.0;
