ID;BeroepsEnEigenVervoer;Vervoerstromen;Perioden;VervoerdLadinggewicht_1;Ladingtonkilometers_2;VoertuigkilometersTotaal_3;VoertuigkilometersBeladen_4;RittenBeladen_5
0;Beroeps- en eigen vervoer;Totaal;1997;584441;87428;;;
1;Beroeps- en eigen vervoer;Totaal;1998;598510;89517;;;
2;Beroeps- en eigen vervoer;Totaal;1999;667002;95292;;;
3;Beroeps- en eigen vervoer;Totaal;2000;640579;90462;;;
4;Beroeps- en eigen vervoer;Totaal;2001;650092;89271;;;
5;Beroeps- en eigen vervoer;Totaal;2002;624668;87560;;;
6;Beroeps- en eigen vervoer;Totaal;2003;628812;88943;;;
7;Beroeps- en eigen vervoer;Totaal;2004;672318;98874;9213.0;6599.0;47451.0
8;Beroeps- en eigen vervoer;Totaal;2005;674947;95781;8936.0;6385.0;49933.0
9;Beroeps- en eigen vervoer;Totaal;2006;680409;94946;9011.0;6378.0;52815.0
10;Beroeps- en eigen vervoer;Totaal;2007;700291;88920;8395.0;5927.0;54731.0
11;Beroeps- en eigen vervoer;Totaal;2008;682134;88737;8770.0;6208.0;51988.0
12;Beroeps- en eigen vervoer;Totaal;2009;675315;82254;8366.0;5865.0;48466.0
13;Beroeps- en eigen vervoer;Totaal;2010;657702;76835;7886.0;5681.0;47950.0
14;Beroeps- en eigen vervoer;Totaal;2011;657859;75541;7995.0;5798.0;49380.0
15;Beroeps- en eigen vervoer;Totaal;2012;631705;70084;7515.0;5443.0;47568.0
16;Beroeps- en eigen vervoer;Totaal;2013;642050;72080;7568.0;5498.0;49861.0
17;Beroeps- en eigen vervoer;Totaal;2014;639692;72335;7719.0;5662.0;51319.0
18;Beroeps- en eigen vervoer;Totaal;2015;641440;68899;7546.0;5567.0;53522.0
19;Beroeps- en eigen vervoer;Totaal;2016;656417;67785;7423.0;5463.0;54172.0
20;Beroeps- en eigen vervoer;Totaal;2017;665992;67532;7202.0;5328.0;52733.0
21;Beroeps- en eigen vervoer;Totaal;2018;680169;68906;7366.0;5440.0;53243.0
22;Beroeps- en eigen vervoer;Totaal;2019;688739;68922;7293.0;5370.0;53828.0
23;Beroeps- en eigen vervoer;Totaal;2020;684241;67592;7377.0;5369.0;55206.0
24;Beroeps- en eigen vervoer;Totaal;2021;699323;69557;7686.0;5591.0;57048.0
