ID;Beroep;BeroepVoorgaandePeriode;Persoonskenmerken;Perioden;WerkzameBeroepsbevolking_1
0;Totaal;Totaal;Totaal personen;2003 2e kwartaal;7517.0
1;Totaal;Totaal;Totaal personen;2003 3e kwartaal;7504.0
2;Totaal;Totaal;Totaal personen;2003 4e kwartaal;7491.0
3;Totaal;Totaal;Totaal personen;2004 1e kwartaal;7476.0
4;Totaal;Totaal;Totaal personen;2004 2e kwartaal;7470.0
5;Totaal;Totaal;Totaal personen;2004 3e kwartaal;7493.0
6;Totaal;Totaal;Totaal personen;2004 4e kwartaal;7502.0
7;Totaal;Totaal;Totaal personen;2004;7240.0
8;Totaal;Totaal;Totaal personen;2005 1e kwartaal;7499.0
9;Totaal;Totaal;Totaal personen;2005 2e kwartaal;7515.0
10;Totaal;Totaal;Totaal personen;2005 3e kwartaal;7548.0
11;Totaal;Totaal;Totaal personen;2005 4e kwartaal;7576.0
12;Totaal;Totaal;Totaal personen;2005;7250.0
13;Totaal;Totaal;Totaal personen;2006 1e kwartaal;7591.0
14;Totaal;Totaal;Totaal personen;2006 2e kwartaal;7614.0
15;Totaal;Totaal;Totaal personen;2006 3e kwartaal;7653.0
16;Totaal;Totaal;Totaal personen;2006 4e kwartaal;7708.0
17;Totaal;Totaal;Totaal personen;2006;7333.0
18;Totaal;Totaal;Totaal personen;2007 1e kwartaal;7777.0
19;Totaal;Totaal;Totaal personen;2007 2e kwartaal;7839.0
20;Totaal;Totaal;Totaal personen;2007 3e kwartaal;7896.0
21;Totaal;Totaal;Totaal personen;2007 4e kwartaal;7943.0
22;Totaal;Totaal;Totaal personen;2007;7546.0
23;Totaal;Totaal;Totaal personen;2008 1e kwartaal;7989.0
24;Totaal;Totaal;Totaal personen;2008 2e kwartaal;8043.0
25;Totaal;Totaal;Totaal personen;2008 3e kwartaal;8089.0
26;Totaal;Totaal;Totaal personen;2008 4e kwartaal;8102.0
27;Totaal;Totaal;Totaal personen;2008;7752.0
28;Totaal;Totaal;Totaal personen;2009 1e kwartaal;8121.0
29;Totaal;Totaal;Totaal personen;2009 2e kwartaal;8110.0
30;Totaal;Totaal;Totaal personen;2009 3e kwartaal;8064.0
31;Totaal;Totaal;Totaal personen;2009 4e kwartaal;8019.0
32;Totaal;Totaal;Totaal personen;2009;7827.0
33;Totaal;Totaal;Totaal personen;2010 1e kwartaal;7969.0
34;Totaal;Totaal;Totaal personen;2010 2e kwartaal;7967.0
35;Totaal;Totaal;Totaal personen;2010 3e kwartaal;7983.0
36;Totaal;Totaal;Totaal personen;2010 4e kwartaal;7995.0
37;Totaal;Totaal;Totaal personen;2010;7766.0
38;Totaal;Totaal;Totaal personen;2011 1e kwartaal;7983.0
39;Totaal;Totaal;Totaal personen;2011 2e kwartaal;7963.0
40;Totaal;Totaal;Totaal personen;2011 3e kwartaal;7970.0
41;Totaal;Totaal;Totaal personen;2011 4e kwartaal;8002.0
42;Totaal;Totaal;Totaal personen;2011;7702.0
43;Totaal;Totaal;Totaal personen;2012 1e kwartaal;8012.0
44;Totaal;Totaal;Totaal personen;2012 2e kwartaal;8023.0
45;Totaal;Totaal;Totaal personen;2012 3e kwartaal;8040.0
46;Totaal;Totaal;Totaal personen;2012 4e kwartaal;8046.0
47;Totaal;Totaal;Totaal personen;2012;7716.0
48;Totaal;Totaal;Totaal personen;2013 1e kwartaal;8013.0
49;Totaal;Totaal;Totaal personen;2013 2e kwartaal;7986.0
50;Totaal;Totaal;Totaal personen;2013 3e kwartaal;7976.0
51;Totaal;Totaal;Totaal personen;2013 4e kwartaal;7957.0
52;Totaal;Totaal;Totaal personen;2013;7716.0
