ID;Bestedingscategorieen;Perioden;CPI_1;CPIAfgeleid_2;MaandmutatieCPI_3;MaandmutatieCPIAfgeleid_4;JaarmutatieCPI_5;JaarmutatieCPIAfgeleid_6;Wegingscoefficient_7
0;000000 Alle bestedingen;1996 januari;68.03;72.28;;;;;100000.0
1;000000 Alle bestedingen;1996 februari;68.29;72.55;0.4;0.4;;;100000.0
2;000000 Alle bestedingen;1996 maart;68.92;73.22;0.9;0.9;;;100000.0
3;000000 Alle bestedingen;1996 april;69.13;73.44;0.3;0.3;;;100000.0
4;000000 Alle bestedingen;1996 mei;68.96;73.26;-0.2;-0.2;;;100000.0
5;000000 Alle bestedingen;1996 juni;68.67;72.95;-0.4;-0.4;;;100000.0
6;000000 Alle bestedingen;1996 juli;68.84;73.14;0.2;0.3;;;100000.0
7;000000 Alle bestedingen;1996 augustus;68.75;73.04;-0.1;-0.1;;;100000.0
8;000000 Alle bestedingen;1996 september;69.37;73.72;0.9;0.9;;;100000.0
9;000000 Alle bestedingen;1996 oktober;69.53;73.89;0.2;0.2;;;100000.0
10;000000 Alle bestedingen;1996 november;69.45;73.8;-0.1;-0.1;;;100000.0
11;000000 Alle bestedingen;1996 december;69.37;73.72;-0.1;-0.1;;;100000.0
12;000000 Alle bestedingen;1996;68.94;73.25;;;;;100000.0
13;000000 Alle bestedingen;1997 januari;69.45;73.63;0.1;-0.1;2.1;1.9;100000.0
14;000000 Alle bestedingen;1997 februari;69.59;73.78;0.2;0.2;1.9;1.7;100000.0
15;000000 Alle bestedingen;1997 maart;70.12;74.32;0.8;0.7;1.7;1.5;100000.0
16;000000 Alle bestedingen;1997 april;70.2;74.39;0.1;0.1;1.5;1.3;100000.0
17;000000 Alle bestedingen;1997 mei;70.36;74.56;0.2;0.2;2.0;1.8;100000.0
18;000000 Alle bestedingen;1997 juni;70.02;74.21;-0.5;-0.5;2.0;1.7;100000.0
19;000000 Alle bestedingen;1997 juli;70.25;74.48;0.3;0.4;2.0;1.8;100000.0
20;000000 Alle bestedingen;1997 augustus;70.44;74.68;0.3;0.3;2.5;2.2;100000.0
21;000000 Alle bestedingen;1997 september;71.07;75.37;0.9;0.9;2.5;2.2;100000.0
22;000000 Alle bestedingen;1997 oktober;71.14;75.44;0.1;0.1;2.3;2.1;100000.0
23;000000 Alle bestedingen;1997 november;71.17;75.47;0.0;0.0;2.5;2.3;100000.0
24;000000 Alle bestedingen;1997 december;70.95;75.24;-0.3;-0.3;2.3;2.1;100000.0
25;000000 Alle bestedingen;1997;70.4;74.63;;;2.1;1.9;100000.0
26;000000 Alle bestedingen;1998 januari;70.71;74.81;-0.3;-0.6;1.8;1.6;100000.0
27;000000 Alle bestedingen;1998 februari;71.11;75.22;0.6;0.5;2.2;2.0;100000.0
28;000000 Alle bestedingen;1998 maart;71.7;75.85;0.8;0.8;2.3;2.1;100000.0
29;000000 Alle bestedingen;1998 april;71.88;76.04;0.3;0.3;2.4;2.2;100000.0
