ID;Energiedragers;BedrijfstakkenBranchesSBI2008;Perioden;TotaalEnergieverbruik_1;FinaalEnergieverbruik_2;NietEnergetischGebruik_3;SaldoInzetProductieEnergie_4;InzetEnergieVoorOmzetting_5;ProductieEnergieUitOmzetting_6;TotaalEnergieverbruik_7;Winning_8;EnergieAanvoer_9;EnergieAflevering_10;Voorraadmutatie_11
0;Totaal energiedragers;A-U Alle economische activiteiten;2011;2325.5;1223.0;573.4;529.0;4256.6;3727.6;2325.5;2687.9;16138.5;16633.2;132.4
1;Totaal energiedragers;A-U Alle economische activiteiten;2012;2318.7;1211.7;592.2;514.9;4317.8;3802.9;2318.7;2701.2;16641.0;16974.6;-48.9
2;Totaal energiedragers;A-U Alle economische activiteiten;2013;2283.1;1202.6;582.8;497.7;4251.6;3753.9;2283.1;2893.3;16494.3;17073.2;-31.5
3;Totaal energiedragers;A-U Alle economische activiteiten;2014;2263.1;1139.5;586.5;537.0;4393.1;3856.0;2263.1;2530.7;16774.7;16894.0;-148.6
4;Totaal energiedragers;A-U Alle economische activiteiten;2015;2296.3;1170.8;562.3;563.1;4675.4;4112.3;2296.3;2132.7;20182.6;19732.0;-287.0
5;Totaal energiedragers;A-U Alle economische activiteiten;2016;2305.0;1195.1;565.2;544.7;4842.3;4297.6;2305.1;1999.3;20413.4;20209.3;101.7
6;Totaal energiedragers;A Landbouw, bosbouw en visserij;2011;166.3;151.9;;14.4;110.6;96.2;166.3;9.1;191.4;34.2;
7;Totaal energiedragers;A Landbouw, bosbouw en visserij;2012;168.0;155.0;;13.0;105.7;92.8;168.0;9.1;190.6;31.7;
8;Totaal energiedragers;A Landbouw, bosbouw en visserij;2013;168.4;156.0;;12.4;103.4;90.9;168.4;9.7;189.3;30.5;
9;Totaal energiedragers;A Landbouw, bosbouw en visserij;2014;156.5;146.1;;10.5;86.8;76.4;156.5;11.4;169.3;24.1;
10;Totaal energiedragers;A Landbouw, bosbouw en visserij;2015;164.3;153.3;;11.0;92.0;81.0;164.3;13.1;176.0;24.8;
11;Totaal energiedragers;A Landbouw, bosbouw en visserij;2016;167.1;156.8;;10.3;84.2;73.9;167.1;13.2;176.6;22.8;
12;Totaal energiedragers;01 Landbouw;2011;157.7;143.3;;14.4;110.6;96.2;157.7;9.1;182.8;34.2;
13;Totaal energiedragers;01 Landbouw;2012;160.5;147.5;;13.0;105.7;92.8;160.5;9.1;183.1;31.7;
14;Totaal energiedragers;01 Landbouw;2013;160.1;147.7;;12.4;103.4;90.9;160.1;9.7;181.0;30.5;
15;Totaal energiedragers;01 Landbouw;2014;148.2;137.7;;10.5;86.8;76.4;148.2;11.4;160.9;24.1;
16;Totaal energiedragers;01 Landbouw;2015;156.5;145.5;;11.0;92.0;81.0;156.5;13.1;168.3;24.8;
17;Totaal energiedragers;01 Landbouw;2016;159.5;149.2;;10.3;84.2;73.9;159.5;13.2;169.0;22.8;
18;Totaal energiedragers;02 Bosbouw;2011;;;;;;;;;;;
19;Totaal energiedragers;02 Bosbouw;2012;;;;;;;;;;;
20;Totaal energiedragers;02 Bosbouw;2013;;;;;;;;;;;
