ID;Bedrijfstak;Perioden;WerkzameBeroepsbevolking_1;Cursusdeelnemers_2;NietCursusdeelnemers_3;CursusdeelnemersRelatief_4;TenminsteEenCursus_5;TenminsteEenCursusRelatief_6
0;A-U Alle economische activiteiten;2011;6995.0;3080.0;3915.0;44.0;2895.0;93.9
1;A-F Landbouw en nijverheid;2011;1200.0;430.0;770.0;35.7;410.0;96.2
2;A Landbouw, bosbouw en visserij;2011;145.0;;;;;
3;B-E Nijverheid (geen bouw) en energie;2011;675.0;240.0;435.0;35.6;235.0;98.2
4;B Delfstoffenwinning;2011;;;;;;
5;C-E Industrie, energie, afvalbeheer;2011;1055.0;385.0;670.0;36.7;375.0;96.9
6;C Industrie;2011;610.0;215.0;400.0;34.8;210.0;98.0
7;D Energievoorziening;2011;;;;;;
8;E Waterbedrijven en afvalbeheer;2011;;;;;;
9;F Bouwnijverheid;2011;380.0;;;;;
10;G-N Commerciële dienstverlening;2011;2415.0;995.0;1420.0;41.2;925.0;92.9
11;G-I Handel, vervoer en horeca;2011;1180.0;355.0;830.0;29.9;335.0;94.1
12;G Handel;2011;710.0;205.0;505.0;28.8;190.0;94.1
13;H Vervoer en opslag;2011;315.0;;;;;
14;I Horeca;2011;;;;;;
15;J Informatie en communicatie;2011;245.0;;;;;
16;K Financiële dienstverlening;2011;245.0;;;72.0;175.0;99.0
17;L Verhuur en handel van onroerend goed;2011;;;;;;
18;M-N Zakelijke dienstverlening;2011;675.0;335.0;340.0;49.7;300.0;89.6
19;M Specialistische zakelijke diensten;2011;460.0;245.0;215.0;52.8;210.0;86.9
20;N Verhuur en overige zakelijke diensten;2011;215.0;;;;;
21;O-U Niet-commerciële dienstverlening;2011;2495.0;1300.0;1195.0;52.1;1235.0;95.1
22;O-Q Overheid en zorg;2011;2215.0;1185.0;1035.0;53.4;1135.0;95.8
23;O Openbaar bestuur en overheidsdiensten;2011;465.0;265.0;200.0;57.2;260.0;98.7
24;P Onderwijs;2011;530.0;290.0;235.0;55.2;285.0;98.1
25;Q Gezondheids- en welzijnszorg;2011;1225.0;625.0;600.0;51.2;585.0;93.6
26;R-U Cultuur, recreatie, overige diensten;2011;275.0;115.0;160.0;42.2;100.0;87.5
27;R Cultuur, sport en recreatie;2011;;;;;;
28;S Overige dienstverlening;2011;;;;;;
29;SBI-code onbekend;2011;885.0;355.0;530.0;40.1;320.0;90.1
