ID;Geslacht;Persoonskenmerken;BedrijfstakkenBranchesSBI2008;CaribischNederland;Perioden;WerkzameBeroepsbevolking_1
0;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;Caribisch Nederland;2012;11940
1;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;Caribisch Nederland;2014;13060
2;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;Caribisch Nederland;2016;13290
3;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;Caribisch Nederland;2018;14270
4;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;Caribisch Nederland;2020;14330
5;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;Caribisch Nederland;2022;15670
6;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;Bonaire;2012;8810
7;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;Bonaire;2014;9960
8;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;Bonaire;2016;10700
9;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;Bonaire;2018;11240
10;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;Bonaire;2020;11490
11;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;Bonaire;2022;12840
12;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;Sint-Eustatius;2012;2090
13;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;Sint-Eustatius;2014;2200
14;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;Sint-Eustatius;2016;1610
15;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;Sint-Eustatius;2018;1860
16;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;Sint-Eustatius;2020;1720
17;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;Sint-Eustatius;2022;1810
18;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;Saba;2012;1040
19;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;Saba;2014;900
20;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;Saba;2016;970
21;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;Saba;2018;1170
22;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;Saba;2020;1130
23;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;Saba;2022;1010
24;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;Caribisch Nederland;2012;670
25;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;Caribisch Nederland;2014;1110
26;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;Caribisch Nederland;2016;900
27;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;Caribisch Nederland;2018;1140
28;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;Caribisch Nederland;2020;1170
29;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;Caribisch Nederland;2022;1150
30;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;Bonaire;2012;530
31;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;Bonaire;2014;770
32;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;Bonaire;2016;570
33;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;Bonaire;2018;770
34;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;Bonaire;2020;760
35;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;Bonaire;2022;820
36;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;Sint-Eustatius;2012;100
37;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;Sint-Eustatius;2014;290
38;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;Sint-Eustatius;2016;290
39;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;Sint-Eustatius;2018;340
40;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;Sint-Eustatius;2020;310
41;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;Sint-Eustatius;2022;270
42;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;Saba;2012;40
43;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;Saba;2014;50
44;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;Saba;2016;40
45;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;Saba;2018;40
46;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;Saba;2020;90
47;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;Saba;2022;60
48;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;Caribisch Nederland;2012;2400
49;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;Caribisch Nederland;2014;3090
50;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;Caribisch Nederland;2016;2310
51;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;Caribisch Nederland;2018;2970
52;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;Caribisch Nederland;2020;3120
53;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;Caribisch Nederland;2022;3680
54;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;Bonaire;2012;1890
55;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;Bonaire;2014;2490
56;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;Bonaire;2016;1800
57;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;Bonaire;2018;2220
58;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;Bonaire;2020;2350
59;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;Bonaire;2022;3000
60;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;Sint-Eustatius;2012;360
61;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;Sint-Eustatius;2014;470
62;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;Sint-Eustatius;2016;400
63;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;Sint-Eustatius;2018;580
64;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;Sint-Eustatius;2020;550
65;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;Sint-Eustatius;2022;510
66;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;Saba;2012;150
