ID;Characteristics;CaribbeanNetherlands;Periods;Households_1;PersonsWithIncomePerHousehold_2;DisposableIncomeMean_3;DisposableIncomeMedian_4;EquivalisedIncomeMean_5;EquivalisedIncomeMedian_6
0;Private households;Caribbean Netherlands;2011;7300.0;1.7;29.7;22.6;19.2;15.2
1;Private households;Caribbean Netherlands;2012;7750.0;1.7;30.7;23.3;20.0;15.9
2;Private households;Caribbean Netherlands;2013;8250.0;1.7;30.9;23.5;20.2;16.4
3;Private households;Caribbean Netherlands;2014;8600.0;1.7;31.9;24.4;21.0;16.8
4;Private households;Caribbean Netherlands;2015;8850.0;1.7;32.8;24.8;21.6;17.1
5;Private households;Caribbean Netherlands;2016;9250.0;1.7;33.2;25.4;22.1;17.7
6;Private households;Caribbean Netherlands;2017;9750.0;1.7;33.9;25.7;22.8;18.2
7;Private households;Caribbean Netherlands;2018;10150.0;1.7;34.2;25.9;23.0;18.3
8;Private households;Caribbean Netherlands;2019;10600.0;1.7;35.3;27.0;23.9;19.0
9;Private households;Caribbean Netherlands;2020;10950.0;1.6;35.5;26.9;24.1;19.1
10;Private households;Caribbean Netherlands;2021;11300.0;1.6;36.0;27.6;24.4;19.4
11;Private households;Caribbean Netherlands;2022;12000.0;1.6;36.7;27.6;25.0;19.9
12;Private households;Bonaire;2011;5800.0;1.7;29.4;22.4;19.0;15.2
13;Private households;Bonaire;2012;6150.0;1.7;30.1;22.6;19.6;15.6
14;Private households;Bonaire;2013;6550.0;1.7;30.4;23.1;19.8;16.1
15;Private households;Bonaire;2014;6850.0;1.7;31.4;23.7;20.6;16.4
16;Private households;Bonaire;2015;7000.0;1.7;32.2;24.3;21.0;16.8
17;Private households;Bonaire;2016;7350.0;1.7;33.1;25.3;21.8;17.6
18;Private households;Bonaire;2017;7750.0;1.7;33.5;25.2;22.3;17.8
19;Private households;Bonaire;2018;8100.0;1.7;33.6;25.5;22.4;17.9
20;Private households;Bonaire;2019;8500.0;1.7;34.8;26.4;23.3;18.4
21;Private households;Bonaire;2020;8900.0;1.7;34.8;26.3;23.5;18.7
22;Private households;Bonaire;2021;9200.0;1.7;35.5;27.0;23.9;19.0
23;Private households;Bonaire;2022;9800.0;1.6;36.2;27.2;24.5;19.5
24;Private households;St. Eustatius;2011;950.0;1.6;32.1;24.5;20.5;15.7
25;Private households;St. Eustatius;2012;1000.0;1.5;34.1;26.4;21.9;17.7
26;Private households;St. Eustatius;2013;1100.0;1.5;34.1;26.3;22.3;18.0
27;Private households;St. Eustatius;2014;1100.0;1.5;35.4;27.2;23.0;18.5
28;Private households;St. Eustatius;2015;1150.0;1.5;36.8;28.5;24.9;19.6
29;Private households;St. Eustatius;2016;1200.0;1.5;34.6;25.5;23.9;18.8
30;Private households;St. Eustatius;2017;1300.0;1.5;36.9;29.8;25.9;20.6
31;Private households;St. Eustatius;2018;1300.0;1.5;37.6;28.2;26.4;20.2
32;Private households;St. Eustatius;2019;1350.0;1.5;38.9;29.6;27.3;21.1
33;Private households;St. Eustatius;2020;1300.0;1.5;39.5;29.2;27.1;21.4
34;Private households;St. Eustatius;2021;1350.0;1.5;37.9;28.1;26.4;20.8
35;Private households;St. Eustatius;2022;1400.0;1.5;38.6;29.6;27.1;21.2
