ID;Geslacht;Leeftijd;KenmerkenPersonen;Marges;Perioden;ErvarenGezondheidGoedOfZeerGoed_1;PsychischOngezond12JaarOfOuder_2;MondgezondheidZeerGoed15OfOuder_3;k_1OfMeerLangdurigeAandoeningen_4;DiabetesSuikerziekteTotaal_5;DiabetesSuikerziekteType1_6;DiabetesSuikerziekteType2_7;BeroerteHersenbloedingHerseninfarct_8;Hartinfarct_9;Hartaandoening_10;Kanker_11;MigraineOfErnstigeHoofdpijn_12;Astma_13;COPDChronischeBronchitisLongemfyseem_14;Psoriasis_15;ChronischeEczeem_16;DarmstoornissenLangerDan3Maanden_17;ChronischeGewrichtsontsteking_18;Rugaandoening_19;AandoeningVanDeNekOfSchouder_20;AandoeningElleboogPolsOfHand_21;Allergie_22;HogeBloeddruk_23;VernauwingBloedvatenInBuikOfBenen_24;DuizeligheidMetVallen_25;IncontinentieUrineverlies_26;GewrichtsslijtageVanHeupenOfKnieen_27;Levercirrose_28;Nieraandoening_29;Depressie_30;OverigeAandoeningen_31;BeroerteHersenbloedingHerseninfarct_32;Hartinfarct_33;Kanker_34;Verkoudheid_35;BronchitisOfLongontsteking_36;Oorontsteking_37;InfectieOfOntstekingNierenOfBlaas_38;DiarreeMinimaal3MaalIn24Uur_39;BrakenMinimaal3MaalIn24Uur_40;PersonenMetEenGALIBeperking_41;Slaapproblemen12JaarOfOuder_42;BelemmerdDoorPijn12JaarOfOuder_43;PersonenMetMinstens1Beperking_44;BeperkingenPerPersoon_45;PersonenMetBeperkingInHoren_46;PersonenMetBeperkingInZien_47;PersonenMetBeperkingInBewegen_48;HulpmiddelVoorHoren4JaarOfOuder_49;HulpmiddelVoorZien4JaarOfOuder_50;HulpmiddelVoorBewegen12JrOfOuder_51;HulpmiddelVoorAnatomie12JrOfOuder_52;HulpmiddelIncontinentie12JrOfOuder_53;PersonenMetVoorgeschrevenMedicijnen_54;PersonenNietVoorgeschrevenMedicijnen_55;PersonenMetMinimaal1Contact_56;ContactenPerPersoon_57;PersonenMetMinimaal1Contact_58;ContactenPerPersoon_59;PersonenMetMinimaal1Contact_60;ContactenPerPersoon_61;ContactMetMondhygienist12OfOuder_62;ContactMetOrthodontist8OfOuder_63;PersonenMetMinimaal1Contact_64;ContactenPerPersoon_65;PersonenMetMinimaal1Contact_66;ContactenPerPersoon_67;PersonenBehDoorAlternatiefGenezer_68;PersonenMetOvernachtingen_69;PersonenMetDagopname_70;PersonenDieThuiszorgOntvingen_71;PersonenMetZorgInHetBuitenland_72;MantelzorgOntvangen_73;UrenOntvangenMantelzorgPerWeek_74;NormscoreFysiek_75;NormscorePsychisch_76;Uitstekend_77;ZeerGoed_78;Goed_79;Matig_80;Slecht_81;ErnstigBeperkt_82;EenBeetjeBeperkt_83;HelemaalNietBeperkt_84;ErnstigBeperkt_85;EenBeetjeBeperkt_86;HelemaalNietBeperkt_87;Ja_88;Nee_89;Ja_90;Nee_91;Ja_92;Nee_93;Ja_94;Nee_95;HelemaalNiet_96;EenBeetje_97;Nogal_98;Veel_99;HeelVeel_100;Voortdurend_101;Meestal_102;Vaak_103;Soms_104;Zelden_105;Nooit_106;Voortdurend_107;Meestal_108;Vaak_109;Soms_110;Zelden_111;Nooit_112;Voortdurend_113;Meestal_114;Vaak_115;Soms_116;Zelden_117;Nooit_118;Voortdurend_119;Meestal_120;Soms_121;Zelden_122;Nooit_123
0;Totaal mannen en vrouwen;10000;Totaal ;Waarde;2014/2015;80.0;10.7;;30.1;4.6;0.9;3.7;0.4;0.4;1.9;1.9;14.3;5.5;4.6;2.5;5.1;4.2;6.2;9.0;8.5;6.3;17.9;16.1;2.8;4.8;6.1;14.1;0.2;1.8;7.6;10.6;3.1;3.1;6.4;40.3;1.6;3.3;3.1;10.4;4.0;26.4;;12.4;12.8;0.2;3.1;3.3;9.6;4.4;62.7;;;;40.7;38.1;68.5;4.9;39.6;3.2;78.8;2.6;29.1;7.4;23.3;3.4;8.6;0.9;5.3;7.3;7.6;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Totaal mannen en vrouwen;10000;Totaal ;Waarde;2016/2017;79.4;11.3;;30.7;4.8;0.8;3.9;0.5;0.3;2.0;1.8;14.3;5.7;4.3;2.4;5.4;4.2;6.5;9.2;9.1;6.3;18.7;16.2;2.7;5.1;6.2;14.0;0.3;1.8;8.1;11.3;3.0;3.2;6.9;41.8;2.0;3.4;3.1;10.8;4.1;28.2;;12.8;12.0;0.2;3.1;3.1;9.1;4.8;63.8;5.9;5.5;3.9;40.5;39.3;69.0;5.2;39.3;3.4;79.4;2.7;33.5;7.1;25.5;3.7;9.3;1.1;5.7;6.9;7.6;5.8;3.1;5.7;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Totaal mannen en vrouwen;10000;Totaal ;Waarde;2018/2019;78.5;11.7;;31.1;5.1;0.9;4.1;0.5;0.4;2.6;2.1;13.7;5.9;4.3;;;4.6;6.7;8.9;9.0;;19.4;16.0;;;6.9;14.9;0.3;2.0;8.4;12.6;3.3;3.1;7.0;;;;;;;29.1;20.2;12.9;12.0;0.2;2.9;2.9;9.2;5.7;64.0;;;;40.9;40.3;68.9;5.3;40.3;3.7;80.3;2.9;36.9;8.3;27.1;3.6;9.8;1.1;4.8;6.4;8.4;5.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Totaal mannen en vrouwen;10000;Totaal ;Waarde;2020/2021;81.0;13.5;71.7;30.7;4.9;0.9;4.0;0.4;0.3;2.4;1.9;14.1;6.0;4.3;;;4.4;6.8;8.7;8.3;;20.1;15.6;;;6.7;15.7;0.3;1.7;8.9;13.0;2.9;2.9;6.7;;;;;;;28.3;21.6;11.3;11.1;0.2;2.8;3.3;7.8;5.7;65.6;;;;39.2;40.9;63.5;5.0;36.8;3.5;79.0;2.8;39.8;8.5;25.5;3.1;9.8;1.2;5.1;5.6;7.6;5.9;;;;50.2;50.6;19.8;30.1;38.3;9.6;2.1;5.6;18.0;76.4;5.4;16.6;78.0;18.9;81.1;18.2;81.8;15.3;84.7;13.9;86.1;64.8;23.9;6.4;3.3;1.6;14.1;48.7;18.2;12.3;4.4;2.3;1.1;2.2;5.1;21.0;29.8;40.8;11.3;36.1;21.8;19.8;8.1;2.9;3.4;4.6;15.7;19.2;57.1
4;Totaal mannen en vrouwen;10000;Totaal ;Ondergrens 95%-interval;2014/2015;79.4;10.2;;29.4;4.3;0.7;3.4;0.3;0.3;1.7;1.7;13.8;5.2;4.3;2.2;4.8;3.9;5.9;8.5;8.1;5.9;17.4;15.5;2.5;4.5;5.7;13.6;0.1;1.6;7.2;10.2;2.8;2.8;6.0;39.6;1.5;3.0;2.8;10.0;3.7;25.7;;11.9;12.2;0.2;2.8;3.0;9.1;4.1;62.0;;;;40.0;37.4;67.9;4.8;38.9;3.0;78.2;2.5;28.4;7.0;22.7;3.3;8.2;0.8;5.0;6.9;7.2;5.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Totaal mannen en vrouwen;10000;Totaal ;Ondergrens 95%-interval;2016/2017;78.8;10.8;;30.0;4.5;0.7;3.6;0.4;0.2;1.8;1.6;13.8;5.3;4.0;2.2;5.1;3.9;6.1;8.8;8.7;6.0;18.1;15.7;2.5;4.8;5.9;13.5;0.2;1.6;7.7;10.9;2.8;2.9;6.5;41.1;1.8;3.1;2.8;10.3;3.8;27.6;;12.3;11.5;0.2;2.8;2.8;8.7;4.5;63.1;5.6;5.2;3.6;39.8;38.6;68.3;5.0;38.6;3.2;78.8;2.6;32.8;6.8;24.9;3.6;8.9;1.0;5.4;6.6;7.3;5.4;2.9;5.3;14.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Totaal mannen en vrouwen;10000;Totaal ;Ondergrens 95%-interval;2018/2019;78.0;11.2;;30.4;4.8;0.8;3.9;0.4;0.3;2.3;1.9;13.2;5.6;4.0;;;4.3;6.3;8.5;8.6;;18.9;15.4;;;6.5;14.3;0.2;1.8;7.9;12.1;3.0;2.8;6.7;;;;;;;28.5;19.6;12.4;11.5;0.2;2.7;2.7;8.7;5.3;63.3;;;;40.2;39.6;68.2;5.1;39.6;3.5;79.8;2.8;36.2;7.9;26.5;3.5;9.4;1.0;4.5;6.1;8.0;5.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Totaal mannen en vrouwen;10000;Totaal ;Ondergrens 95%-interval;2020/2021;80.3;12.9;70.9;30.0;4.6;0.7;3.7;0.3;0.2;2.2;1.7;13.5;5.7;4.0;;;4.0;6.5;8.3;7.9;;19.4;15.0;;;6.3;15.1;0.2;1.5;8.4;12.5;2.6;2.6;6.3;;;;;;;27.6;20.8;10.8;10.6;0.2;2.6;3.0;7.3;5.4;64.8;;;;38.5;40.1;62.7;4.8;36.0;3.3;78.3;2.7;39.0;8.0;24.9;2.9;9.3;1.0;4.8;5.3;7.2;5.6;;;;50.0;50.4;19.1;29.4;37.5;9.1;1.8;5.2;17.3;75.7;5.0;16.0;77.3;18.2;80.4;17.5;81.1;14.7;84.0;13.3;85.4;63.9;23.2;6.0;3.0;1.4;13.6;47.8;17.5;11.8;4.0;2.0;0.9;1.9;4.7;20.3;29.0;40.0;10.7;35.3;21.1;19.1;7.7;2.6;3.0;4.2;15.1;18.5;56.3
8;Totaal mannen en vrouwen;10000;Totaal ;Bovengrens 95%-interval;2014/2015;80.6;11.2;;30.7;4.9;1.0;4.0;0.5;0.5;2.1;2.1;14.8;5.9;4.9;2.7;5.4;4.5;6.6;9.4;8.9;6.6;18.5;16.7;3.0;5.1;6.4;14.6;0.2;2.0;8.0;11.1;3.4;3.3;6.7;41.0;1.8;3.5;3.3;10.8;4.3;27.0;;12.9;13.3;0.3;3.4;3.6;10.1;4.7;63.4;;;;41.4;38.8;69.2;5.1;40.3;3.4;79.4;2.7;29.8;7.8;23.9;3.6;9.0;1.0;5.6;7.7;8.0;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Totaal mannen en vrouwen;10000;Totaal ;Bovengrens 95%-interval;2016/2017;79.9;11.8;;31.3;5.1;0.9;4.2;0.6;0.4;2.2;2.0;14.8;6.0;4.6;2.6;5.8;4.5;6.8;9.6;9.5;6.7;19.2;16.8;3.0;5.4;6.6;14.6;0.4;2.0;8.5;11.8;3.3;3.4;7.2;42.5;2.2;3.6;3.3;11.2;4.4;28.9;;13.4;12.5;0.2;3.4;3.4;9.6;5.1;64.5;6.3;5.9;4.2;41.2;40.0;69.6;5.3;40.0;3.5;80.0;2.8;34.2;7.5;26.1;3.9;9.7;1.2;6.0;7.3;8.0;6.1;3.4;6.0;19.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
