ID;BestemmingEindverwerking;Indelingen;Perioden;NatSlib_1;DrogeStof_2;AsGloeirest_3;OrganischeFractie_4;StikstofverbindingenAlsN_5;FosforverbindingenAlsP_6;Koper_7;Chroom_8;Zink_9;Lood_10;Cadmium_11;Nikkel_12;Kwik_13;Arseen_14
0;Totaal;Nederland;1981;3622102.0;179616.0;74866.0;104750.0;8471.0;4216.0;88636.0;36332.0;312411.0;81582.0;1518.0;13919.0;587.0;1179.0
1;Totaal;Nederland;1985;3749735.0;227127.0;96020.0;131107.0;11523.0;4965.0;103825.0;33207.0;338380.0;82984.0;1377.0;12585.0;560.0;1540.0
2;Totaal;Nederland;1990;4859804.0;315266.0;127156.0;188110.0;15900.0;7066.0;140084.0;25553.0;351411.0;70674.0;1213.0;13030.0;691.0;2409.0
3;Totaal;Nederland;1991;3013739.0;334504.0;139443.0;195061.0;16770.0;7584.0;145467.0;25813.0;342127.0;69494.0;1194.0;11986.0;703.0;2240.0
4;Totaal;Nederland;1992;2634785.0;322693.0;138839.0;183854.0;15462.0;6496.0;136860.0;21401.0;353112.0;66464.0;1237.0;11734.0;609.0;2345.0
5;Totaal;Nederland;1993;2057019.0;336948.0;154735.0;182213.0;16158.0;6562.0;130688.0;22389.0;326532.0;64074.0;923.0;11502.0;646.0;2228.0
6;Totaal;Nederland;1994;2144266.0;338888.0;152965.0;185923.0;16455.0;6740.0;126418.0;18647.0;331500.0;63178.0;717.0;12001.0;489.0;2553.0
7;Totaal;Nederland;1995;2135432.0;359843.0;160446.0;199397.0;16455.0;10345.0;140468.0;19299.0;341367.0;63208.0;691.0;10932.0;538.0;2791.0
8;Totaal;Nederland;1996;1753046.0;364809.0;155254.0;209555.0;17381.0;8346.0;140103.0;18794.0;317422.0;52013.0;612.0;11380.0;498.0;2493.0
9;Totaal;Nederland;1997;1511818.0;347210.0;147078.0;200132.0;15251.0;7284.0;135325.0;17484.0;300309.0;48484.0;627.0;11518.0;497.0;2608.0
10;Totaal;Nederland;1998;1406110.0;350037.0;145250.0;204787.0;16553.0;8882.0;135540.0;17767.0;330339.0;53934.0;628.0;13196.0;450.0;3838.0
11;Totaal;Nederland;1999;1519211.0;374165.0;165293.0;208872.0;17444.0;6268.0;146804.0;20033.0;354841.0;56801.0;630.0;13666.0;456.0;3861.0
12;Totaal;Nederland;2000;1426447.0;336361.0;128336.0;208025.0;15962.0;7258.0;130891.0;17322.0;319070.0;51466.0;544.0;11036.0;404.0;3017.0
13;Totaal;Nederland;2001;1467679.0;348777.0;124859.0;223918.0;17488.0;6502.0;132680.0;15891.0;334393.0;52680.0;601.0;11121.0;411.0;3315.0
14;Totaal;Nederland;2002;1534537.0;353853.0;139242.0;214611.0;18228.0;9158.0;138141.0;15469.0;348712.0;50534.0;541.0;10626.0;393.0;3278.0
15;Totaal;Nederland;2003;1498398.0;343621.0;129182.0;214439.0;15686.0;8269.0;138808.0;14370.0;324534.0;44364.0;498.0;9971.0;348.0;2979.0
16;Totaal;Nederland;2004;1486535.0;341646.0;122318.0;219328.0;15319.0;7657.0;133663.0;14646.0;344042.0;46169.0;483.0;10805.0;346.0;3150.0
17;Totaal;Nederland;2005;1494028.0;347557.0;126997.0;220560.0;18733.0;7771.0;132360.0;13937.0;372960.0;39312.0;453.0;8967.0;329.0;2952.0
18;Totaal;Nederland;2006;1610518.0;359431.0;123697.0;235734.0;18878.0;8909.0;139903.0;13480.0;340695.0;43329.0;509.0;9495.0;318.0;3003.0
19;Totaal;Nederland;2007;1538697.0;339102.0;121245.0;217857.0;17225.0;7684.0;137882.0;14152.0;349851.0;46586.0;496.0;10699.0;319.0;3491.0
20;Totaal;Nederland;2008;1320580.0;336064.0;110457.0;225607.0;16947.0;10634.0;137696.0;13604.0;352924.0;42951.0;454.0;9868.0;288.0;3642.0
21;Totaal;Nederland;2009;1328815.0;336616.0;110600.0;226016.0;15782.0;9093.0;132900.0;13828.0;330847.0;39565.0;408.0;9229.0;283.0;3051.0
22;Totaal;Nederland;2010;1321586.0;332601.0;110086.0;222515.0;18736.0;11101.0;132552.0;13715.0;348041.0;39757.0;468.0;11020.0;265.0;3276.0
23;Totaal;Nederland;2011;1304669.0;331336.0;103518.0;227818.0;18728.0;10757.0;136630.0;13644.0;335254.0;37855.0;422.0;11030.0;247.0;3228.0
24;Totaal;Nederland;2012;1400521.0;324603.0;106596.0;218007.0;18722.0;10801.0;130849.0;13784.0;336266.0;37808.0;415.0;9961.0;225.0;3041.0
25;Totaal;Nederland;2013;1269216.0;315639.0;101137.0;214502.0;17854.0;10918.0;128963.0;12923.0;308622.0;33634.0;364.0;8739.0;231.0;3460.0
26;Totaal;Nederland;2014;1277852.0;319704.0;105092.0;214612.0;18069.0;10900.0;128940.0;14018.0;299301.0;31267.0;313.0;9050.0;219.0;3186.0
27;Totaal;Nederland;2015;1302386.0;325361.0;102290.0;223071.0;18318.0;11086.0;128534.0;16163.0;321593.0;32314.0;344.0;9589.0;201.0;3561.0
28;Totaal;Nederland;2016;1285881.0;325133.0;97076.0;228057.0;18585.0;10833.0;120412.0;16879.0;321154.0;31487.0;319.0;9106.0;180.0;3348.0
29;Totaal;Nederland;2018;1250205.0;303618.0;89104.0;214514.0;17575.0;9768.0;114825.0;11311.0;299297.0;25033.0;301.0;7488.0;159.0;3194.0
30;Totaal;Nederland;2020;1263335.0;308360.0;91789.0;216571.0;19111.0;11170.0;120715.0;12003.0;325845.0;25755.0;311.0;7939.0;143.0;3247.0
31;Totaal;Nederland;2022;1299154.0;300041.0;89938.0;210103.0;17755.0;11004.0;109077.0;11795.0;298603.0;23100.0;280.0;7670.0;134.0;3006.0
