ID;BestemmingEnVerwerkingZuiveringsslib;RegioS;Perioden;NatSlib_1;DrogeStof_2;AsGloeirest_3;OrganischeFractie_4;StikstofverbindingenAlsN_5;FosforverbindingenAlsP_6;Koper_7;Chroom_8;Zink_9;Lood_10;Cadmium_11;Nikkel_12;Kwik_13;Arseen_14
0;Totaal;Nederland;1981;3622102;179616;74866;104750;8471;4216;88636;36332;312411;81582;1518;13919;587;1179
1;Totaal;Nederland;1985;3749735;227127;96020;131107;11523;4965;103825;33207;338380;82984;1377;12585;560;1540
2;Totaal;Nederland;1990;4859804;315266;127156;188110;15900;7066;140084;25553;351411;70674;1213;13030;691;2409
3;Totaal;Nederland;1991;3013739;334504;139443;195061;16770;7584;145467;25813;342127;69494;1194;11986;703;2240
4;Totaal;Nederland;1992;2634785;322693;138839;183854;15462;6496;136860;21401;353112;66464;1237;11734;609;2345
5;Totaal;Nederland;1993;2057019;336948;154735;182213;16158;6562;130688;22389;326532;64074;923;11502;646;2228
6;Totaal;Nederland;1994;2144266;338888;152965;185923;16455;6740;126418;18647;331500;63178;717;12001;489;2553
7;Totaal;Nederland;1995;2135432;359843;160446;199397;16455;10345;140468;19299;341367;63208;691;10932;538;2791
8;Totaal;Nederland;1996;1753046;364809;155254;209555;17381;8346;140103;18794;317422;52013;612;11380;498;2493
9;Totaal;Nederland;1997;1511818;347210;147078;200132;15251;7284;135325;17484;300309;48484;627;11518;497;2608
10;Totaal;Nederland;1998;1406110;350037;145250;204787;16553;8882;135540;17767;330339;53934;628;13196;450;3838
11;Totaal;Nederland;1999;1519211;374165;165293;208872;17444;6268;146804;20033;354841;56801;630;13666;456;3861
12;Totaal;Nederland;2000;1426447;336361;128336;208025;15962;7258;130891;17322;319070;51466;544;11036;404;3017
13;Totaal;Nederland;2001;1467679;348777;124859;223918;17488;6502;132680;15891;334393;52680;601;11121;411;3315
14;Totaal;Nederland;2002;1534537;353853;139242;214611;18228;9158;138141;15469;348712;50534;541;10626;393;3278
15;Totaal;Nederland;2003;1498398;343621;129182;214439;15686;8269;138808;14370;324534;44364;498;9971;348;2979
16;Totaal;Nederland;2004;1486535;341646;122318;219328;15319;7657;133663;14646;344042;46169;483;10805;346;3150
17;Totaal;Nederland;2005;1494028;347557;126997;220560;18733;7771;132360;13937;372960;39312;453;8967;329;2952
18;Totaal;Nederland;2006;1610518;359431;123697;235734;18878;8909;139903;13480;340695;43329;509;9495;318;3003
19;Totaal;Nederland;2007;1538697;339102;121245;217857;17225;7684;137882;14152;349851;46586;496;10699;319;3491
20;Totaal;Nederland;2008;1320580;336064;110457;225607;16947;10634;137696;13604;352924;42951;454;9868;288;3642
21;Totaal;Nederland;2009;1328815;336616;110600;226016;15782;9093;132900;13828;330847;39565;408;9229;283;3051
22;Totaal;Nederland;2010;1321586;332601;110086;222515;18736;11101;132552;13715;348041;39757;468;11020;265;3276
23;Totaal;Nederland;2011;1304669;331336;103518;227818;18728;10757;136630;13644;335254;37855;422;11030;247;3228
24;Totaal;Nederland;2012;1400521;324603;106596;218007;18722;10801;130849;13784;336266;37808;415;9961;225;3041
25;Totaal;Nederland;2013;1269216;315639;101137;214502;17854;10918;128963;12923;308622;33634;364;8739;231;3460
26;Totaal;Nederland;2014;1277852;319704;105092;214612;18069;10900;128940;14018;299301;31267;313;9050;219;3186
27;Totaal;Nederland;2015;1302386;325361;102290;223071;18318;11086;128534;16163;321593;32314;344;9589;201;3561
28;Totaal;Nederland;2016;1285881;325133;97076;228057;18585;10833;120412;16879;321154;31487;319;9106;180;3348
29;Totaal;Nederland;2018;1250205;303618;89104;214514;17575;9768;114825;11311;299297;25033;301;7488;159;3194
30;Totaal;Nederland;2020;1263335;308360;91789;216571;19111;11170;120715;12003;325845;25755;311;7939;143;3247
31;Totaal;Nederland;2022;1299154;300041;89938;210103;17755;11004;109077;11795;298603;23100;280;7670;134;3006
32;Totaal;Noord-Nederland (LD);1981;361291;21298;8493;12805;1137;520;13308;2676;34891;8767;123;1187;92;141
33;Totaal;Noord-Nederland (LD);1985;421240;24830;10318;14512;1255;554;10137;1482;27762;6511;72;620;55;160
34;Totaal;Noord-Nederland (LD);1990;480702;35838;15251;20587;1752;1026;14693;1950;32092;6236;69;916;74;376
35;Totaal;Noord-Nederland (LD);1991;491534;36899;15848;21051;1784;783;15804;2401;32726;6245;72;953;58;246
36;Totaal;Noord-Nederland (LD);1992;404081;36407;16006;20401;1696;768;13606;1918;30638;5784;60;815;44;238
37;Totaal;Noord-Nederland (LD);1993;189801;42948;21328;21620;2247;804;12792;1872;32121;6559;72;953;63;197
38;Totaal;Noord-Nederland (LD);1994;139290;43997;22764;21233;2092;873;13788;1642;32479;6621;66;910;57;373
39;Totaal;Noord-Nederland (LD);1995;143189;43340;22524;20816;1993;988;13275;1434;29586;5281;56;711;38;186
40;Totaal;Noord-Nederland (LD);1996;152939;46306;23501;22805;2286;977;13940;1435;29572;4738;58;728;36;238
41;Totaal;Noord-Nederland (LD);1997;149779;46223;23111;23112;2088;875;14431;1433;32869;4703;53;765;33;338
42;Totaal;Noord-Nederland (LD);1998;137780;39179;15822;23357;2005;807;13981;1443;33392;4935;46;732;34;361
43;Totaal;Noord-Nederland (LD);1999;154796;46088;20947;25141;2407;650;14950;1490;34310;5408;51;941;35;361
44;Totaal;Noord-Nederland (LD);2000;134267;34917;13013;21904;1449;774;13014;1343;29815;4374;38;946;29;228
45;Totaal;Noord-Nederland (LD);2001;148986;38756;15105;23651;1587;671;13757;1564;35118;4964;45;1059;33;341
46;Totaal;Noord-Nederland (LD);2002;166292;40733;16476;24257;1312;737;13917;1686;38268;5401;53;1257;36;304
47;Totaal;Noord-Nederland (LD);2003;162746;40877;15623;25254;1958;846;17229;1509;33542;4903;45;1016;34;316
48;Totaal;Noord-Nederland (LD);2004;163630;38554;13914;24640;1647;674;14478;1381;34964;4531;44;989;31;318
49;Totaal;Noord-Nederland (LD);2005;167914;39979;15158;24821;2011;762;15417;1244;33865;3862;36;870;28;291
50;Totaal;Noord-Nederland (LD);2006;170527;41210;14630;26580;1741;739;15346;1522;37355;4425;45;1011;29;357
51;Totaal;Noord-Nederland (LD);2007;155250;37841;13506;24335;1616;570;14568;1517;37813;4633;48;1036;24;348
52;Totaal;Noord-Nederland (LD);2008;163607;39292;14215;25077;1585;1046;15576;1626;40050;4567;44;1071;31;395
53;Totaal;Noord-Nederland (LD);2009;176357;41244;14654;26590;1725;996;14922;1452;36237;3865;38;1019;23;247
54;Totaal;Noord-Nederland (LD);2010;169270;39156;14352;24804;2321;1390;13955;1505;36626;3575;39;919;26;345
55;Totaal;Noord-Nederland (LD);2011;167508;38534;12579;25955;2382;1242;14561;1344;35264;3432;36;865;28;352
56;Totaal;Noord-Nederland (LD);2012;249935;36676;12630;24046;2118;1104;14301;1495;35747;3929;36;903;25;349
57;Totaal;Noord-Nederland (LD);2013;143059;34326;12435;21891;2155;1097;13592;1408;34619;3689;32;911;22;403
58;Totaal;Noord-Nederland (LD);2014;141674;33209;12190;21019;1653;959;13067;1267;29237;2897;23;862;21;291
59;Totaal;Noord-Nederland (LD);2015;149325;36873;12885;23988;1859;1014;13117;1360;35701;3527;28;926;22;341
60;Totaal;Noord-Nederland (LD);2016;151783;36613;11239;25374;1885;986;13271;1228;33391;3395;25;810;22;264
61;Totaal;Noord-Nederland (LD);2018;137164;31968;10455;21513;1870;1061;10958;964;25125;2202;21;796;13;206
62;Totaal;Noord-Nederland (LD);2020;147781;33981;10906;23075;2361;1233;11929;1179;31138;2622;25;828;14;328
63;Totaal;Noord-Nederland (LD);2022;148202;35381;11350;24031;1848;1222;10616;1435;29981;2495;26;971;20;291
64;Totaal;Oost-Nederland (LD);1981;784019;43575;18293;25282;2169;1119;20430;8108;72005;22456;345;2361;184;280
65;Totaal;Oost-Nederland (LD);1985;696639;49387;18116;31271;2735;1317;21381;5329;65980;16634;224;2226;133;318
66;Totaal;Oost-Nederland (LD);1990;672438;65487;27036;38451;3189;1449;26176;5771;63854;12489;156;2508;125;498
67;Totaal;Oost-Nederland (LD);1991;665233;73354;28505;44849;3534;1718;26773;5028;64743;12250;145;2244;132;441
68;Totaal;Oost-Nederland (LD);1992;529725;69634;31081;38553;3192;1484;27186;5129;67304;12199;159;2488;123;421
69;Totaal;Oost-Nederland (LD);1993;446093;81497;40449;41048;3617;1627;27097;5998;68065;12202;189;2556;203;441
70;Totaal;Oost-Nederland (LD);1994;487919;66784;26298;40486;3389;1338;25397;3805;64248;11247;155;2271;97;420
71;Totaal;Oost-Nederland (LD);1995;642683;67557;27737;39820;3221;2178;29783;3340;66462;11316;140;2018;126;454
72;Totaal;Oost-Nederland (LD);1996;602217;73387;28371;45016;3792;1898;28851;3879;66290;10846;140;2052;116;400
73;Totaal;Oost-Nederland (LD);1997;551440;69132;26632;42500;3364;1805;27994;3600;58286;9319;119;2018;103;370
74;Totaal;Oost-Nederland (LD);1998;423552;65012;24708;40304;3127;1660;25720;3106;57615;9106;91;1957;85;534
75;Totaal;Oost-Nederland (LD);1999;541393;72484;28338;44146;3435;1333;27852;3837;72852;10052;120;2107;99;787
76;Totaal;Oost-Nederland (LD);2000;527448;70331;27233;43098;3217;1729;31812;4915;72056;11280;117;2165;103;527
77;Totaal;Oost-Nederland (LD);2001;484835;68545;24647;43898;3326;1461;26255;3558;68035;8952;99;2091;95;536
78;Totaal;Oost-Nederland (LD);2002;570694;69912;25599;44313;3241;1422;27843;3410;68100;8432;97;2005;80;542
79;Totaal;Oost-Nederland (LD);2003;560454;67768;23730;44038;3463;1431;25319;2897;63313;7023;93;2175;68;529
80;Totaal;Oost-Nederland (LD);2004;589811;69825;24439;45386;3795;1218;26898;2874;70745;7491;85;2368;74;552
