ID;CategoryDrivingLicence;AgeDrivingLicenseHolder;Region;Periods;PeopleWithADrivingLicence_1
0;Passenger car driving licence total;Total;Nederland;2014;10658020.0
1;Passenger car driving licence total;Total;Nederland;2015;10755934.0
2;Passenger car driving licence total;Total;Nederland;2016;10894336.0
3;Passenger car driving licence total;Total;Nederland;2017;10986066.0
4;Passenger car driving licence total;Total;Nederland;2018;11070447.0
5;Passenger car driving licence total;Total;Nederland;2019;11176150.0
6;Passenger car driving licence total;Total;Nederland;2020;11300119.0
7;Passenger car driving licence total;Total;Nederland;2021;11437849.0
8;Passenger car driving licence total;Total;Nederland;2022;11444831.0
9;Passenger car driving licence total;Total;Nederland;2023;11528476.0
10;Passenger car driving licence total;Total;Nederland;2024;11657142.0
11;Passenger car driving licence total;Total;Nederland;2025;11781498.0
12;Passenger car driving licence total;Total;Noord-Nederland (LD);2014;1109088.0
13;Passenger car driving licence total;Total;Noord-Nederland (LD);2015;1116626.0
14;Passenger car driving licence total;Total;Noord-Nederland (LD);2016;1123980.0
15;Passenger car driving licence total;Total;Noord-Nederland (LD);2017;1129783.0
16;Passenger car driving licence total;Total;Noord-Nederland (LD);2018;1135450.0
17;Passenger car driving licence total;Total;Noord-Nederland (LD);2019;1143193.0
18;Passenger car driving licence total;Total;Noord-Nederland (LD);2020;1153519.0
19;Passenger car driving licence total;Total;Noord-Nederland (LD);2021;1166352.0
20;Passenger car driving licence total;Total;Noord-Nederland (LD);2022;1167515.0
21;Passenger car driving licence total;Total;Noord-Nederland (LD);2023;1174545.0
22;Passenger car driving licence total;Total;Noord-Nederland (LD);2024;1185055.0
23;Passenger car driving licence total;Total;Noord-Nederland (LD);2025;1194088.0
24;Passenger car driving licence total;Total;Oost-Nederland (LD);2014;2293628.0
25;Passenger car driving licence total;Total;Oost-Nederland (LD);2015;2314614.0
26;Passenger car driving licence total;Total;Oost-Nederland (LD);2016;2340289.0
27;Passenger car driving licence total;Total;Oost-Nederland (LD);2017;2359660.0
28;Passenger car driving licence total;Total;Oost-Nederland (LD);2018;2379515.0
29;Passenger car driving licence total;Total;Oost-Nederland (LD);2019;2406311.0
30;Passenger car driving licence total;Total;Oost-Nederland (LD);2020;2436486.0
31;Passenger car driving licence total;Total;Oost-Nederland (LD);2021;2469798.0
32;Passenger car driving licence total;Total;Oost-Nederland (LD);2022;2479265.0
33;Passenger car driving licence total;Total;Oost-Nederland (LD);2023;2502646.0
34;Passenger car driving licence total;Total;Oost-Nederland (LD);2024;2531742.0
35;Passenger car driving licence total;Total;Oost-Nederland (LD);2025;2560284.0
36;Passenger car driving licence total;Total;West-Nederland (LD);2014;4842894.0
37;Passenger car driving licence total;Total;West-Nederland (LD);2015;4893293.0
38;Passenger car driving licence total;Total;West-Nederland (LD);2016;4972790.0
39;Passenger car driving licence total;Total;West-Nederland (LD);2017;5020761.0
40;Passenger car driving licence total;Total;West-Nederland (LD);2018;5062605.0
41;Passenger car driving licence total;Total;West-Nederland (LD);2019;5112155.0
42;Passenger car driving licence total;Total;West-Nederland (LD);2020;5170506.0
43;Passenger car driving licence total;Total;West-Nederland (LD);2021;5233681.0
44;Passenger car driving licence total;Total;West-Nederland (LD);2022;5229871.0
45;Passenger car driving licence total;Total;West-Nederland (LD);2023;5265169.0
46;Passenger car driving licence total;Total;West-Nederland (LD);2024;5325871.0
47;Passenger car driving licence total;Total;West-Nederland (LD);2025;5385905.0
48;Passenger car driving licence total;Total;Zuid-Nederland (LD);2014;2381440.0
49;Passenger car driving licence total;Total;Zuid-Nederland (LD);2015;2399882.0
50;Passenger car driving licence total;Total;Zuid-Nederland (LD);2016;2424152.0
51;Passenger car driving licence total;Total;Zuid-Nederland (LD);2017;2440371.0
52;Passenger car driving licence total;Total;Zuid-Nederland (LD);2018;2455140.0
53;Passenger car driving licence total;Total;Zuid-Nederland (LD);2019;2474454.0
54;Passenger car driving licence total;Total;Zuid-Nederland (LD);2020;2497632.0
55;Passenger car driving licence total;Total;Zuid-Nederland (LD);2021;2523873.0
56;Passenger car driving licence total;Total;Zuid-Nederland (LD);2022;2524888.0
57;Passenger car driving licence total;Total;Zuid-Nederland (LD);2023;2541586.0
58;Passenger car driving licence total;Total;Zuid-Nederland (LD);2024;2563997.0
59;Passenger car driving licence total;Total;Zuid-Nederland (LD);2025;2585887.0
60;Passenger car driving licence total;Total;Unclassifiable (LD);2014;30970.0
61;Passenger car driving licence total;Total;Unclassifiable (LD);2015;31519.0
62;Passenger car driving licence total;Total;Unclassifiable (LD);2016;33125.0
63;Passenger car driving licence total;Total;Unclassifiable (LD);2017;35491.0
64;Passenger car driving licence total;Total;Unclassifiable (LD);2018;37737.0
65;Passenger car driving licence total;Total;Unclassifiable (LD);2019;40037.0
66;Passenger car driving licence total;Total;Unclassifiable (LD);2020;41976.0
67;Passenger car driving licence total;Total;Unclassifiable (LD);2021;44145.0
68;Passenger car driving licence total;Total;Unclassifiable (LD);2022;43292.0
69;Passenger car driving licence total;Total;Unclassifiable (LD);2023;44530.0
70;Passenger car driving licence total;Total;Unclassifiable (LD);2024;50477.0
71;Passenger car driving licence total;Total;Unclassifiable (LD);2025;55334.0
72;Passenger car driving licence total;Total;Groningen (PV);2014;367538.0
73;Passenger car driving licence total;Total;Groningen (PV);2015;370259.0
74;Passenger car driving licence total;Total;Groningen (PV);2016;372564.0
75;Passenger car driving licence total;Total;Groningen (PV);2017;374092.0
76;Passenger car driving licence total;Total;Groningen (PV);2018;374853.0
77;Passenger car driving licence total;Total;Groningen (PV);2019;376409.0
78;Passenger car driving licence total;Total;Groningen (PV);2020;378929.0
79;Passenger car driving licence total;Total;Groningen (PV);2021;382684.0
80;Passenger car driving licence total;Total;Groningen (PV);2022;381943.0
81;Passenger car driving licence total;Total;Groningen (PV);2023;383411.0
82;Passenger car driving licence total;Total;Groningen (PV);2024;388270.0
83;Passenger car driving licence total;Total;Groningen (PV);2025;390303.0
84;Passenger car driving licence total;Total;Fryslân (PV);2014;414584.0
