ID;CaribischNederland;Perioden;Huishoudens_1;GiniCoefficient_2;Ratio8020_3
0;Caribisch Nederland;2011;7300;0.4;8.79
1;Caribisch Nederland;2012;7750;0.4;8.94
2;Caribisch Nederland;2013;8250;0.39;9.21
3;Caribisch Nederland;2014;8600;0.4;9.48
4;Caribisch Nederland;2015;8850;0.4;9.63
5;Caribisch Nederland;2016;9250;0.4;9.1
6;Caribisch Nederland;2017;9750;0.4;9.31
7;Caribisch Nederland;2018;10150;0.4;9.37
8;Caribisch Nederland;2019;10600;0.4;9.22
9;Caribisch Nederland;2020;10950;0.38;8.0
10;Caribisch Nederland;2021;11300;0.39;8.71
11;Caribisch Nederland;2022;12000;0.39;8.92
12;Bonaire;2011;5800;0.39;8.42
13;Bonaire;2012;6150;0.39;8.84
14;Bonaire;2013;6550;0.39;8.96
15;Bonaire;2014;6850;0.4;9.38
16;Bonaire;2015;7000;0.4;9.35
17;Bonaire;2016;7350;0.4;8.86
18;Bonaire;2017;7750;0.4;9.24
19;Bonaire;2018;8100;0.4;9.18
20;Bonaire;2019;8500;0.39;8.88
21;Bonaire;2020;8900;0.38;7.88
22;Bonaire;2021;9200;0.39;8.8
23;Bonaire;2022;9800;0.4;9.11
24;Sint Eustatius;2011;950;0.42;10.73
25;Sint Eustatius;2012;1000;0.41;10.45
26;Sint Eustatius;2013;1100;0.41;11.09
27;Sint Eustatius;2014;1100;0.41;10.87
28;Sint Eustatius;2015;1150;0.43;11.99
29;Sint Eustatius;2016;1200;0.43;12.01
30;Sint Eustatius;2017;1300;0.41;10.57
31;Sint Eustatius;2018;1300;0.43;11.34
32;Sint Eustatius;2019;1350;0.42;11.58
33;Sint Eustatius;2020;1300;0.4;9.35
34;Sint Eustatius;2021;1350;0.4;9.34
35;Sint Eustatius;2022;1400;0.39;8.45
36;Saba;2011;550;0.41;9.55
37;Saba;2012;600;0.38;7.66
38;Saba;2013;600;0.38;8.09
39;Saba;2014;650;0.36;7.54
40;Saba;2015;700;0.38;8.13
41;Saba;2016;700;0.36;7.29
42;Saba;2017;750;0.37;7.55
43;Saba;2018;750;0.37;7.66
44;Saba;2019;750;0.38;8.21
45;Saba;2020;750;0.36;6.83
46;Saba;2021;750;0.35;6.33
47;Saba;2022;800;0.35;6.95
