ID;PlantProtectionProducts;Periods;SalesActiveIngredient_1;SalesActiveIngredientIndexnumber_2
0;Total of all active subtances;2010;9545.0;87.0
1;Total of all active subtances;2011;10919.0;100.0
2;Total of all active subtances;2012;11318.0;104.0
3;Total of all active subtances;2013;10692.0;98.0
4;Total of all active subtances;2014;10626.0;97.0
5;Total of all active subtances;2015;10008.0;92.0
6;Total of all active subtances;2016;10770.0;99.0
7;Total of all active subtances;2017;10566.0;97.0
8;Total of all active subtances;2018;9403.0;86.0
9;Total of all active subtances;2019;9216.0;84.0
10;Total of all active subtances;2020;9884.0;91.0
11;Total of all active subtances;2021;9397.0;86.0
12;Total of all active subtances;2022;8991.0;82.0
13;Total of all active subtances;2023;7506.0;69.0
14;F Fungicides and bactericides;2010;3641.0;86.0
15;F Fungicides and bactericides;2011;4247.0;100.0
16;F Fungicides and bactericides;2012;4657.0;110.0
17;F Fungicides and bactericides;2013;4322.0;102.0
18;F Fungicides and bactericides;2014;4897.0;115.0
19;F Fungicides and bactericides;2015;4411.0;104.0
20;F Fungicides and bactericides;2016;4868.0;115.0
21;F Fungicides and bactericides;2017;4722.0;111.0
22;F Fungicides and bactericides;2018;4291.0;101.0
23;F Fungicides and bactericides;2019;3886.0;92.0
24;F Fungicides and bactericides;2020;4001.0;94.0
25;F Fungicides and bactericides;2021;3302.0;78.0
26;F Fungicides and bactericides;2022;2968.0;70.0
27;F Fungicides and bactericides;2023;2481.0;58.0
28;H Herbs and mosses. Inclusive haulm...;2010;2636.0;88.0
29;H Herbs and mosses. Inclusive haulm...;2011;3011.0;100.0
30;H Herbs and mosses. Inclusive haulm...;2012;3029.0;101.0
31;H Herbs and mosses. Inclusive haulm...;2013;2751.0;91.0
32;H Herbs and mosses. Inclusive haulm...;2014;3247.0;108.0
33;H Herbs and mosses. Inclusive haulm...;2015;2865.0;95.0
34;H Herbs and mosses. Inclusive haulm...;2016;2733.0;91.0
35;H Herbs and mosses. Inclusive haulm...;2017;2883.0;96.0
36;H Herbs and mosses. Inclusive haulm...;2018;2961.0;98.0
37;H Herbs and mosses. Inclusive haulm...;2019;2721.0;90.0
38;H Herbs and mosses. Inclusive haulm...;2020;2622.0;87.0
39;H Herbs and mosses. Inclusive haulm...;2021;2588.0;86.0
40;H Herbs and mosses. Inclusive haulm...;2022;2708.0;90.0
41;H Herbs and mosses. Inclusive haulm...;2023;2414.0;80.0
42;I Insecticides and acaricides;2010;1705.0;90.0
43;I Insecticides and acaricides;2011;1903.0;100.0
44;I Insecticides and acaricides;2012;1869.0;98.0
45;I Insecticides and acaricides;2013;1663.0;87.0
46;I Insecticides and acaricides;2014;1722.0;90.0
47;I Insecticides and acaricides;2015;2229.0;117.0
48;I Insecticides and acaricides;2016;2608.0;137.0
49;I Insecticides and acaricides;2017;2491.0;131.0
50;I Insecticides and acaricides;2018;1627.0;85.0
