ID;BedrijfstakkenBranchesSBI2008;Perioden;Waarde_1;Volume_2;Waarde_3;Volume_4;Waarde_5;Volume_6;Waarde_7;Volume_8;Waarde_9;Volume_10;Waarde_11;Volume_12
0;Detailhandel geen apotheken;2005 januari;85.2;91.4;-2.8;-1.2;;;;;82.7;87.5;-6.9;-4.7
1;Detailhandel geen apotheken;2005 februari;80.1;84.7;-1.7;-0.7;;;;;79.5;82.9;-2.4;-0.6
2;Detailhandel geen apotheken;2005 maart;93.2;97.0;-1.0;-0.3;;;;;94.1;96.2;1.3;2.9
3;Detailhandel geen apotheken;2005 1e kwartaal;86.2;91.0;-1.8;-0.7;93.1;97.6;0.6;0.6;85.4;88.9;-2.6;-0.8
4;Detailhandel geen apotheken;2005 april;93.1;97.0;-2.9;-2.0;;;;;94.4;96.6;-2.4;-0.7
5;Detailhandel geen apotheken;2005 mei;96.0;100.2;-2.7;-1.5;;;;;92.8;95.1;-3.9;-2.0
6;Detailhandel geen apotheken;2005 juni;97.2;102.4;1.1;1.9;;;;;98.0;101.6;2.1;3.6
7;Detailhandel geen apotheken;2005 2e kwartaal;95.5;99.9;-1.5;-0.5;92.6;97.8;-0.5;0.2;95.1;97.7;-1.4;0.3
8;Detailhandel geen apotheken;2005 juli;93.7;100.3;0.1;0.7;;;;;94.1;99.3;-1.9;-0.6
9;Detailhandel geen apotheken;2005 augustus;90.2;95.6;1.1;1.5;;;;;89.7;94.0;3.8;5.1
10;Detailhandel geen apotheken;2005 september;94.4;97.7;2.0;2.3;;;;;96.0;98.2;3.2;4.3
11;Detailhandel geen apotheken;2005 3e kwartaal;92.8;97.8;1.1;1.5;94.4;99.0;1.9;1.2;93.3;97.2;1.6;2.8
12;Detailhandel geen apotheken;2005 oktober;98.8;102.2;3.2;3.4;;;;;97.6;100.0;1.6;2.7
13;Detailhandel geen apotheken;2005 november;96.6;100.4;3.6;3.7;;;;;96.8;99.6;5.2;6.1
14;Detailhandel geen apotheken;2005 december;110.7;116.2;4.0;3.5;;;;;113.5;118.3;4.4;4.5
15;Detailhandel geen apotheken;2005 4e kwartaal;102.0;106.3;3.6;3.5;96.2;100.6;1.9;1.6;102.6;105.9;3.7;4.4
16;Detailhandel geen apotheken;2005;94.1;98.8;0.4;1.0;94.1;98.8;0.4;1.0;94.1;97.4;0.4;1.8
17;Detailhandel geen apotheken;2006 januari;90.4;96.2;6.1;5.2;;;;;87.7;92.6;6.1;5.8
