ID;GemeentelijkeTaakvelden;Regiokenmerken;Perioden;Baten_1;Lasten_2;Saldo_3;Baten_4;Lasten_5;Saldo_6
0;Totaal gemeentelijke taakvelden;Nederland;2017;56134;56133;0;3285;3285;0
1;Totaal gemeentelijke taakvelden;Nederland;2018;57739;57739;0;3360;3360;0
2;Totaal gemeentelijke taakvelden;Nederland;2019;59926;59927;0;3467;3467;0
3;Totaal gemeentelijke taakvelden;Nederland;2020;62656;62656;0;3599;3599;0
4;Totaal gemeentelijke taakvelden;Nederland;2021;64474;64474;0;3690;3690;0
5;Totaal gemeentelijke taakvelden;Nederland;2022;66793;66793;0;3797;3797;0
6;Totaal gemeentelijke taakvelden;Nederland;2023;71524;71524;0;4015;4015;0
7;Totaal gemeentelijke taakvelden;Nederland;2024;77613;77613;0;4324;4324;0
8;Totaal gemeentelijke taakvelden;Nederland;2025;83917;83916;0;4650;4650;0
9;Totaal gemeentelijke taakvelden;Noord-Nederland (LD);2017;5788;5788;0;3361;3361;0
10;Totaal gemeentelijke taakvelden;Noord-Nederland (LD);2018;5890;5890;0;3419;3419;0
11;Totaal gemeentelijke taakvelden;Noord-Nederland (LD);2019;5982;5982;0;3470;3470;0
12;Totaal gemeentelijke taakvelden;Noord-Nederland (LD);2020;6132;6132;0;3545;3545;0
13;Totaal gemeentelijke taakvelden;Noord-Nederland (LD);2021;6259;6259;0;3611;3611;0
14;Totaal gemeentelijke taakvelden;Noord-Nederland (LD);2022;6636;6636;0;3810;3810;0
15;Totaal gemeentelijke taakvelden;Noord-Nederland (LD);2023;7093;7093;0;4035;4035;0
16;Totaal gemeentelijke taakvelden;Noord-Nederland (LD);2024;7682;7682;0;4346;4346;0
17;Totaal gemeentelijke taakvelden;Noord-Nederland (LD);2025;8249;8249;0;4650;4650;0
18;Totaal gemeentelijke taakvelden;Oost-Nederland (LD);2017;10768;10768;0;2988;2988;0
19;Totaal gemeentelijke taakvelden;Oost-Nederland (LD);2018;11237;11237;0;3101;3101;0
20;Totaal gemeentelijke taakvelden;Oost-Nederland (LD);2019;11776;11776;0;3231;3231;0
21;Totaal gemeentelijke taakvelden;Oost-Nederland (LD);2020;12175;12176;0;3316;3316;0
22;Totaal gemeentelijke taakvelden;Oost-Nederland (LD);2021;12335;12335;0;3341;3341;0
23;Totaal gemeentelijke taakvelden;Oost-Nederland (LD);2022;12932;12932;0;3479;3479;0
24;Totaal gemeentelijke taakvelden;Oost-Nederland (LD);2023;14019;14019;0;3725;3725;0
25;Totaal gemeentelijke taakvelden;Oost-Nederland (LD);2024;15201;15201;0;4012;4012;0
26;Totaal gemeentelijke taakvelden;Oost-Nederland (LD);2025;16520;16520;0;4332;4332;0
27;Totaal gemeentelijke taakvelden;West-Nederland (LD);2017;28593;28593;0;3516;3516;0
28;Totaal gemeentelijke taakvelden;West-Nederland (LD);2018;29270;29270;0;3573;3573;0
29;Totaal gemeentelijke taakvelden;West-Nederland (LD);2019;30294;30294;0;3671;3671;0
30;Totaal gemeentelijke taakvelden;West-Nederland (LD);2020;32179;32179;0;3865;3865;0
31;Totaal gemeentelijke taakvelden;West-Nederland (LD);2021;33573;33573;0;4016;4016;0
32;Totaal gemeentelijke taakvelden;West-Nederland (LD);2022;34376;34376;0;4082;4082;0
33;Totaal gemeentelijke taakvelden;West-Nederland (LD);2023;36535;36535;0;4278;4278;0
34;Totaal gemeentelijke taakvelden;West-Nederland (LD);2024;39683;39683;0;4607;4607;0
35;Totaal gemeentelijke taakvelden;West-Nederland (LD);2025;43035;43035;0;4971;4971;0
36;Totaal gemeentelijke taakvelden;Zuid-Nederland (LD);2017;10985;10985;0;3025;3026;0
37;Totaal gemeentelijke taakvelden;Zuid-Nederland (LD);2018;11342;11342;0;3111;3111;0
