ID;Perioden;Consumentenvertrouwen_1;EconomischKlimaat_2;Koopbereidheid_3;EconomischeSituatieLaatste12Maanden_4;EconomischeSituatieKomende12Maanden_5;FinancieleSituatieLaatste12Maanden_6;FinancieleSituatieKomende12Maanden_7;GunstigeTijdVoorGroteAankopen_8
0;1986 april;2;6;0;6;5;0;1;-1
1;1986 mei;8;17;1;17;16;1;5;-2
2;1986 juni;15;33;3;35;30;2;11;-5
3;1986 juli;20;45;4;49;41;4;12;-6
4;1986 augustus;21;47;4;53;41;7;14;-7
5;1986 september;21;45;5;52;39;7;17;-8
6;1986 oktober;21;45;6;52;39;8;17;-8
7;1986 november;21;44;5;50;38;7;19;-10
8;1986 december;20;43;5;49;37;6;19;-12
9;1987 januari;22;45;6;51;39;8;20;-10
10;1987 februari;23;45;8;51;39;10;22;-8
11;1987 maart;22;43;8;49;37;11;22;-9
12;1987 april;10;15;7;23;7;10;15;-3
13;1987 mei;1;-2;4;3;-8;8;11;-7
14;1987 juni;-2;-10;3;-7;-14;8;9;-6
15;1987 juli;-3;-13;4;-9;-17;8;10;-4
16;1987 augustus;2;-3;5;-1;-5;7;12;-4
17;1987 september;11;19;6;18;19;8;16;-6
18;1987 oktober;6;9;4;11;6;7;14;-10
19;1987 november;4;4;3;9;-2;8;12;-10
20;1987 december;1;-2;3;4;-8;8;11;-11
21;1988 januari;-3;-13;4;-7;-19;10;10;-9
22;1988 februari;-3;-14;5;-10;-18;9;12;-7
23;1988 maart;1;-8;7;-4;-13;11;13;-4
24;1988 april;5;2;7;3;1;11;16;-5
25;1988 mei;6;4;7;4;4;10;16;-5
26;1988 juni;6;4;7;5;4;11;16;-5
27;1988 juli;9;10;9;11;10;11;18;-3
28;1988 augustus;15;20;11;21;19;13;21;-1
29;1988 september;13;16;10;19;14;13;20;-1
30;1988 oktober;14;22;9;24;21;11;19;-3
31;1988 november;18;29;11;30;28;14;21;-2
32;1988 december;18;32;8;33;31;12;20;-6
33;1989 januari;20;34;10;37;31;14;20;-3
34;1989 februari;18;31;9;35;27;13;19;-4
35;1989 maart;20;33;12;38;29;16;19;0
36;1989 april;20;32;11;37;27;16;19;-1
37;1989 mei;17;26;11;33;19;16;17;0
38;1989 juni;19;28;14;34;22;18;20;3
39;1989 juli;23;35;15;40;29;20;22;4
40;1989 augustus;23;34;16;38;30;20;24;4
41;1989 september;23;34;16;38;30;20;24;4
42;1989 oktober;24;35;17;40;29;21;26;5
43;1989 november;25;36;17;41;32;22;27;3
44;1989 december;24;34;17;38;31;22;27;3
45;1990 januari;23;34;16;37;31;20;26;2
46;1990 februari;19;26;14;30;23;20;23;0
47;1990 maart;19;26;14;31;20;22;24;-3
48;1990 april;18;22;15;30;15;24;23;-3
49;1990 mei;16;17;15;24;10;25;22;-2
50;1990 juni;15;14;15;19;9;25;21;-2
51;1990 juli;15;13;17;18;9;28;21;2
52;1990 augustus;15;10;19;20;-1;29;21;6
53;1990 september;9;-4;17;10;-17;27;18;5
54;1990 oktober;2;-17;15;-3;-31;26;15;4
55;1990 november;-5;-31;12;-18;-44;23;12;0
56;1990 december;-6;-32;12;-21;-43;23;12;2
57;1991 januari;-7;-32;10;-16;-49;21;11;-1
58;1991 februari;-11;-38;7;-21;-55;18;9;-7
59;1991 maart;-7;-27;6;-22;-33;14;10;-6
60;1991 april;-8;-28;6;-25;-30;13;11;-7
61;1991 mei;-5;-23;8;-22;-24;13;13;-4
62;1991 juni;-4;-23;8;-22;-23;14;13;-3
63;1991 juli;-7;-27;6;-27;-26;12;11;-5
64;1991 augustus;-9;-30;4;-31;-30;10;10;-6
65;1991 september;-11;-34;4;-34;-33;10;9;-7
66;1991 oktober;-15;-41;3;-40;-42;10;6;-8
67;1991 november;-14;-41;4;-41;-42;11;7;-4
68;1991 december;-12;-38;6;-36;-39;13;9;-4
69;1992 januari;-12;-38;6;-35;-41;13;8;-5
70;1992 februari;-14;-40;3;-40;-41;7;8;-6
71;1992 maart;-14;-39;3;-39;-38;6;10;-7
72;1992 april;-14;-38;3;-40;-36;5;11;-8
73;1992 mei;-12;-35;3;-38;-32;5;12;-8
74;1992 juni;-7;-27;6;-30;-23;7;15;-5
75;1992 juli;-3;-18;8;-22;-14;8;17;-2
76;1992 augustus;-2;-18;9;-22;-14;9;18;-2
77;1992 september;-3;-21;9;-23;-20;12;18;-2
78;1992 oktober;-5;-25;8;-26;-24;12;16;-2
79;1992 november;-10;-37;8;-36;-38;12;13;-3
80;1992 december;-16;-48;5;-49;-48;11;10;-6
81;1993 januari;-17;-47;4;-51;-44;10;9;-7
82;1993 februari;-20;-53;2;-60;-46;7;8;-10
