ID;SoortRijksmonument;RegioS;Perioden;Rijksmonumenten_1
0;Rijksmonumenten totaal;Nederland;2013;61730
1;Rijksmonumenten totaal;Nederland;2014;61768
2;Rijksmonumenten totaal;Nederland;2015;61847
3;Rijksmonumenten totaal;Nederland;2016;61959
4;Rijksmonumenten totaal;Noord-Nederland (LD);2013;8009
5;Rijksmonumenten totaal;Noord-Nederland (LD);2014;8005
6;Rijksmonumenten totaal;Noord-Nederland (LD);2015;7996
7;Rijksmonumenten totaal;Noord-Nederland (LD);2016;7992
8;Rijksmonumenten totaal;Oost-Nederland (LD);2013;10114
9;Rijksmonumenten totaal;Oost-Nederland (LD);2014;10170
10;Rijksmonumenten totaal;Oost-Nederland (LD);2015;10213
11;Rijksmonumenten totaal;Oost-Nederland (LD);2016;10215
12;Rijksmonumenten totaal;West-Nederland (LD);2013;28763
13;Rijksmonumenten totaal;West-Nederland (LD);2014;28767
14;Rijksmonumenten totaal;West-Nederland (LD);2015;28783
15;Rijksmonumenten totaal;West-Nederland (LD);2016;28902
16;Rijksmonumenten totaal;Zuid-Nederland (LD);2013;14844
17;Rijksmonumenten totaal;Zuid-Nederland (LD);2014;14826
18;Rijksmonumenten totaal;Zuid-Nederland (LD);2015;14855
19;Rijksmonumenten totaal;Zuid-Nederland (LD);2016;14850
20;Rijksmonumenten totaal;Groningen (PV);2013;2556
21;Rijksmonumenten totaal;Groningen (PV);2014;2556
22;Rijksmonumenten totaal;Groningen (PV);2015;2557
23;Rijksmonumenten totaal;Groningen (PV);2016;2557
24;Rijksmonumenten totaal;Friesland (PV);2013;4169
25;Rijksmonumenten totaal;Friesland (PV);2014;4158
26;Rijksmonumenten totaal;Friesland (PV);2015;4157
27;Rijksmonumenten totaal;Friesland (PV);2016;4153
28;Rijksmonumenten totaal;Drenthe (PV);2013;1284
29;Rijksmonumenten totaal;Drenthe (PV);2014;1291
30;Rijksmonumenten totaal;Drenthe (PV);2015;1282
31;Rijksmonumenten totaal;Drenthe (PV);2016;1282
32;Rijksmonumenten totaal;Overijssel (PV);2013;3945
33;Rijksmonumenten totaal;Overijssel (PV);2014;3943
34;Rijksmonumenten totaal;Overijssel (PV);2015;3943
35;Rijksmonumenten totaal;Overijssel (PV);2016;3943
36;Rijksmonumenten totaal;Flevoland (PV);2013;79
37;Rijksmonumenten totaal;Flevoland (PV);2014;81
38;Rijksmonumenten totaal;Flevoland (PV);2015;81
39;Rijksmonumenten totaal;Flevoland (PV);2016;82
40;Rijksmonumenten totaal;Gelderland (PV);2013;6169
41;Rijksmonumenten totaal;Gelderland (PV);2014;6227
42;Rijksmonumenten totaal;Gelderland (PV);2015;6270
