ID;Geslacht;Leeftijd;HoogstBehaaldOpleidingsniveau;Perioden;BeroepsEnNietBeroepsbevolking_1;Beroepsbevolking_2;WerkzameBeroepsbevolking_3;Werknemer_4;WerknemerMetVasteArbeidsrelatie_5;WerknemerMetFlexibeleArbeidsrelatie_6;Zelfstandige_7;ZelfstandigeZonderPersoneelZzp_8;ZelfstandigeMetPersoneel_9;MeewerkendGezinslid_10;PositieInDeWerkkringOnbekend_11;Deeltijd_12;k_12Tot20UurPerWeek_13;k_20Tot35UurPerWeek_14;k_20Tot28UurPerWeek_15;k_28Tot35UurPerWeek_16;Voltijd_17;WerklozeBeroepsbevolking_18;Werkloosheidspercentage_19;NietBeroepsbevolking_20;BrutoArbeidsparticipatie_21;NettoArbeidsparticipatie_22
0;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2003 1e kwartaal;12100.0;7325.0;6907.0;6013.0;5288.0;725.0;894.0;537.0;315.0;42.0;0.0;2469.0;655.0;1815.0;916.0;898.0;4437.0;418.0;5.7;4776.0;60.5;57.1
1;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2003 2e kwartaal;12111.0;7367.0;6915.0;6032.0;5317.0;715.0;883.0;535.0;310.0;38.0;0.0;2509.0;675.0;1834.0;927.0;907.0;4406.0;453.0;6.1;4744.0;60.8;57.1
2;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2003 3e kwartaal;12122.0;7454.0;6985.0;6103.0;5337.0;766.0;882.0;540.0;310.0;32.0;0.0;2565.0;683.0;1882.0;948.0;934.0;4420.0;470.0;6.3;4667.0;61.5;57.6
3;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2003 4e kwartaal;12132.0;7385.0;6911.0;6025.0;5329.0;696.0;886.0;541.0;313.0;32.0;0.0;2536.0;674.0;1863.0;932.0;931.0;4375.0;474.0;6.4;4747.0;60.9;57.0
4;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2003;12116.0;7383.0;6929.0;6043.0;5318.0;725.0;886.0;538.0;312.0;36.0;0.0;2520.0;671.0;1849.0;931.0;918.0;4409.0;453.0;6.1;4734.0;60.9;57.2
5;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2004 1e kwartaal;12142.0;7401.0;6858.0;5964.0;5296.0;668.0;894.0;545.0;317.0;32.0;0.0;2525.0;666.0;1858.0;927.0;931.0;4333.0;543.0;7.3;4741.0;61.0;56.5
6;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2004 2e kwartaal;12151.0;7445.0;6901.0;5985.0;5288.0;698.0;915.0;560.0;321.0;34.0;0.0;2562.0;687.0;1875.0;950.0;924.0;4339.0;544.0;7.3;4706.0;61.3;56.8
7;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2004 3e kwartaal;12160.0;7492.0;6972.0;6058.0;5284.0;774.0;915.0;563.0;318.0;34.0;0.0;2580.0;697.0;1883.0;958.0;925.0;4393.0;520.0;6.9;4668.0;61.6;57.3
8;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2004 4e kwartaal;12169.0;7419.0;6902.0;5993.0;5270.0;722.0;910.0;556.0;320.0;34.0;0.0;2549.0;686.0;1863.0;949.0;914.0;4354.0;517.0;7.0;4750.0;61.0;56.7
9;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2004;12155.0;7439.0;6908.0;6000.0;5285.0;715.0;908.0;556.0;319.0;33.0;0.0;2554.0;684.0;1870.0;946.0;923.0;4355.0;531.0;7.1;4716.0;61.2;56.8
10;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2005 1e kwartaal;12178.0;7420.0;6853.0;5931.0;5235.0;696.0;921.0;570.0;316.0;34.0;1.0;2543.0;686.0;1857.0;950.0;907.0;4310.0;566.0;7.6;4758.0;60.9;56.3
11;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2005 2e kwartaal;12186.0;7484.0;6936.0;5997.0;5263.0;734.0;938.0;576.0;323.0;39.0;1.0;2589.0;696.0;1893.0;966.0;926.0;4347.0;549.0;7.3;4701.0;61.4;56.9
12;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2005 3e kwartaal;12194.0;7543.0;7012.0;6080.0;5270.0;810.0;930.0;568.0;326.0;36.0;1.0;2634.0;711.0;1923.0;970.0;953.0;4378.0;532.0;7.0;4651.0;61.9;57.5
13;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2005 4e kwartaal;12202.0;7488.0;6982.0;6049.0;5258.0;791.0;932.0;577.0;320.0;34.0;1.0;2632.0;708.0;1924.0;962.0;962.0;4350.0;506.0;6.8;4714.0;61.4;57.2
14;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2005;12190.0;7484.0;6946.0;6014.0;5257.0;758.0;930.0;573.0;322.0;36.0;1.0;2599.0;700.0;1899.0;962.0;937.0;4346.0;538.0;7.2;4706.0;61.4;57.0
15;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2006 1e kwartaal;12210.0;7489.0;6968.0;6014.0;5259.0;755.0;953.0;597.0;320.0;36.0;0.0;2636.0;700.0;1935.0;962.0;973.0;4332.0;522.0;7.0;4721.0;61.3;57.1
16;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2006 2e kwartaal;12217.0;7507.0;7029.0;6073.0;5280.0;793.0;957.0;600.0;324.0;33.0;0.0;2645.0;706.0;1940.0;965.0;975.0;4384.0;477.0;6.4;4710.0;61.4;57.5
17;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2006 3e kwartaal;12224.0;7593.0;7143.0;6174.0;5271.0;903.0;968.0;604.0;331.0;34.0;1.0;2685.0;716.0;1970.0;972.0;997.0;4458.0;450.0;5.9;4631.0;62.1;58.4
18;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2006 4e kwartaal;12231.0;7573.0;7138.0;6152.0;5276.0;876.0;985.0;619.0;331.0;36.0;1.0;2683.0;708.0;1975.0;986.0;989.0;4455.0;434.0;5.7;4659.0;61.9;58.4
19;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2006;12221.0;7540.0;7070.0;6103.0;5272.0;832.0;966.0;605.0;327.0;34.0;0.0;2662.0;707.0;1955.0;971.0;984.0;4407.0;471.0;6.2;4680.0;61.7;57.8
20;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2007 1e kwartaal;12240.0;7611.0;7155.0;6147.0;5282.0;865.0;1007.0;635.0;335.0;37.0;1.0;2693.0;706.0;1986.0;996.0;991.0;4462.0;456.0;6.0;4629.0;62.2;58.5
21;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2007 2e kwartaal;12251.0;7677.0;7270.0;6247.0;5304.0;944.0;1022.0;646.0;338.0;38.0;1.0;2765.0;740.0;2025.0;1019.0;1006.0;4505.0;407.0;5.3;4574.0;62.7;59.3
22;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2007 3e kwartaal;12263.0;7766.0;7381.0;6351.0;5317.0;1035.0;1029.0;652.0;340.0;37.0;1.0;2838.0;752.0;2086.0;1061.0;1025.0;4543.0;385.0;5.0;4497.0;63.3;60.2
23;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2007 4e kwartaal;12274.0;7711.0;7347.0;6317.0;5349.0;968.0;1030.0;662.0;334.0;34.0;0.0;2840.0;744.0;2096.0;1044.0;1053.0;4507.0;364.0;4.7;4562.0;62.8;59.9
24;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2007;12257.0;7691.0;7288.0;6266.0;5313.0;953.0;1022.0;649.0;337.0;36.0;1.0;2784.0;736.0;2048.0;1030.0;1019.0;4504.0;403.0;5.2;4566.0;62.8;59.5
25;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2008 1e kwartaal;12288.0;7766.0;7376.0;6324.0;5367.0;958.0;1051.0;679.0;341.0;31.0;0.0;2873.0;731.0;2142.0;1083.0;1059.0;4503.0;390.0;5.0;4522.0;63.2;60.0
26;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2008 2e kwartaal;12306.0;7842.0;7476.0;6406.0;5410.0;996.0;1070.0;701.0;340.0;29.0;1.0;2897.0;756.0;2141.0;1076.0;1065.0;4579.0;366.0;4.7;4464.0;63.7;60.8
27;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2008 3e kwartaal;12324.0;7910.0;7565.0;6479.0;5441.0;1038.0;1085.0;720.0;334.0;32.0;1.0;2940.0;749.0;2191.0;1101.0;1089.0;4625.0;346.0;4.4;4414.0;64.2;61.4
28;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2008 4e kwartaal;12342.0;7868.0;7526.0;6437.0;5449.0;988.0;1089.0;729.0;330.0;30.0;0.0;2922.0;722.0;2199.0;1105.0;1094.0;4604.0;342.0;4.4;4474.0;63.8;61.0
29;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2008;12315.0;7847.0;7486.0;6412.0;5417.0;995.0;1074.0;707.0;336.0;30.0;0.0;2908.0;740.0;2168.0;1091.0;1077.0;4578.0;361.0;4.6;4468.0;63.7;60.8
30;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2009 1e kwartaal;12356.0;7901.0;7498.0;6399.0;5444.0;955.0;1099.0;730.0;339.0;30.0;0.0;2951.0;730.0;2222.0;1112.0;1109.0;4547.0;403.0;5.1;4455.0;63.9;60.7
31;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal;2009 2e kwartaal;12366.0;7926.0;7498.0;6400.0;5429.0;972.0;1097.0;742.0;325.0;29.0;1.0;2986.0;746.0;2239.0;1113.0;1126.0;4512.0;428.0;5.4;4441.0;64.1;60.6
