ID;KenmerkenVanHuishoudens;Perioden;ParticuliereHuishoudens_1;GemiddeldBesteedbaarInkomen_2;GemiddeldGestandaardiseerdInkomen_3;GemiddeldBesteedBedrag_4;MediaanVermogen_5;HuishoudensMetLaagInkomen_6;OngelijkheidInkomen_7;OngelijkheidVermogen_8
0;Particuliere huishoudens;2011;7347.6;36.6;25.6;;31.8;6.9;0.286;0.777
1;Particuliere huishoudens;2012;7412.1;36.8;25.8;;25.1;8.0;0.288;0.791
2;Particuliere huishoudens;2013;7467.8;37.0;25.9;;17.2;8.9;0.288;0.818
3;Particuliere huishoudens;2014;7496.4;39.0;27.3;;17.3;8.5;0.302;0.818
4;Particuliere huishoudens;2015;7568.5;38.6;27.1;33.8;20.9;8.2;0.288;0.814
5;Particuliere huishoudens;2016;7623.2;40.2;28.2;;23.5;7.9;0.289;0.808
6;Particuliere huishoudens;2017;7694.9;41.6;29.2;;30.2;7.9;0.296;0.8
7;Particuliere huishoudens;2018;7760.6;42.5;29.5;;39.4;7.9;0.29;0.789
8;Particuliere huishoudens;2019;7827.4;45.7;31.6;;52.4;7.5;0.306;0.774
9;Particuliere huishoudens;2020;7894.5;46.4;32.1;35.2;65.3;6.8;0.292;0.766
10;Particuliere huishoudens;2021;7951.4;48.5;33.6;;88.4;6.3;0.292;0.74
11;Particuliere huishoudens;2022;8041.4;51.2;35.6;;135.3;4.2;0.288;0.719
12;Particuliere huishoudens;2023;8156.9;55.0;38.3;;133.3;3.8;0.288;0.723
13;Type: Eenpersoonshuishouden;2011;2623.5;20.6;20.6;;8.4;11.8;0.301;0.826
14;Type: Eenpersoonshuishouden;2012;2673.3;20.9;20.9;;7.0;13.6;0.303;0.833
15;Type: Eenpersoonshuishouden;2013;2713.4;21.0;21.0;;4.7;15.1;0.303;0.846
16;Type: Eenpersoonshuishouden;2014;2721.7;21.9;21.9;;4.7;14.7;0.309;0.85
17;Type: Eenpersoonshuishouden;2015;2782.7;22.0;22.0;22.2;6.5;14.2;0.303;0.841
18;Type: Eenpersoonshuishouden;2016;2820.4;22.6;22.7;;7.0;13.9;0.301;0.839
19;Type: Eenpersoonshuishouden;2017;2872.5;23.2;23.2;;8.3;14.3;0.303;0.833
20;Type: Eenpersoonshuishouden;2018;2910.1;23.6;23.7;;9.7;13.9;0.3;0.828
21;Type: Eenpersoonshuishouden;2019;2949.8;25.1;25.1;;11.2;13.4;0.307;0.819
22;Type: Eenpersoonshuishouden;2020;2985.9;25.7;25.7;23.6;12.6;12.0;0.299;0.814
23;Type: Eenpersoonshuishouden;2021;3014.0;26.9;26.9;;15.7;11.3;0.298;0.798
24;Type: Eenpersoonshuishouden;2022;3085.0;28.5;28.6;;18.0;6.7;0.288;0.789
25;Type: Eenpersoonshuishouden;2023;3164.0;30.5;30.6;;17.7;5.9;0.286;0.79
26;Type: Meerpersoonshuishouden;2011;4724.0;45.5;28.3;;69.2;4.4;0.263;0.746
27;Type: Meerpersoonshuishouden;2012;4738.8;45.7;28.5;;55.1;5.1;0.264;0.764
28;Type: Meerpersoonshuishouden;2013;4754.4;46.1;28.7;;38.3;5.7;0.264;0.797
29;Type: Meerpersoonshuishouden;2014;4774.7;48.7;30.4;;38.1;5.4;0.283;0.795
30;Type: Meerpersoonshuishouden;2015;4785.8;48.3;30.1;40.5;44.3;5.1;0.264;0.793
31;Type: Meerpersoonshuishouden;2016;4802.8;50.4;31.5;;50.8;4.7;0.266;0.784
32;Type: Meerpersoonshuishouden;2017;4822.4;52.5;32.7;;63.1;4.5;0.273;0.775
33;Type: Meerpersoonshuishouden;2018;4850.5;53.9;32.9;;79.1;4.5;0.268;0.76
34;Type: Meerpersoonshuishouden;2019;4877.5;58.2;35.6;;98.9;4.2;0.287;0.741
35;Type: Meerpersoonshuishouden;2020;4908.6;59.1;36.0;42.2;117.8;3.8;0.269;0.731
36;Type: Meerpersoonshuishouden;2021;4937.4;61.7;37.7;;150.2;3.5;0.269;0.699
37;Type: Meerpersoonshuishouden;2022;4956.4;65.4;40.0;;217.1;2.7;0.267;0.67
38;Type: Meerpersoonshuishouden;2023;4992.9;70.6;43.1;;220.3;2.6;0.267;0.673
39;Type: Eenoudergezin;2011;472.2;30.0;20.5;;3.9;15.6;0.256;0.845
40;Type: Eenoudergezin;2012;485.9;30.1;20.6;;3.1;18.3;0.264;0.852
41;Type: Eenoudergezin;2013;496.9;30.3;20.7;;1.9;20.6;0.261;0.869
42;Type: Eenoudergezin;2014;510.9;31.4;21.5;;1.7;19.5;0.266;0.869
43;Type: Eenoudergezin;2015;518.2;31.9;21.9;29.6;2.5;17.5;0.252;0.864
44;Type: Eenoudergezin;2016;531.0;33.3;22.8;;2.9;16.3;0.254;0.862
45;Type: Eenoudergezin;2017;534.5;34.6;23.6;;3.9;15.3;0.253;0.869
46;Type: Eenoudergezin;2018;544.8;35.7;24.1;;5.2;14.3;0.248;0.861
47;Type: Eenoudergezin;2019;554.8;38.1;25.7;;7.0;12.9;0.258;0.837
48;Type: Eenoudergezin;2020;562.0;39.4;26.5;33.4;8.9;11.2;0.253;0.827
49;Type: Eenoudergezin;2021;566.3;41.3;27.8;;12.8;10.1;0.253;0.808
50;Type: Eenoudergezin;2022;569.3;44.0;29.6;;16.7;6.9;0.245;0.792
51;Type: Eenoudergezin;2023;581.8;48.1;32.3;;16.2;5.7;0.242;0.791
52;Type: Paar, totaal;2011;4105.7;47.1;29.3;;84.9;3.1;0.257;0.732
53;Type: Paar, totaal;2012;4109.0;47.4;29.5;;70.1;3.6;0.257;0.751
54;Type: Paar, totaal;2013;4115.7;47.8;29.8;;50.4;3.9;0.257;0.786
55;Type: Paar, totaal;2014;4122.7;50.7;31.6;;50.3;3.7;0.277;0.784
56;Type: Paar, totaal;2015;4124.5;50.1;31.2;41.8;57.8;3.6;0.258;0.781
57;Type: Paar, totaal;2016;4129.1;52.4;32.6;;65.3;3.2;0.259;0.771
58;Type: Paar, totaal;2017;4139.4;54.5;33.9;;79.4;3.1;0.267;0.76
59;Type: Paar, totaal;2018;4157.1;55.9;34.1;;96.6;3.3;0.263;0.744
60;Type: Paar, totaal;2019;4174.2;60.6;36.9;;117.7;3.1;0.283;0.725
61;Type: Paar, totaal;2020;4196.8;61.4;37.3;43.5;137.9;2.9;0.264;0.714
62;Type: Paar, totaal;2021;4219.8;64.1;39.1;;172.2;2.6;0.264;0.68
63;Type: Paar, totaal;2022;4237.1;67.9;41.4;;242.7;2.2;0.263;0.649
64;Type: Paar, totaal;2023;4257.1;73.2;44.6;;247.5;2.2;0.264;0.653
65;Type: Paar, zonder kind;2011;2108.5;40.8;29.8;;97.0;2.3;0.265;0.719
66;Type: Paar, zonder kind;2012;2113.9;41.2;30.1;;87.4;2.7;0.265;0.73
67;Type: Paar, zonder kind;2013;2125.1;41.3;30.2;;73.7;3.0;0.265;0.757
68;Type: Paar, zonder kind;2014;2139.4;43.8;32.0;;75.3;2.8;0.285;0.754
69;Type: Paar, zonder kind;2015;2147.9;43.0;31.4;38.4;84.0;2.7;0.264;0.749
70;Type: Paar, zonder kind;2016;2159.3;44.5;32.6;;91.2;2.5;0.266;0.74
71;Type: Paar, zonder kind;2017;2171.1;46.3;33.8;;104.1;2.6;0.278;0.733
72;Type: Paar, zonder kind;2018;2191.0;47.0;33.6;;119.9;2.9;0.27;0.72
73;Type: Paar, zonder kind;2019;2207.7;50.7;36.3;;138.7;2.7;0.274;0.706
74;Type: Paar, zonder kind;2020;2227.5;51.0;36.4;38.4;156.7;2.6;0.254;0.701
75;Type: Paar, zonder kind;2021;2255.4;53.1;38.1;;186.9;2.5;0.272;0.673
76;Type: Paar, zonder kind;2022;2273.2;56.1;40.1;;250.7;1.9;0.272;0.651
77;Type: Paar, zonder kind;2023;2280.3;60.6;43.4;;255.4;1.9;0.276;0.656
78;Type: Paar, met kind(eren);2011;1997.2;53.7;28.7;;75.9;4.0;0.249;0.744
