ID;Geslacht;Persoonskenmerken;Perioden;BeroepsEnNietBeroepsbevolking_1;Beroepsbevolking_2;WerkzameBeroepsbevolking_3;WerklozeBeroepsbevolking_4;Werkloosheidspercentage_5;NietBeroepsbevolking_6;BrutoArbeidsparticipatie_7;NettoArbeidsparticipatie_8
0;Totaal mannen en vrouwen;Totaal personen;1969;8726.0;5236;5142;95;1.8;3490.0;60.0;58.9
1;Totaal mannen en vrouwen;Totaal personen;1970;8849.0;5311;5226;86;1.6;3538.0;60.0;59.1
2;Totaal mannen en vrouwen;Totaal personen;1971;8980.0;5385;5278;107;2.0;3595.0;60.0;58.8
3;Totaal mannen en vrouwen;Totaal personen;1972;9110.0;5455;5296;159;2.9;3655.0;59.9;58.1
4;Totaal mannen en vrouwen;Totaal personen;1973;9227.0;5505;5343;162;2.9;3722.0;59.7;57.9
5;Totaal mannen en vrouwen;Totaal personen;1974;9349.0;5586;5400;187;3.3;3763.0;59.7;57.8
6;Totaal mannen en vrouwen;Totaal personen;1975;9485.0;5670;5434;236;4.2;3815.0;59.8;57.3
7;Totaal mannen en vrouwen;Totaal personen;1976;9644.0;5752;5486;266;4.6;3892.0;59.6;56.9
8;Totaal mannen en vrouwen;Totaal personen;1977;9771.0;5806;5554;252;4.3;3965.0;59.4;56.8
9;Totaal mannen en vrouwen;Totaal personen;1978;9898.0;5862;5603;259;4.4;4036.0;59.2;56.6
10;Totaal mannen en vrouwen;Totaal personen;1979;10033.0;5967;5694;273;4.6;4066.0;59.5;56.8
11;Totaal mannen en vrouwen;Totaal personen;1980;10181.0;6041;5768;273;4.5;4140.0;59.3;56.7
12;Totaal mannen en vrouwen;Totaal personen;1981;10327.0;6125;5782;343;5.6;4202.0;59.3;56.0
13;Totaal mannen en vrouwen;Totaal personen;1982;10446.0;6190;5730;459;7.4;4256.0;59.3;54.9
14;Totaal mannen en vrouwen;Totaal personen;1983;10554.0;6277;5713;564;9.0;4277.0;59.5;54.1
15;Totaal mannen en vrouwen;Totaal personen;1984;10662.0;6297;5741;556;8.8;4365.0;59.1;53.8
16;Totaal mannen en vrouwen;Totaal personen;1985;10781.0;6356;5836;519;8.2;4425.0;59.0;54.1
17;Totaal mannen en vrouwen;Totaal personen;1986;10902.0;6440;5957;484;7.5;4462.0;59.1;54.6
18;Totaal mannen en vrouwen;Totaal personen;1987;11017.0;6611;6131;480;7.3;4406.0;60.0;55.7
19;Totaal mannen en vrouwen;Totaal personen;1988;11123.0;6688;6203;485;7.3;4435.0;60.1;55.8
20;Totaal mannen en vrouwen;Totaal personen;1989;11204.0;6814;6359;455;6.7;4390.0;60.8;56.8
21;Totaal mannen en vrouwen;Totaal personen;1990;11271.0;6950;6527;423;6.1;4321.0;61.7;57.9
22;Totaal mannen en vrouwen;Totaal personen;1991;11353.0;7022;6618;404;5.8;4331.0;61.9;58.3
23;Totaal mannen en vrouwen;Totaal personen;1992;11434.0;7128;6717;411;5.8;4306.0;62.3;58.7
24;Totaal mannen en vrouwen;Totaal personen;1993;11506.0;7195;6723;472;6.6;4311.0;62.5;58.4
25;Totaal mannen en vrouwen;Totaal personen;1994;11580.0;7307;6776;531;7.3;4273.0;63.1;58.5
26;Totaal mannen en vrouwen;Totaal personen;1995;11630.0;7426;6905;521;7.0;4204.0;63.9;59.4
27;Totaal mannen en vrouwen;Totaal personen;1996;11667.0;7583;7088;495;6.5;4084.0;65.0;60.8
28;Totaal mannen en vrouwen;Totaal personen;1997;11708.0;7714;7259;455;5.9;3994.0;65.9;62.0
29;Totaal mannen en vrouwen;Totaal personen;1998;11756.0;7831;7462;369;4.7;3925.0;66.6;63.5
30;Totaal mannen en vrouwen;Totaal personen;1999;11810.0;7940;7618;323;4.1;3870.0;67.2;64.5
31;Totaal mannen en vrouwen;Totaal personen;2000;11871.0;8038;7747;291;3.6;3833.0;67.7;65.3
32;Totaal mannen en vrouwen;Totaal personen;2001;11949.0;8114;7842;271;3.3;3835.0;67.9;65.6
