ID;Geslacht;Leeftijd;PrognoseInterval;Perioden;BevolkingOp1Januari_1
0;Totaal mannen en vrouwen;Totaal;Prognose;2018;17182442
1;Totaal mannen en vrouwen;Totaal;Prognose;2019;17262190
2;Totaal mannen en vrouwen;Totaal;Prognose;2020;17333820
3;Totaal mannen en vrouwen;Totaal;Prognose;2021;17400098
4;Totaal mannen en vrouwen;Totaal;Prognose;2022;17463978
5;Totaal mannen en vrouwen;Totaal;Prognose;2023;17526434
6;Totaal mannen en vrouwen;Totaal;Prognose;2024;17588264
7;Totaal mannen en vrouwen;Totaal;Prognose;2025;17649166
8;Totaal mannen en vrouwen;Totaal;Prognose;2026;17709660
9;Totaal mannen en vrouwen;Totaal;Prognose;2027;17768806
10;Totaal mannen en vrouwen;Totaal;Prognose;2028;17826010
11;Totaal mannen en vrouwen;Totaal;Prognose;2029;17881484
12;Totaal mannen en vrouwen;Totaal;Prognose;2030;17934678
13;Totaal mannen en vrouwen;Totaal;Prognose;2031;17985448
14;Totaal mannen en vrouwen;Totaal;Prognose;2032;18033282
15;Totaal mannen en vrouwen;Totaal;Prognose;2033;18077780
16;Totaal mannen en vrouwen;Totaal;Prognose;2034;18118892
17;Totaal mannen en vrouwen;Totaal;Prognose;2035;18156868
18;Totaal mannen en vrouwen;Totaal;Prognose;2036;18191384
19;Totaal mannen en vrouwen;Totaal;Prognose;2037;18222238
20;Totaal mannen en vrouwen;Totaal;Prognose;2038;18249390
21;Totaal mannen en vrouwen;Totaal;Prognose;2039;18272982
22;Totaal mannen en vrouwen;Totaal;Prognose;2040;18293320
23;Totaal mannen en vrouwen;Totaal;Prognose;2041;18310488
24;Totaal mannen en vrouwen;Totaal;Prognose;2042;18324676
25;Totaal mannen en vrouwen;Totaal;Prognose;2043;18336228
26;Totaal mannen en vrouwen;Totaal;Prognose;2044;18345510
27;Totaal mannen en vrouwen;Totaal;Prognose;2045;18352864
28;Totaal mannen en vrouwen;Totaal;Prognose;2046;18358348
29;Totaal mannen en vrouwen;Totaal;Prognose;2047;18362568
30;Totaal mannen en vrouwen;Totaal;Prognose;2048;18365832
31;Totaal mannen en vrouwen;Totaal;Prognose;2049;18368350
32;Totaal mannen en vrouwen;Totaal;Prognose;2050;18370350
33;Totaal mannen en vrouwen;Totaal;Prognose;2051;18372232
34;Totaal mannen en vrouwen;Totaal;Prognose;2052;18374314
35;Totaal mannen en vrouwen;Totaal;Prognose;2053;18377006
36;Totaal mannen en vrouwen;Totaal;Prognose;2054;18380546
37;Totaal mannen en vrouwen;Totaal;Prognose;2055;18385406
38;Totaal mannen en vrouwen;Totaal;Prognose;2056;18391890
39;Totaal mannen en vrouwen;Totaal;Prognose;2057;18400234
40;Totaal mannen en vrouwen;Totaal;Prognose;2058;18410570
41;Totaal mannen en vrouwen;Totaal;Prognose;2059;18423180
42;Totaal mannen en vrouwen;Totaal;Prognose;2060;18438032
43;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2018;17142706
44;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2019;17182784
45;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2020;17210122
46;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2021;17227202
47;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2022;17249196
48;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2023;17254192
49;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2024;17254454
50;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2025;17250010
51;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2026;17234334
52;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2027;17245052
53;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2028;17244874
54;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2029;17237022
55;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2030;17239996
56;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2031;17239490
57;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2032;17226642
58;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2033;17208252
59;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2034;17193884
60;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2035;17175052
61;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2036;17145824
62;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2037;17113620
63;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2038;17099684
64;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2039;17074486
65;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2040;17026868
66;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2041;16998044
67;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2042;16936344
68;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2043;16856996
69;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2044;16817722
70;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2045;16778250
71;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2046;16725073
72;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2047;16661073
73;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2048;16595486
74;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2049;16571458
75;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2050;16509117
76;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2051;16462403
77;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2052;16408746
78;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2053;16328251
79;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2054;16265766
80;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2055;16241610
81;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2056;16195032
82;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2057;16184203
83;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2058;16175488
84;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2059;16151215
85;Totaal mannen en vrouwen;Totaal;Ondergrens 95%-prognose-interval;2060;16117907
86;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2018;17222166
87;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2019;17344296
88;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2020;17467608
89;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2021;17590468
90;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2022;17707380
91;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2023;17822372
92;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2024;17951182
93;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2025;18075470
94;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2026;18175386
95;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2027;18300982
96;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2028;18402940
97;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2029;18520716
98;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2030;18642832
99;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2031;18765412
100;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2032;18902106
101;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2033;19005350
102;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2034;19110496
103;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2035;19197244
104;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2036;19295130
105;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2037;19390762
106;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2038;19491118
107;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2039;19560638
108;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2040;19640364
109;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2041;19720920
110;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2042;19807732
111;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2043;19897816
112;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2044;19967606
113;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2045;20012282
114;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2046;20036808
115;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2047;20083932
116;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2048;20126088
117;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2049;20215334
118;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2050;20252728
119;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2051;20301880
120;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2052;20407704
121;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2053;20460254
122;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2054;20542634
123;Totaal mannen en vrouwen;Totaal;Bovengrens 95%-prognose-interval;2055;20616302
