ID;VolgordeVanGeboorteUitDeMoeder;LeeftijdMoederOp31December;Perioden;LevendGeborenKinderen_1;Vruchtbaarheidcijfers_2
0;Totaal;Totaal;2017;168591;1.60702
1;Totaal;Totaal;2018;170276;1.60605
2;Totaal;Totaal;2019;172186;1.60906
3;Totaal;Totaal;2020;174058;1.61313
4;Totaal;Totaal;2021;177369;1.632
5;Totaal;Totaal;2022;180363;1.64931
6;Totaal;Totaal;2023;183732;1.67125
7;Totaal;Totaal;2024;186503;1.68884
8;Totaal;Totaal;2025;189026;1.70517
9;Totaal;Totaal;2026;191269;1.71989
10;Totaal;Totaal;2027;193010;1.73112
11;Totaal;Totaal;2028;194465;1.74088
12;Totaal;Totaal;2029;195463;1.74752
13;Totaal;Totaal;2030;196039;1.75158
14;Totaal;Totaal;2031;196096;1.75242
15;Totaal;Totaal;2032;195589;1.7499
16;Totaal;Totaal;2033;195034;1.74869
17;Totaal;Totaal;2034;194564;1.75016
18;Totaal;Totaal;2035;193730;1.75058
19;Totaal;Totaal;2036;192587;1.75031
20;Totaal;Totaal;2037;191254;1.74985
21;Totaal;Totaal;2038;189882;1.74982
22;Totaal;Totaal;2039;188518;1.75007
23;Totaal;Totaal;2040;187155;1.75007
24;Totaal;Totaal;2041;185842;1.74999
25;Totaal;Totaal;2042;184658;1.74995
26;Totaal;Totaal;2043;183645;1.74998
27;Totaal;Totaal;2044;182806;1.75001
28;Totaal;Totaal;2045;182140;1.75
29;Totaal;Totaal;2046;181665;1.74999
30;Totaal;Totaal;2047;181413;1.74999
31;Totaal;Totaal;2048;181443;1.75
32;Totaal;Totaal;2049;181792;1.75
33;Totaal;Totaal;2050;182451;1.75
34;Totaal;Totaal;2051;183394;1.75
35;Totaal;Totaal;2052;184557;1.75
36;Totaal;Totaal;2053;185910;1.75
37;Totaal;Totaal;2054;187411;1.75
38;Totaal;Totaal;2055;188989;1.75
39;Totaal;Totaal;2056;190576;1.75
40;Totaal;Totaal;2057;192096;1.75
41;Totaal;Totaal;2058;193502;1.75
42;Totaal;Totaal;2059;194741;1.75
43;Totaal;Jonger dan 16 jaar;2017;17;0.00017
44;Totaal;Jonger dan 16 jaar;2018;19;0.0002
45;Totaal;Jonger dan 16 jaar;2019;17;0.00018
46;Totaal;Jonger dan 16 jaar;2020;17;0.00018
47;Totaal;Jonger dan 16 jaar;2021;16;0.00017
48;Totaal;Jonger dan 16 jaar;2022;16;0.00018
49;Totaal;Jonger dan 16 jaar;2023;17;0.00018
