ID;Financieringsvorm;Wijken;Perioden;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijken_4;WmoClienten_5;WmoClientenPer1000Inwoners_6
0;Totaal;Aa en Hunze;1e halfjaar 2017;Aa en Hunze                             ;Gemeente ;GM1680  ;;1075.0;43.0
1;Totaal;Aa en Hunze;2e halfjaar 2017;Aa en Hunze                             ;Gemeente ;GM1680  ;;1150.0;45.0
2;Totaal;Aa en Hunze;2017;Aa en Hunze                             ;Gemeente ;GM1680  ;;1250.0;49.0
3;Totaal;Wijk 00 Annen;1e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168000;1.0;145.0;41.0
4;Totaal;Wijk 00 Annen;2e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168000;1.0;155.0;44.0
5;Totaal;Wijk 00 Annen;2017;Aa en Hunze                             ;Wijk     ;WK168000;1.0;165.0;47.0
6;Totaal;Wijk 01 Eext;1e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168001;1.0;40.0;28.0
7;Totaal;Wijk 01 Eext;2e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168001;1.0;45.0;32.0
8;Totaal;Wijk 01 Eext;2017;Aa en Hunze                             ;Wijk     ;WK168001;1.0;45.0;32.0
9;Totaal;Wijk 02 Anloo;1e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168002;1.0;15.0;32.0
10;Totaal;Wijk 02 Anloo;2e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168002;1.0;15.0;32.0
11;Totaal;Wijk 02 Anloo;2017;Aa en Hunze                             ;Wijk     ;WK168002;1.0;15.0;32.0
12;Totaal;Wijk 03 Gasteren;1e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168003;1.0;10.0;24.0
13;Totaal;Wijk 03 Gasteren;2e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168003;1.0;10.0;24.0
14;Totaal;Wijk 03 Gasteren;2017;Aa en Hunze                             ;Wijk     ;WK168003;1.0;10.0;24.0
15;Totaal;Wijk 04 Anderen;1e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168004;1.0;15.0;56.0
16;Totaal;Wijk 04 Anderen;2e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168004;1.0;15.0;56.0
17;Totaal;Wijk 04 Anderen;2017;Aa en Hunze                             ;Wijk     ;WK168004;1.0;15.0;56.0
18;Totaal;Wijk 05 Schipborg;1e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168005;1.0;15.0;25.0
19;Totaal;Wijk 05 Schipborg;2e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168005;1.0;15.0;25.0
