ID;Bedrijfsgrootte;Perioden;Vestigingen_1;TotaalKlanten_2;k_18JaarOfOuder_3;JongerDan18Jaar_4;KlantenVoorgaandJaarAlLid_5;GoedkoopsteAbonnement_6;DuursteAbonnement_7;TotaalGroepslessen_8;GroepslessenMetInstructeur_9;GroepslessenViaBeeldscherm_10;TotaalVoorzieningenNaastFitness_11;Horecavoorziening_12;Kinderopvang_13;WelnessEnBeautyvoorzieningen_14;WinkelMetSportkledingED_15;Zwembad_16;Squashbaan_17;FysiotherapieEnOfSportmassage_18;OverigeVoorzieningen_19;ProgrammaSMetLicentierechten_20;SportfaciliteitenBuitenFitnesscentrum_21;SamenwerkingBijSportstimulering_22;BestemdVoorFitness_23;BestemdVoorAndereSportactiviteiten_24
0;Totaal;2015;1970;2129;1867;262;69;25;49;84;78;22;62.0;43;15;41;7;6;7;;15;82;;;580;260
1;Totaal;2017;2020;2358;2122;236;69;26;52;84;77;23;57.0;39;10;39;7;6;6;;13;81;;;630;240
2;Totaal;2019;2200;2671;2423;247;71;28;56;86;78;32;57.0;40;10;36;7;5;5;;10;67;53.0;33.0;730;270
3;Totaal;2020;2250;2319;2094;225;76;30;64;84;75;41;;37;9;31;8;5;10;;3;65;59.0;34.0;750;240
4;Totaal;2021;2210;2377;2127;250;66;31;61;78;76;29;73.0;45;11;31;7;8;11;49.0;4;67;52.0;40.0;783;297
5;0 tot 3 werkzame personen;2015;955;352;294;58;71;28;50;72;71;10;52.0;33;5;25;8;2;3;;13;70;;;300;150
6;0 tot 3 werkzame personen;2017;910;337;285;52;70;28;54;70;68;9;46.0;29;2;21;6;1;1;;11;67;;;290;110
7;0 tot 3 werkzame personen;2019;950;363;306;57;75;31;58;74;74;18;52.0;31;3;23;7;1;2;;11;68;35.0;32.0;340;140
8;0 tot 3 werkzame personen;2020;890;295;249;46;78;34;72;70;69;18;55.0;28;2;17;9;1;6;28.0;3;69;41.0;29.0;340;120
9;0 tot 3 werkzame personen;2021;850;337;300;37;63;34;70;65;65;14;55.0;37;3;16;9;1;6;30.0;4;64;36.0;32.0;308;114
10;3 tot 5 werkzame personen;2015;310;214;182;32;73;25;48;84;84;13;76.0;52;14;48;7;2;5;;17;87;;;410;200
11;3 tot 5 werkzame personen;2017;320;236;200;36;73;26;55;90;88;17;70.0;48;6;43;6;3;4;;21;85;;;440;190
12;3 tot 5 werkzame personen;2019;325;240;201;39;76;27;54;91;89;25;78.0;52;9;48;7;2;5;;14;85;50.0;42.0;480;250
13;3 tot 5 werkzame personen;2020;365;244;209;35;80;28;55;87;86;26;79.0;46;7;38;8;4;11;46.0;5;77;57.0;46.0;510;210
14;3 tot 5 werkzame personen;2021;370;246;202;43;78;32;61;86;85;29;81.0;53;6;42;9;2;8;43.0;6;84;38.0;42.0;515;246
15;5 tot 10 werkzame personen;2015;265;322;272;50;72;22;50;96;95;18;90.0;70;29;69;11;7;14;;25;90;;;590;420
16;5 tot 10 werkzame personen;2017;255;308;263;45;74;24;51;95;95;16;89.0;71;20;77;11;7;11;;17;88;;;600;390
17;5 tot 10 werkzame personen;2019;255;320;268;51;76;26;52;98;89;25;83.0;64;17;60;14;7;8;;12;85;54.0;53.0;670;350
18;5 tot 10 werkzame personen;2020;295;301;255;45;80;31;66;91;90;41;86.0;59;16;55;9;6;15;53.0;4;84;63.0;52.0;660;320
19;5 tot 10 werkzame personen;2021;300;334;292;42;77;29;60;97;93;38;83.0;69;11;48;6;7;14;51.0;7;83;66.0;48.0;705;253
20;10 tot 50 werkzame personen;2015;160;367;305;62;72;25;58;100;99;21;94.0;86;60;87;12;29;35;;22;93;;;1010;940
21;10 tot 50 werkzame personen;2017;180;356;305;51;70;27;54;93;93;16;87.0;71;44;68;13;26;25;;26;92;;;1000;800
22;10 tot 50 werkzame personen;2019;220;461;396;64;74;31;61;90;87;29;84.0;68;35;69;13;22;17;;12;81;50.0;37.0;1020;700
23;10 tot 50 werkzame personen;2020;255;379;320;59;79;31;69;91;90;53;87.0;59;28;59;17;21;19;62.0;4;82;68.0;43.0;860;560
24;10 tot 50 werkzame personen;2021;245;387;324;63;76;34;67;76;76;30;90.0;71;26;55;6;20;14;59.0;3;71;42.0;44.0;980;746
25;50 of meer werkzame personen;2015;280;874;814;60;56;18;43;100;70;76;34.0;17;11;34;1;7;4;;2;98;;;1490;180
26;50 of meer werkzame personen;2017;355;1120;1068;52;58;21;43;100;66;67;34.0;15;11;33;2;8;7;;4;98;;;1530;190
27;50 of meer werkzame personen;2019;450;1288;1252;36;54;22;54;97;64;67;26.0;22;8;21;1;5;4;;2;36;95.0;17.0;1610;310
28;50 of meer werkzame personen;2020;445;1100;1060;39;63;22;53;100;58;90;;21;9;20;2;7;6;;0;23;90.0;16.0;1750;300
29;50 of meer werkzame personen;2021;445;1073;1009;64;58;26;44;82;80;48;84.0;20;22;25;1;17;17;81.0;1;46;88.0;44.0;1859;467
