ID;Populatie;Percentielen;Perioden;PercentielGestandaardiseerdInkomen_1;PercentielBesteedbaarInkomen_2;PercentielPrimairInkomen_3;PercentielBrutoInkomen_4;PercentielVermogen_5
0;Particuliere huishoudens incl. studenten;10e percentiel;2011;12.6;13.7;0.0;17.2;-12.7
1;Particuliere huishoudens incl. studenten;10e percentiel;2012;12.6;13.7;0.0;17.2;-19.5
2;Particuliere huishoudens incl. studenten;10e percentiel;2013;12.5;13.7;0.0;17.4;-32.2
3;Particuliere huishoudens incl. studenten;10e percentiel;2014;13.0;14.2;0.0;17.9;-31.0
4;Particuliere huishoudens incl. studenten;10e percentiel;2015;13.2;14.4;0.0;18.1;-25.3
5;Particuliere huishoudens incl. studenten;10e percentiel;2016;13.6;14.8;0.0;18.5;-20.0
6;Particuliere huishoudens incl. studenten;10e percentiel;2017;14.0;15.1;0.0;18.9;-13.5
7;Particuliere huishoudens incl. studenten;10e percentiel;2018;14.3;15.5;0.0;19.3;-9.2
8;Particuliere huishoudens incl. studenten;10e percentiel;2019;14.9;16.2;0.0;20.0;-6.5
9;Particuliere huishoudens incl. studenten;10e percentiel;2020;15.4;16.7;0.0;20.6;-4.7
10;Particuliere huishoudens incl. studenten;10e percentiel;2021;15.9;17.3;0.0;21.0;-2.6
11;Particuliere huishoudens incl. studenten;10e percentiel;2022;17.6;19.1;0.0;23.0;-1.5
12;Particuliere huishoudens incl. studenten;10e percentiel;2023;19.0;20.5;0.0;24.3;-1.5
13;Particuliere huishoudens incl. studenten;20e percentiel;2011;15.6;18.1;1.6;23.5;0.0
14;Particuliere huishoudens incl. studenten;20e percentiel;2012;15.6;18.1;1.5;23.5;-1.3
15;Particuliere huishoudens incl. studenten;20e percentiel;2013;15.6;18.1;1.4;23.6;-4.9
16;Particuliere huishoudens incl. studenten;20e percentiel;2014;16.0;18.7;1.4;24.1;-5.6
17;Particuliere huishoudens incl. studenten;20e percentiel;2015;16.3;18.8;1.3;24.1;-3.4
18;Particuliere huishoudens incl. studenten;20e percentiel;2016;16.8;19.4;1.4;24.6;-1.9
19;Particuliere huishoudens incl. studenten;20e percentiel;2017;17.2;19.8;1.6;25.1;-0.3
20;Particuliere huishoudens incl. studenten;20e percentiel;2018;17.6;20.2;2.2;25.8;0.2
21;Particuliere huishoudens incl. studenten;20e percentiel;2019;18.4;21.1;2.8;26.8;0.6
22;Particuliere huishoudens incl. studenten;20e percentiel;2020;19.0;21.9;2.8;27.7;0.9
23;Particuliere huishoudens incl. studenten;20e percentiel;2021;19.8;22.6;3.3;28.4;1.6
24;Particuliere huishoudens incl. studenten;20e percentiel;2022;21.2;24.0;4.2;30.3;2.0
25;Particuliere huishoudens incl. studenten;20e percentiel;2023;22.9;26.1;4.5;32.3;2.1
26;Particuliere huishoudens incl. studenten;30e percentiel;2011;18.0;22.2;6.7;30.3;2.2
27;Particuliere huishoudens incl. studenten;30e percentiel;2012;18.1;22.3;6.7;30.2;1.3
28;Particuliere huishoudens incl. studenten;30e percentiel;2013;18.1;22.3;6.6;30.3;0.3
29;Particuliere huishoudens incl. studenten;30e percentiel;2014;18.5;23.0;6.8;30.8;0.3
30;Particuliere huishoudens incl. studenten;30e percentiel;2015;18.8;23.2;6.8;30.9;0.8
31;Particuliere huishoudens incl. studenten;30e percentiel;2016;19.4;23.8;7.0;31.5;1.2
32;Particuliere huishoudens incl. studenten;30e percentiel;2017;19.8;24.3;7.2;32.2;2.2
33;Particuliere huishoudens incl. studenten;30e percentiel;2018;20.2;24.8;7.4;33.2;3.5
34;Particuliere huishoudens incl. studenten;30e percentiel;2019;21.2;25.9;7.8;34.5;5.1
35;Particuliere huishoudens incl. studenten;30e percentiel;2020;22.0;26.9;7.8;35.6;6.6
36;Particuliere huishoudens incl. studenten;30e percentiel;2021;22.9;27.9;8.1;36.7;9.9
37;Particuliere huishoudens incl. studenten;30e percentiel;2022;24.3;29.4;8.6;39.0;12.5
38;Particuliere huishoudens incl. studenten;30e percentiel;2023;26.4;31.5;9.2;41.6;11.6
39;Particuliere huishoudens incl. studenten;40e percentiel;2011;20.3;26.4;18.2;38.7;11.3
40;Particuliere huishoudens incl. studenten;40e percentiel;2012;20.5;26.5;17.2;38.7;7.9
41;Particuliere huishoudens incl. studenten;40e percentiel;2013;20.6;26.5;16.1;38.7;3.8
42;Particuliere huishoudens incl. studenten;40e percentiel;2014;21.2;27.2;16.0;39.3;3.7
43;Particuliere huishoudens incl. studenten;40e percentiel;2015;21.4;27.4;15.8;39.3;5.9
44;Particuliere huishoudens incl. studenten;40e percentiel;2016;22.2;28.2;16.5;40.1;7.4
45;Particuliere huishoudens incl. studenten;40e percentiel;2017;22.7;28.8;17.5;41.1;10.7
46;Particuliere huishoudens incl. studenten;40e percentiel;2018;23.2;29.5;19.3;42.4;15.1
47;Particuliere huishoudens incl. studenten;40e percentiel;2019;24.3;30.9;21.3;44.1;20.5
48;Particuliere huishoudens incl. studenten;40e percentiel;2020;25.3;32.0;20.9;45.5;25.4
49;Particuliere huishoudens incl. studenten;40e percentiel;2021;26.4;33.3;22.4;46.8;34.9
50;Particuliere huishoudens incl. studenten;40e percentiel;2022;27.9;35.0;25.6;49.7;50.3
51;Particuliere huishoudens incl. studenten;40e percentiel;2023;30.1;37.4;27.2;53.0;45.9
52;Particuliere huishoudens incl. studenten;50e percentiel;2011;22.8;31.3;34.9;48.4;31.8
53;Particuliere huishoudens incl. studenten;50e percentiel;2012;23.0;31.4;34.1;48.4;25.1
54;Particuliere huishoudens incl. studenten;50e percentiel;2013;23.2;31.4;33.3;48.6;17.2
55;Particuliere huishoudens incl. studenten;50e percentiel;2014;23.9;32.2;33.7;49.3;17.3
56;Particuliere huishoudens incl. studenten;50e percentiel;2015;24.3;32.5;33.4;49.2;20.9
57;Particuliere huishoudens incl. studenten;50e percentiel;2016;25.2;33.4;34.4;50.3;23.5
58;Particuliere huishoudens incl. studenten;50e percentiel;2017;25.8;34.1;35.8;51.8;30.2
59;Particuliere huishoudens incl. studenten;50e percentiel;2018;26.3;35.0;37.8;53.4;39.4
60;Particuliere huishoudens incl. studenten;50e percentiel;2019;27.6;36.7;40.0;55.6;52.4
61;Particuliere huishoudens incl. studenten;50e percentiel;2020;28.7;38.1;40.8;57.3;65.3
62;Particuliere huishoudens incl. studenten;50e percentiel;2021;30.0;39.7;42.3;59.1;88.4
63;Particuliere huishoudens incl. studenten;50e percentiel;2022;31.7;41.7;46.1;62.7;135.3
64;Particuliere huishoudens incl. studenten;50e percentiel;2023;34.0;44.6;48.7;66.8;133.3
65;Particuliere huishoudens incl. studenten;60e percentiel;2011;25.6;36.9;49.0;59.3;80.2
66;Particuliere huishoudens incl. studenten;60e percentiel;2012;25.8;36.9;48.8;59.7;67.0
67;Particuliere huishoudens incl. studenten;60e percentiel;2013;26.0;37.1;48.5;60.0;50.7
68;Particuliere huishoudens incl. studenten;60e percentiel;2014;26.8;38.1;49.3;61.0;51.1
69;Particuliere huishoudens incl. studenten;60e percentiel;2015;27.3;38.6;49.1;60.9;56.4
70;Particuliere huishoudens incl. studenten;60e percentiel;2016;28.4;39.9;50.5;62.4;62.2
71;Particuliere huishoudens incl. studenten;60e percentiel;2017;29.0;40.8;52.4;64.3;73.5
72;Particuliere huishoudens incl. studenten;60e percentiel;2018;29.5;42.0;54.7;66.5;88.3
73;Particuliere huishoudens incl. studenten;60e percentiel;2019;31.0;44.0;57.6;69.4;106.9
74;Particuliere huishoudens incl. studenten;60e percentiel;2020;32.2;45.8;58.8;71.7;125.1
75;Particuliere huishoudens incl. studenten;60e percentiel;2021;33.7;47.7;61.1;73.9;156.2
76;Particuliere huishoudens incl. studenten;60e percentiel;2022;35.5;50.2;65.9;78.8;218.4
77;Particuliere huishoudens incl. studenten;60e percentiel;2023;38.1;53.7;69.6;83.7;219.9
78;Particuliere huishoudens incl. studenten;70e percentiel;2011;28.8;42.9;63.6;71.9;152.3
79;Particuliere huishoudens incl. studenten;70e percentiel;2012;29.0;43.1;64.1;72.8;136.2
80;Particuliere huishoudens incl. studenten;70e percentiel;2013;29.3;43.5;64.1;73.4;114.2
81;Particuliere huishoudens incl. studenten;70e percentiel;2014;30.3;44.8;65.4;74.8;114.6
82;Particuliere huishoudens incl. studenten;70e percentiel;2015;30.8;45.5;65.2;74.6;121.8
83;Particuliere huishoudens incl. studenten;70e percentiel;2016;32.0;47.3;67.2;76.6;128.9
84;Particuliere huishoudens incl. studenten;70e percentiel;2017;32.7;48.4;69.7;79.2;142.5
85;Particuliere huishoudens incl. studenten;70e percentiel;2018;33.1;49.8;72.8;81.8;160.6
86;Particuliere huishoudens incl. studenten;70e percentiel;2019;34.8;52.2;76.5;85.6;182.2
87;Particuliere huishoudens incl. studenten;70e percentiel;2020;36.2;54.4;78.6;88.4;203.7
88;Particuliere huishoudens incl. studenten;70e percentiel;2021;37.8;56.8;81.6;91.3;239.4
89;Particuliere huishoudens incl. studenten;70e percentiel;2022;39.8;59.8;87.8;97.5;311.4
90;Particuliere huishoudens incl. studenten;70e percentiel;2023;42.6;64.1;93.2;103.8;314.8
91;Particuliere huishoudens incl. studenten;80e percentiel;2011;33.0;50.7;81.1;88.2;240.3
92;Particuliere huishoudens incl. studenten;80e percentiel;2012;33.2;50.9;82.5;89.8;223.2
93;Particuliere huishoudens incl. studenten;80e percentiel;2013;33.6;51.5;82.9;90.8;198.4
94;Particuliere huishoudens incl. studenten;80e percentiel;2014;34.7;53.1;84.9;92.8;199.0
95;Particuliere huishoudens incl. studenten;80e percentiel;2015;35.3;54.0;84.6;92.5;207.8
96;Particuliere huishoudens incl. studenten;80e percentiel;2016;36.6;56.2;87.2;95.2;217.0
97;Particuliere huishoudens incl. studenten;80e percentiel;2017;37.4;57.6;90.3;98.5;233.9
98;Particuliere huishoudens incl. studenten;80e percentiel;2018;37.8;59.2;93.9;101.6;256.3
99;Particuliere huishoudens incl. studenten;80e percentiel;2019;39.7;62.1;98.7;106.4;282.0
100;Particuliere huishoudens incl. studenten;80e percentiel;2020;41.3;64.7;101.6;109.8;307.7
101;Particuliere huishoudens incl. studenten;80e percentiel;2021;43.2;67.7;105.6;113.7;349.4
102;Particuliere huishoudens incl. studenten;80e percentiel;2022;45.4;71.3;113.5;121.5;434.6
103;Particuliere huishoudens incl. studenten;80e percentiel;2023;48.5;76.3;120.7;129.4;439.5
104;Particuliere huishoudens incl. studenten;90e percentiel;2011;40.2;63.4;108.3;114.5;402.6
105;Particuliere huishoudens incl. studenten;90e percentiel;2012;40.4;63.7;110.7;117.1;382.6
106;Particuliere huishoudens incl. studenten;90e percentiel;2013;40.9;64.5;111.6;118.7;354.7
107;Particuliere huishoudens incl. studenten;90e percentiel;2014;42.3;66.7;115.0;122.2;355.3
108;Particuliere huishoudens incl. studenten;90e percentiel;2015;42.8;67.5;114.0;121.1;367.0
109;Particuliere huishoudens incl. studenten;90e percentiel;2016;44.4;70.4;117.6;125.0;380.7
110;Particuliere huishoudens incl. studenten;90e percentiel;2017;45.4;72.4;121.6;129.8;405.9
111;Particuliere huishoudens incl. studenten;90e percentiel;2018;45.8;74.3;126.2;133.4;438.4
112;Particuliere huishoudens incl. studenten;90e percentiel;2019;48.1;78.2;133.0;140.1;473.1
113;Particuliere huishoudens incl. studenten;90e percentiel;2020;49.8;81.2;136.9;144.4;509.5
114;Particuliere huishoudens incl. studenten;90e percentiel;2021;52.2;85.2;142.6;150.0;561.6
115;Particuliere huishoudens incl. studenten;90e percentiel;2022;54.8;89.5;152.9;159.9;672.9
116;Particuliere huishoudens incl. studenten;90e percentiel;2023;58.1;95.5;163.0;170.6;682.1
117;Particuliere huishoudens excl. studenten;10e percentiel;2011;13.5;14.9;;;
118;Particuliere huishoudens excl. studenten;10e percentiel;2012;13.4;14.9;;;
