ID;TypeZelfstandige;Geslacht;Persoonskenmerken;BedrijfstakkenBranchesSBI2008;Perioden;Zelfstandigen_1;GemiddeldPersoonlijkInkomen_2;MediaanPersoonlijkInkomen_3;GemiddeldInkomenAlsZelfstandige_4;MediaanInkomenAlsZelfstandige_5;GemiddeldGestandaardiseerdInkomen_6;MediaanGestandaardiseerdInkomen_7;ZelfstandigenMetBedrijfsvermogen_8;MediaanVermogen_9;MediaanBedrijfsvermogen_10;Zelfstandigen_11;GemiddeldPersoonlijkInkomen_12;MediaanPersoonlijkInkomen_13;GemiddeldInkomenAlsZelfstandige_14;MediaanInkomenAlsZelfstandige_15;GemiddeldGestandaardiseerdInkomen_16;MediaanGestandaardiseerdInkomen_17;ZelfstandigenMetBedrijfsvermogen_18;MediaanVermogen_19;MediaanBedrijfsvermogen_20;Inkomensbronnen_21
0;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2007;994.8;38.4;28.8;37.2;27.3;32.9;26.5;712.7;234.7;35.7;1523.2;37.6;28.8;25.5;12.1;31.4;25.8;906.0;206.8;28.1;1586.8
1;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2008;1044.9;39.1;29.4;38.2;28.0;31.5;27.0;843.9;221.2;33.0;1605.0;38.3;29.4;26.2;12.2;30.5;26.3;1070.6;192.9;26.1;1671.5
2;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2009;1067.8;36.9;27.0;36.0;25.8;29.8;26.0;891.9;189.5;28.9;1654.5;36.9;28.1;24.4;11.1;29.4;25.8;1137.1;166.2;22.7;1721.7
3;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2010;1048.1;38.6;28.5;37.5;27.2;30.8;26.4;858.1;184.6;30.0;1645.8;38.2;29.3;25.2;12.3;30.0;26.0;1095.1;160.3;23.5;1712.2
4;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2011;1093.1;38.8;29.4;37.6;28.0;34.9;29.6;894.9;173.2;27.8;1679.1;38.9;30.3;25.8;13.1;33.9;29.1;1123.0;153.2;22.7;1748.1
5;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2012;1106.2;38.1;28.2;36.9;26.9;34.7;29.3;913.9;149.0;27.2;1695.5;38.6;29.7;25.4;12.7;33.8;28.9;1149.5;130.7;22.2;1763.3
6;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2013;1120.2;37.9;27.8;36.4;26.4;33.9;29.0;926.3;116.9;26.2;1710.5;38.6;29.3;25.2;12.7;33.4;28.9;1166.8;100.2;21.5;1775.2
7;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2014;1149.7;39.1;28.9;37.6;27.4;38.5;30.4;948.7;112.5;25.7;1733.1;39.8;30.1;26.4;13.8;37.3;30.1;1192.8;97.7;21.2;1797.4
8;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2015;1180.0;39.8;29.9;38.3;28.3;35.7;30.9;980.7;115.5;25.1;1763.6;40.3;30.7;27.1;14.6;35.1;30.6;1235.3;102.0;20.7;1828.0
9;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;A-U Alle economische activiteiten;2016;1205.9;40.6;30.9;38.9;29.6;36.6;32.0;1012.8;125.2;27.1;1788.2;41.1;31.8;27.8;15.1;36.1;31.8;1276.0;111.3;22.2;1865.5
10;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;2007;39.6;43.1;36.7;42.0;36.2;35.2;28.3;31.7;283.2;49.1;46.7;41.9;34.7;36.3;29.6;34.4;27.7;37.1;276.7;41.3;47.3
11;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;2008;40.7;44.0;37.7;43.2;37.6;32.7;28.5;36.9;274.0;44.3;48.0;42.9;35.9;37.3;30.5;32.2;28.0;43.4;267.0;37.1;48.5
12;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;2009;41.4;40.1;33.8;39.3;33.7;30.3;27.0;38.5;235.1;37.1;49.5;39.7;32.9;33.4;26.3;30.2;26.7;45.7;231.5;30.8;50.1
13;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;2010;44.2;41.5;34.9;40.5;34.3;31.0;27.1;39.2;232.4;41.2;53.3;40.8;33.6;34.3;26.6;30.8;26.7;46.8;225.7;34.1;53.9
14;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;2011;45.4;41.7;35.9;40.6;35.2;36.1;30.5;40.5;219.5;37.5;54.8;41.2;34.8;34.2;27.4;35.5;30.0;48.0;212.3;31.2;55.5
15;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;2012;45.5;41.3;34.8;40.1;34.1;36.0;30.2;40.9;192.6;37.0;55.1;40.7;34.0;33.4;26.5;35.6;29.8;48.6;187.8;30.6;55.8
16;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;2013;45.3;41.0;34.1;39.5;33.4;35.3;29.7;40.9;162.0;35.4;54.8;40.9;33.5;33.3;25.6;34.9;29.6;48.8;157.3;29.4;55.6
17;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;2014;46.2;42.4;36.0;41.0;35.0;41.2;31.4;41.8;157.0;34.4;56.0;42.7;35.2;34.7;27.1;40.6;31.2;49.9;152.2;29.0;56.8
18;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;2015;47.1;43.8;37.6;42.4;36.5;36.6;32.0;42.9;160.6;34.3;57.4;43.6;36.5;35.7;28.0;36.3;31.7;51.1;154.0;28.5;58.2
19;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;B-E Nijverheid (geen bouw) en energie;2016;48.1;44.3;37.9;42.6;36.9;37.7;33.0;43.8;169.1;36.7;58.7;44.0;37.1;36.0;29.2;37.3;32.8;52.3;162.6;30.3;59.8
20;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;2007;139.1;41.1;37.0;41.0;37.6;30.9;26.5;112.2;208.7;26.5;158.3;39.8;35.5;36.5;33.6;30.6;26.3;126.4;210.4;25.1;158.6
21;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;2008;151.3;41.8;38.0;41.9;38.6;29.6;26.8;139.1;185.7;22.8;171.6;40.6;36.6;37.5;34.6;29.4;26.6;156.5;188.5;21.7;171.8
22;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;2009;158.9;37.8;34.0;38.0;34.8;27.4;25.1;150.1;147.7;18.4;181.0;37.0;33.1;33.8;30.7;27.3;25.1;169.4;152.0;17.5;181.1
23;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;2010;166.7;37.1;32.7;37.0;33.1;27.2;24.6;148.7;148.3;19.2;193.4;36.5;31.9;32.5;28.5;27.1;24.5;170.1;148.9;17.8;193.7
24;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;2011;173.5;38.5;35.1;38.3;35.2;31.7;28.2;154.7;139.7;18.0;200.1;38.1;34.4;33.8;30.7;31.5;28.1;174.7;140.8;17.0;200.6
25;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;2012;174.3;36.3;32.2;36.0;32.3;30.6;27.3;156.4;116.6;17.9;201.6;36.2;31.9;31.6;27.9;30.6;27.2;177.4;118.9;16.8;202.0
26;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;2013;173.6;36.3;32.1;35.7;32.1;30.2;27.1;156.7;88.6;16.3;200.7;36.3;31.9;31.6;27.8;30.3;27.2;177.9;91.2;15.4;201.2
27;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;2014;178.2;37.8;33.8;37.2;33.6;33.7;28.7;161.0;85.7;16.1;206.1;37.9;33.4;33.0;29.3;33.7;28.7;182.5;87.9;15.3;206.3
28;Zelfstandige;Totaal mannen en vrouwen;Totaal personen;B-F Nijverheid en energie;2015;184.9;39.3;35.3;38.7;35.2;32.4;29.6;168.1;86.1;16.2;213.7;39.1;34.8;34.3;30.7;32.4;29.5;190.1;88.5;15.4;213.9
