ID;SectorBranches;TypeOfBankruptcy;Periods;PronouncedBankruptcies_1;BusinessAgeInEventOfBankruptcy_2;EmployeesInEventOfBankruptcy_3
0;A-U All economic activities;Total entities with/without legal pers.;2015 1st quarter;1802;10.9;9286.0
1;A-U All economic activities;Total entities with/without legal pers.;2015 2nd quarter;1489;11.0;7614.0
2;A-U All economic activities;Total entities with/without legal pers.;2015 3rd quarter;1298;11.3;8171.0
3;A-U All economic activities;Total entities with/without legal pers.;2015 4th quarter;1417;11.1;12034.0
4;A-U All economic activities;Total entities with/without legal pers.;2015;6006;11.0;37106.0
5;A-U All economic activities;Total entities with/without legal pers.;2016 1st quarter;1445;10.9;15153.0
6;A-U All economic activities;Total entities with/without legal pers.;2016 2nd quarter;1269;10.9;7553.0
7;A-U All economic activities;Total entities with/without legal pers.;2016 3rd quarter;1105;10.6;5444.0
8;A-U All economic activities;Total entities with/without legal pers.;2016 4th quarter;1193;9.7;5202.0
9;A-U All economic activities;Total entities with/without legal pers.;2016;5012;10.6;33352.0
10;A-U All economic activities;Total entities with/without legal pers.;2017 1st quarter;1120;10.5;6733.0
11;A-U All economic activities;Total entities with/without legal pers.;2017 2nd quarter;994;9.7;4230.0
12;A-U All economic activities;Total entities with/without legal pers.;2017 3rd quarter;875;9.4;3795.0
13;A-U All economic activities;Total entities with/without legal pers.;2017 4th quarter;878;10.5;4310.0
14;A-U All economic activities;Total entities with/without legal pers.;2017;3867;10.0;19068.0
15;A-U All economic activities;Total entities with/without legal pers.;2018 1st quarter;931;10.3;4320.0
16;A-U All economic activities;Total entities with/without legal pers.;2018 2nd quarter;902;9.9;4838.0
17;A-U All economic activities;Total entities with/without legal pers.;2018 3rd quarter;879;9.0;3908.0
18;A-U All economic activities;Total entities with/without legal pers.;2018 4th quarter;921;9.5;6699.0
19;A-U All economic activities;Total entities with/without legal pers.;2018;3633;9.7;19765.0
