ID;Leeftijd;Regiokenmerken;Inwoners_1;Bijstandsontvangers_2;Bijstandsdichtheid_3;Instroom_4;Instroom_5;Uitstroom_6;Uitstroom_7;UitstroomNaarWerk_8;UitstroomNaarWerk_9;PersonenMetReIntegratievoorziening_10;WerkNaReIntegratie_11;WerkNaReIntegratie_12;PersonenMetBijstandEnReIntegratie_13;BijstandsontvangersMetReIntegratie_14;ReIntegratieontvangersMetBijstand_15;WSWWerknemers_16;WSWDichtheid_17
0;15 jaar of ouder;Nederland;14422560;508480;35.5;123060;19.5;128560;20.0;60890.0;10.5;190360.0;49980.0;22.5;137650.0;30.0;72.5;86980.0;6.0
1;15 jaar of ouder;Noord-Nederland (LD);1456560;56980;39.0;15730;21.5;15220;20.5;8050.0;11.5;25860.0;6640.0;27.0;19740.0;36.5;76.5;13280.0;9.0
2;15 jaar of ouder;Oost-Nederland (LD);3016270;95530;31.5;23920;20.0;23910;20.0;11860.0;10.5;36250.0;9410.0;21.5;26350.0;30.5;72.5;19610.0;6.5
3;15 jaar of ouder;West-Nederland (LD);6841800;266060;39.0;60150;18.5;60420;18.5;29570.0;10.0;96050.0;25340.0;23.5;70210.0;30.0;73.0;27900.0;4.0
4;15 jaar of ouder;Zuid-Nederland (LD);3107930;89620;29.0;21670;19.5;22730;20.5;11260.0;11.0;30360.0;8450.0;20.0;21310.0;26.0;70.0;26010.0;8.5
5;15 jaar of ouder;Groningen (PV);499790;23380;47.0;6240;21.0;6030;20.5;3200.0;11.0;10760.0;2600.0;27.0;8520.0;38.5;79.0;5350.0;10.5
6;15 jaar of ouder;Friesland (PV);541870;20650;38.0;5470;20.5;5670;21.5;2910.0;11.5;7240.0;2070.0;23.0;5270.0;26.5;73.0;4040.0;7.5
7;15 jaar of ouder;Drenthe (PV);414890;12960;31.0;4020;23.5;3520;20.5;1950.0;12.0;7860.0;1970.0;32.0;5960.0;48.5;76.0;3890.0;9.5
8;15 jaar of ouder;Overijssel (PV);955140;32260;34.0;7940;19.5;7950;19.5;3930.0;10.5;13610.0;3340.0;24.0;10350.0;35.5;76.0;7120.0;7.5
9;15 jaar of ouder;Flevoland (PV);332830;12170;36.5;3270;21.0;3170;20.5;1660.0;11.5;5260.0;1460.0;21.5;3840.0;35.0;73.0;1190.0;3.5
10;15 jaar of ouder;Gelderland (PV);1728310;51100;29.5;12720;20.0;12790;20.0;6270.0;10.5;17380.0;4610.0;20.5;12160.0;26.0;70.0;11290.0;6.5
11;15 jaar of ouder;Utrecht (PV);1068310;30230;28.5;7450;19.5;7720;20.5;3790.0;11.0;10220.0;3070.0;22.5;7830.0;29.0;76.5;3750.0;3.5
12;15 jaar of ouder;Noord-Holland (PV);2380610;90390;38.0;20380;18.5;19350;17.5;9480.0;9.5;37780.0;9190.0;25.5;26700.0;34.0;70.5;8990.0;4.0
13;15 jaar of ouder;Zuid-Holland (PV);3069620;136880;44.5;30120;18.0;31000;18.5;15150.0;10.0;44760.0;12170.0;22.5;33240.0;27.5;74.5;12940.0;4.0
14;15 jaar of ouder;Zeeland (PV);323260;8560;26.5;2200;20.0;2350;21.5;1150.0;11.0;3280.0;910.0;23.5;2440.0;31.0;74.0;2220.0;7.0
15;15 jaar of ouder;Noord-Brabant (PV);2137560;57690;27.0;14140;20.0;14550;20.5;7290.0;11.0;17800.0;5310.0;18.0;12230.0;23.5;68.5;16430.0;7.5
16;15 jaar of ouder;Limburg (PV);970370;31930;33.0;7530;18.5;8180;20.0;3970.0;10.5;12560.0;3150.0;24.5;9080.0;31.0;72.5;9580.0;10.0
17;15 jaar of ouder;Oost-Groningen (CR);125550;5430;43.0;1580;22.5;1520;21.5;810.0;12.0;3920.0;980.0;39.0;3230.0;62.5;82.5;2570.0;20.5
18;15 jaar of ouder;Delfzijl en omgeving (CR);39580;1910;48.5;630;25.0;560;22.5;330.0;13.5;480.0;140.0;18.5;370.0;20.5;78.5;430.0;11.0
19;15 jaar of ouder;Overig Groningen (CR);334670;16040;48.0;4030;20.0;3950;19.5;2060.0;10.5;6360.0;1490.0;23.5;4910.0;32.0;77.0;2350.0;7.0
20;15 jaar of ouder;Noord-Friesland (CR);271650;11560;42.5;3030;20.5;3070;21.0;1520.0;10.5;3400.0;910.0;19.0;2470.0;22.5;72.5;2050.0;7.5
21;15 jaar of ouder;Zuidwest-Friesland (CR);113320;3600;32.0;960;20.5;950;20.5;510.0;11.5;1630.0;450.0;28.0;1200.0;34.5;73.5;670.0;6.0
22;15 jaar of ouder;Zuidoost-Friesland (CR);156910;5490;35.0;1480;20.5;1640;23.0;880.0;12.5;2210.0;710.0;28.5;1600.0;30.5;72.5;1320.0;8.5
