ID;Geslacht;Leeftijd;SoortOpname;DiagnoseIndelingVTV;Perioden;Opnamen_1;OpnamenPer10000Inwoners_2;PersMet1OfMeerOpnamen_3;PersMet1OfMeerOpnPer10000Inw_4;Verpleegdagen_5;VerpleegdagenPer10000Inwoners_6;GemiddeldeVerpleegduur_7
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2013;3906510.0;2280.4;2229520.0;1301.5;;;
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2014;3395150.0;1973.8;2042425.0;1187.4;;;
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2015;3280115.0;1897.5;2000360.0;1157.2;;;
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2016;3275660.0;1883.8;1985750.0;1142.0;;;
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2017;3164440.0;1809.3;1927205.0;1101.9;;;
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2018;3088055.0;1754.7;1877275.0;1066.7;;;
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2019;3114065.0;1757.0;1874600.0;1057.7;;;
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2020;2736480.0;1537.5;1646145.0;924.9;;;
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2021;2848555.0;1590.7;1716150.0;958.3;;;
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;Totaal alle diagnosen;2022;2921495.0;1609.1;1783430.0;982.3;;;
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2013;40680.0;23.7;35795.0;20.9;;;
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2014;38315.0;22.3;33980.0;19.8;;;
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2015;39830.0;23.0;35945.0;20.8;;;
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2016;45575.0;26.2;41175.0;23.7;;;
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2017;43260.0;24.7;39445.0;22.6;;;
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2018;43160.0;24.5;39440.0;22.4;;;
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2019;40750.0;23.0;37160.0;21.0;;;
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2020;29680.0;16.7;27045.0;15.2;;;
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2021;32105.0;17.9;29230.0;16.3;;;
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1 Totaal infectieuze en parasitaire zkt.;2022;35450.0;19.5;32620.0;18.0;;;
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal;2013;11355.0;6.6;10825.0;6.3;;;
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal;2014;9145.0;5.3;8710.0;5.1;;;
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal;2015;12775.0;7.4;12110.0;7.0;;;
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal;2016;17515.0;10.1;16560.0;9.5;;;
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal;2017;16290.0;9.3;15385.0;8.8;;;
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal;2018;16885.0;9.6;15895.0;9.0;;;
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal;2019;15350.0;8.7;14540.0;8.2;;;
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal;2020;10125.0;5.7;9575.0;5.4;;;
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal;2021;12515.0;7.0;11790.0;6.6;;;
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1 Infectieziekten van maagdarmkanaal;2022;13280.0;7.3;12550.0;6.9;;;
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1.1 Importzkt. infect. maagdarmkanaal;2013;250.0;0.1;235.0;0.1;;;
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1.1 Importzkt. infect. maagdarmkanaal;2014;125.0;0.1;125.0;0.1;;;
32;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1.1 Importzkt. infect. maagdarmkanaal;2015;135.0;0.1;130.0;0.1;;;
33;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1.1 Importzkt. infect. maagdarmkanaal;2016;110.0;0.1;110.0;0.1;;;
34;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1.1 Importzkt. infect. maagdarmkanaal;2017;130.0;0.1;125.0;0.1;;;
35;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1.1 Importzkt. infect. maagdarmkanaal;2018;150.0;0.1;135.0;0.1;;;
36;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1.1 Importzkt. infect. maagdarmkanaal;2019;115.0;0.1;115.0;0.1;;;
37;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1.1 Importzkt. infect. maagdarmkanaal;2020;75.0;0.0;75.0;0.0;;;
38;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1.1 Importzkt. infect. maagdarmkanaal;2021;70.0;0.0;70.0;0.0;;;
39;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1.1 Importzkt. infect. maagdarmkanaal;2022;95.0;0.1;90.0;0.1;;;
40;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1.2 Ov. infecties maagdarmkanaal;2013;11105.0;6.5;10595.0;6.2;;;
41;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1.2 Ov. infecties maagdarmkanaal;2014;9015.0;5.2;8590.0;5.0;;;
42;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1.2 Ov. infecties maagdarmkanaal;2015;12640.0;7.3;11985.0;6.9;;;
43;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1.2 Ov. infecties maagdarmkanaal;2016;17405.0;10.0;16455.0;9.5;;;
44;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1.2 Ov. infecties maagdarmkanaal;2017;16160.0;9.2;15265.0;8.7;;;
45;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1.2 Ov. infecties maagdarmkanaal;2018;16735.0;9.5;15760.0;9.0;;;
46;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1.2 Ov. infecties maagdarmkanaal;2019;15235.0;8.6;14430.0;8.1;;;
47;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1.2 Ov. infecties maagdarmkanaal;2020;10050.0;5.6;9500.0;5.3;;;
48;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1.2 Ov. infecties maagdarmkanaal;2021;12445.0;6.9;11720.0;6.5;;;
49;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.1.2 Ov. infecties maagdarmkanaal;2022;13190.0;7.3;12460.0;6.9;;;
50;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.2 Tuberculose;2013;525.0;0.3;450.0;0.3;;;
51;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.2 Tuberculose;2014;520.0;0.3;400.0;0.2;;;
52;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.2 Tuberculose;2015;555.0;0.3;390.0;0.2;;;
53;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.2 Tuberculose;2016;560.0;0.3;430.0;0.2;;;
54;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.2 Tuberculose;2017;500.0;0.3;390.0;0.2;;;
55;Totaal mannen en vrouwen;Totaal leeftijd;Totaal opnamen;1.2 Tuberculose;2018;550.0;0.3;415.0;0.2;;;
