ID;Bestemming;Perioden;InvesteringenWerkelijkePrijzen_1;InvesteringenPrijsniveau2015_2;InvesteringenVolumemutatie_3;InvesteringenPrijsindexcijfers_4
0;A-U Alle economische activiteiten;1995;69687.0;92485.0;;75.3
1;A-U Alle economische activiteiten;1996;75046.0;98639.0;6.7;76.1
2;A-U Alle economische activiteiten;1997;80811.0;104977.0;6.4;77.0
3;A-U Alle economische activiteiten;1998;87313.0;112493.0;7.2;77.6
4;A-U Alle economische activiteiten;1999;97241.0;123462.0;9.7;78.8
5;A-U Alle economische activiteiten;2000;102940.0;126255.0;2.3;81.5
6;A-U Alle economische activiteiten;2001;108405.0;128567.0;1.8;84.3
7;A-U Alle economische activiteiten;2002;107445.0;123506.0;-3.9;87.0
8;A-U Alle economische activiteiten;2003;107758.0;121770.0;-1.4;88.5
9;A-U Alle economische activiteiten;2004;109583.0;122052.0;0.2;89.8
10;A-U Alle economische activiteiten;2005;115656.0;127014.0;4.1;91.1
11;A-U Alle economische activiteiten;2006;126095.0;135431.0;6.6;93.1
12;A-U Alle economische activiteiten;2007;147272.0;154850.0;14.3;95.1
13;A-U Alle economische activiteiten;2008;146166.0;150336.0;-2.9;97.2
14;A-U Alle economische activiteiten;2009;136553.0;138216.0;-8.1;98.8
15;A-U Alle economische activiteiten;2010;129102.0;128781.0;-6.8;100.2
16;A-U Alle economische activiteiten;2011;134228.0;134975.0;4.8;99.4
17;A-U Alle economische activiteiten;2012;125371.0;126250.0;-6.5;99.3
18;A-U Alle economische activiteiten;2013;126182.0;126330.0;0.1;99.9
19;A-U Alle economische activiteiten;2014;123532.0;123789.0;-2.0;99.8
20;A-U Alle economische activiteiten;2015;164037.0;164037.0;32.5;100.0
21;A-U Alle economische activiteiten;2016;144572.0;144293.0;-12.0;100.2
22;A-U Alle economische activiteiten;2017;151432.0;150063.0;4.0;100.9
23;A-U Alle economische activiteiten;2018;162634.0;157071.0;4.7;103.5
24;A-U Alle economische activiteiten;2019;176696.0;165836.0;5.6;106.5
25;A-U Alle economische activiteiten;2020;176843.0;161564.0;-2.6;109.5
26;A-U Alle economische activiteiten;2021;189208.0;166876.0;3.3;113.4
27;A-U Alle economische activiteiten;2022;205489.0;170397.0;2.1;120.6
28;A Landbouw, bosbouw en visserij;1995;2200.0;3227.0;;68.2
29;A Landbouw, bosbouw en visserij;1996;2251.0;3394.0;5.2;66.3
30;A Landbouw, bosbouw en visserij;1997;2899.0;4258.0;25.5;68.1
31;A Landbouw, bosbouw en visserij;1998;2484.0;3571.0;-16.1;69.6
32;A Landbouw, bosbouw en visserij;1999;3119.0;4432.0;24.1;70.4
33;A Landbouw, bosbouw en visserij;2000;3066.0;4190.0;-5.5;73.2
34;A Landbouw, bosbouw en visserij;2001;3275.0;4311.0;2.9;76.0
35;A Landbouw, bosbouw en visserij;2002;3396.0;4267.0;-1.0;79.6
36;A Landbouw, bosbouw en visserij;2003;3437.0;4255.0;-0.3;80.8
37;A Landbouw, bosbouw en visserij;2004;3105.0;3785.0;-11.0;82.0
38;A Landbouw, bosbouw en visserij;2005;3242.0;3889.0;2.7;83.4
39;A Landbouw, bosbouw en visserij;2006;3418.0;4008.0;3.1;85.3
40;A Landbouw, bosbouw en visserij;2007;4141.0;4734.0;18.1;87.5
41;A Landbouw, bosbouw en visserij;2008;4468.0;4982.0;5.2;89.7
42;A Landbouw, bosbouw en visserij;2009;4203.0;4545.0;-8.8;92.5
43;A Landbouw, bosbouw en visserij;2010;4414.0;4642.0;2.1;95.1
44;A Landbouw, bosbouw en visserij;2011;5713.0;5999.0;29.2;95.2
45;A Landbouw, bosbouw en visserij;2012;5291.0;5536.0;-7.7;95.6
46;A Landbouw, bosbouw en visserij;2013;4852.0;5016.0;-9.4;96.7
47;A Landbouw, bosbouw en visserij;2014;5164.0;5267.0;5.0;98.1
48;A Landbouw, bosbouw en visserij;2015;4777.0;4777.0;-9.3;100.0
49;A Landbouw, bosbouw en visserij;2016;4374.0;4364.0;-8.6;100.2
50;A Landbouw, bosbouw en visserij;2017;4552.0;4563.0;4.5;99.8
51;A Landbouw, bosbouw en visserij;2018;4975.0;4893.0;7.2;101.7
52;A Landbouw, bosbouw en visserij;2019;5255.0;5031.0;2.8;104.5
53;A Landbouw, bosbouw en visserij;2020;5373.0;5072.0;0.8;105.9
54;A Landbouw, bosbouw en visserij;2021;4768.0;4371.0;-13.8;109.1
55;A Landbouw, bosbouw en visserij;2022;5316.0;4547.0;4.0;116.9
56;01 Landbouw;1995;2156.0;3166.0;;68.1
57;01 Landbouw;1996;2207.0;3335.0;5.3;66.2
58;01 Landbouw;1997;2864.0;4214.0;26.4;68.0
59;01 Landbouw;1998;2419.0;3486.0;-17.3;69.4
60;01 Landbouw;1999;3041.0;4334.0;24.3;70.2
61;01 Landbouw;2000;2951.0;4042.0;-6.7;73.0
62;01 Landbouw;2001;3202.0;4222.0;4.4;75.8
63;01 Landbouw;2002;3303.0;4157.0;-1.5;79.5
64;01 Landbouw;2003;3377.0;4183.0;0.6;80.7
65;01 Landbouw;2004;3062.0;3734.0;-10.7;82.0
66;01 Landbouw;2005;3207.0;3848.0;3.1;83.3
67;01 Landbouw;2006;3367.0;3948.0;2.6;85.3
68;01 Landbouw;2007;4086.0;4672.0;18.3;87.5
69;01 Landbouw;2008;4421.0;4929.0;5.5;89.7
70;01 Landbouw;2009;4117.0;4453.0;-9.7;92.5
71;01 Landbouw;2010;4376.0;4603.0;3.4;95.1
72;01 Landbouw;2011;5674.0;5961.0;29.5;95.2
73;01 Landbouw;2012;5202.0;5447.0;-8.6;95.5
74;01 Landbouw;2013;4772.0;4935.0;-9.4;96.7
75;01 Landbouw;2014;5092.0;5195.0;5.3;98.0
76;01 Landbouw;2015;4699.0;4699.0;-9.5;100.0
77;01 Landbouw;2016;4299.0;4288.0;-8.7;100.3
78;01 Landbouw;2017;4475.0;4483.0;4.6;99.8
79;01 Landbouw;2018;4898.0;4813.0;7.4;101.8
80;01 Landbouw;2019;5195.0;4968.0;3.2;104.6
81;01 Landbouw;2020;5310.0;5007.0;0.8;106.1
82;01 Landbouw;2021;4702.0;4305.0;-14.0;109.2
83;01 Landbouw;2022;;;;
84;02 Bosbouw;1995;1.0;1.0;;129.3
85;02 Bosbouw;1996;1.0;1.0;0.0;129.3
86;02 Bosbouw;1997;1.0;1.0;0.0;129.3
87;02 Bosbouw;1998;4.0;3.0;300.0;129.3
88;02 Bosbouw;1999;8.0;6.0;100.0;129.3
89;02 Bosbouw;2000;7.0;5.0;-12.5;129.3
90;02 Bosbouw;2001;15.0;12.0;114.3;129.3
91;02 Bosbouw;2002;11.0;9.0;-20.0;118.5
92;02 Bosbouw;2003;6.0;6.0;-36.4;101.6
93;02 Bosbouw;2004;7.0;8.0;33.3;88.9
94;02 Bosbouw;2005;9.0;10.0;28.6;88.9
95;02 Bosbouw;2006;9.0;10.0;0.0;88.9
96;02 Bosbouw;2007;8.0;9.0;-11.1;88.9
97;02 Bosbouw;2008;9.0;10.0;12.5;88.9
98;02 Bosbouw;2009;13.0;15.0;44.4;88.9
99;02 Bosbouw;2010;9.0;10.0;-30.8;88.9
100;02 Bosbouw;2011;7.0;8.0;-22.2;88.9
101;02 Bosbouw;2012;9.0;9.0;14.3;100.0
102;02 Bosbouw;2013;7.0;7.0;-22.2;100.0
103;02 Bosbouw;2014;3.0;3.0;-57.1;100.0
104;02 Bosbouw;2015;14.0;14.0;366.7;100.0
105;02 Bosbouw;2016;16.0;16.0;14.3;100.0
106;02 Bosbouw;2017;18.0;18.0;12.5;100.0
107;02 Bosbouw;2018;17.0;17.0;-5.6;100.0
108;02 Bosbouw;2019;17.0;17.0;0.0;100.0
109;02 Bosbouw;2020;19.0;19.0;11.8;100.0
110;02 Bosbouw;2021;16.0;15.0;-21.1;106.7
111;02 Bosbouw;2022;;;;
112;03 Visserij;1995;43.0;65.0;;65.8
113;03 Visserij;1996;43.0;64.0;-2.3;67.4
114;03 Visserij;1997;34.0;50.0;-20.9;67.4
115;03 Visserij;1998;61.0;86.0;70.6;70.9
116;03 Visserij;1999;70.0;95.0;9.8;74.1
117;03 Visserij;2000;108.0;143.0;51.4;75.5
118;03 Visserij;2001;58.0;76.0;-47.2;76.8
119;03 Visserij;2002;82.0;100.0;32.8;81.8
120;03 Visserij;2003;54.0;67.0;-32.9;80.3
121;03 Visserij;2004;36.0;45.0;-33.3;80.3
122;03 Visserij;2005;26.0;31.0;-30.6;83.5
123;03 Visserij;2006;42.0;50.0;61.5;83.5
124;03 Visserij;2007;47.0;54.0;7.1;87.2
125;03 Visserij;2008;38.0;44.0;-19.1;87.2
126;03 Visserij;2009;73.0;79.0;81.6;92.3
127;03 Visserij;2010;29.0;30.0;-61.6;95.6
128;03 Visserij;2011;32.0;32.0;6.9;98.7
129;03 Visserij;2012;80.0;80.0;146.9;99.9
130;03 Visserij;2013;73.0;74.0;-7.5;98.6
131;03 Visserij;2014;69.0;69.0;-6.8;100.0
132;03 Visserij;2015;64.0;64.0;-7.2;100.0
133;03 Visserij;2016;59.0;60.0;-6.3;98.3
134;03 Visserij;2017;59.0;61.0;1.7;96.7
135;03 Visserij;2018;60.0;63.0;3.4;95.1
136;03 Visserij;2019;43.0;44.0;-30.0;97.4
137;03 Visserij;2020;44.0;45.0;2.3;97.4
138;03 Visserij;2021;50.0;50.0;11.4;99.4
139;03 Visserij;2022;;;;
140;B-E Nijverheid (geen bouw) en energie;1995;14192.0;17662.0;;80.4
141;B-E Nijverheid (geen bouw) en energie;1996;14760.0;18363.0;4.0;80.4
142;B-E Nijverheid (geen bouw) en energie;1997;15641.0;19388.0;5.6;80.7
143;B-E Nijverheid (geen bouw) en energie;1998;15395.0;19089.0;-1.5;80.6
144;B-E Nijverheid (geen bouw) en energie;1999;15478.0;19135.0;0.2;80.9
145;B-E Nijverheid (geen bouw) en energie;2000;15824.0;19146.0;0.1;82.6
146;B-E Nijverheid (geen bouw) en energie;2001;15927.0;18900.0;-1.3;84.3
147;B-E Nijverheid (geen bouw) en energie;2002;15950.0;18573.0;-1.7;85.9
148;B-E Nijverheid (geen bouw) en energie;2003;15712.0;18240.0;-1.8;86.1
149;B-E Nijverheid (geen bouw) en energie;2004;15312.0;17664.0;-3.2;86.7
150;B-E Nijverheid (geen bouw) en energie;2005;16069.0;18383.0;4.1;87.4
151;B-E Nijverheid (geen bouw) en energie;2006;17768.0;19995.0;8.8;88.9
152;B-E Nijverheid (geen bouw) en energie;2007;19084.0;21087.0;5.5;90.5
153;B-E Nijverheid (geen bouw) en energie;2008;20745.0;22320.0;5.8;92.9
154;B-E Nijverheid (geen bouw) en energie;2009;19578.0;20848.0;-6.6;93.9
155;B-E Nijverheid (geen bouw) en energie;2010;19508.0;20510.0;-1.6;95.1
156;B-E Nijverheid (geen bouw) en energie;2011;22620.0;23570.0;14.9;96.0
157;B-E Nijverheid (geen bouw) en energie;2012;22671.0;23319.0;-1.1;97.2
158;B-E Nijverheid (geen bouw) en energie;2013;21795.0;22312.0;-4.3;97.7
159;B-E Nijverheid (geen bouw) en energie;2014;24090.0;24532.0;10.0;98.2
160;B-E Nijverheid (geen bouw) en energie;2015;23418.0;23418.0;-4.5;100.0
161;B-E Nijverheid (geen bouw) en energie;2016;24610.0;24544.0;4.8;100.3
162;B-E Nijverheid (geen bouw) en energie;2017;23781.0;23511.0;-4.2;101.1
