ID;Periods;GrossDomesticProduct_1;ConsumptionOfFixedCapital_2;GrossOperatingSurplusAndMixedIncome_3;GrossNationalIncome_4;GrossDisposableNationalIncome_5;GrossNationalSaving_6;GrossFixedCapitalFormation_7;NetLendingOrNetBorrowing_8;NetLendingToPrivateSector_9;LendingToPrivateSectorEndOfPeriod_10;LabourInputOfEmployedPersons_11;GrossValueAdded_12;GrossOperatingSurplus_13;GrossProfitsBeforeTaxes_14;ProfitsFromForeignSubsidiaries_15;ProfitRatio_16;CapitalFormationRatio_17;LabourInputOfEmployees_18;GrossValueAdded_19;GrossProfitsBeforeTaxes_20;ProfitsFromForeignSubsidiaries_21;FinancialNetWorth_22;PropertyIncomeReceived_23;PropertyIncomePaid_24;LiquidityRatioMonFinInstitutions_25;FinancialAssetsOfPensionFunds_26;LabourInputOfEmployees_27;TotalRevenue_28;TaxesAndSocialSecurityContributions_29;TotalExpenditure_30;GovernmentDebtEMU_31;BalanceGeneralGovernmentSectorEMU_32;LabourInputOfEmployees_33;GrossOperatingSurplusAndMixedIncome_34;MixedIncome_35;GrossDisposableIncome_36;RealDisposableIncome_37;AdjustedDisposableIncome_38;FinalConsumptionExpenditure_39;FreeIndividualSavings_40;SavingsRatio_41;HouseholdsCapitalFormationRatio_42;SavingsDepositsAndOtherDeposits_43;InsurancePensionAndGuaranteeSchemes_44;PensionEntitlementsAndClaims_45;HomeMortgagesClosingBalance_46;HomeMortgagesNetLending_47;LabourInputOfEmployees_48;LabourInputOfSelfEmployedPersons_49;NetExportsShare_50;NetExports_51;NetPrimaryIncomeAbroad_52;NetCurrentTransfersAbroad_53;NetCapitalTransfersAbroad_54;SurplusOnCurrentTransactions_55;NetExternalAssets_56;NetExternalAssetsMarketValue_57
0;1995;329547;52442;132884;327621;321357;85219;71605;12691;4.0;191.4;5935.0;186355;69602;66976;2892;37.3;18.1;3573.0;22110;19110;2065;-59289;4.2;2.6;12.7;259417;201.0;45.2;36.8;54.0;73.2;-8.7;909.0;39846;30907;179842;;223161;162211;17631;15.4;10.7;114224;372241;304983;187362;13206;309.0;943.0;6.6;21827;-1926;-6287;-923;13614;-302162;
1;1996;344625;54428;139347;344573;337923;91861;77752;12779;11.2;193.9;6073.0;195359;73871;72948;4511;37.8;18.6;3678.0;22795;20549;3326;-46661;3.8;2.4;11.6;296587;205.0;45.4;36.9;47.2;71.4;-1.8;905.0;41495;32074;188172;3.2;231445;172382;15790;14.1;11.0;120684;401685;327574;207783;20679;316.0;969.0;6.0;20829;-52;-6668;-1330;14109;-318114;
2;1997;369046;56672;151936;367706;360598;99371;84301;13969;12.1;192.1;6259.0;209849;82142;79375;3523;39.1;18.3;3812.0;24000;23523;4334;-40376;3.7;2.4;13.5;341919;218.0;44.1;36.2;45.7;65.8;-1.6;912.0;45156;34900;200814;4.4;246604;183736;17078;13.9;11.9;124979;431615;349083;234688;27845;327.0;990.0;6.4;23542;-1340;-7132;-1108;15070;-359541;
3;1998;394295;59572;161973;387215;380556;100854;90466;9729;16.1;197.3;6440.0;225978;88801;88080;4356;39.3;18.4;3958.0;24955;23942;3761;-54924;3.6;2.4;18.0;383530;230.0;43.2;35.8;44.6;62.8;-1.4;936.0;47756;36400;212563;4.0;261683;197542;15021;12.2;11.7;133655;464502;370068;272162;34735;340.0;976.0;6.1;24165;-7080;-6697;-685;10388;-404566;
4;1999 1st quarter;101009;15824;42310;99895;98004;26079;22763;3227;;;;58528;23637;23378;1609;40.4;18.9;;6584;5453;1086;-38518;;;17.8;402933;;;;;;;;12113;9397;50837;;64105;51520;-683;4.8;14.8;135931;479696;377819;281088;9429;;;6.3;6333;-1114;-1903;-92;3316;-396878;
5;1999 2nd quarter;104536;15886;35974;104088;102644;26632;22637;3733;;;;58688;17505;20111;216;29.8;21.4;;6648;6872;2111;-18125;;;18.0;420507;;;;;;;;12203;9283;63162;;76509;53339;9823;20.3;12.0;138206;487112;385573;291115;10700;;;5.6;5897;-448;-1454;-265;3995;-391838;
6;1999 3rd quarter;102986;15909;42893;103002;101315;26686;23852;2516;;;;58738;23071;24044;3848;39.3;18.4;;6634;7400;2027;-32130;;;17.6;415248;;;;;;;;12935;9822;54084;;66333;54188;-104;6.2;10.8;140481;494906;393328;301549;10476;;;4.4;4520;16;-1702;-321;2834;-391905;
7;1999 4th quarter;110928;15935;46824;110530;108794;31920;28133;3678;19.5;206.0;;62580;26426;27368;957;42.2;20.0;;7125;7199;2066;-24304;3.4;2.4;16.7;445626;;43.8;36.8;43.6;58.7;0.2;;13298;10026;55317;;68366;53959;1358;7.8;12.5;142756;506931;401081;312029;9213;;;5.4;5935;-398;-1750;-112;3787;-425089;
8;1999;419459;63554;168001;417515;410757;111317;97385;13154;19.5;206.0;6602.0;238534;90639;94901;6630;38.0;19.7;4098.0;26991;26924;7290;-24304;3.4;2.4;16.7;445626;238.0;43.8;36.8;43.6;58.7;0.2;948.0;50549;38528;223400;3.1;275313;213006;10394;10.3;12.5;142756;506931;401081;312029;39818;353.0;965.0;5.4;22685;-1944;-6809;-790;13932;-425089;
9;2000 1st quarter;109154;17210;45362;107058;104766;27143;25021;2051;18.3;206.1;;63239;24912;23266;994;39.4;17.7;;7241;6005;2183;281;3.4;2.5;19.0;465718;;43.3;36.4;43.2;59.6;0.1;;13376;10090;55882;;70137;55668;214;6.4;13.4;144397;521480;412868;318547;8143;;;6.0;6519;-2096;-2301;-70;2122;-402127;
