ID;Perioden;TotaalJachthavens_1;InLoondienst_2;NietInLoondienst_3;WerkzamePersonenInLoondienst_4;TotaalWerkzamePersonen_5;WerkzamePersonenInLoondienst_6;WerkzamePersonenNietInLoondienst_7;DirecteurEigenaar_8;Inhuur_9;JachthavensMetVrijwilligers_10;TotaalBaten_11;VerhuurLigplaatsen_12;OverigeBaten_13;TotaalLasten_14;LonenEnSocialeLasten_15;PersoneelNietInLoondienst_16;Huisvestingskosten_17;OnderhoudEnSchoonmaak_18;Kapitaallasten_19;OverigeLasten_20;Saldo_21
0;1997;400;53;62;730;930;590;340;;;14;77;50;27;68;16;0;9;5;17;21;9
1;2000;375;51;61;790;950;670;280;93.0;7.0;22;107;58;49;94;21;1;13;8;20;31;13
2;2003;385;51;69;810;940;650;290;92.0;8.0;19;114;60;54;102;22;1;14;9;20;36;12
3;2006;390;50;64;940;1000;720;280;90.0;10.0;21;137;75;62;120;26;1;16;9;24;43;17
4;2009;395;48;68;890;980;670;310;87.0;13.0;22;142;78;65;123;26;2;19;10;23;42;19
5;2012;395;49;67;870;970;650;320;88.0;12.0;24;141;81;60;125;26;2;21;11;23;43;16
6;2015;415;45;60;780;910;570;340;83.0;17.0;21;133;79;54;119;24;4;22;7;19;42;14
7;2018;405;48;82;850;1020;660;360;87.0;13.0;20;133;72;60;114;28;3;23;9;12;38;19
8;2020;415;47;78;960;1110;750;360;92.0;8.0;23;150;90;61;126;31;5;25;10;12;43;25
9;2021;400;46;78;880;1052;720;331;79.0;21.0;22;152;86;66;125;29;6;21;10;3;56;28
