ID;Sex;EmploymentType;SectorBranchesSIC2008;Periods;EmployedPersons_1;Jobs_2;FullTimeEquivalentFte_3;HoursWorked_4
0;Total male and female;Total;A-U All economic activities;1995;7268.0;8021.0;5935.0;10768.0
1;Total male and female;Total;A-U All economic activities;1996;7420.0;8206.0;6073.0;11104.0
2;Total male and female;Total;A-U All economic activities;1997;7648.0;8421.0;6259.0;11334.0
3;Total male and female;Total;A-U All economic activities;1998;7830.0;8645.0;6440.0;11578.0
4;Total male and female;Total;A-U All economic activities;1999;8055.0;8888.0;6602.0;11899.0
5;Total male and female;Total;A-U All economic activities;2000;8203.0;9027.0;6703.0;12010.0
6;Total male and female;Total;A-U All economic activities;2001;8367.0;9152.0;6809.0;12166.0
7;Total male and female;Total;A-U All economic activities;2002;8427.0;9204.0;6797.0;12104.0
8;Total male and female;Total;A-U All economic activities;2003;8380.0;9141.0;6717.0;11965.0
9;Total male and female;Total;A-U All economic activities;2004;8285.0;9089.0;6668.0;11996.0
10;Total male and female;Total;A-U All economic activities;2005;8340.0;9175.0;6685.0;11956.0
11;Total male and female;Total;A-U All economic activities;2006;8521.0;9395.0;6833.0;12189.0
12;Total male and female;Total;A-U All economic activities;2007;8772.0;9696.0;7022.0;12537.0
13;Total male and female;Total;A-U All economic activities;2008;8915.0;9876.0;7148.0;12736.0
14;Total male and female;Total;A-U All economic activities;2009;8839.0;9814.0;7066.0;12552.0
15;Total male and female;Total;A-U All economic activities;2010;8779.0;9782.0;7025.0;12463.0
16;Total male and female;Total;A-U All economic activities;2011;8855.0;9918.0;7066.0;12576.0
17;Total male and female;Total;A-U All economic activities;2012;8837.0;9889.0;7023.0;12465.0
18;Total male and female;Total;A-U All economic activities;2013;8733.0;9756.0;6937.0;12355.0
19;Total male and female;Total;A-U All economic activities;2014;8725.0;9757.0;6927.0;12438.0
20;Total male and female;Total;A-U All economic activities;2015;8808.0;9881.0;7015.0;12559.0
21;Total male and female;Total;A-U All economic activities;2016;8943.0;10036.0;7159.0;12854.0
22;Total male and female;Total;A-U All economic activities;2017;9157.0;10282.0;7340.0;13156.0
23;Total male and female;Total;A-U All economic activities;2018;9408.0;10562.0;7561.0;13510.0
24;Total male and female;Total;A-U All economic activities;2019;9623.0;10788.0;7751.0;13867.0
25;Total male and female;Total;A-U All economic activities;2020;9584.0;10710.0;7670.0;13309.0
26;Total male and female;Total;A-U All economic activities;2021;9773.0;10941.0;7859.0;13751.0
27;Total male and female;Total;A-U All economic activities;2022;10157.0;11377.0;8145.0;14292.0
28;Total male and female;Total;A Agriculture, forestry and fishing;1995;235.0;293.0;206.0;429.0
29;Total male and female;Total;A Agriculture, forestry and fishing;1996;237.0;297.0;210.0;437.0
30;Total male and female;Total;A Agriculture, forestry and fishing;1997;241.0;299.0;211.0;437.0
31;Total male and female;Total;A Agriculture, forestry and fishing;1998;232.0;291.0;208.0;402.0
32;Total male and female;Total;A Agriculture, forestry and fishing;1999;234.0;294.0;211.0;431.0
33;Total male and female;Total;A Agriculture, forestry and fishing;2000;233.0;292.0;205.0;465.0
34;Total male and female;Total;A Agriculture, forestry and fishing;2001;237.0;289.0;198.0;448.0
35;Total male and female;Total;A Agriculture, forestry and fishing;2002;235.0;287.0;196.0;444.0
36;Total male and female;Total;A Agriculture, forestry and fishing;2003;230.0;280.0;190.0;420.0
37;Total male and female;Total;A Agriculture, forestry and fishing;2004;224.0;274.0;184.0;417.0
38;Total male and female;Total;A Agriculture, forestry and fishing;2005;219.0;267.0;182.0;411.0
39;Total male and female;Total;A Agriculture, forestry and fishing;2006;215.0;261.0;178.0;400.0
40;Total male and female;Total;A Agriculture, forestry and fishing;2007;213.0;259.0;176.0;394.0
41;Total male and female;Total;A Agriculture, forestry and fishing;2008;209.0;255.0;173.0;392.0
42;Total male and female;Total;A Agriculture, forestry and fishing;2009;205.0;250.0;171.0;389.0
43;Total male and female;Total;A Agriculture, forestry and fishing;2010;203.0;248.0;168.0;383.0
44;Total male and female;Total;A Agriculture, forestry and fishing;2011;201.0;250.0;167.0;380.0
45;Total male and female;Total;A Agriculture, forestry and fishing;2012;199.0;246.0;164.0;374.0
46;Total male and female;Total;A Agriculture, forestry and fishing;2013;196.0;241.0;166.0;373.0
47;Total male and female;Total;A Agriculture, forestry and fishing;2014;195.0;241.0;164.0;376.0
48;Total male and female;Total;A Agriculture, forestry and fishing;2015;194.0;240.0;162.0;372.0
49;Total male and female;Total;A Agriculture, forestry and fishing;2016;196.0;244.0;166.0;383.0
50;Total male and female;Total;A Agriculture, forestry and fishing;2017;198.0;248.0;170.0;391.0
51;Total male and female;Total;A Agriculture, forestry and fishing;2018;200.0;251.0;175.0;394.0
52;Total male and female;Total;A Agriculture, forestry and fishing;2019;201.0;251.0;176.0;402.0
53;Total male and female;Total;A Agriculture, forestry and fishing;2020;201.0;252.0;176.0;394.0
54;Total male and female;Total;A Agriculture, forestry and fishing;2021;203.0;254.0;177.0;396.0
55;Total male and female;Total;A Agriculture, forestry and fishing;2022;204.0;255.0;179.0;400.0
56;Total male and female;Total;01 Agriculture;1995;227.0;285.0;199.0;414.0
57;Total male and female;Total;01 Agriculture;1996;230.0;289.0;204.0;423.0
58;Total male and female;Total;01 Agriculture;1997;234.0;291.0;204.0;423.0
59;Total male and female;Total;01 Agriculture;1998;225.0;284.0;202.0;389.0
60;Total male and female;Total;01 Agriculture;1999;227.0;287.0;205.0;417.0
61;Total male and female;Total;01 Agriculture;2000;226.0;285.0;199.0;450.0
62;Total male and female;Total;01 Agriculture;2001;230.0;282.0;192.0;434.0
63;Total male and female;Total;01 Agriculture;2002;229.0;280.0;190.0;431.0
64;Total male and female;Total;01 Agriculture;2003;224.0;273.0;184.0;408.0
65;Total male and female;Total;01 Agriculture;2004;218.0;268.0;178.0;405.0
66;Total male and female;Total;01 Agriculture;2005;213.0;261.0;176.0;399.0
67;Total male and female;Total;01 Agriculture;2006;210.0;256.0;173.0;389.0
68;Total male and female;Total;01 Agriculture;2007;208.0;253.0;171.0;383.0
69;Total male and female;Total;01 Agriculture;2008;204.0;249.0;168.0;381.0
70;Total male and female;Total;01 Agriculture;2009;199.0;244.0;166.0;378.0
71;Total male and female;Total;01 Agriculture;2010;198.0;243.0;164.0;373.0
72;Total male and female;Total;01 Agriculture;2011;196.0;245.0;163.0;370.0
73;Total male and female;Total;01 Agriculture;2012;194.0;241.0;160.0;364.0
74;Total male and female;Total;01 Agriculture;2013;191.0;236.0;162.0;363.0
75;Total male and female;Total;01 Agriculture;2014;190.0;235.0;160.0;366.0
76;Total male and female;Total;01 Agriculture;2015;189.0;235.0;158.0;362.0
77;Total male and female;Total;01 Agriculture;2016;191.0;239.0;161.0;373.0
78;Total male and female;Total;01 Agriculture;2017;193.0;242.0;165.0;381.0
79;Total male and female;Total;01 Agriculture;2018;195.0;245.0;170.0;384.0
80;Total male and female;Total;01 Agriculture;2019;196.0;245.0;172.0;391.0
81;Total male and female;Total;01 Agriculture;2020;196.0;246.0;171.0;384.0
82;Total male and female;Total;01 Agriculture;2021;198.0;248.0;172.0;386.0
83;Total male and female;Total;01 Agriculture;2022;198.0;249.0;174.0;389.0
84;Total male and female;Total;02 Forestry and logging;1995;2.0;2.0;2.0;3.0
85;Total male and female;Total;02 Forestry and logging;1996;2.0;2.0;2.0;4.0
86;Total male and female;Total;02 Forestry and logging;1997;2.0;2.0;2.0;4.0
87;Total male and female;Total;02 Forestry and logging;1998;2.0;2.0;2.0;3.0
88;Total male and female;Total;02 Forestry and logging;1999;2.0;2.0;2.0;4.0
89;Total male and female;Total;02 Forestry and logging;2000;2.0;2.0;2.0;4.0
90;Total male and female;Total;02 Forestry and logging;2001;2.0;3.0;2.0;4.0
91;Total male and female;Total;02 Forestry and logging;2002;2.0;3.0;2.0;4.0
92;Total male and female;Total;02 Forestry and logging;2003;2.0;3.0;2.0;4.0
93;Total male and female;Total;02 Forestry and logging;2004;2.0;2.0;2.0;4.0
94;Total male and female;Total;02 Forestry and logging;2005;2.0;2.0;2.0;4.0
95;Total male and female;Total;02 Forestry and logging;2006;2.0;2.0;2.0;4.0
96;Total male and female;Total;02 Forestry and logging;2007;2.0;2.0;2.0;4.0
97;Total male and female;Total;02 Forestry and logging;2008;2.0;2.0;2.0;4.0
98;Total male and female;Total;02 Forestry and logging;2009;2.0;2.0;2.0;4.0
99;Total male and female;Total;02 Forestry and logging;2010;2.0;2.0;2.0;4.0
100;Total male and female;Total;02 Forestry and logging;2011;2.0;2.0;2.0;4.0
101;Total male and female;Total;02 Forestry and logging;2012;2.0;2.0;2.0;4.0
102;Total male and female;Total;02 Forestry and logging;2013;2.0;2.0;2.0;4.0
103;Total male and female;Total;02 Forestry and logging;2014;2.0;2.0;2.0;4.0
104;Total male and female;Total;02 Forestry and logging;2015;2.0;2.0;2.0;4.0
105;Total male and female;Total;02 Forestry and logging;2016;2.0;2.0;2.0;4.0
106;Total male and female;Total;02 Forestry and logging;2017;2.0;3.0;2.0;4.0
107;Total male and female;Total;02 Forestry and logging;2018;2.0;3.0;2.0;4.0
108;Total male and female;Total;02 Forestry and logging;2019;2.0;3.0;2.0;4.0
109;Total male and female;Total;02 Forestry and logging;2020;3.0;3.0;2.0;4.0
110;Total male and female;Total;02 Forestry and logging;2021;3.0;3.0;2.0;4.0
111;Total male and female;Total;02 Forestry and logging;2022;3.0;3.0;3.0;5.0
112;Total male and female;Total;03 Fishing and aquaculture;1995;5.0;5.0;5.0;11.0
113;Total male and female;Total;03 Fishing and aquaculture;1996;5.0;5.0;4.0;11.0
114;Total male and female;Total;03 Fishing and aquaculture;1997;5.0;5.0;4.0;11.0
115;Total male and female;Total;03 Fishing and aquaculture;1998;4.0;5.0;4.0;10.0
116;Total male and female;Total;03 Fishing and aquaculture;1999;4.0;5.0;4.0;10.0
117;Total male and female;Total;03 Fishing and aquaculture;2000;4.0;5.0;4.0;11.0
118;Total male and female;Total;03 Fishing and aquaculture;2001;4.0;4.0;4.0;10.0
119;Total male and female;Total;03 Fishing and aquaculture;2002;4.0;4.0;3.0;9.0
120;Total male and female;Total;03 Fishing and aquaculture;2003;4.0;4.0;3.0;8.0
121;Total male and female;Total;03 Fishing and aquaculture;2004;3.0;4.0;3.0;8.0
122;Total male and female;Total;03 Fishing and aquaculture;2005;3.0;4.0;3.0;8.0
123;Total male and female;Total;03 Fishing and aquaculture;2006;3.0;4.0;3.0;8.0
124;Total male and female;Total;03 Fishing and aquaculture;2007;3.0;4.0;3.0;8.0
125;Total male and female;Total;03 Fishing and aquaculture;2008;3.0;4.0;3.0;7.0
126;Total male and female;Total;03 Fishing and aquaculture;2009;3.0;3.0;3.0;7.0
127;Total male and female;Total;03 Fishing and aquaculture;2010;3.0;3.0;3.0;6.0
128;Total male and female;Total;03 Fishing and aquaculture;2011;3.0;3.0;3.0;6.0
