ID;KenmerkenHuishouden;RegioS;Perioden;ParticuliereHuishoudens_1;ParticuliereHuishoudensRelatief_2;TotaalVermogen_3;GemiddeldVermogen_4;MediaanVermogen_5
0;Particuliere huishoudens;Nederland;2011;7347.5;100;1213.1;165.1;32.8
1;Particuliere huishoudens;Nederland;2012;7412.1;100;1141.6;154.0;25.5
2;Particuliere huishoudens;Nederland;2013;7467.8;100;1029.7;137.9;17.2
3;Particuliere huishoudens;Nederland;2014;7496.4;100;1042.9;139.1;16.8
4;Particuliere huishoudens;Nederland;2015;7568.5;100;1096.4;144.9;20.1
5;Particuliere huishoudens;Nederland;2016;7623.2;100;1167.2;153.1;22.2
6;Particuliere huishoudens;Nederland;2017;7691.8;100;1259.5;163.8;28.3
7;Particuliere huishoudens;Noord-Nederland (LD);2011;763.2;100;106.3;139.3;37.9
8;Particuliere huishoudens;Noord-Nederland (LD);2012;768.2;100;99.4;129.4;29.6
9;Particuliere huishoudens;Noord-Nederland (LD);2013;772.8;100;89.9;116.3;20.2
10;Particuliere huishoudens;Noord-Nederland (LD);2014;774.0;100;90.4;116.8;19.1
11;Particuliere huishoudens;Noord-Nederland (LD);2015;779.0;100;93.8;120.4;21.3
12;Particuliere huishoudens;Noord-Nederland (LD);2016;781.3;100;98.3;125.8;22.6
13;Particuliere huishoudens;Noord-Nederland (LD);2017;786.1;100;103.7;131.9;27.1
14;Particuliere huishoudens;Oost-Nederland (LD);2011;1482.8;100;241.7;163.0;40.7
15;Particuliere huishoudens;Oost-Nederland (LD);2012;1496.8;100;227.3;151.9;31.3
16;Particuliere huishoudens;Oost-Nederland (LD);2013;1510.0;100;205.8;136.3;21.2
17;Particuliere huishoudens;Oost-Nederland (LD);2014;1513.7;100;206.9;136.7;20.6
18;Particuliere huishoudens;Oost-Nederland (LD);2015;1527.5;100;216.3;141.6;23.5
19;Particuliere huishoudens;Oost-Nederland (LD);2016;1538.9;100;228.3;148.4;25.8
20;Particuliere huishoudens;Oost-Nederland (LD);2017;1555.0;100;243.9;156.8;31.2
21;Particuliere huishoudens;West-Nederland (LD);2011;3542.5;100;589.9;166.5;24.1
22;Particuliere huishoudens;West-Nederland (LD);2012;3575.4;100;556.2;155.6;19.0
23;Particuliere huishoudens;West-Nederland (LD);2013;3601.3;100;499.1;138.6;11.3
24;Particuliere huishoudens;West-Nederland (LD);2014;3619.0;100;508.2;140.4;11.3
25;Particuliere huishoudens;West-Nederland (LD);2015;3658.9;100;540.4;147.7;15.2
26;Particuliere huishoudens;West-Nederland (LD);2016;3690.0;100;582.0;157.7;17.6
27;Particuliere huishoudens;West-Nederland (LD);2017;3722.9;100;636.5;171.0;23.1
28;Particuliere huishoudens;Zuid-Nederland (LD);2011;1557.9;100;275.1;176.6;54.3
29;Particuliere huishoudens;Zuid-Nederland (LD);2012;1571.1;100;258.5;164.6;42.7
30;Particuliere huishoudens;Zuid-Nederland (LD);2013;1583.3;100;234.9;148.4;30.0
31;Particuliere huishoudens;Zuid-Nederland (LD);2014;1589.7;100;237.4;149.4;29.0
32;Particuliere huishoudens;Zuid-Nederland (LD);2015;1603.2;100;245.9;153.4;32.0
33;Particuliere huishoudens;Zuid-Nederland (LD);2016;1613.0;100;258.6;160.3;35.2
34;Particuliere huishoudens;Zuid-Nederland (LD);2017;1627.8;100;275.4;169.2;41.3
35;Particuliere huishoudens;Groningen (PV);2011;274.6;100;32.0;116.5;20.0
36;Particuliere huishoudens;Groningen (PV);2012;277.3;100;29.7;107.2;14.8
37;Particuliere huishoudens;Groningen (PV);2013;279.6;100;26.8;95.9;8.6
38;Particuliere huishoudens;Groningen (PV);2014;280.1;100;27.3;97.3;8.4
39;Particuliere huishoudens;Groningen (PV);2015;282.9;100;28.7;101.5;10.3
40;Particuliere huishoudens;Groningen (PV);2016;283.7;100;30.3;106.9;11.3
41;Particuliere huishoudens;Groningen (PV);2017;284.5;100;31.2;109.8;13.8
42;Particuliere huishoudens;Friesland (PV);2011;279.8;100;41.3;147.7;48.0
43;Particuliere huishoudens;Friesland (PV);2012;281.1;100;38.9;138.3;38.5
44;Particuliere huishoudens;Friesland (PV);2013;282.5;100;35.4;125.5;27.2
45;Particuliere huishoudens;Friesland (PV);2014;283.3;100;35.4;124.9;25.3
46;Particuliere huishoudens;Friesland (PV);2015;284.6;100;36.3;127.5;27.7
47;Particuliere huishoudens;Friesland (PV);2016;285.4;100;37.8;132.5;29.4
48;Particuliere huishoudens;Friesland (PV);2017;287.3;100;40.3;140.2;35.6
49;Particuliere huishoudens;Drenthe (PV);2011;208.8;100;33.0;158.0;59.4
50;Particuliere huishoudens;Drenthe (PV);2012;209.9;100;30.8;146.9;47.7
51;Particuliere huishoudens;Drenthe (PV);2013;210.7;100;27.6;131.1;33.2
52;Particuliere huishoudens;Drenthe (PV);2014;210.6;100;27.8;131.9;31.6
53;Particuliere huishoudens;Drenthe (PV);2015;211.5;100;28.8;136.3;35.0
54;Particuliere huishoudens;Drenthe (PV);2016;212.2;100;30.1;142.0;38.0
55;Particuliere huishoudens;Drenthe (PV);2017;214.3;100;32.2;150.2;42.9
56;Particuliere huishoudens;Overijssel (PV);2011;474.6;100;73.6;155.0;40.4
57;Particuliere huishoudens;Overijssel (PV);2012;477.9;100;70.0;146.5;31.8
58;Particuliere huishoudens;Overijssel (PV);2013;481.0;100;63.9;132.8;22.1
59;Particuliere huishoudens;Overijssel (PV);2014;480.0;100;64.3;133.9;22.0
60;Particuliere huishoudens;Overijssel (PV);2015;483.4;100;67.4;139.4;24.7
61;Particuliere huishoudens;Overijssel (PV);2016;486.6;100;71.6;147.2;27.7
62;Particuliere huishoudens;Overijssel (PV);2017;491.1;100;76.6;156.0;33.0
63;Particuliere huishoudens;Flevoland (PV);2011;157.4;100;15.3;97.3;13.8
64;Particuliere huishoudens;Flevoland (PV);2012;159.9;100;14.2;88.6;7.9
65;Particuliere huishoudens;Flevoland (PV);2013;161.4;100;12.3;76.0;2.8
66;Particuliere huishoudens;Flevoland (PV);2014;162.2;100;12.9;79.6;3.0
67;Particuliere huishoudens;Flevoland (PV);2015;163.9;100;14.3;87.3;5.8
68;Particuliere huishoudens;Flevoland (PV);2016;165.4;100;15.6;94.0;7.9
69;Particuliere huishoudens;Flevoland (PV);2017;167.4;100;17.3;103.1;13.3
70;Particuliere huishoudens;Gelderland (PV);2011;850.9;100;152.8;179.6;49.9
71;Particuliere huishoudens;Gelderland (PV);2012;859.1;100;143.1;166.6;38.5
72;Particuliere huishoudens;Gelderland (PV);2013;867.6;100;129.6;149.4;26.1
73;Particuliere huishoudens;Gelderland (PV);2014;871.5;100;129.7;148.8;24.8
74;Particuliere huishoudens;Gelderland (PV);2015;880.2;100;134.6;152.9;27.5
75;Particuliere huishoudens;Gelderland (PV);2016;886.8;100;141.1;159.1;29.6
76;Particuliere huishoudens;Gelderland (PV);2017;896.5;100;150.0;167.4;35.9
77;Particuliere huishoudens;Utrecht (PV);2011;542.1;100;101.8;187.8;35.5
78;Particuliere huishoudens;Utrecht (PV);2012;546.9;100;96.9;177.1;28.1
79;Particuliere huishoudens;Utrecht (PV);2013;551.9;100;87.8;159.2;18.8
80;Particuliere huishoudens;Utrecht (PV);2014;555.6;100;88.3;158.9;18.2
81;Particuliere huishoudens;Utrecht (PV);2015;562.2;100;93.2;165.9;21.9
82;Particuliere huishoudens;Utrecht (PV);2016;567.1;100;99.3;175.1;25.1
83;Particuliere huishoudens;Utrecht (PV);2017;572.5;100;109.4;191.1;35.0
84;Particuliere huishoudens;Noord-Holland (PV);2011;1249.6;100;221.1;176.9;22.3
85;Particuliere huishoudens;Noord-Holland (PV);2012;1261.3;100;209.8;166.3;17.5
86;Particuliere huishoudens;Noord-Holland (PV);2013;1271.0;100;188.5;148.3;10.4
87;Particuliere huishoudens;Noord-Holland (PV);2014;1280.8;100;191.9;149.8;10.5
88;Particuliere huishoudens;Noord-Holland (PV);2015;1296.5;100;205.3;158.4;14.6
89;Particuliere huishoudens;Noord-Holland (PV);2016;1309.3;100;225.7;172.4;17.6
90;Particuliere huishoudens;Noord-Holland (PV);2017;1321.2;100;251.1;190.1;23.8
91;Particuliere huishoudens;Zuid-Holland (PV);2011;1583.6;100;236.4;149.3;20.1
92;Particuliere huishoudens;Zuid-Holland (PV);2012;1598.9;100;220.1;137.7;15.1
93;Particuliere huishoudens;Zuid-Holland (PV);2013;1609.0;100;194.9;121.2;8.4
94;Particuliere huishoudens;Zuid-Holland (PV);2014;1613.1;100;199.2;123.5;8.3
95;Particuliere huishoudens;Zuid-Holland (PV);2015;1630.1;100;212.0;130.1;11.7
96;Particuliere huishoudens;Zuid-Holland (PV);2016;1642.9;100;225.9;137.5;13.5
97;Particuliere huishoudens;Zuid-Holland (PV);2017;1657.5;100;243.3;146.8;17.9
98;Particuliere huishoudens;Zeeland (PV);2011;167.2;100;30.6;183.1;73.1
99;Particuliere huishoudens;Zeeland (PV);2012;168.4;100;29.4;174.7;60.8
100;Particuliere huishoudens;Zeeland (PV);2013;169.4;100;27.8;164.3;46.9
101;Particuliere huishoudens;Zeeland (PV);2014;169.6;100;28.7;169.5;47.8
102;Particuliere huishoudens;Zeeland (PV);2015;170.1;100;29.8;175.2;52.1
103;Particuliere huishoudens;Zeeland (PV);2016;170.7;100;31.1;181.9;55.4
104;Particuliere huishoudens;Zeeland (PV);2017;171.7;100;32.7;190.5;60.8
105;Particuliere huishoudens;Noord-Brabant (PV);2011;1057.0;100;203.2;192.2;62.4
106;Particuliere huishoudens;Noord-Brabant (PV);2012;1066.9;100;190.8;178.8;48.6
107;Particuliere huishoudens;Noord-Brabant (PV);2013;1076.5;100;173.3;161.0;33.9
108;Particuliere huishoudens;Noord-Brabant (PV);2014;1082.8;100;174.8;161.5;32.7
109;Particuliere huishoudens;Noord-Brabant (PV);2015;1093.9;100;181.5;165.9;36.0
110;Particuliere huishoudens;Noord-Brabant (PV);2016;1101.9;100;189.8;172.2;39.0
111;Particuliere huishoudens;Noord-Brabant (PV);2017;1113.1;100;202.4;181.8;46.0
112;Particuliere huishoudens;Limburg (PV);2011;500.9;100;71.9;143.6;40.8
113;Particuliere huishoudens;Limburg (PV);2012;504.3;100;67.8;134.4;33.0
114;Particuliere huishoudens;Limburg (PV);2013;506.7;100;61.7;121.7;23.4
115;Particuliere huishoudens;Limburg (PV);2014;507.0;100;62.6;123.5;22.7
116;Particuliere huishoudens;Limburg (PV);2015;509.3;100;64.4;126.4;24.7
117;Particuliere huishoudens;Limburg (PV);2016;511.1;100;68.9;134.7;27.8
118;Particuliere huishoudens;Limburg (PV);2017;514.7;100;73.0;141.8;32.5
119;Particuliere huishoudens;Oost-Groningen (CR);2011;60.9;100;7.2;119.0;37.9
120;Particuliere huishoudens;Oost-Groningen (CR);2012;61.1;100;6.9;112.1;30.2
121;Particuliere huishoudens;Oost-Groningen (CR);2013;61.3;100;6.0;98.5;19.2
122;Particuliere huishoudens;Oost-Groningen (CR);2014;60.8;100;6.0;98.6;18.2
123;Particuliere huishoudens;Oost-Groningen (CR);2015;61.5;100;6.2;101.2;19.7
124;Particuliere huishoudens;Oost-Groningen (CR);2016;61.5;100;6.4;104.7;19.5
125;Particuliere huishoudens;Oost-Groningen (CR);2017;61.3;100;6.8;111.1;22.2
126;Particuliere huishoudens;Delfzijl en omgeving (CR);2011;21.6;100;2.5;114.8;32.4
127;Particuliere huishoudens;Delfzijl en omgeving (CR);2012;21.6;100;2.4;109.4;26.8
128;Particuliere huishoudens;Delfzijl en omgeving (CR);2013;21.6;100;2.1;99.5;19.2
129;Particuliere huishoudens;Delfzijl en omgeving (CR);2014;21.4;100;2.2;101.7;17.8
130;Particuliere huishoudens;Delfzijl en omgeving (CR);2015;21.4;100;2.2;102.8;19.0
131;Particuliere huishoudens;Delfzijl en omgeving (CR);2016;21.4;100;2.2;102.3;18.3
132;Particuliere huishoudens;Delfzijl en omgeving (CR);2017;21.4;100;2.3;108.1;20.3
133;Particuliere huishoudens;Overig Groningen (CR);2011;192.1;100;22.3;115.9;14.5
134;Particuliere huishoudens;Overig Groningen (CR);2012;194.6;100;20.5;105.4;10.5
135;Particuliere huishoudens;Overig Groningen (CR);2013;196.8;100;18.6;94.7;6.2
136;Particuliere huishoudens;Overig Groningen (CR);2014;197.8;100;19.1;96.5;6.1
137;Particuliere huishoudens;Overig Groningen (CR);2015;199.9;100;20.3;101.4;8.0
138;Particuliere huishoudens;Overig Groningen (CR);2016;200.8;100;21.7;108.0;9.1
139;Particuliere huishoudens;Overig Groningen (CR);2017;201.8;100;22.1;109.6;11.3
140;Particuliere huishoudens;Noord-Friesland (CR);2011;140.4;100;18.3;130.1;37.9
141;Particuliere huishoudens;Noord-Friesland (CR);2012;141.3;100;17.3;122.1;30.2
142;Particuliere huishoudens;Noord-Friesland (CR);2013;142.1;100;15.7;110.6;21.3
143;Particuliere huishoudens;Noord-Friesland (CR);2014;142.7;100;15.6;109.4;19.3
144;Particuliere huishoudens;Noord-Friesland (CR);2015;143.4;100;16.2;112.7;21.9
145;Particuliere huishoudens;Noord-Friesland (CR);2016;143.8;100;16.7;116.0;22.7
146;Particuliere huishoudens;Noord-Friesland (CR);2017;144.8;100;17.9;123.7;27.6
147;Particuliere huishoudens;Zuidwest-Friesland (CR);2011;59.4;100;10.7;180.5;72.7
148;Particuliere huishoudens;Zuidwest-Friesland (CR);2012;59.5;100;10.1;169.1;60.2
149;Particuliere huishoudens;Zuidwest-Friesland (CR);2013;59.8;100;9.3;155.2;43.9
150;Particuliere huishoudens;Zuidwest-Friesland (CR);2014;60.1;100;9.5;158.0;42.4
151;Particuliere huishoudens;Zuidwest-Friesland (CR);2015;60.3;100;9.6;159.3;45.5
152;Particuliere huishoudens;Zuidwest-Friesland (CR);2016;60.6;100;10.1;166.0;49.8
153;Particuliere huishoudens;Zuidwest-Friesland (CR);2017;61.0;100;10.6;173.5;57.8
154;Particuliere huishoudens;Zuidoost-Friesland (CR);2011;79.9;100;12.3;154.3;51.9
155;Particuliere huishoudens;Zuidoost-Friesland (CR);2012;80.3;100;11.6;144.1;41.2
156;Particuliere huishoudens;Zuidoost-Friesland (CR);2013;80.5;100;10.4;129.6;29.6
157;Particuliere huishoudens;Zuidoost-Friesland (CR);2014;80.5;100;10.3;127.7;28.0
158;Particuliere huishoudens;Zuidoost-Friesland (CR);2015;80.9;100;10.5;130.1;29.5
159;Particuliere huishoudens;Zuidoost-Friesland (CR);2016;81.0;100;11.1;136.6;31.9
160;Particuliere huishoudens;Zuidoost-Friesland (CR);2017;81.6;100;11.8;144.8;38.0
161;Particuliere huishoudens;Noord-Drenthe (CR);2011;80.9;100;13.9;172.3;70.2
162;Particuliere huishoudens;Noord-Drenthe (CR);2012;81.4;100;12.9;158.8;57.3
163;Particuliere huishoudens;Noord-Drenthe (CR);2013;81.8;100;11.7;142.5;40.5
