ID;InEnUitvoer;Perioden;OorspronkelijkeReeks_1;WerkdaggecorrigeerdeReeks_2;Prijs_3;OorspronkelijkeReeks_4;WerkdaggecorrigeerdeReeks_5;OorspronkelijkeReeks_6;WerkdaggecorrigeerdeReeks_7;Prijs_8;OorspronkelijkeReeks_9;WerkdaggecorrigeerdeReeks_10
0;Invoer;1995 januari;35.5;35.2;94.2;37.7;37.4;;;;;
1;Invoer;1995 februari;34.5;34.8;91.3;37.8;38.1;;;;;
2;Invoer;1995 maart;42.0;41.0;92.8;45.2;44.1;;;;;
3;Invoer;1995 1e kwartaal;37.3;37.0;92.8;40.2;39.9;;;;;
4;Invoer;1995 april;35.2;36.2;93.4;37.7;38.7;;;;;
5;Invoer;1995 mei;37.7;36.5;90.2;41.8;40.5;;;;;
6;Invoer;1995 juni;37.7;37.4;90.5;41.6;41.4;;;;;
7;Invoer;1995 2e kwartaal;36.9;36.7;91.3;40.4;40.2;;;;;
8;Invoer;1995 juli;32.7;33.7;90.1;36.3;37.4;;;;;
9;Invoer;1995 augustus;33.5;32.7;92.2;36.3;35.5;;;;;
10;Invoer;1995 september;36.4;36.8;90.9;40.1;40.5;;;;;
11;Invoer;1995 3e kwartaal;34.2;34.4;91.0;37.6;37.8;;;;;
12;Invoer;1995 oktober;37.0;37.1;92.8;39.8;40.0;;;;;
13;Invoer;1995 november;39.5;38.9;94.6;41.8;41.2;;;;;
14;Invoer;1995 december;37.8;39.3;96.5;39.1;40.7;;;;;
15;Invoer;1995 4e kwartaal;38.1;38.4;94.6;40.2;40.6;;;;;
16;Invoer;1995;36.6;36.6;92.5;39.6;39.6;;;;;
17;Invoer;1996 januari;38.0;37.3;92.5;41.1;40.3;6.9;6.0;-1.8;8.9;7.9
18;Invoer;1996 februari;36.7;35.4;89.4;41.0;39.5;6.3;1.6;-2.1;8.5;3.7
19;Invoer;1996 maart;41.5;42.7;92.8;44.8;46.0;-1.1;4.3;0.0;-1.1;4.3
20;Invoer;1996 1e kwartaal;38.7;38.5;91.6;42.3;42.0;3.7;4.0;-1.3;5.1;5.2
21;Invoer;1996 april;37.2;36.8;94.3;39.4;39.1;5.6;1.9;0.9;4.6;0.9
22;Invoer;1996 mei;38.2;37.7;90.2;42.4;41.8;1.4;3.2;0.0;1.4;3.2
23;Invoer;1996 juni;36.9;38.0;90.6;40.7;41.9;-2.2;1.4;0.0;-2.2;1.3
24;Invoer;1996 2e kwartaal;37.4;37.5;91.6;40.8;40.9;1.5;2.1;0.4;1.2;1.8
25;Invoer;1996 juli;37.0;36.2;90.7;40.8;39.9;13.1;7.3;0.6;12.4;6.6
26;Invoer;1996 augustus;35.7;35.8;92.4;38.6;38.7;6.5;9.4;0.3;6.2;9.1
27;Invoer;1996 september;38.7;39.1;91.8;42.2;42.6;6.3;6.3;1.0;5.2;5.2
28;Invoer;1996 3e kwartaal;37.1;37.0;91.6;40.5;40.4;8.5;7.6;0.6;7.9;6.9
29;Invoer;1996 oktober;42.0;41.0;95.4;44.0;43.0;13.6;10.7;2.8;10.6;7.7
30;Invoer;1996 november;41.2;41.7;96.5;42.7;43.2;4.3;7.1;2.0;2.2;5.0
31;Invoer;1996 december;41.5;42.1;98.9;42.0;42.6;9.9;7.1;2.4;7.3;4.5
32;Invoer;1996 4e kwartaal;41.6;41.6;96.9;42.9;42.9;9.2;8.2;2.4;6.6;5.7
33;Invoer;1996;38.7;38.6;93.0;41.6;41.6;5.7;5.5;0.5;5.1;4.9
34;Invoer;1997 januari;41.4;40.6;95.1;43.5;42.7;9.0;9.0;2.8;6.0;6.0
35;Invoer;1997 februari;40.8;41.2;91.9;44.4;44.8;11.2;16.4;2.7;8.3;13.3
36;Invoer;1997 maart;44.6;46.7;93.7;47.6;49.8;7.4;9.3;1.0;6.4;8.2
37;Invoer;1997 1e kwartaal;42.3;42.8;93.6;45.2;45.8;9.1;11.4;2.1;6.9;9.1
38;Invoer;1997 april;43.5;42.4;94.4;46.1;44.9;17.0;15.0;0.1;16.9;14.9
39;Invoer;1997 mei;41.3;41.8;91.3;45.3;45.8;8.1;11.0;1.2;6.8;9.7
40;Invoer;1997 juni;42.8;42.9;91.9;46.6;46.7;16.1;13.1;1.5;14.4;11.4
41;Invoer;1997 2e kwartaal;42.5;42.4;92.5;46.0;45.8;13.7;13.0;1.0;12.6;11.9
42;Invoer;1997 juli;42.4;41.5;93.5;45.4;44.4;14.7;14.7;3.1;11.3;11.3
43;Invoer;1997 augustus;39.8;41.0;95.7;41.5;42.8;11.5;14.5;3.6;7.7;10.5
44;Invoer;1997 september;45.7;45.0;93.4;48.9;48.1;18.0;15.0;1.8;15.9;12.9
45;Invoer;1997 3e kwartaal;42.6;42.5;94.1;45.3;45.1;14.8;14.7;2.8;11.8;11.6
46;Invoer;1997 oktober;46.0;44.9;96.4;47.7;46.6;9.4;9.4;1.1;8.3;8.3
47;Invoer;1997 november;44.7;46.4;97.4;45.9;47.7;8.5;11.4;0.9;7.5;10.4
48;Invoer;1997 december;45.4;44.8;98.1;46.3;45.7;9.3;6.5;-0.8;10.2;7.3
49;Invoer;1997 4e kwartaal;45.4;45.4;97.3;46.6;46.7;9.1;9.1;0.4;8.7;8.7
50;Invoer;1997;43.2;43.3;94.4;45.8;45.8;11.6;12.0;1.5;9.9;10.3
51;Invoer;1998 januari;43.9;44.3;94.2;46.7;47.0;6.2;9.0;-0.9;7.2;10.1
52;Invoer;1998 februari;43.7;44.1;90.6;48.3;48.7;7.2;7.2;-1.4;8.7;8.7
53;Invoer;1998 maart;50.8;50.9;92.6;54.9;54.9;13.8;9.0;-1.2;15.2;10.3
54;Invoer;1998 1e kwartaal;46.1;46.4;92.4;49.9;50.2;9.2;8.4;-1.2;10.5;9.7
55;Invoer;1998 april;44.3;43.9;93.2;47.5;47.1;1.8;3.5;-1.2;3.0;4.8
56;Invoer;1998 mei;42.3;43.2;89.3;47.3;48.3;2.3;3.2;-2.1;4.5;5.4
57;Invoer;1998 juni;45.5;45.2;89.0;51.2;50.8;6.3;5.3;-3.2;9.8;8.8
58;Invoer;1998 2e kwartaal;44.0;44.1;90.5;48.6;48.7;3.4;4.0;-2.2;5.8;6.4
59;Invoer;1998 juli;43.4;42.4;88.9;48.8;47.7;2.2;2.2;-4.9;7.5;7.5
60;Invoer;1998 augustus;40.4;41.7;90.0;44.9;46.3;1.7;1.7;-6.0;8.1;8.1
61;Invoer;1998 september;45.9;45.2;88.1;52.1;51.3;0.4;0.4;-5.7;6.5;6.5
62;Invoer;1998 3e kwartaal;43.2;43.1;88.9;48.6;48.4;1.4;1.4;-5.5;7.3;7.3
63;Invoer;1998 oktober;45.1;45.3;90.3;50.0;50.2;-1.9;0.8;-6.4;4.8;7.6
64;Invoer;1998 november;46.4;46.9;91.2;50.8;51.4;3.7;1.0;-6.3;10.7;7.8
65;Invoer;1998 december;46.5;45.1;91.5;50.8;49.3;2.4;0.7;-6.7;9.8;7.9
66;Invoer;1998 4e kwartaal;46.0;45.8;91.0;50.5;50.3;1.4;0.8;-6.4;8.4;7.8
67;Invoer;1998;44.8;44.8;90.7;49.4;49.4;3.8;3.6;-3.9;8.0;7.8
68;Invoer;1999 januari;42.0;43.5;86.4;48.7;50.4;-4.3;-1.8;-8.3;4.3;7.1
69;Invoer;1999 februari;42.1;42.5;83.8;50.2;50.7;-3.6;-3.6;-7.4;4.1;4.1
70;Invoer;1999 maart;52.3;51.1;87.5;59.8;58.4;3.0;0.4;-5.5;9.1;6.2
71;Invoer;1999 1e kwartaal;45.5;45.7;86.0;52.9;53.2;-1.4;-1.6;-7.0;6.0;5.8
72;Invoer;1999 april;45.6;45.2;89.1;51.2;50.7;2.9;2.9;-4.5;7.7;7.7
73;Invoer;1999 mei;44.6;46.4;85.9;52.0;54.0;5.6;7.5;-3.8;9.8;11.8
74;Invoer;1999 juni;47.7;46.6;87.4;54.6;53.3;4.8;3.0;-1.8;6.7;4.9
75;Invoer;1999 2e kwartaal;46.0;46.0;87.4;52.6;52.7;4.4;4.4;-3.3;8.0;8.1
76;Invoer;1999 juli;46.4;46.6;88.1;52.7;52.9;7.0;9.8;-0.8;7.9;10.7
77;Invoer;1999 augustus;45.3;45.5;90.2;50.2;50.4;12.1;9.2;0.2;11.9;9.0
78;Invoer;1999 september;51.1;50.4;89.7;57.0;56.2;11.5;11.5;1.8;9.6;9.6
79;Invoer;1999 3e kwartaal;47.6;47.5;89.3;53.3;53.2;10.2;10.2;0.4;9.7;9.8
80;Invoer;1999 oktober;49.1;50.6;90.6;54.2;55.9;8.9;11.9;0.4;8.5;11.4
81;Invoer;1999 november;54.3;53.5;94.1;57.7;56.9;17.1;14.1;3.1;13.6;10.6
82;Invoer;1999 december;56.0;53.4;96.5;58.0;55.3;20.4;18.4;5.4;14.2;12.3
83;Invoer;1999 4e kwartaal;53.2;52.5;93.8;56.7;56.0;15.6;14.8;3.1;12.1;11.4
84;Invoer;1999;48.1;47.9;89.2;53.9;53.8;7.2;6.9;-1.7;9.0;8.8
85;Invoer;2000 januari;50.4;51.3;92.6;54.5;55.5;20.0;17.9;7.1;12.0;10.1
86;Invoer;2000 februari;54.4;52.5;91.5;59.5;57.4;29.3;23.5;9.2;18.4;13.1
87;Invoer;2000 maart;62.8;61.2;94.2;66.7;65.0;19.9;19.9;7.7;11.4;11.4
88;Invoer;2000 1e kwartaal;55.9;55.0;92.8;60.2;59.3;22.8;20.4;7.9;13.8;11.5
89;Invoer;2000 april;53.0;54.5;93.4;56.8;58.3;16.4;20.6;4.9;11.0;15.0
90;Invoer;2000 mei;59.0;56.3;92.6;63.8;60.7;32.2;21.2;7.8;22.7;12.5
91;Invoer;2000 juni;56.7;57.3;94.0;60.3;60.9;18.8;23.0;7.6;10.4;14.3
92;Invoer;2000 2e kwartaal;56.2;56.0;93.3;60.3;60.0;22.4;21.6;6.7;14.7;13.9
93;Invoer;2000 juli;53.5;55.2;92.8;57.7;59.4;15.3;18.4;5.3;9.5;12.4
94;Invoer;2000 augustus;56.0;54.8;95.8;58.5;57.1;23.7;20.4;6.3;16.3;13.3
95;Invoer;2000 september;60.0;60.7;96.6;62.1;62.8;17.4;20.5;7.8;8.9;11.8
96;Invoer;2000 3e kwartaal;56.5;56.9;95.1;59.4;59.8;18.7;19.8;6.5;11.4;12.5
97;Invoer;2000 oktober;60.5;60.7;99.1;61.0;61.2;23.1;19.9;9.4;12.5;9.6
98;Invoer;2000 november;65.4;64.4;101.6;64.3;63.3;20.3;20.3;8.1;11.4;11.4
99;Invoer;2000 december;61.7;64.2;97.7;63.2;65.8;10.2;20.3;1.2;8.9;18.9
