ID;RelatieMetDeOverledene;KenmerkenVanDeVerkrijger;Perioden;AantalVerkrijgers_1;TotaalBrutoVerkrijging_2;GemiddeldBrutoVerkrijging_3;MediaanBrutoVerkrijging_4;TotaalVerschuldigdeBelasting_5;GemiddeldVerschuldigdeBelasting_6;MediaanVerschuldigdeBelasting_7;TotaalNettoVerkrijging_8;GemiddeldNettoVerkrijging_9;MediaanNettoVerkrijging_10
0;Relatie met overledene: totaal;Alle verkrijgers;2007;195.3;12057.9;61.7;25.0;1696.9;8.7;0.8;10360.9;53.0;22.9
1;Relatie met overledene: totaal;Alle verkrijgers;2008;201.7;12387.4;61.4;25.2;1620.8;8.0;0.8;10766.7;53.4;22.9
2;Relatie met overledene: totaal;Alle verkrijgers;2009;200.8;11950.7;59.5;25.4;1503.2;7.5;0.8;10447.5;52.0;23.3
3;Relatie met overledene: totaal;Alle verkrijgers;2010;177.5;12547.1;70.7;31.6;1384.9;7.8;1.2;11162.2;62.9;29.0
4;Relatie met overledene: totaal;Alle verkrijgers;2011;167.3;12328.2;73.7;31.7;1300.9;7.8;1.3;11027.4;65.9;29.0
5;Relatie met overledene: totaal;Alle verkrijgers;2012;170.5;11962.2;70.2;30.8;1421.8;8.3;1.4;10540.4;61.8;28.1
6;Relatie met overledene: totaal;Alle verkrijgers;2013;166.4;11229.7;67.5;30.2;1265.4;7.6;1.3;9964.3;59.9;27.6
7;Relatie met overledene: totaal;Alle verkrijgers;2014;161.5;10664.7;66.1;28.0;1241.3;7.7;1.1;9423.4;58.4;25.7
8;Relatie met overledene: totaal;Alle verkrijgers;2015;164.9;11404.2;69.1;28.2;1311.1;8.0;1.2;10093.0;61.2;25.7
9;Relatie met overledene: totaal;Alle verkrijgers;2016;168.4;12356.2;73.4;28.9;1469.7;8.7;1.2;10886.5;64.7;26.4
10;Relatie met overledene: totaal;Alle verkrijgers;2017;185.3;12648.6;68.3;23.9;1468.8;7.9;0.7;11179.8;60.3;22.1
11;Relatie met overledene: totaal;Alle verkrijgers;2018;202.9;13556.1;66.8;23.5;1562.2;7.7;0.6;11993.9;59.1;21.6
12;Relatie met overledene: totaal;Alle verkrijgers;2019;212.7;14553.7;68.4;24.8;1591.1;7.5;0.6;12962.6;60.9;22.8
13;Relatie met overledene: totaal;Alle verkrijgers;2020;242.7;17651.7;72.7;26.8;2022.8;8.3;0.7;15628.9;64.4;24.6
14;Relatie met overledene: totaal;Alle verkrijgers;2021;258.8;19239.0;74.3;28.4;2133.8;8.2;0.7;17105.1;66.1;26.2
15;Relatie met overledene: totaal;Alle verkrijgers;2022;257.5;17992.4;69.9;29.7;1897.0;7.4;0.7;16095.4;62.5;27.5
16;Relatie met overledene: totaal;Geslacht: mannen;2007;63.9;3691.6;57.8;24.6;517.3;8.1;0.8;3174.2;49.7;22.7
17;Relatie met overledene: totaal;Geslacht: mannen;2008;65.7;3778.4;57.5;24.9;489.4;7.5;0.8;3288.9;50.1;22.9
18;Relatie met overledene: totaal;Geslacht: mannen;2009;68.5;3854.2;56.3;25.0;500.0;7.3;0.8;3354.1;49.0;23.0
19;Relatie met overledene: totaal;Geslacht: mannen;2010;64.8;4331.0;66.8;30.8;495.6;7.6;1.4;3835.3;59.2;28.5
20;Relatie met overledene: totaal;Geslacht: mannen;2011;66.7;4674.9;70.1;31.5;497.4;7.5;1.5;4177.6;62.6;29.0
21;Relatie met overledene: totaal;Geslacht: mannen;2012;67.2;4587.1;68.3;31.0;572.2;8.5;1.5;4014.9;59.8;28.4
22;Relatie met overledene: totaal;Geslacht: mannen;2013;67.1;4281.6;63.8;30.0;500.4;7.5;1.4;3781.2;56.3;27.5
23;Relatie met overledene: totaal;Geslacht: mannen;2014;65.5;4155.2;63.4;27.6;480.2;7.3;1.2;3675.0;56.1;25.5
24;Relatie met overledene: totaal;Geslacht: mannen;2015;68.2;4436.7;65.0;27.9;520.3;7.6;1.3;3916.4;57.4;25.6
25;Relatie met overledene: totaal;Geslacht: mannen;2016;70.0;4663.9;66.6;28.0;567.0;8.1;1.3;4097.0;58.5;25.7
26;Relatie met overledene: totaal;Geslacht: mannen;2017;82.3;5358.1;65.1;22.9;663.7;8.1;0.8;4694.4;57.1;21.3
27;Relatie met overledene: totaal;Geslacht: mannen;2018;89.8;5545.7;61.8;22.6;676.7;7.5;0.7;4869.0;54.2;20.9
28;Relatie met overledene: totaal;Geslacht: mannen;2019;94.4;6012.2;63.7;23.7;680.2;7.2;0.7;5332.0;56.5;22.0
29;Relatie met overledene: totaal;Geslacht: mannen;2020;107.9;7587.0;70.3;25.8;925.8;8.6;0.8;6661.1;61.7;23.8
30;Relatie met overledene: totaal;Geslacht: mannen;2021;115.5;8170.4;70.8;27.2;939.1;8.1;0.8;7231.4;62.6;25.3
31;Relatie met overledene: totaal;Geslacht: mannen;2022;114.9;7451.7;64.9;28.3;828.7;7.2;0.8;6622.9;57.7;26.1
32;Relatie met overledene: totaal;Geslacht: vrouwen;2007;70.7;4387.7;62.1;27.5;522.3;7.4;0.6;3865.4;54.7;25.3
33;Relatie met overledene: totaal;Geslacht: vrouwen;2008;72.5;4701.6;64.8;28.0;555.7;7.7;0.7;4145.9;57.2;25.6
34;Relatie met overledene: totaal;Geslacht: vrouwen;2009;76.6;4700.3;61.3;27.5;529.2;6.9;0.7;4171.1;54.4;25.3
35;Relatie met overledene: totaal;Geslacht: vrouwen;2010;72.0;5298.7;73.6;34.1;531.2;7.4;1.1;4767.5;66.2;31.4
36;Relatie met overledene: totaal;Geslacht: vrouwen;2011;75.4;5473.6;72.6;34.2;548.4;7.3;1.2;4925.1;65.3;31.2
37;Relatie met overledene: totaal;Geslacht: vrouwen;2012;76.9;5621.9;73.2;33.5;613.8;8.0;1.2;5008.1;65.2;30.5
38;Relatie met overledene: totaal;Geslacht: vrouwen;2013;76.0;5329.6;70.1;32.4;550.9;7.2;1.2;4778.8;62.9;29.5
39;Relatie met overledene: totaal;Geslacht: vrouwen;2014;74.7;5015.0;67.2;30.0;550.6;7.4;1.0;4464.4;59.8;27.4
40;Relatie met overledene: totaal;Geslacht: vrouwen;2015;76.6;5377.8;70.2;29.9;580.4;7.6;1.1;4797.4;62.6;27.3
41;Relatie met overledene: totaal;Geslacht: vrouwen;2016;79.1;5996.5;75.8;30.4;675.7;8.5;1.2;5320.7;67.3;27.9
42;Relatie met overledene: totaal;Geslacht: vrouwen;2017;90.8;6124.9;67.4;25.2;683.5;7.5;0.6;5441.3;59.9;23.2
43;Relatie met overledene: totaal;Geslacht: vrouwen;2018;99.4;6755.3;68.0;24.7;753.2;7.6;0.5;6002.0;60.4;22.5
44;Relatie met overledene: totaal;Geslacht: vrouwen;2019;104.7;7313.4;69.8;26.3;769.6;7.3;0.5;6543.9;62.5;24.2
45;Relatie met overledene: totaal;Geslacht: vrouwen;2020;119.4;8631.0;72.3;28.2;930.7;7.8;0.6;7700.2;64.5;25.9
46;Relatie met overledene: totaal;Geslacht: vrouwen;2021;128.0;9650.2;75.4;30.0;1002.0;7.8;0.5;8648.2;67.6;27.7
47;Relatie met overledene: totaal;Geslacht: vrouwen;2022;128.0;9203.1;71.9;31.4;933.3;7.3;0.5;8269.8;64.6;29.0
48;Relatie met overledene: totaal;Geslacht: onbekend;2007;60.8;3978.6;65.5;22.7;657.3;10.8;0.9;3321.3;54.7;20.1
49;Relatie met overledene: totaal;Geslacht: onbekend;2008;63.5;3907.5;61.6;22.7;575.6;9.1;0.8;3331.9;52.5;20.2
50;Relatie met overledene: totaal;Geslacht: onbekend;2009;55.7;3396.3;60.9;23.4;474.0;8.5;0.8;2922.3;52.4;21.2
51;Relatie met overledene: totaal;Geslacht: onbekend;2010;40.7;2917.5;71.7;28.7;358.1;8.8;1.2;2559.4;62.9;26.3
52;Relatie met overledene: totaal;Geslacht: onbekend;2011;25.2;2179.7;86.4;25.5;255.1;10.1;1.3;1924.6;76.3;22.8
53;Relatie met overledene: totaal;Geslacht: onbekend;2012;26.4;1753.2;66.3;23.2;235.9;8.9;1.2;1517.3;57.4;20.4
54;Relatie met overledene: totaal;Geslacht: onbekend;2013;23.3;1618.5;69.5;24.5;214.2;9.2;1.4;1404.3;60.3;21.6
55;Relatie met overledene: totaal;Geslacht: onbekend;2014;21.2;1494.5;70.3;23.2;210.5;9.9;1.2;1284.0;60.4;20.5
