ID;Geslacht;LeeftijdOp31December;Perioden;Sterftekans_1;LevendenTafelbevolking_2;OverledenenTafelbevolking_3;PeriodeLevensverwachting_4
0;Totaal mannen en vrouwen;0 jaar;2018;0.00313;100000;313;81.79
1;Totaal mannen en vrouwen;0 jaar;2019;0.003;100000;300;81.98
2;Totaal mannen en vrouwen;0 jaar;2020;0.00288;100000;288;82.15
3;Totaal mannen en vrouwen;0 jaar;2021;0.00276;100000;276;82.33
4;Totaal mannen en vrouwen;0 jaar;2022;0.00265;100000;265;82.51
5;Totaal mannen en vrouwen;0 jaar;2023;0.00254;100000;254;82.68
6;Totaal mannen en vrouwen;0 jaar;2024;0.00244;100000;244;82.86
7;Totaal mannen en vrouwen;0 jaar;2025;0.00235;100000;235;83.02
8;Totaal mannen en vrouwen;0 jaar;2026;0.00226;100000;226;83.18
9;Totaal mannen en vrouwen;0 jaar;2027;0.00217;100000;217;83.34
10;Totaal mannen en vrouwen;0 jaar;2028;0.00209;100000;209;83.5
11;Totaal mannen en vrouwen;0 jaar;2029;0.00201;100000;201;83.66
12;Totaal mannen en vrouwen;0 jaar;2030;0.00193;100000;193;83.82
13;Totaal mannen en vrouwen;0 jaar;2031;0.00185;100000;185;83.98
14;Totaal mannen en vrouwen;0 jaar;2032;0.00178;100000;178;84.14
15;Totaal mannen en vrouwen;0 jaar;2033;0.00171;100000;171;84.3
16;Totaal mannen en vrouwen;0 jaar;2034;0.00165;100000;165;84.46
17;Totaal mannen en vrouwen;0 jaar;2035;0.00158;100000;158;84.61
18;Totaal mannen en vrouwen;0 jaar;2036;0.00152;100000;152;84.77
19;Totaal mannen en vrouwen;0 jaar;2037;0.00146;100000;146;84.93
20;Totaal mannen en vrouwen;0 jaar;2038;0.00141;100000;141;85.08
21;Totaal mannen en vrouwen;0 jaar;2039;0.00135;100000;135;85.23
22;Totaal mannen en vrouwen;0 jaar;2040;0.0013;100000;130;85.38
23;Totaal mannen en vrouwen;0 jaar;2041;0.00125;100000;125;85.53
24;Totaal mannen en vrouwen;0 jaar;2042;0.0012;100000;120;85.68
25;Totaal mannen en vrouwen;0 jaar;2043;0.00115;100000;115;85.83
26;Totaal mannen en vrouwen;0 jaar;2044;0.00111;100000;111;85.97
27;Totaal mannen en vrouwen;0 jaar;2045;0.00107;100000;107;86.12
28;Totaal mannen en vrouwen;0 jaar;2046;0.00103;100000;103;86.26
29;Totaal mannen en vrouwen;0 jaar;2047;0.00099;100000;99;86.4
30;Totaal mannen en vrouwen;0 jaar;2048;0.00095;100000;95;86.54
31;Totaal mannen en vrouwen;0 jaar;2049;0.00091;100000;91;86.68
32;Totaal mannen en vrouwen;0 jaar;2050;0.00088;100000;88;86.81
33;Totaal mannen en vrouwen;0 jaar;2051;0.00084;100000;84;86.95
34;Totaal mannen en vrouwen;0 jaar;2052;0.00081;100000;81;87.08
35;Totaal mannen en vrouwen;0 jaar;2053;0.00078;100000;78;87.21
36;Totaal mannen en vrouwen;0 jaar;2054;0.00075;100000;75;87.35
37;Totaal mannen en vrouwen;0 jaar;2055;0.00072;100000;72;87.48
38;Totaal mannen en vrouwen;0 jaar;2056;0.00069;100000;69;87.6
39;Totaal mannen en vrouwen;0 jaar;2057;0.00066;100000;66;87.73
40;Totaal mannen en vrouwen;0 jaar;2058;0.00064;100000;64;87.86
41;Totaal mannen en vrouwen;0 jaar;2059;0.00061;100000;61;87.98
42;Totaal mannen en vrouwen;0 jaar;2060;0.00059;100000;59;88.1
43;Totaal mannen en vrouwen;1 jaar;2018;0.00035;99687;35;81.55
44;Totaal mannen en vrouwen;1 jaar;2019;0.00034;99700;34;81.72
45;Totaal mannen en vrouwen;1 jaar;2020;0.00033;99712;32;81.89
46;Totaal mannen en vrouwen;1 jaar;2021;0.00031;99724;31;82.06
47;Totaal mannen en vrouwen;1 jaar;2022;0.0003;99735;30;82.22
48;Totaal mannen en vrouwen;1 jaar;2023;0.00029;99746;29;82.39
49;Totaal mannen en vrouwen;1 jaar;2024;0.00028;99756;28;82.56
50;Totaal mannen en vrouwen;1 jaar;2025;0.00027;99765;27;82.71
51;Totaal mannen en vrouwen;1 jaar;2026;0.00026;99774;25;82.87
52;Totaal mannen en vrouwen;1 jaar;2027;0.00025;99783;25;83.02
53;Totaal mannen en vrouwen;1 jaar;2028;0.00024;99791;24;83.17
54;Totaal mannen en vrouwen;1 jaar;2029;0.00023;99799;23;83.33
55;Totaal mannen en vrouwen;1 jaar;2030;0.00022;99807;22;83.48
56;Totaal mannen en vrouwen;1 jaar;2031;0.00021;99815;21;83.63
57;Totaal mannen en vrouwen;1 jaar;2032;0.0002;99822;20;83.79
58;Totaal mannen en vrouwen;1 jaar;2033;0.00019;99829;19;83.94
59;Totaal mannen en vrouwen;1 jaar;2034;0.00019;99835;19;84.09
60;Totaal mannen en vrouwen;1 jaar;2035;0.00018;99842;18;84.25
61;Totaal mannen en vrouwen;1 jaar;2036;0.00017;99848;17;84.4
62;Totaal mannen en vrouwen;1 jaar;2037;0.00017;99854;17;84.55
63;Totaal mannen en vrouwen;1 jaar;2038;0.00016;99859;16;84.7
64;Totaal mannen en vrouwen;1 jaar;2039;0.00015;99865;15;84.85
65;Totaal mannen en vrouwen;1 jaar;2040;0.00015;99870;15;85.0
66;Totaal mannen en vrouwen;1 jaar;2041;0.00014;99875;14;85.14
67;Totaal mannen en vrouwen;1 jaar;2042;0.00014;99880;14;85.28
68;Totaal mannen en vrouwen;1 jaar;2043;0.00013;99885;13;85.43
69;Totaal mannen en vrouwen;1 jaar;2044;0.00013;99889;13;85.57
70;Totaal mannen en vrouwen;1 jaar;2045;0.00012;99893;12;85.71
