ID;LeeftijdJongsteKind;LeeftijdReferentiepersoon;Perioden;HuishoudensMetKinderen_1
0;Totaal over alle leeftijden ;Totaal;2019;2602060
1;Totaal over alle leeftijden ;Totaal;2020;2607177
2;Totaal over alle leeftijden ;Totaal;2021;2610911
3;Totaal over alle leeftijden ;Totaal;2022;2613832
4;Totaal over alle leeftijden ;Totaal;2023;2616810
5;Totaal over alle leeftijden ;Totaal;2024;2620007
6;Totaal over alle leeftijden ;Totaal;2025;2622135
7;Totaal over alle leeftijden ;Totaal;2026;2624651
8;Totaal over alle leeftijden ;Totaal;2027;2627206
9;Totaal over alle leeftijden ;Totaal;2028;2630645
10;Totaal over alle leeftijden ;Totaal;2029;2635958
11;Totaal over alle leeftijden ;Totaal;2030;2642887
12;Totaal over alle leeftijden ;Totaal;2031;2650274
13;Totaal over alle leeftijden ;Totaal;2032;2658009
14;Totaal over alle leeftijden ;Totaal;2033;2664386
15;Totaal over alle leeftijden ;Totaal;2034;2672912
16;Totaal over alle leeftijden ;Totaal;2035;2680648
17;Totaal over alle leeftijden ;Totaal;2036;2689412
18;Totaal over alle leeftijden ;Totaal;2037;2698055
19;Totaal over alle leeftijden ;Totaal;2038;2707380
20;Totaal over alle leeftijden ;Totaal;2039;2717071
21;Totaal over alle leeftijden ;Totaal;2040;2726889
22;Totaal over alle leeftijden ;Totaal;2041;2735595
23;Totaal over alle leeftijden ;Totaal;2042;2743319
24;Totaal over alle leeftijden ;Totaal;2043;2750433
25;Totaal over alle leeftijden ;Totaal;2044;2757134
26;Totaal over alle leeftijden ;Totaal;2045;2763110
27;Totaal over alle leeftijden ;Totaal;2046;2768238
28;Totaal over alle leeftijden ;Totaal;2047;2772412
29;Totaal over alle leeftijden ;Totaal;2048;2775742
30;Totaal over alle leeftijden ;Totaal;2049;2778100
31;Totaal over alle leeftijden ;Totaal;2050;2779712
32;Totaal over alle leeftijden ;Totaal;2051;2780624
33;Totaal over alle leeftijden ;Totaal;2052;2780938
34;Totaal over alle leeftijden ;Totaal;2053;2781028
35;Totaal over alle leeftijden ;Totaal;2054;2780959
36;Totaal over alle leeftijden ;Totaal;2055;2780959
