ID;Vakantiekenmerken;Marges;RegioS;Perioden;TotaalNederlanders_1;PercentageNederlanders_2;TotaalVakanties_3;GemiddeldPerDeelnemer_4;TotaalVakantiedagen_5;GemiddeldPerDeelnemer_6;GemiddeldPerVakantie_7;TotaalOvernachtingen_8;GemiddeldPerDeelnemer_9;GemiddeldPerVakantie_10;TotaalVakantieUitgaven_11;GemiddeldPerDeelnemer_12;GemiddeldPerPersoonPerVakantie_13;GemiddeldPerPersoonPerVakantiedag_14
0;Totaal vakanties;Waarde;Nederland;2021;8957.0;61.7;21440.0;2.4;119970.0;13.4;5.6;98531.0;11.0;4.6;5654.0;631.0;264.0;47.0
1;Totaal vakanties;Waarde;Nederland;2022;7792.0;53.2;16498.0;2.1;89898.0;11.5;5.4;73401.0;9.4;4.4;4045.0;519.0;245.0;45.0
2;Totaal vakanties;Waarde;Nederland;2023;8016.0;54.0;16697.0;2.1;91432.0;11.4;5.5;74735.0;9.3;4.5;4339.0;541.0;260.0;47.0
3;Totaal vakanties;Waarde;Noord-Nederland (LD);2021;2575.0;17.7;3631.0;1.4;22759.0;8.8;6.3;19128.0;7.4;5.3;1079.0;419.0;297.0;47.0
4;Totaal vakanties;Waarde;Noord-Nederland (LD);2022;2352.0;16.1;3160.0;1.3;18548.0;7.9;5.9;15389.0;6.5;4.9;834.0;355.0;264.0;45.0
5;Totaal vakanties;Waarde;Noord-Nederland (LD);2023;2252.0;15.2;3009.0;1.3;18034.0;8.0;6.0;15025.0;6.7;5.0;870.0;386.0;289.0;48.0
6;Totaal vakanties;Waarde;Oost-Nederland (LD);2021;3521.0;24.2;5441.0;1.5;30520.0;8.7;5.6;25079.0;7.1;4.6;1284.0;365.0;236.0;42.0
7;Totaal vakanties;Waarde;Oost-Nederland (LD);2022;3158.0;21.6;4542.0;1.4;25423.0;8.0;5.6;20881.0;6.6;4.6;1054.0;334.0;232.0;41.0
8;Totaal vakanties;Waarde;Oost-Nederland (LD);2023;3327.0;22.4;4673.0;1.4;27224.0;8.2;5.8;22551.0;6.8;4.8;1213.0;365.0;260.0;45.0
9;Totaal vakanties;Waarde;West-Nederland (LD);2021;4642.0;32.0;7504.0;1.6;39757.0;8.6;5.3;32253.0;6.9;4.3;2017.0;435.0;269.0;51.0
10;Totaal vakanties;Waarde;West-Nederland (LD);2022;3609.0;24.7;5272.0;1.5;27674.0;7.7;5.2;22401.0;6.2;4.2;1294.0;358.0;245.0;47.0
11;Totaal vakanties;Waarde;West-Nederland (LD);2023;3604.0;24.3;5235.0;1.5;27032.0;7.5;5.2;21796.0;6.0;4.2;1309.0;363.0;250.0;48.0
12;Totaal vakanties;Waarde;Zuid-Nederland (LD);2021;2995.0;20.6;4243.0;1.4;23159.0;7.7;5.5;18915.0;6.3;4.5;1109.0;370.0;261.0;48.0
13;Totaal vakanties;Waarde;Zuid-Nederland (LD);2022;2595.0;17.7;3419.0;1.3;17627.0;6.8;5.2;14208.0;5.5;4.2;835.0;322.0;244.0;47.0
14;Totaal vakanties;Waarde;Zuid-Nederland (LD);2023;2816.0;19.0;3722.0;1.3;18765.0;6.7;5.0;15043.0;5.3;4.0;936.0;332.0;251.0;50.0
15;Totaal vakanties;Waarde;Landsdeel onbekend (LD);2021;493.0;3.4;621.0;1.3;3775.0;7.7;6.1;3155.0;6.4;5.1;165.0;334.0;265.0;44.0
16;Totaal vakanties;Waarde;Landsdeel onbekend (LD);2022;98.0;0.7;105.0;1.1;626.0;6.4;6.0;521.0;5.3;5.0;29.0;299.0;279.0;47.0
17;Totaal vakanties;Waarde;Landsdeel onbekend (LD);2023;;;;;;;;;;;;;;
