ID;Beroep;Marges;Perioden;ErgSnelWerken_1;HeelVeelWerkDoen_2;ExtraHardWerken_3;ZelfBeslissen_4;VolgordeWerkzaamhedenBepalen_5;WerktempoBepalen_6;OplossingenBedenken_7;VerlofNemen_8;WerktijdenBepalen_9;WerkplekBepalen_10;EmotioneelMoeilijkeWerksituaties_11;EmotioneelVeeleisendWerk_12;EmotioneelBetrokkenBijWerk_13;VanKlantenTot2022_14;VanLeidinggevendenOfCollegaS_15;DoorKlantenTot2022_16;DoorLeidinggevendenOfCollegaS_17;DoorKlantenTot2022_18;DoorLeidinggevendenOfCollegaS_19;DoorKlantenTot2022_20;DoorLeidinggevendenOfCollegaS_21;VanKlantLeidinggevendeOfCollega_22;VanKlantenVanaf2022_23;VanLeidinggevenden_24;VanCollegaS_25;DoorKlantLeidinggevendeOfCollega_26;DoorKlantenVanaf2022_27;DoorLeidinggevenden_28;DoorCollegaS_29;DoorKlantLeidinggevendeOfCollega_30;DoorKlantenVanaf2022_31;DoorLeidinggevenden_32;DoorCollegaS_33;DoorKlantLeidinggevendeOfCollega_34;DoorKlantenVanaf2022_35;DoorLeidinggevenden_36;DoorCollegaS_37;GediscrimineerdGevoeld_38;OmGeslacht_39;OmAfkomstHuidskleurNationaliteit_40;OmGodsdienstOfLevensovertuiging_41;OmSeksueleGeaardheidVoorkeur_42;OmLeeftijd_43;OmLangdurigeZiekteAandoeningHandicap_44;OmWerktijdenOfContractvorm_45;OmPolitiekeVoorkeur_46;OmAndereReden_47;PsychischeVermoeidheidDoorHetWerk_48;EmotioneelUitgeput_49;LeegVoelen_50;SOchtendsMoeVoelen_51;VergtVeelOmMetMensenTeWerken_52;UitgeputDoorWerk_53
0;Totaal;Waarde;2014;36.5;45.2;30.7;60.5;62.4;56.0;68.0;48.0;23.1;;7.7;12.1;13.4;5.3;1.8;18.8;11.7;5.8;0.5;5.5;7.8;;;;;;;;;;;;;;;;;;;;;;;;;;;14.4;13.8;30.6;18.3;10.2;13.0
1;Totaal;Waarde;2015;36.2;45.4;30.6;59.9;62.1;56.6;67.7;48.6;23.3;;7.4;11.7;12.9;5.1;1.8;18.4;11.1;5.7;0.4;5.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;13.4;12.3;27.8;17.3;9.8;12.7
2;Totaal;Waarde;2016;36.1;45.0;30.5;59.8;61.4;55.7;67.7;48.2;23.9;;8.0;12.1;13.1;5.5;2.1;19.2;11.1;5.8;0.5;5.5;8.3;;;;;;;;;;;;;;;;;;;;;;;;;;;14.6;13.5;30.0;18.9;10.7;13.4
3;Totaal;Waarde;2017;36.7;46.2;32.2;59.5;60.6;55.1;67.8;48.7;24.5;;8.6;13.0;14.1;6.0;2.1;19.1;11.4;5.8;0.4;5.5;8.2;;;;;;;;;;;;;;;;;;;;;;;;;;;15.9;14.5;30.3;19.5;12.1;14.4
4;Totaal;Waarde;2018;36.4;46.3;30.5;60.1;61.2;56.1;67.5;50.4;26.0;;8.6;12.9;14.7;5.3;2.2;18.7;10.7;5.8;0.6;5.8;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;17.3;17.6;31.9;20.4;13.5;15.2
5;Totaal;Waarde;2019;35.4;45.6;30.2;60.7;61.6;56.8;67.7;51.8;27.0;;8.9;13.3;15.1;8.4;3.1;23.6;13.2;7.3;0.8;7.9;10.1;;;;;;;;;;;;;;;;;;;;;;;;;;;17.0;16.1;31.0;20.6;13.9;15.5
6;Totaal;Waarde;2020;32.3;42.5;27.2;61.7;62.9;59.4;67.6;53.3;28.4;;7.9;12.1;15.2;4.6;1.8;17.6;8.4;5.0;0.5;5.3;6.6;;;;;;;;;;;;;;;;;;;;;;;;;;;15.7;15.9;30.1;19.3;12.9;13.6
7;Totaal;Waarde;2021;33.5;44.9;29.7;60.7;62.0;57.4;66.9;52.5;28.4;;9.1;13.2;15.9;6.1;2.2;18.4;8.8;5.5;0.5;6.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;17.3;16.5;30.9;21.4;14.4;15.4
8;Totaal;Waarde;2022;31.3;42.3;27.2;62.3;62.1;57.9;65.5;54.7;28.9;27.4;6.5;11.0;12.5;;;;;;;;;4.4;3.0;0.4;1.0;11.3;8.3;1.5;1.4;3.0;2.6;0.1;0.2;4.9;1.1;1.3;2.6;10.3;2.1;2.8;0.9;0.4;2.4;1.3;1.4;0.2;2.6;20.0;20.3;34.4;23.1;17.0;16.3
9;Totaal;Waarde;2023;30.0;40.4;25.3;63.0;62.6;58.3;65.7;56.3;29.3;27.4;7.0;11.3;12.9;;;;;;;;;4.5;3.1;0.3;1.1;11.6;8.4;1.7;1.5;2.9;2.5;0.1;0.2;5.3;1.2;1.4;2.8;10.7;2.1;2.9;0.8;0.5;2.6;1.3;1.4;0.4;2.6;19.0;19.5;32.8;22.0;16.3;15.4
