ID;TypeOfNonFinancialAsset;Sector;Year;OpeningBalanceSheet_1;Revaluation_2;CapitalFormation_3;OtherChangesInVolume_4;StatisticalDiscrepancy_5;ClosingBalanceSheet_6;VolumeIndices2015100_7
0;Non-financial assets;Total all sectors;1995;;;;;;1358295;79.1
1;Non-financial assets;Total all sectors;1996;1358295.0;90300.0;23077.0;2475.0;0.0;1474146;80.5
2;Non-financial assets;Total all sectors;1997;1474146.0;95451.0;27079.0;3030.0;0.0;1599704;82.1
3;Non-financial assets;Total all sectors;1998;1599704.0;84574.0;30675.0;5568.0;0.0;1720523;83.8
4;Non-financial assets;Total all sectors;1999;1720523.0;145967.0;33966.0;5998.0;0.0;1906453;85.6
5;Non-financial assets;Total all sectors;2000;1906453.0;255985.0;33120.0;4443.0;0.0;2200002;87.1
6;Non-financial assets;Total all sectors;2001;2200002.0;209188.0;34108.0;4340.0;0.0;2447636;88.5
7;Non-financial assets;Total all sectors;2002;2447636.0;85469.0;25539.0;5376.0;0.0;2564022;89.6
8;Non-financial assets;Total all sectors;2003;2564022.0;61504.0;22438.0;5443.0;0.0;2653408;90.5
9;Non-financial assets;Total all sectors;2004;2653408.0;63531.0;22461.0;4999.0;0.0;2744399;91.5
10;Non-financial assets;Total all sectors;2005;2744399.0;109407.0;25384.0;1757.0;0.0;2880948;92.3
11;Non-financial assets;Total all sectors;2006;2880948.0;147941.0;31622.0;91.0;0.0;3060601;93.3
12;Non-financial assets;Total all sectors;2007;3060601.0;113323.0;49024.0;4582.0;0.0;3227528;94.9
13;Non-financial assets;Total all sectors;2008;3227528.0;142961.0;40767.0;3248.0;0.0;3414506;96.1
14;Non-financial assets;Total all sectors;2009;3414506.0;-96317.0;25428.0;14299.0;0.0;3357916;97.3
15;Non-financial assets;Total all sectors;2010;3357916.0;-33432.0;19052.0;-4630.0;0.0;3338907;97.7
16;Non-financial assets;Total all sectors;2011;3338907.0;-18581.0;21835.0;-1225.0;-5.0;3340931;98.3
17;Non-financial assets;Total all sectors;2012;3340931.0;-82779.0;12112.0;-5907.0;0.0;3264355;98.5
18;Non-financial assets;Total all sectors;2013;3264355.0;-114139.0;9012.0;-2768.0;0.0;3156457;98.7
19;Non-financial assets;Total all sectors;2014;3156457.0;3530.0;5571.0;-6933.0;5.0;3158630;98.6
20;Non-financial assets;Total all sectors;2015;3158630.0;29496.0;43057.0;1100.0;0.0;3232286;100.0
21;Non-financial assets;Total all sectors;2016;3234015.0;19996.0;27299.0;2442.0;-3.0;3283749;100.9
22;Non-financial assets;Total all sectors;2017;3283749.0;168549.0;30340.0;-23995.0;1.0;3458644;101.1
23;Non-financial assets;Total all sectors;2018;3458644.0;205666.0;34525.0;7401.0;1.0;3706237;102.3
24;Non-financial assets;Total all sectors;2019;3704661.0;166480.0;46356.0;8747.0;-1.0;3926243;103.7
25;Non-financial assets;Total all sectors;2020;3926243.0;187672.0;33635.0;13288.0;2.0;4160840;104.9
26;Non-financial assets;Total all sectors;2021;4160840.0;460647.0;40575.0;12890.0;1.0;4674953;106.1
27;Non-financial assets;Total all sectors;2022;4674953.0;624623.0;44756.0;-21879.0;-3.0;5322450;106.6
28;Non-financial assets;The non-financial corporations sector;1995;;;;;;533284;76.4
29;Non-financial assets;The non-financial corporations sector;1996;533284.0;20634.0;9767.0;300.0;0.0;563984;77.8
30;Non-financial assets;The non-financial corporations sector;1997;563984.0;24935.0;11883.0;308.0;0.0;601110;79.4
31;Non-financial assets;The non-financial corporations sector;1998;601110.0;24448.0;13663.0;1108.0;0.0;640328;81.3
32;Non-financial assets;The non-financial corporations sector;1999;640328.0;42144.0;14111.0;396.0;0.0;696977;83.0
33;Non-financial assets;The non-financial corporations sector;2000;696977.0;56427.0;12075.0;164.0;0.0;765644;84.4
34;Non-financial assets;The non-financial corporations sector;2001;765644.0;39004.0;12569.0;860.0;0.0;818078;85.8
35;Non-financial assets;The non-financial corporations sector;2002;818078.0;30315.0;5169.0;1337.0;0.0;854898;86.4
36;Non-financial assets;The non-financial corporations sector;2003;854898.0;13803.0;3467.0;788.0;0.0;872954;86.8
37;Non-financial assets;The non-financial corporations sector;2004;872954.0;17261.0;3910.0;2286.0;0.0;896409;87.5
38;Non-financial assets;The non-financial corporations sector;2005;896409.0;22697.0;4836.0;493.0;0.0;924433;88.0
39;Non-financial assets;The non-financial corporations sector;2006;924432.0;24507.0;8049.0;502.0;0.0;957489;88.8
