ID;Zorgfinanciering;Perioden;TotaalFinancieringsbronnen_1;Overheid_2;Totaal_3;VennootschappenWerkgevers_4;Huishoudens_5;Buitenland_6;SaldiFondsen_7;OverigeVerschillen_8
0;Totaal alle financieringsvormen;1998;39379.0;9076.0;29255.0;7437.0;21818.0;72.0;491.0;485.0
1;Totaal alle financieringsvormen;1999;42394.0;9825.0;33584.0;7869.0;25715.0;67.0;-1564.0;483.0
2;Totaal alle financieringsvormen;2000;45362.0;10424.0;36204.0;8763.0;27442.0;80.0;-1228.0;-119.0
3;Totaal alle financieringsvormen;2001;50763.0;13150.0;34924.0;9246.0;25678.0;54.0;1869.0;767.0
4;Totaal alle financieringsvormen;2002;56663.0;14583.0;37541.0;9949.0;27592.0;91.0;3733.0;715.0
5;Totaal alle financieringsvormen;2003;60889.0;16250.0;45240.0;11293.0;33947.0;-17.0;-1010.0;426.0
6;Totaal alle financieringsvormen;2004;63003.0;17546.0;46584.0;11564.0;35020.0;-17.0;-459.0;-654.0
7;Totaal alle financieringsvormen;2005;65424.0;18047.0;47368.0;11171.0;36197.0;-85.0;2705.0;-2613.0
8;Totaal alle financieringsvormen;2006;68496.0;16963.0;49728.0;11653.0;38074.0;54.0;1272.0;481.0
9;Totaal alle financieringsvormen;2007;72713.0;19825.0;51810.0;11387.0;40423.0;-17.0;768.0;326.0
10;Totaal alle financieringsvormen;2008;77705.0;21520.0;56165.0;13048.0;43117.0;48.0;904.0;-933.0
11;Totaal alle financieringsvormen;2009;82298.0;23014.0;55254.0;12836.0;42418.0;65.0;4049.0;-84.0
12;Totaal alle financieringsvormen;2010;85790.0;23541.0;58853.0;13123.0;45730.0;60.0;5006.0;-1669.0
13;Totaal alle financieringsvormen;2011;88125.0;24018.0;64388.0;14475.0;49913.0;23.0;2052.0;-2357.0
14;Totaal alle financieringsvormen;2012;90621.0;23458.0;66959.0;15482.0;51478.0;26.0;3665.0;-3488.0
15;Totaal alle financieringsvormen;2013;90954.0;21328.0;72716.0;16244.0;56472.0;26.0;138.0;-3255.0
16;Totaal alle financieringsvormen;2014;91925.0;21634.0;67510.0;16188.0;51322.0;215.0;4902.0;-2336.0
17;Totaal alle financieringsvormen;2015;92323.0;26653.0;66317.0;15523.0;50794.0;92.0;-454.0;-286.0
18;Totaal alle financieringsvormen;2016;94842.0;26787.0;67017.0;15636.0;51382.0;84.0;-467.0;1421.0
19;Totaal alle financieringsvormen;2017;96972.0;26959.0;70625.0;16046.0;54579.0;39.0;-801.0;149.0
20;Totaal alle financieringsvormen;2018;101031.0;27997.0;73786.0;17326.0;56460.0;93.0;-111.0;-732.0
21;Totaal alle financieringsvormen;2019;107429.0;31116.0;76055.0;18378.0;57677.0;109.0;861.0;-713.0
22;Totaal alle financieringsvormen;2020;116384.0;41289.0;75877.0;18363.0;57515.0;87.0;1914.0;-2783.0
23;Totaal alle financieringsvormen;2021;124794.0;46420.0;80018.0;20002.0;60016.0;91.0;-604.0;-1132.0
24;Totaal alle financieringsvormen;2022;127306.0;45651.0;84491.0;20686.0;63805.0;95.0;-1994.0;-937.0
25;HF1: Overheid en soc. verzekering;1998;28411.0;9076.0;18579.0;4323.0;14257.0;-50.0;491.0;315.0
26;HF1: Overheid en soc. verzekering;1999;30369.0;9825.0;22009.0;4466.0;17543.0;-58.0;-1564.0;157.0
27;HF1: Overheid en soc. verzekering;2000;32622.0;10424.0;23854.0;5050.0;18805.0;-49.0;-1228.0;-379.0
28;HF1: Overheid en soc. verzekering;2001;36793.0;13150.0;21424.0;5101.0;16323.0;-82.0;1869.0;432.0
29;HF1: Overheid en soc. verzekering;2002;40953.0;14583.0;22330.0;5005.0;17325.0;-73.0;3733.0;381.0
30;HF1: Overheid en soc. verzekering;2003;44001.0;16250.0;28637.0;5805.0;22833.0;-175.0;-1010.0;299.0
31;HF1: Overheid en soc. verzekering;2004;44569.0;17546.0;28053.0;5738.0;22316.0;-179.0;-459.0;-394.0
32;HF1: Overheid en soc. verzekering;2005;46636.0;18047.0;28610.0;5446.0;23165.0;-256.0;2705.0;-2471.0
33;HF1: Overheid en soc. verzekering;2006;57297.0;16963.0;38792.0;9742.0;29050.0;-110.0;1272.0;383.0
34;HF1: Overheid en soc. verzekering;2007;61620.0;19825.0;40955.0;10077.0;30878.0;-181.0;768.0;253.0
35;HF1: Overheid en soc. verzekering;2008;65111.0;21520.0;43474.0;11700.0;31774.0;-118.0;904.0;-669.0
36;HF1: Overheid en soc. verzekering;2009;69430.0;23014.0;42408.0;11378.0;31030.0;-118.0;4049.0;77.0
37;HF1: Overheid en soc. verzekering;2010;72396.0;23541.0;45411.0;11636.0;33775.0;-131.0;5006.0;-1430.0
38;HF1: Overheid en soc. verzekering;2011;73646.0;24018.0;49947.0;12986.0;36961.0;-181.0;2052.0;-2190.0
39;HF1: Overheid en soc. verzekering;2012;74998.0;23458.0;51331.0;13938.0;37393.0;-187.0;3665.0;-3270.0
40;HF1: Overheid en soc. verzekering;2013;74394.0;21328.0;56199.0;14781.0;41419.0;-180.0;138.0;-3092.0
41;HF1: Overheid en soc. verzekering;2014;75304.0;21634.0;51084.0;14634.0;36450.0;19.0;4902.0;-2335.0
42;HF1: Overheid en soc. verzekering;2015;75763.0;26653.0;49839.0;13884.0;35955.0;-115.0;-454.0;-161.0
43;HF1: Overheid en soc. verzekering;2016;77812.0;26787.0;50269.0;13916.0;36353.0;-124.0;-467.0;1347.0
44;HF1: Overheid en soc. verzekering;2017;79985.0;26959.0;53754.0;14258.0;39496.0;-172.0;-801.0;244.0
45;HF1: Overheid en soc. verzekering;2018;83710.0;27997.0;56521.0;15437.0;41084.0;-126.0;-111.0;-570.0
46;HF1: Overheid en soc. verzekering;2019;89613.0;31116.0;58324.0;16340.0;41984.0;-120.0;861.0;-567.0
47;HF1: Overheid en soc. verzekering;2020;99535.0;41289.0;58643.0;16267.0;42376.0;-138.0;1914.0;-2174.0
