ID;Geslacht;Persoonskenmerken;RegioS;WmoClientenGebruikWlz2017Totaal_1;WmoClienten2016InstroomWlz2017_2;SamenloopWmoWlz2016Wlz2017_3;WmoClientenGebruikWlz2017Totaal_4;WmoClienten2016InstroomWlzIn2017_5;SamenloopWmoWlz2016WlzIn2017_6;WmoClientenGebruikWlz2017Totaal_7;WmoClienten2016InstroomWlzIn2017_8;SamenloopWmoWlz2016WlzIn2017_9
0;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Aa en Hunze;130.0;60.0;75.0;15.09;6.68;8.41;6.0;3.0;3.0
1;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Aalburg;145.0;35.0;110.0;21.47;5.26;16.22;14.0;3.0;10.0
2;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Aalsmeer;;;;;;;;;
3;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Aalten;;;;;;;;;
4;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Achtkarspelen;315.0;65.0;250.0;20.43;4.25;16.17;14.0;3.0;11.0
5;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Alblasserdam;;;;;;;;;
6;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Albrandswaard;275.0;45.0;230.0;23.23;3.96;19.28;14.0;2.0;11.0
7;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Alkmaar;;;;;;;;;
8;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Almelo;505.0;205.0;295.0;10.75;4.4;6.35;8.0;3.0;5.0
9;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Almere;1285.0;340.0;950.0;14.52;3.81;10.71;8.0;2.0;6.0
10;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Alphen aan den Rijn;;;;;;;;;
11;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Alphen-Chaam;;;;;;;;;
12;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Ameland;40.0;10.0;30.0;23.08;5.33;17.75;13.0;3.0;10.0
13;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Amersfoort;1405.0;295.0;1110.0;16.02;3.36;12.66;11.0;2.0;9.0
14;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Amstelveen;;;;;;;;;
15;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Amsterdam;7205.0;1530.0;5675.0;12.22;2.59;9.62;10.0;2.0;8.0
16;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Apeldoorn;2310.0;425.0;1885.0;23.43;4.3;19.13;18.0;3.0;14.0
17;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Appingedam;;;;;;;;;
18;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Arnhem;925.0;275.0;650.0;12.66;3.74;8.93;7.0;2.0;5.0
19;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Assen;785.0;160.0;630.0;17.68;3.57;14.11;14.0;3.0;11.0
20;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Asten;;;;;;;;;
21;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Baarle-Nassau;;;;;;;;;
22;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Baarn;425.0;60.0;370.0;25.71;3.55;22.16;21.0;3.0;18.0
23;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Barendrecht;425.0;70.0;355.0;19.45;3.24;16.21;11.0;2.0;9.0
24;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Barneveld;490.0;90.0;405.0;27.37;4.91;22.46;11.0;2.0;9.0
25;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bedum;;;;;;;;;
26;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Beek (L.);195.0;55.0;145.0;17.03;4.67;12.36;14.0;4.0;10.0
27;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Beemster;;;;;;;;;
28;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Beesel;105.0;45.0;60.0;16.15;6.83;9.32;9.0;4.0;5.0
29;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bellingwedde;135.0;35.0;100.0;15.84;3.9;11.94;17.0;4.0;13.0
30;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Berg en Dal;425.0;90.0;335.0;21.54;4.52;17.02;14.0;3.0;11.0
31;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bergeijk;100.0;35.0;65.0;15.24;5.64;9.6;7.0;2.0;4.0
32;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bergen (L.);;;;;;;;;
33;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bergen (NH.);;;;;;;;;
34;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bergen op Zoom;360.0;170.0;190.0;13.91;6.53;7.38;6.0;3.0;3.0
35;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Berkelland;300.0;115.0;185.0;14.8;5.77;9.03;8.0;3.0;5.0
36;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bernheze;335.0;70.0;260.0;23.08;4.99;18.09;14.0;3.0;11.0
37;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Best;140.0;50.0;90.0;11.36;4.03;7.33;6.0;2.0;4.0
38;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Beuningen;155.0;50.0;105.0;14.65;4.85;9.79;7.0;2.0;5.0
39;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Beverwijk;385.0;85.0;300.0;16.32;3.56;12.76;12.0;3.0;9.0
40;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;het Bildt;145.0;35.0;110.0;21.67;4.93;16.74;17.0;4.0;13.0
41;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;De Bilt;420.0;100.0;320.0;20.79;4.92;15.86;12.0;3.0;9.0
42;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Binnenmaas;;;;;;;;;
43;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bladel;105.0;35.0;70.0;14.02;4.89;9.13;6.0;2.0;4.0
44;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Blaricum;40.0;15.0;25.0;14.34;5.28;9.06;5.0;2.0;3.0
45;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bloemendaal;;;;;;;;;
46;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bodegraven-Reeuwijk;;;;;;;;;
47;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Boekel;;;;;;;;;
48;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Ten Boer;;;;;;;;;
49;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Borger-Odoorn;290.0;60.0;225.0;14.91;3.21;11.7;13.0;3.0;11.0
50;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Borne;240.0;75.0;165.0;16.7;5.17;11.53;13.0;4.0;9.0
51;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Borsele;;;;;;;;;
52;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Boxmeer;;;;;;;;;
53;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Boxtel;345.0;85.0;260.0;19.79;4.76;15.03;14.0;3.0;10.0
54;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Breda;;;;;;;;;
55;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Brielle;200.0;50.0;150.0;19.78;5.09;14.69;14.0;4.0;11.0
56;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Bronckhorst;390.0;100.0;295.0;18.53;4.63;13.9;13.0;3.0;10.0
57;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Brummen;240.0;55.0;185.0;18.44;4.18;14.25;13.0;3.0;10.0
