ID;Geslacht;Leeftijd;Perioden;Bevolking_1
0;Totaal mannen en vrouwen;Totaal leeftijd;2020;17414598
1;Totaal mannen en vrouwen;Totaal leeftijd;2021;17550226
2;Totaal mannen en vrouwen;Totaal leeftijd;2022;17685368
3;Totaal mannen en vrouwen;Totaal leeftijd;2023;17808587
4;Totaal mannen en vrouwen;Totaal leeftijd;2024;17923352
5;Totaal mannen en vrouwen;Totaal leeftijd;2025;18028202
6;Totaal mannen en vrouwen;Totaal leeftijd;2026;18123585
7;Totaal mannen en vrouwen;Totaal leeftijd;2027;18212175
8;Totaal mannen en vrouwen;Totaal leeftijd;2028;18298056
9;Totaal mannen en vrouwen;Totaal leeftijd;2029;18381435
10;Totaal mannen en vrouwen;Totaal leeftijd;2030;18460783
11;Totaal mannen en vrouwen;Totaal leeftijd;2031;18536313
12;Totaal mannen en vrouwen;Totaal leeftijd;2032;18607801
13;Totaal mannen en vrouwen;Totaal leeftijd;2033;18675135
14;Totaal mannen en vrouwen;Totaal leeftijd;2034;18738060
15;Totaal mannen en vrouwen;Totaal leeftijd;2035;18797262
16;Totaal mannen en vrouwen;Totaal leeftijd;2036;18852640
17;Totaal mannen en vrouwen;Totaal leeftijd;2037;18904274
18;Totaal mannen en vrouwen;Totaal leeftijd;2038;18952022
19;Totaal mannen en vrouwen;Totaal leeftijd;2039;18995926
20;Totaal mannen en vrouwen;Totaal leeftijd;2040;19036235
21;Totaal mannen en vrouwen;Totaal leeftijd;2041;19073120
22;Totaal mannen en vrouwen;Totaal leeftijd;2042;19106982
23;Totaal mannen en vrouwen;Totaal leeftijd;2043;19138143
24;Totaal mannen en vrouwen;Totaal leeftijd;2044;19166948
25;Totaal mannen en vrouwen;Totaal leeftijd;2045;19193745
26;Totaal mannen en vrouwen;Totaal leeftijd;2046;19218566
27;Totaal mannen en vrouwen;Totaal leeftijd;2047;19241970
28;Totaal mannen en vrouwen;Totaal leeftijd;2048;19264219
29;Totaal mannen en vrouwen;Totaal leeftijd;2049;19285467
30;Totaal mannen en vrouwen;Totaal leeftijd;2050;19305927
31;Totaal mannen en vrouwen;Totaal leeftijd;2051;19326002
32;Totaal mannen en vrouwen;Totaal leeftijd;2052;19346052
33;Totaal mannen en vrouwen;Totaal leeftijd;2053;19366511
34;Totaal mannen en vrouwen;Totaal leeftijd;2054;19387644
35;Totaal mannen en vrouwen;Totaal leeftijd;2055;19410010
36;Totaal mannen en vrouwen;Totaal leeftijd;2056;19433985
37;Totaal mannen en vrouwen;Totaal leeftijd;2057;19459896
38;Totaal mannen en vrouwen;Totaal leeftijd;2058;19487967
39;Totaal mannen en vrouwen;Totaal leeftijd;2059;19518546
40;Totaal mannen en vrouwen;Totaal leeftijd;2060;19551664
41;Totaal mannen en vrouwen;0 jaar;2020;170873
42;Totaal mannen en vrouwen;0 jaar;2021;170910
43;Totaal mannen en vrouwen;0 jaar;2022;173790
44;Totaal mannen en vrouwen;0 jaar;2023;177406
45;Totaal mannen en vrouwen;0 jaar;2024;181841
46;Totaal mannen en vrouwen;0 jaar;2025;186016
47;Totaal mannen en vrouwen;0 jaar;2026;189447
48;Totaal mannen en vrouwen;0 jaar;2027;192972
49;Totaal mannen en vrouwen;0 jaar;2028;195870
50;Totaal mannen en vrouwen;0 jaar;2029;198111
51;Totaal mannen en vrouwen;0 jaar;2030;199597
52;Totaal mannen en vrouwen;0 jaar;2031;200484
53;Totaal mannen en vrouwen;0 jaar;2032;200969
54;Totaal mannen en vrouwen;0 jaar;2033;201047
55;Totaal mannen en vrouwen;0 jaar;2034;200792
56;Totaal mannen en vrouwen;0 jaar;2035;200212
57;Totaal mannen en vrouwen;0 jaar;2036;199520
58;Totaal mannen en vrouwen;0 jaar;2037;198771
59;Totaal mannen en vrouwen;0 jaar;2038;197719
60;Totaal mannen en vrouwen;0 jaar;2039;196481
61;Totaal mannen en vrouwen;0 jaar;2040;195166
62;Totaal mannen en vrouwen;0 jaar;2041;193899
63;Totaal mannen en vrouwen;0 jaar;2042;192691
64;Totaal mannen en vrouwen;0 jaar;2043;191588
65;Totaal mannen en vrouwen;0 jaar;2044;190642
66;Totaal mannen en vrouwen;0 jaar;2045;189871
67;Totaal mannen en vrouwen;0 jaar;2046;189251
68;Totaal mannen en vrouwen;0 jaar;2047;188783
69;Totaal mannen en vrouwen;0 jaar;2048;188484
70;Totaal mannen en vrouwen;0 jaar;2049;188425
71;Totaal mannen en vrouwen;0 jaar;2050;188666
72;Totaal mannen en vrouwen;0 jaar;2051;189231
73;Totaal mannen en vrouwen;0 jaar;2052;190101
74;Totaal mannen en vrouwen;0 jaar;2053;191232
75;Totaal mannen en vrouwen;0 jaar;2054;192598
76;Totaal mannen en vrouwen;0 jaar;2055;194189
77;Totaal mannen en vrouwen;0 jaar;2056;195937
78;Totaal mannen en vrouwen;0 jaar;2057;197791
79;Totaal mannen en vrouwen;0 jaar;2058;199667
80;Totaal mannen en vrouwen;0 jaar;2059;201492
81;Totaal mannen en vrouwen;0 jaar;2060;203202
82;Totaal mannen en vrouwen;1 jaar;2020;170032
83;Totaal mannen en vrouwen;1 jaar;2021;172546
84;Totaal mannen en vrouwen;1 jaar;2022;172620
85;Totaal mannen en vrouwen;1 jaar;2023;175480
86;Totaal mannen en vrouwen;1 jaar;2024;179110
87;Totaal mannen en vrouwen;1 jaar;2025;183536
88;Totaal mannen en vrouwen;1 jaar;2026;187698
89;Totaal mannen en vrouwen;1 jaar;2027;191134
90;Totaal mannen en vrouwen;1 jaar;2028;194665
91;Totaal mannen en vrouwen;1 jaar;2029;197568
92;Totaal mannen en vrouwen;1 jaar;2030;199790
93;Totaal mannen en vrouwen;1 jaar;2031;201267
94;Totaal mannen en vrouwen;1 jaar;2032;202144
95;Totaal mannen en vrouwen;1 jaar;2033;202620
96;Totaal mannen en vrouwen;1 jaar;2034;202678
97;Totaal mannen en vrouwen;1 jaar;2035;202422
98;Totaal mannen en vrouwen;1 jaar;2036;201843
99;Totaal mannen en vrouwen;1 jaar;2037;201152
100;Totaal mannen en vrouwen;1 jaar;2038;200398
101;Totaal mannen en vrouwen;1 jaar;2039;199345
102;Totaal mannen en vrouwen;1 jaar;2040;198105
103;Totaal mannen en vrouwen;1 jaar;2041;196788
104;Totaal mannen en vrouwen;1 jaar;2042;195517
105;Totaal mannen en vrouwen;1 jaar;2043;194312
106;Totaal mannen en vrouwen;1 jaar;2044;193211
