ID;Geslacht;Leeftijd;Perioden;Sterftekans_1;LevendenTafelbevolking_2;OverledenenTafelbevolking_3;PeriodeLevensverwachting_4
0;Totaal mannen en vrouwen;0 jaar;2019;0.00305;100000;305;82.1
1;Totaal mannen en vrouwen;0 jaar;2020;0.00293;100000;293;82.26
2;Totaal mannen en vrouwen;0 jaar;2021;0.00282;100000;282;82.41
3;Totaal mannen en vrouwen;0 jaar;2022;0.00271;100000;271;82.57
4;Totaal mannen en vrouwen;0 jaar;2023;0.00261;100000;261;82.73
5;Totaal mannen en vrouwen;0 jaar;2024;0.00251;100000;251;82.88
6;Totaal mannen en vrouwen;0 jaar;2025;0.00241;100000;241;83.04
7;Totaal mannen en vrouwen;0 jaar;2026;0.00231;100000;231;83.21
8;Totaal mannen en vrouwen;0 jaar;2027;0.00222;100000;222;83.37
9;Totaal mannen en vrouwen;0 jaar;2028;0.00214;100000;214;83.53
10;Totaal mannen en vrouwen;0 jaar;2029;0.00205;100000;205;83.69
11;Totaal mannen en vrouwen;0 jaar;2030;0.00197;100000;197;83.85
12;Totaal mannen en vrouwen;0 jaar;2031;0.0019;100000;190;84.01
13;Totaal mannen en vrouwen;0 jaar;2032;0.00182;100000;182;84.17
14;Totaal mannen en vrouwen;0 jaar;2033;0.00175;100000;175;84.34
15;Totaal mannen en vrouwen;0 jaar;2034;0.00168;100000;168;84.5
16;Totaal mannen en vrouwen;0 jaar;2035;0.00162;100000;162;84.66
17;Totaal mannen en vrouwen;0 jaar;2036;0.00155;100000;155;84.81
18;Totaal mannen en vrouwen;0 jaar;2037;0.00149;100000;149;84.97
19;Totaal mannen en vrouwen;0 jaar;2038;0.00144;100000;144;85.13
20;Totaal mannen en vrouwen;0 jaar;2039;0.00138;100000;138;85.28
21;Totaal mannen en vrouwen;0 jaar;2040;0.00133;100000;133;85.43
22;Totaal mannen en vrouwen;0 jaar;2041;0.00127;100000;127;85.58
23;Totaal mannen en vrouwen;0 jaar;2042;0.00122;100000;122;85.73
24;Totaal mannen en vrouwen;0 jaar;2043;0.00118;100000;118;85.88
25;Totaal mannen en vrouwen;0 jaar;2044;0.00113;100000;113;86.03
26;Totaal mannen en vrouwen;0 jaar;2045;0.00108;100000;108;86.17
27;Totaal mannen en vrouwen;0 jaar;2046;0.00104;100000;104;86.31
28;Totaal mannen en vrouwen;0 jaar;2047;0.001;100000;100;86.45
29;Totaal mannen en vrouwen;0 jaar;2048;0.00096;100000;96;86.59
30;Totaal mannen en vrouwen;0 jaar;2049;0.00092;100000;92;86.73
31;Totaal mannen en vrouwen;0 jaar;2050;0.00089;100000;89;86.87
32;Totaal mannen en vrouwen;0 jaar;2051;0.00085;100000;85;87.0
33;Totaal mannen en vrouwen;0 jaar;2052;0.00082;100000;82;87.14
34;Totaal mannen en vrouwen;0 jaar;2053;0.00079;100000;79;87.27
35;Totaal mannen en vrouwen;0 jaar;2054;0.00076;100000;76;87.4
36;Totaal mannen en vrouwen;0 jaar;2055;0.00073;100000;73;87.53
37;Totaal mannen en vrouwen;0 jaar;2056;0.0007;100000;70;87.66
38;Totaal mannen en vrouwen;0 jaar;2057;0.00067;100000;67;87.79
39;Totaal mannen en vrouwen;0 jaar;2058;0.00064;100000;64;87.92
40;Totaal mannen en vrouwen;0 jaar;2059;0.00062;100000;62;88.04
41;Totaal mannen en vrouwen;0 jaar;2060;0.00059;100000;59;88.16
42;Totaal mannen en vrouwen;1 jaar;2019;0.00033;99695;33;81.85
43;Totaal mannen en vrouwen;1 jaar;2020;0.00032;99707;32;82.0
44;Totaal mannen en vrouwen;1 jaar;2021;0.00031;99718;31;82.15
45;Totaal mannen en vrouwen;1 jaar;2022;0.0003;99729;29;82.29
46;Totaal mannen en vrouwen;1 jaar;2023;0.00028;99739;28;82.44
47;Totaal mannen en vrouwen;1 jaar;2024;0.00027;99749;27;82.59
48;Totaal mannen en vrouwen;1 jaar;2025;0.00026;99759;26;82.74
49;Totaal mannen en vrouwen;1 jaar;2026;0.00025;99769;25;82.9
50;Totaal mannen en vrouwen;1 jaar;2027;0.00024;99778;24;83.05
51;Totaal mannen en vrouwen;1 jaar;2028;0.00023;99786;23;83.21
52;Totaal mannen en vrouwen;1 jaar;2029;0.00022;99795;22;83.36
53;Totaal mannen en vrouwen;1 jaar;2030;0.00022;99803;22;83.52
54;Totaal mannen en vrouwen;1 jaar;2031;0.00021;99810;21;83.67
55;Totaal mannen en vrouwen;1 jaar;2032;0.0002;99818;20;83.83
56;Totaal mannen en vrouwen;1 jaar;2033;0.00019;99825;19;83.98
57;Totaal mannen en vrouwen;1 jaar;2034;0.00018;99832;18;84.14
58;Totaal mannen en vrouwen;1 jaar;2035;0.00018;99838;18;84.29
59;Totaal mannen en vrouwen;1 jaar;2036;0.00017;99845;17;84.45
60;Totaal mannen en vrouwen;1 jaar;2037;0.00016;99851;16;84.6
61;Totaal mannen en vrouwen;1 jaar;2038;0.00016;99856;16;84.75
62;Totaal mannen en vrouwen;1 jaar;2039;0.00015;99862;15;84.9
63;Totaal mannen en vrouwen;1 jaar;2040;0.00015;99867;15;85.05
64;Totaal mannen en vrouwen;1 jaar;2041;0.00014;99873;14;85.19
65;Totaal mannen en vrouwen;1 jaar;2042;0.00013;99878;13;85.34
66;Totaal mannen en vrouwen;1 jaar;2043;0.00013;99882;13;85.48
67;Totaal mannen en vrouwen;1 jaar;2044;0.00012;99887;12;85.62
68;Totaal mannen en vrouwen;1 jaar;2045;0.00012;99892;12;85.76
69;Totaal mannen en vrouwen;1 jaar;2046;0.00011;99896;11;85.9
70;Totaal mannen en vrouwen;1 jaar;2047;0.00011;99900;11;86.04
71;Totaal mannen en vrouwen;1 jaar;2048;0.00011;99904;11;86.18
72;Totaal mannen en vrouwen;1 jaar;2049;0.0001;99908;10;86.31
73;Totaal mannen en vrouwen;1 jaar;2050;0.0001;99911;10;86.45
74;Totaal mannen en vrouwen;1 jaar;2051;9e-05;99915;9;86.58
75;Totaal mannen en vrouwen;1 jaar;2052;9e-05;99918;9;86.71
76;Totaal mannen en vrouwen;1 jaar;2053;9e-05;99921;9;86.84
77;Totaal mannen en vrouwen;1 jaar;2054;8e-05;99924;8;86.97
78;Totaal mannen en vrouwen;1 jaar;2055;8e-05;99927;8;87.1
79;Totaal mannen en vrouwen;1 jaar;2056;8e-05;99930;8;87.22
80;Totaal mannen en vrouwen;1 jaar;2057;7e-05;99933;7;87.35
81;Totaal mannen en vrouwen;1 jaar;2058;7e-05;99936;7;87.47
82;Totaal mannen en vrouwen;1 jaar;2059;7e-05;99938;7;87.59
83;Totaal mannen en vrouwen;1 jaar;2060;7e-05;99941;7;87.72
84;Totaal mannen en vrouwen;2 jaar;2019;0.00018;99662;18;80.88
85;Totaal mannen en vrouwen;2 jaar;2020;0.00017;99675;17;81.03
86;Totaal mannen en vrouwen;2 jaar;2021;0.00016;99688;16;81.17
87;Totaal mannen en vrouwen;2 jaar;2022;0.00016;99700;16;81.32
88;Totaal mannen en vrouwen;2 jaar;2023;0.00015;99711;15;81.47
89;Totaal mannen en vrouwen;2 jaar;2024;0.00015;99722;15;81.61
90;Totaal mannen en vrouwen;2 jaar;2025;0.00014;99733;14;81.76
91;Totaal mannen en vrouwen;2 jaar;2026;0.00013;99743;13;81.92
92;Totaal mannen en vrouwen;2 jaar;2027;0.00013;99753;13;82.07
