ID;Sectoren;Milieudomeinen;Perioden;TotaleAanbodMilieudiensten_1;Productie_2;IntermediaireConsumptie_3;Import_4;Export_5;BelastingSubsidies_6;TotaleVerbruikMilieudiensten_7;FinaleBestedingen_8;Investeringen_9;BetaaldeOverdrachten_10;OntvangenOverdrachten_11;BetalingenBuitenland_12;OntvangstenBuitenland_13;UitgavenMilieubescherming_14
0;Totaal sectoren;Totaal milieubescherming;2013    ;14447;15898.0;2706.0;262.0;344.0;1336.0;13512.0;7583.0;3491.0;489.0;310.0;;179.0;17182.0
1;Totaal sectoren;Totaal milieubescherming;2014    ;14576;16066.0;2740.0;241.0;320.0;1329.0;13630.0;7302.0;4113.0;479.0;346.0;;133.0;17879.0
2;Totaal sectoren;Totaal milieubescherming;2015    ;14294;15921.0;2652.0;272.0;348.0;1101.0;14294.0;8936.0;4593.0;508.0;377.0;;131.0;19018.0
3;Totaal sectoren;Totaal milieubescherming;2016    ;14840;16686.0;2778.0;273.0;451.0;1110.0;14840.0;9380.0;3151.0;376.0;226.0;;150.0;18141.0
4;Totaal sectoren;Totaal milieubescherming;2017    ;15258;17231.0;2955.0;263.0;411.0;1130.0;15258.0;9530.0;2892.0;468.0;318.0;;150.0;18299.0
5;Totaal sectoren;Totaal milieubescherming;2018    ;15848;17985.0;3126.0;256.0;422.0;1155.0;15848.0;9985.0;3325.0;584.0;404.0;;180.0;19353.0
6;Totaal sectoren;Totaal milieubescherming;2019;16213;18528.0;3329.0;244.0;428.0;1198.0;16213.0;10170.0;3426.0;493.0;319.0;;174.0;19813.0
7;Totaal sectoren;Totaal milieubescherming;2020;16906;19214.0;3404.0;358.0;466.0;1204.0;16906.0;10902.0;3452.0;522.0;346.0;;176.0;20535.0
8;Totaal sectoren;Totaal milieubescherming;2021;17918;20509.0;3731.0;296.0;453.0;1297.0;17918.0;11528.0;3795.0;540.0;376.0;;164.0;21877.0
9;Totaal sectoren;Lucht;2013    ;186;186.0;0.0;0.0;0.0;0.0;186.0;145.0;134.0;154.0;36.0;;118.0;438.0
10;Totaal sectoren;Lucht;2014    ;175;175.0;0.0;0.0;0.0;0.0;175.0;135.0;566.0;145.0;61.0;;85.0;826.0
11;Totaal sectoren;Lucht;2015    ;127;127.0;0.0;0.0;0.0;0.0;127.0;104.0;765.0;151.0;68.0;;83.0;975.0
12;Totaal sectoren;Lucht;2016    ;177;177.0;0.0;0.0;0.0;0.0;177.0;145.0;135.0;135.0;41.0;;94.0;406.0
13;Totaal sectoren;Lucht;2017    ;171;171.0;0.0;0.0;0.0;0.0;171.0;140.0;111.0;243.0;147.0;;96.0;378.0
14;Totaal sectoren;Lucht;2018    ;183;183.0;0.0;0.0;0.0;0.0;183.0;158.0;162.0;262.0;145.0;;117.0;462.0
15;Totaal sectoren;Lucht;2019;237;237.0;0.0;0.0;0.0;0.0;237.0;202.0;177.0;195.0;84.0;;110.0;524.0
16;Totaal sectoren;Lucht;2020;264;264.0;0.0;0.0;0.0;0.0;264.0;226.0;160.0;181.0;69.0;;112.0;537.0
17;Totaal sectoren;Lucht;2021;270;270.0;0.0;0.0;0.0;0.0;270.0;234.0;211.0;162.0;57.0;;105.0;585.0
18;Totaal sectoren;Afvalwater;2013    ;4082;4196.0;296.0;0.0;0.0;182.0;4007.0;2986.0;1831.0;50.0;35.0;;15.0;5853.0
19;Totaal sectoren;Afvalwater;2014    ;4131;4255.0;305.0;0.0;0.0;181.0;4056.0;3037.0;1609.0;32.0;20.0;;12.0;5677.0
20;Totaal sectoren;Afvalwater;2015    ;3975;4103.0;278.0;0.0;0.0;151.0;3975.0;3076.0;1256.0;45.0;34.0;;11.0;5242.0
21;Totaal sectoren;Afvalwater;2016    ;3964;4091.0;272.0;0.0;0.0;145.0;3964.0;3094.0;1246.0;35.0;22.0;;13.0;5223.0
