ID;Geslacht;Leeftijd;BeroepenEnSpecialismen;Perioden;TotaalBIGGeregistreerd_1;TotaalBekendeArbeidspositie_2;TotaalWerkzaam_3;WerkzaamInDeZorg_4;WerkzaamInZorgverwanteTakken_5;Uitzendbranche_6;WerkzaamBuitenDeZorg_7;WerkkringOnbekend_8;Werknemer_9;Zelfstandige_10;WerknemerEnZelfstandige_11;EenArbeidsbetrekking_12;TweeArbeidsbetrekkingen_13;DrieOfMeerArbeidsbetrekkingen_14;NietWerkzaam_15;OnbekendeArbeidspositie_16;NietWonendEnNietWerkendInNederland_17
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;1999;297440.0;286600.0;247000.0;209180.0;14535.0;3580.0;19065.0;640.0;207135.0;30360.0;9500.0;225055.0;20320.0;1620.0;39600.0;7495.0;3350.0
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;2000;309135.0;297030.0;255830.0;214915.0;15175.0;3440.0;21545.0;755.0;214095.0;31760.0;9980.0;232790.0;21405.0;1640.0;41200.0;8200.0;3905.0
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;2001;319400.0;306070.0;269600.0;221830.0;16025.0;3495.0;22060.0;6190.0;207365.0;41625.0;20610.0;232635.0;32910.0;4055.0;36475.0;9045.0;4285.0
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;2002;330250.0;315555.0;278235.0;228300.0;17060.0;3195.0;23125.0;6550.0;214415.0;42730.0;21085.0;238740.0;35375.0;4115.0;37320.0;9870.0;4825.0
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;2003;341170.0;325065.0;286180.0;235010.0;17780.0;2900.0;23745.0;6745.0;220465.0;43605.0;22110.0;246210.0;35600.0;4375.0;38880.0;10800.0;5305.0
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;2004;351300.0;333755.0;291070.0;239690.0;16885.0;2775.0;24060.0;7665.0;224665.0;44470.0;21935.0;252415.0;34570.0;4085.0;42680.0;11575.0;5965.0
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;2005;361250.0;342335.0;297860.0;244340.0;17465.0;2755.0;24890.0;8410.0;227110.0;45960.0;24790.0;254805.0;38430.0;4620.0;44475.0;12215.0;6700.0
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;2006;370525.0;349950.0;302765.0;247635.0;17635.0;3070.0;26535.0;7890.0;228035.0;49385.0;25345.0;258860.0;39035.0;4870.0;47185.0;12825.0;7750.0
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;2007;379635.0;357890.0;307995.0;252130.0;18190.0;3230.0;24020.0;10425.0;231775.0;50525.0;25695.0;264090.0;39635.0;4270.0;49895.0;13215.0;8530.0
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;2008;389130.0;366265.0;313880.0;258310.0;18270.0;3455.0;24780.0;9065.0;234320.0;52545.0;27015.0;268995.0;40640.0;4245.0;52385.0;13585.0;9280.0
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal BIG-geregistreerde beroepen;2009;398670.0;374905.0;320920.0;262520.0;18865.0;3695.0;26805.0;9040.0;238315.0;54460.0;28145.0;274570.0;41925.0;4425.0;53990.0;13975.0;9790.0
