ID;SociaaleconomischeCategorie;BeroepenEnSpecialismen;Sector;RegioS;Perioden;MedischGeschoolden_1
0;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Nederland, Buitenland, Niet in te delen;2013;332310
1;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Nederland, Buitenland, Niet in te delen;2014;287165
2;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Nederland, Buitenland, Niet in te delen;2015;294390
3;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Nederland, Buitenland, Niet in te delen;2016;300625
4;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Nederland, Buitenland, Niet in te delen;2017;307405
5;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Nederland, Buitenland, Niet in te delen;2018;314305
6;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Nederland, Buitenland, Niet in te delen;2019;312135
7;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Nederland, Buitenland, Niet in te delen;2020;322495
8;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Nederland, Buitenland, Niet in te delen;2021;332015
9;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Nederland, Buitenland, Niet in te delen;2022;339525
10;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Nederland, Buitenland, Niet in te delen;2023;334850
11;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Noord-Nederland (LD);2013;37750
12;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Noord-Nederland (LD);2014;32385
13;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Noord-Nederland (LD);2015;33285
14;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Noord-Nederland (LD);2016;34000
15;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Noord-Nederland (LD);2017;34870
16;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Noord-Nederland (LD);2018;35975
17;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Noord-Nederland (LD);2019;35890
18;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Noord-Nederland (LD);2020;37410
19;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Noord-Nederland (LD);2021;38665
20;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Noord-Nederland (LD);2022;39585
21;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Noord-Nederland (LD);2023;38935
22;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Oost-Nederland (LD);2013;71580
23;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Oost-Nederland (LD);2014;60915
24;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Oost-Nederland (LD);2015;62595
25;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Oost-Nederland (LD);2016;64065
26;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Oost-Nederland (LD);2017;65935
27;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Oost-Nederland (LD);2018;67545
28;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Oost-Nederland (LD);2019;67225
29;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Oost-Nederland (LD);2020;69925
30;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Oost-Nederland (LD);2021;72515
31;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Oost-Nederland (LD);2022;74570
32;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Oost-Nederland (LD);2023;73660
33;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;West-Nederland (LD);2013;150915
34;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;West-Nederland (LD);2014;132440
35;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;West-Nederland (LD);2015;135505
36;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;West-Nederland (LD);2016;138385
37;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;West-Nederland (LD);2017;140930
38;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;West-Nederland (LD);2018;143590
39;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;West-Nederland (LD);2019;142475
40;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;West-Nederland (LD);2020;146605
41;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;West-Nederland (LD);2021;150090
42;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;West-Nederland (LD);2022;152735
43;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;West-Nederland (LD);2023;150680
44;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Zuid-Nederland (LD);2013;70380
45;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Zuid-Nederland (LD);2014;59990
46;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Zuid-Nederland (LD);2015;61410
47;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Zuid-Nederland (LD);2016;62645
48;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Zuid-Nederland (LD);2017;64020
49;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Zuid-Nederland (LD);2018;65495
50;Werknemer of zelfstandige;Totaal BIG-geregistreerde beroepen;Totaal inclusief geen sector;Zuid-Nederland (LD);2019;64085
