ID;Geslacht;Regiokenmerken;Perioden;Leerlingen_1;VoortijdigSchoolverlaters_2;NietVoortijdigSchoolverlaters_3;VoortijdigSchoolverlatersPercentage_4
0;Totaal mannen en vrouwen;Nederland;2012/'13;1321190.0;31290.0;1289890.0;2.0
1;Totaal mannen en vrouwen;Nederland;2013/'14;1331050.0;29320.0;1301730.0;2.0
2;Totaal mannen en vrouwen;Nederland;2014/'15;1341570.0;28120.0;1313450.0;2.0
3;Totaal mannen en vrouwen;Nederland;2015/'16;1350280.0;27360.0;1322920.0;2.0
4;Totaal mannen en vrouwen;Nederland;2016/'17;1357170.0;28360.0;1328810.0;2.0
5;Totaal mannen en vrouwen;Nederland;2017/'18;1351640.0;30260.0;1321380.0;2.0
6;Totaal mannen en vrouwen;Nederland;2018/'19;1338710.0;31470.0;1307240.0;2.0
7;Totaal mannen en vrouwen;Nederland;2019/'20;1321840.0;26360.0;1295480.0;2.0
8;Totaal mannen en vrouwen;Nederland;2020/'21;1303570.0;28790.0;1274780.0;2.0
9;Totaal mannen en vrouwen;Nederland;2021/'22;1291030.0;35840.0;1255190.0;3.0
10;Totaal mannen en vrouwen;Nederland;2022/'23;1277200.0;35430.0;1241770.0;3.0
11;Totaal mannen en vrouwen;Vier grote gemeenten (4);2012/'13;140230.0;5540.0;134700.0;4.0
12;Totaal mannen en vrouwen;Vier grote gemeenten (4);2013/'14;142160.0;5470.0;136690.0;4.0
13;Totaal mannen en vrouwen;Vier grote gemeenten (4);2014/'15;144210.0;4870.0;139330.0;3.0
14;Totaal mannen en vrouwen;Vier grote gemeenten (4);2015/'16;146520.0;4880.0;141640.0;3.0
15;Totaal mannen en vrouwen;Vier grote gemeenten (4);2016/'17;148790.0;4860.0;143930.0;3.0
16;Totaal mannen en vrouwen;Vier grote gemeenten (4);2017/'18;151050.0;5100.0;145950.0;3.0
17;Totaal mannen en vrouwen;Vier grote gemeenten (4);2018/'19;152120.0;5200.0;146920.0;3.0
18;Totaal mannen en vrouwen;Vier grote gemeenten (4);2019/'20;153100.0;4240.0;148860.0;3.0
19;Totaal mannen en vrouwen;Vier grote gemeenten (4);2020/'21;153750.0;4470.0;149280.0;3.0
20;Totaal mannen en vrouwen;Vier grote gemeenten (4);2021/'22;154330.0;5710.0;148620.0;4.0
21;Totaal mannen en vrouwen;Vier grote gemeenten (4);2022/'23;153880.0;5580.0;148300.0;4.0
22;Totaal mannen en vrouwen;Gemeenten >= 100 000 inwoners (ecl. G4);2012/'13;241720.0;6970.0;234750.0;3.0
23;Totaal mannen en vrouwen;Gemeenten >= 100 000 inwoners (ecl. G4);2013/'14;251910.0;6560.0;245360.0;3.0
24;Totaal mannen en vrouwen;Gemeenten >= 100 000 inwoners (ecl. G4);2014/'15;277900.0;7100.0;270800.0;3.0
25;Totaal mannen en vrouwen;Gemeenten >= 100 000 inwoners (ecl. G4);2015/'16;289080.0;6980.0;282100.0;2.0
26;Totaal mannen en vrouwen;Gemeenten >= 100 000 inwoners (ecl. G4);2016/'17;291960.0;7370.0;284590.0;3.0
27;Totaal mannen en vrouwen;Gemeenten >= 100 000 inwoners (ecl. G4);2017/'18;291700.0;7760.0;283940.0;3.0
28;Totaal mannen en vrouwen;Gemeenten >= 100 000 inwoners (ecl. G4);2018/'19;291950.0;8050.0;283900.0;3.0
29;Totaal mannen en vrouwen;Gemeenten >= 100 000 inwoners (ecl. G4);2019/'20;292180.0;6850.0;285330.0;2.0
30;Totaal mannen en vrouwen;Gemeenten >= 100 000 inwoners (ecl. G4);2020/'21;298350.0;7590.0;290760.0;3.0
31;Totaal mannen en vrouwen;Gemeenten >= 100 000 inwoners (ecl. G4);2021/'22;296370.0;9390.0;286980.0;3.0
32;Totaal mannen en vrouwen;Gemeenten >= 100 000 inwoners (ecl. G4);2022/'23;294110.0;9120.0;284990.0;3.0
33;Totaal mannen en vrouwen;Gemeenten < 100 000 inwoners;2012/'13;939190.0;18780.0;920410.0;2.0
34;Totaal mannen en vrouwen;Gemeenten < 100 000 inwoners;2013/'14;936980.0;17290.0;919680.0;2.0
35;Totaal mannen en vrouwen;Gemeenten < 100 000 inwoners;2014/'15;919460.0;16140.0;903320.0;2.0
36;Totaal mannen en vrouwen;Gemeenten < 100 000 inwoners;2015/'16;914680.0;15500.0;899180.0;2.0
37;Totaal mannen en vrouwen;Gemeenten < 100 000 inwoners;2016/'17;916420.0;16140.0;900290.0;2.0
38;Totaal mannen en vrouwen;Gemeenten < 100 000 inwoners;2017/'18;908890.0;17400.0;891490.0;2.0
