ID;Geslacht;Leeftijd;Migratiemotief;SociaaleconomischeCategorie;Nationaliteit;Verblijfsduur;JaarVanImmigratie;ImmigrantenExclusiefEUEFTA_1
0;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;1999 ;55625.0
1;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2000 ;68045.0
2;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2001;70485.0
3;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2002 ;64855.0
4;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2003;53600.0
5;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2004 ;38680.0
6;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2005 ;36125.0
7;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2006;36155.0
8;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2007 ;36315.0
9;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2008;46980.0
10;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2009;49795.0
11;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2010 ;48925.0
12;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2011;49095.0
13;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2012 ;44735.0
14;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2013 ;48915.0
15;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2014 ;57485.0
16;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2015 ;76780.0
17;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2016;92890.0
18;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2017;83595.0
19;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2018;80545.0
20;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2019;90770.0
21;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2020;61545.0
22;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2021;90445.0
23;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2022;230460.0
24;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;1 jaar;2023;164740.0
25;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;1999 ;55625.0
26;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2000 ;68045.0
27;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2001;70485.0
28;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2002 ;64855.0
29;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2003;53600.0
30;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2004 ;38680.0
31;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2005 ;36125.0
32;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2006;36155.0
33;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2007 ;36315.0
34;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2008;46980.0
35;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2009;49795.0
36;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2010 ;48925.0
37;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2011;49095.0
38;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2012 ;44735.0
39;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2013 ;48915.0
40;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2014 ;57485.0
41;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2015 ;76780.0
42;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2016;92890.0
43;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2017;83595.0
44;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2018;80545.0
45;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2019;90770.0
46;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2020;61545.0
47;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2021;90445.0
48;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2022;
49;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;2 jaar;2023;
50;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;1999 ;55625.0
51;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;2000 ;68045.0
52;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;2001;70485.0
53;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;2002 ;64855.0
54;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;2003;53600.0
55;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;2004 ;38680.0
56;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;2005 ;36125.0
57;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;2006;36155.0
58;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;2007 ;36315.0
59;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;2008;46980.0
60;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;2009;49795.0
61;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;2010 ;48925.0
62;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;2011;49095.0
63;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;2012 ;44735.0
64;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;2013 ;48915.0
65;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;2014 ;57485.0
66;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;2015 ;76780.0
67;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;2016;92890.0
68;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;2017;83595.0
69;Totaal mannen en vrouwen;10000;Totaal;Totaal;Totaal;3 jaar;2018;80545.0
