ID;TypeOfRental;Periods;RealRentIncreaseInclHarmonisation_1;RealRentIncreaseExclHarmonisation_2
0;"Total; regulated";2015;1.6;1.0
1;"Total; regulated";2016;1.2;0.7
2;"Total; regulated";2017;1.1;0.7
3;"Total; regulated";2018;0.7;0.4
4;"Total; regulated";2019;0.7;0.4
5;"Total; regulated";2020;0.2;-0.2
6;"Total; regulated";2021;-1.1;-1.5
7;"Total; regulated";2022;0.3;-0.1
8;"Total; regulated";2023;-8.7;-9.2
9;"Total; regulated";2024;1.1;0.5
10;"Social landlords; regulated";2015;1.6;0.9
11;"Social landlords; regulated";2016;1.0;0.4
12;"Social landlords; regulated";2017;0.8;0.3
13;"Social landlords; regulated";2018;0.3;0.0
14;"Social landlords; regulated";2019;0.4;0.1
15;"Social landlords; regulated";2020;0.1;-0.3
16;"Social landlords; regulated";2021;-1.1;-1.5
17;"Social landlords; regulated";2022;0.3;-0.1
18;"Social landlords; regulated";2023;-9.6;-10.0
19;"Social landlords; regulated";2024;1.1;0.4
20;"Other landlords; regulated";2015;1.6;1.4
21;"Other landlords; regulated";2016;1.7;1.4
22;"Other landlords; regulated";2017;2.2;2.0
23;"Other landlords; regulated";2018;1.9;1.5
24;"Other landlords; regulated";2019;1.7;1.4
25;"Other landlords; regulated";2020;0.8;0.4
26;"Other landlords; regulated";2021;-1.1;-1.2
27;"Other landlords; regulated";2022;0.5;0.1
28;"Other landlords; regulated";2023;-6.0;-6.7
29;"Other landlords; regulated";2024;1.2;0.7
