ID;PrognoseInterval;Perioden;BevolkingOp1Januari_1;k_0Tot20Jaar_2;k_20Tot65Jaar_3;k_65JaarEnOuder_4;k_0Tot20Jaar_5;k_20Tot65Jaar_6;k_65JaarEnOuder_7;TotaleDruk_8;GroeneDruk_9;GrijzeDruk_10;LevendGeborenenKinderen_11;TotaalVruchtbaarheidscijfer_12;Overledenen_13;Totaal_14;Mannen_15;Vrouwen_16;Totaal_17;Mannen_18;Vrouwen_19;Immigratie_20;EmigratieInclusiefCorrecties_21;MigratiesaldoInclusiefCorrecties_22
0;Prognose;2020;;;;;;;;;;;168344;1.54;164087;81.68;80.05;83.27;19.69;18.42;20.89;210629;151812;58817
1;Prognose;2021;17470658.0;3740201.0;10269012.0;3461445.0;21.4;58.8;19.8;70.1;36.4;33.7;161326;1.46;157790;82.2;80.58;83.78;20.14;18.88;21.32;243588;173301;70287
2;Prognose;2022;17544480.0;3706785.0;10297649.0;3540047.0;21.1;58.7;20.2;70.4;36.0;34.4;165720;1.49;157505;82.46;80.83;84.06;20.35;19.09;21.53;278977;181564;97413
3;Prognose;2023;17650110.0;3685535.0;10342717.0;3621858.0;20.9;58.6;20.5;70.7;35.6;35.0;172714;1.53;158529;82.67;81.04;84.28;20.5;19.24;21.69;288194;192871;95323
4;Prognose;2024;17759618.0;3670678.0;10382692.0;3706248.0;20.7;58.5;20.9;71.1;35.4;35.7;180476;1.58;160702;82.83;81.19;84.45;20.61;19.35;21.8;290245;203610;86635
5;Prognose;2025;17866026.0;3667466.0;10405037.0;3793523.0;20.5;58.2;21.2;71.7;35.2;36.5;185277;1.61;162908;82.99;81.36;84.61;20.71;19.47;21.91;294785;213206;81579
6;Prognose;2026;17969974.0;3673372.0;10417149.0;3879453.0;20.4;58.0;21.6;72.5;35.3;37.2;188153;1.62;165153;83.15;81.53;84.77;20.82;19.58;22.02;296415;220021;76394
7;Prognose;2027;18069368.0;3682540.0;10418084.0;3968744.0;20.4;57.7;22.0;73.4;35.3;38.1;192498;1.64;167465;83.31;81.69;84.93;20.94;19.7;22.13;297577;225447;72130
8;Prognose;2028;18166530.0;3698114.0;10411540.0;4056876.0;20.4;57.3;22.3;74.5;35.5;39.0;196108;1.67;169839;83.47;81.85;85.09;21.05;19.82;22.24;298952;229489;69463
9;Prognose;2029;18262260.0;3712741.0;10403341.0;4146179.0;20.3;57.0;22.7;75.5;35.7;39.9;198905;1.68;172278;83.63;82.01;85.26;21.16;19.93;22.36;297867;232498;65369
10;Prognose;2030;18354256.0;3729278.0;10389077.0;4235901.0;20.3;56.6;23.1;76.7;35.9;40.8;200583;1.69;174762;83.79;82.16;85.42;21.27;20.04;22.48;296781;234416;62365
11;Prognose;2031;18442442.0;3746964.0;10377520.0;4317959.0;20.3;56.3;23.4;77.7;36.1;41.6;202006;1.7;177280;83.95;82.32;85.59;21.39;20.15;22.61;296341;235675;60666
12;Prognose;2032;18527834.0;3770193.0;10364264.0;4393377.0;20.3;55.9;23.7;78.8;36.4;42.4;201845;1.7;179800;84.11;82.47;85.77;21.5;20.25;22.73;295627;236608;59019
13;Prognose;2033;18608898.0;3796375.0;10348063.0;4464460.0;20.4;55.6;24.0;79.8;36.7;43.1;201695;1.7;182296;84.27;82.62;85.94;21.62;20.36;22.86;294901;237201;57700
14;Prognose;2034;18685996.0;3826470.0;10324890.0;4534635.0;20.5;55.3;24.3;81.0;37.1;43.9;201448;1.7;184745;84.43;82.77;86.11;21.74;20.47;22.99;294116;237563;56553
15;Prognose;2035;18759250.0;3852485.0;10294696.0;4612070.0;20.5;54.9;24.6;82.2;37.4;44.8;201013;1.7;187123;84.59;82.92;86.28;21.85;20.58;23.12;294056;237950;56106
16;Prognose;2036;18829246.0;3882355.0;10265647.0;4681245.0;20.6;54.5;24.9;83.4;37.8;45.6;200277;1.7;189403;84.75;83.07;86.44;21.97;20.69;23.24;293943;238381;55562
17;Prognose;2037;18895682.0;3910192.0;10247686.0;4737803.0;20.7;54.2;25.1;84.4;38.2;46.2;199182;1.7;191565;84.91;83.22;86.61;22.09;20.8;23.37;293783;238808;54975
18;Prognose;2038;18958272.0;3939555.0;10237566.0;4781151.0;20.8;54.0;25.2;85.2;38.5;46.7;197986;1.7;193590;85.06;83.36;86.77;22.2;20.9;23.49;293616;239148;54468
19;Prognose;2039;19017136.0;3968871.0;10242586.0;4805679.0;20.9;53.9;25.3;85.7;38.7;46.9;196735;1.7;195455;85.21;83.51;86.93;22.32;21.01;23.62;293434;239406;54028
20;Prognose;2040;19072444.0;3995983.0;10255200.0;4821260.0;21.0;53.8;25.3;86.0;39.0;47.0;195463;1.7;197143;85.37;83.65;87.09;22.43;21.11;23.74;293245;239639;53606
21;Prognose;2041;19124370.0;4022275.0;10275088.0;4827007.0;21.0;53.7;25.2;86.1;39.1;47.0;194191;1.7;198666;85.52;83.79;87.25;22.55;21.22;23.86;293030;239820;53210
22;Prognose;2042;19173104.0;4054403.0;10288576.0;4830125.0;21.1;53.7;25.2;86.4;39.4;46.9;192987;1.7;200036;85.67;83.94;87.4;22.66;21.33;23.98;293021;240021;53000
23;Prognose;2043;19219054.0;4081201.0;10307578.0;4830274.0;21.2;53.6;25.1;86.5;39.6;46.9;191913;1.7;201259;85.81;84.08;87.55;22.77;21.43;24.09;293019;240256;52763
24;Prognose;2044;19262470.0;4100353.0;10330133.0;4831985.0;21.3;53.6;25.1;86.5;39.7;46.8;190967;1.7;202340;85.96;84.22;87.7;22.88;21.53;24.21;293026;240524;52502
25;Prognose;2045;19303600.0;4111093.0;10359851.0;4832655.0;21.3;53.7;25.0;86.3;39.7;46.6;190129;1.7;203364;86.1;84.36;87.85;22.99;21.64;24.33;293031;240791;52240
26;Prognose;2046;19342604.0;4116419.0;10387322.0;4838863.0;21.3;53.7;25.0;86.2;39.6;46.6;189388;1.7;204246;86.25;84.49;88.0;23.1;21.74;24.44;293043;241048;51995
27;Prognose;2047;19379744.0;4118242.0;10419579.0;4841923.0;21.3;53.8;25.0;86.0;39.5;46.5;188763;1.7;205084;86.39;84.63;88.14;23.21;21.84;24.55;293046;241290;51756
28;Prognose;2048;19415180.0;4115172.0;10459823.0;4840186.0;21.2;53.9;24.9;85.6;39.3;46.3;188318;1.7;205928;86.53;84.77;88.29;23.32;21.95;24.67;293071;241533;51538
29;Prognose;2049;19449110.0;4108162.0;10503860.0;4837087.0;21.1;54.0;24.9;85.2;39.1;46.1;188126;1.7;206773;86.67;84.9;88.43;23.42;22.05;24.78;293120;241802;51318
30;Prognose;2050;19481782.0;4098236.0;10544914.0;4838631.0;21.0;54.1;24.8;84.8;38.9;45.9;188228;1.7;207587;86.81;85.04;88.57;23.53;22.15;24.89;293201;242043;51158
31;Prognose;2051;19513582.0;4086770.0;10583720.0;4843093.0;20.9;54.2;24.8;84.4;38.6;45.8;188625;1.7;208336;86.94;85.17;88.71;23.64;22.25;25.0;293315;242403;50912
32;Prognose;2052;19544784.0;4074289.0;10618042.0;4852452.0;20.8;54.3;24.8;84.1;38.4;45.7;189315;1.7;208967;87.08;85.3;88.85;23.74;22.35;25.1;293393;242734;50659
33;Prognose;2053;19575792.0;4062651.0;10650236.0;4862905.0;20.8;54.4;24.8;83.8;38.1;45.7;190316;1.7;209452;87.21;85.43;88.98;23.84;22.45;25.21;293475;242984;50491
34;Prognose;2054;19607146.0;4052164.0;10681841.0;4873142.0;20.7;54.5;24.9;83.6;37.9;45.6;191639;1.7;209755;87.34;85.56;89.12;23.95;22.55;25.32;293590;243227;50363
35;Prognose;2055;19639394.0;4043229.0;10710078.0;4886087.0;20.6;54.5;24.9;83.4;37.8;45.6;193241;1.7;209846;87.47;85.69;89.25;24.05;22.65;25.42;293682;243465;50217
36;Prognose;2056;19673006.0;4036308.0;10729752.0;4906946.0;20.5;54.5;24.9;83.4;37.6;45.7;195067;1.7;209697;87.6;85.82;89.38;24.15;22.74;25.53;293780;243676;50104
37;Prognose;2057;19708480.0;4031916.0;10748037.0;4928527.0;20.5;54.5;25.0;83.4;37.5;45.9;197052;1.7;209289;87.73;85.94;89.51;24.25;22.84;25.63;293909;243876;50033
38;Prognose;2058;19746278.0;4030556.0;10766449.0;4949274.0;20.4;54.5;25.1;83.4;37.4;46.0;199151;1.7;208618;87.86;86.07;89.64;24.35;22.94;25.73;293996;244060;49936
39;Prognose;2059;19786748.0;4032463.0;10784318.0;4969967.0;20.4;54.5;25.1;83.5;37.4;46.1;201305;1.7;207681;87.99;86.19;89.76;24.45;23.03;25.84;294077;244233;49844
40;Prognose;2060;19830216.0;4037726.0;10799558.0;4992932.0;20.4;54.5;25.2;83.6;37.4;46.2;203384;1.7;206499;88.11;86.32;89.89;24.55;23.13;25.94;294215;244388;49827
41;Prognose;2061;19876928.0;4046303.0;10817694.0;5012931.0;20.4;54.4;25.2;83.7;37.4;46.3;205256;1.7;205077;88.23;86.44;90.01;24.64;23.22;26.04;294306;244540;49766
42;Prognose;2062;19926874.0;4057977.0;10834628.0;5034269.0;20.4;54.4;25.3;83.9;37.5;46.5;206860;1.7;203454;88.36;86.56;90.13;24.74;23.32;26.13;294422;244682;49740
43;Prognose;2063;19980020.0;4072416.0;10848475.0;5059128.0;20.4;54.3;25.3;84.2;37.5;46.6;208171;1.7;201671;88.48;86.68;90.25;24.84;23.41;26.23;294504;244816;49688
44;Prognose;2064;20036208.0;4089194.0;10854884.0;5092130.0;20.4;54.2;25.4;84.6;37.7;46.9;209194;1.7;199782;88.6;86.8;90.37;24.93;23.51;26.33;294584;244935;49649
45;Prognose;2065;20095270.0;4107896.0;10858434.0;5128939.0;20.4;54.0;25.5;85.1;37.8;47.2;209927;1.7;197863;88.71;86.92;90.49;25.03;23.6;26.43;294666;245051;49615
46;Prognose;2066;20156948.0;4128112.0;10856507.0;5172328.0;20.5;53.9;25.7;85.7;38.0;47.6;210379;1.7;195983;88.83;87.04;90.61;25.12;23.69;26.52;294757;245145;49612
47;Prognose;2067;20220956.0;4149487.0;10856852.0;5214617.0;20.5;53.7;25.8;86.3;38.2;48.0;210578;1.7;194192;88.95;87.16;90.72;25.21;23.78;26.62;294834;245235;49599
48;Prognose;2068;20286940.0;4171649.0;10858195.0;5257098.0;20.6;53.5;25.9;86.8;38.4;48.4;210563;1.7;192557;89.06;87.27;90.83;25.3;23.88;26.71;294897;245314;49583
49;Prognose;2069;20354530.0;4194221.0;10860045.0;5300263.0;20.6;53.4;26.0;87.4;38.6;48.8;210377;1.7;191116;89.18;87.39;90.95;25.4;23.97;26.8;294968;245382;49586
50;Prognose;2070;20423376.0;4216787.0;10867520.0;5339070.0;20.6;53.2;26.1;87.9;38.8;49.1;210064;1.7;189963;89.29;87.5;91.06;25.49;24.06;26.89;294968;245408;49560
51;Ondergrens 95%-prognose-interval;2020;;;;;;;;;;;159682;1.47;151303;80.94;79.31;82.53;19.1;17.85;20.29;182043;136728;26454
52;Ondergrens 95%-prognose-interval;2021;17431434.0;3729546.0;10242893.0;3449277.0;21.4;58.7;19.7;70.0;36.3;33.6;149767;1.36;141385;81.16;79.54;82.74;19.3;18.06;20.46;199086;152497;22407
53;Ondergrens 95%-prognose-interval;2022;17461820.0;3682130.0;10236361.0;3515443.0;21.0;58.6;20.0;70.0;35.8;34.1;151585;1.36;138035;81.18;79.55;82.78;19.32;18.09;20.48;223132;156113;38251
54;Ondergrens 95%-prognose-interval;2023;17506262.0;3645476.0;10239755.0;3580797.0;20.7;58.4;20.3;70.0;35.3;34.5;156351;1.38;136469;81.19;79.56;82.8;19.31;18.08;20.47;224776;163798;31186
55;Ondergrens 95%-prognose-interval;2024;17553758.0;3613507.0;10243693.0;3646986.0;20.5;58.2;20.5;70.1;34.9;35.0;161960;1.41;136853;81.18;79.54;82.8;19.27;18.05;20.43;221436;171181;18202
56;Ondergrens 95%-prognose-interval;2025;17613154.0;3592569.0;10224216.0;3715221.0;20.2;57.9;20.8;70.5;34.6;35.5;164565;1.43;137941;81.18;79.55;82.8;19.24;18.04;20.4;221942;177414;10808
57;Ondergrens 95%-prognose-interval;2026;17650758.0;3578031.0;10186328.0;3777956.0;20.1;57.5;21.0;71.0;34.5;36.1;165118;1.42;138993;81.2;79.58;82.82;19.23;18.03;20.39;219851;181173;3796
58;Ondergrens 95%-prognose-interval;2027;17689974.0;3565423.0;10145275.0;3842485.0;19.9;57.1;21.3;71.6;34.4;36.7;167488;1.44;139867;81.22;79.6;82.84;19.23;18.04;20.38;218408;184682;-1512
59;Ondergrens 95%-prognose-interval;2028;17722642.0;3557211.0;10101563.0;3904887.0;19.8;56.7;21.5;72.3;34.4;37.3;169097;1.44;140542;81.25;79.63;82.87;19.23;18.05;20.38;217633;186365;-3951
60;Ondergrens 95%-prognose-interval;2029;17748556.0;3543645.0;10035808.0;3971959.0;19.7;56.2;21.8;73.0;34.3;37.9;169889;1.45;142380;81.29;79.67;82.92;19.24;18.06;20.39;215913;187773;-7173
61;Ondergrens 95%-prognose-interval;2030;17775310.0;3533045.0;9992604.0;4040076.0;19.6;55.8;22.0;73.9;34.3;38.5;169240;1.45;144488;81.34;79.71;82.97;19.25;18.07;20.41;214308;188352;-10574
62;Ondergrens 95%-prognose-interval;2031;17807662.0;3519915.0;9962609.0;4097824.0;19.5;55.4;22.3;74.6;34.2;39.1;168427;1.45;146448;81.39;79.76;83.03;19.27;18.09;20.44;211250;187827;-12233
63;Ondergrens 95%-prognose-interval;2032;17827670.0;3509454.0;9930387.0;4144359.0;19.4;54.9;22.4;75.3;34.2;39.5;166691;1.43;147570;81.45;79.81;83.11;19.29;18.1;20.46;207481;187190;-14154
64;Ondergrens 95%-prognose-interval;2033;17840004.0;3506653.0;9879324.0;4187574.0;19.3;54.5;22.6;76.1;34.3;40.1;164925;1.42;148688;81.51;79.86;83.18;19.32;18.12;20.5;204034;187264;-16261
65;Ondergrens 95%-prognose-interval;2034;17856900.0;3506161.0;9818203.0;4238738.0;19.3;54.1;22.8;76.8;34.4;40.6;163337;1.41;149799;81.57;79.91;83.25;19.35;18.15;20.54;201358;186678;-20065
66;Ondergrens 95%-prognose-interval;2035;17854212.0;3498054.0;9764907.0;4295167.0;19.2;53.6;23.0;77.6;34.5;41.1;161017;1.4;151249;81.64;79.97;83.33;19.38;18.17;20.58;200828;186638;-21245
67;Ondergrens 95%-prognose-interval;2036;17849328.0;3482664.0;9714847.0;4335211.0;19.1;53.2;23.1;78.3;34.5;41.5;159140;1.4;152825;81.7;80.02;83.39;19.41;18.2;20.62;199898;186778;-23071
68;Ondergrens 95%-prognose-interval;2037;17858612.0;3473872.0;9673307.0;4371596.0;19.1;52.8;23.2;78.9;34.6;41.8;157729;1.39;154350;81.78;80.09;83.48;19.45;18.23;20.66;200027;186686;-24409
69;Ondergrens 95%-prognose-interval;2038;17874660.0;3456101.0;9631319.0;4374570.0;19.0;52.5;23.2;79.3;34.7;42.1;156393;1.38;155931;81.84;80.14;83.55;19.48;18.26;20.7;198478;185764;-25756
70;Ondergrens 95%-prognose-interval;2039;17854500.0;3441132.0;9614111.0;4362949.0;19.0;52.3;23.2;79.5;34.6;42.0;154509;1.37;157125;81.91;80.21;83.63;19.52;18.29;20.75;197213;185066;-27309
71;Ondergrens 95%-prognose-interval;2040;17839368.0;3436557.0;9594239.0;4354684.0;19.0;52.2;23.1;79.4;34.5;41.9;152754;1.36;158462;81.98;80.26;83.7;19.56;18.32;20.79;195986;183807;-28785
72;Ondergrens 95%-prognose-interval;2041;17818242.0;3431414.0;9595027.0;4332545.0;18.9;52.0;23.0;79.1;34.3;41.7;151004;1.35;159587;82.06;80.33;83.79;19.6;18.35;20.83;195389;183171;-28828
73;Ondergrens 95%-prognose-interval;2042;17806598.0;3429738.0;9566134.0;4303066.0;18.8;51.9;22.8;78.9;34.3;41.4;149092;1.35;160872;82.13;80.4;83.86;19.64;18.39;20.88;194988;182104;-29447
74;Ondergrens 95%-prognose-interval;2043;17791240.0;3424289.0;9549712.0;4278736.0;18.8;51.8;22.7;78.7;34.3;41.1;146774;1.34;161944;82.19;80.46;83.93;19.68;18.42;20.91;194580;181428;-29926
75;Ondergrens 95%-prognose-interval;2044;17798216.0;3414291.0;9535223.0;4249853.0;18.8;51.7;22.6;78.6;34.3;40.8;145004;1.33;163335;82.27;80.53;84.01;19.71;18.45;20.96;193743;180712;-29558
76;Ondergrens 95%-prognose-interval;2045;17786808.0;3403304.0;9528631.0;4235723.0;18.7;51.7;22.4;78.5;34.1;40.7;143780;1.32;163816;82.33;80.59;84.08;19.75;18.49;21.0;193171;180501;-29565
77;Ondergrens 95%-prognose-interval;2046;17742460.0;3391033.0;9520791.0;4242541.0;18.5;51.6;22.3;78.2;33.9;40.3;142389;1.32;164007;82.41;80.65;84.16;19.79;18.53;21.04;192386;179756;-29958
78;Ondergrens 95%-prognose-interval;2047;17723922.0;3377084.0;9525964.0;4230746.0;18.4;51.6;22.2;77.8;33.7;40.2;141571;1.31;164618;82.48;80.72;84.23;19.83;18.56;21.08;191691;179675;-29827
79;Ondergrens 95%-prognose-interval;2048;17699690.0;3348939.0;9536507.0;4197529.0;18.4;51.8;22.0;77.2;33.3;39.9;140246;1.3;165926;82.55;80.79;84.31;19.88;18.6;21.13;190806;179634;-29638
80;Ondergrens 95%-prognose-interval;2049;17674814.0;3323276.0;9552180.0;4142912.0;18.2;51.8;21.9;76.6;33.0;39.5;138792;1.29;167026;82.62;80.85;84.38;19.91;18.64;21.17;189834;179564;-29505
81;Ondergrens 95%-prognose-interval;2050;17647874.0;3293295.0;9550207.0;4126025.0;18.1;51.9;21.7;76.0;32.6;39.2;136919;1.29;166605;82.7;80.93;84.46;19.95;18.67;21.21;190240;179570;-29546
82;Ondergrens 95%-prognose-interval;2051;17582646.0;3266575.0;9540508.0;4110862.0;18.0;52.0;21.7;75.6;32.2;38.8;135787;1.28;166338;82.76;80.99;84.53;20.0;18.71;21.25;190593;179652;-29620
83;Ondergrens 95%-prognose-interval;2052;17534728.0;3240765.0;9542516.0;4090920.0;17.8;52.0;21.6;75.2;31.9;38.5;134858;1.28;166586;82.84;81.06;84.61;20.03;18.75;21.29;191073;179376;-29922
84;Ondergrens 95%-prognose-interval;2053;17495104.0;3216666.0;9531220.0;4078341.0;17.7;52.1;21.5;74.6;31.6;38.4;134855;1.27;167664;82.9;81.12;84.67;20.07;18.78;21.33;190170;178729;-30438
85;Ondergrens 95%-prognose-interval;2054;17429594.0;3192678.0;9518837.0;4078091.0;17.5;52.2;21.4;74.3;31.4;38.2;134672;1.26;168660;82.97;81.19;84.75;20.11;18.82;21.38;190841;178035;-31158
86;Ondergrens 95%-prognose-interval;2055;17397274.0;3161709.0;9526227.0;4068453.0;17.4;52.1;21.3;73.9;31.2;38.2;135243;1.26;169711;83.04;81.26;84.82;20.15;18.86;21.41;191774;177288;-32310
87;Ondergrens 95%-prognose-interval;2056;17398832.0;3132916.0;9526473.0;4080781.0;17.2;52.1;21.3;73.9;30.8;38.1;134444;1.25;170405;83.11;81.33;84.89;20.19;18.89;21.46;192005;176876;-33547
88;Ondergrens 95%-prognose-interval;2057;17318432.0;3103864.0;9518312.0;4087346.0;17.1;52.0;21.3;73.8;30.4;38.0;134641;1.24;170637;83.18;81.39;84.96;20.23;18.93;21.49;191637;176228;-33496
89;Ondergrens 95%-prognose-interval;2058;17324438.0;3070583.0;9513153.0;4085929.0;17.0;51.9;21.4;73.9;30.4;37.9;133890;1.24;170608;83.25;81.46;85.03;20.27;18.97;21.53;189895;175636;-33517
90;Ondergrens 95%-prognose-interval;2059;17293234.0;3050474.0;9504015.0;4087469.0;16.9;51.9;21.3;74.0;30.3;37.9;134801;1.23;169708;83.32;81.52;85.09;20.31;19.0;21.58;188753;175036;-33523
91;Ondergrens 95%-prognose-interval;2060;17273286.0;3018818.0;9490215.0;4078985.0;16.8;51.8;21.3;74.0;30.0;37.9;135086;1.23;168577;83.38;81.59;85.16;20.35;19.05;21.62;187936;175203;-33223
92;Ondergrens 95%-prognose-interval;2061;17249694.0;3005038.0;9491236.0;4089809.0;16.8;51.8;21.3;74.1;30.0;37.7;136539;1.22;166922;83.44;81.65;85.22;20.38;19.08;21.65;189450;175213;-33237
93;Ondergrens 95%-prognose-interval;2062;17236268.0;3002309.0;9473815.0;4094521.0;16.8;51.7;21.2;73.8;29.9;37.7;136991;1.22;165379;83.52;81.72;85.29;20.42;19.12;21.68;191703;175156;-33450
94;Ondergrens 95%-prognose-interval;2063;17204292.0;2994602.0;9482996.0;4109212.0;16.7;51.6;21.2;74.0;29.7;37.7;137065;1.21;163863;83.58;81.78;85.35;20.46;19.15;21.72;193123;175630;-33334
95;Ondergrens 95%-prognose-interval;2064;17183400.0;2989665.0;9457944.0;4129104.0;16.8;51.5;21.1;74.3;29.8;37.9;136349;1.2;162498;83.64;81.84;85.41;20.49;19.2;21.76;194075;175800;-31623
96;Ondergrens 95%-prognose-interval;2065;17188426.0;2974211.0;9405986.0;4149487.0;16.7;51.4;21.2;74.8;29.8;38.2;135589;1.2;161133;83.7;81.91;85.48;20.53;19.23;21.8;194808;175287;-31182
97;Ondergrens 95%-prognose-interval;2066;17150964.0;2955355.0;9370665.0;4174980.0;16.6;51.1;21.3;75.3;29.8;38.4;134307;1.19;160081;83.77;81.98;85.55;20.56;19.27;21.83;195608;174474;-30319
98;Ondergrens 95%-prognose-interval;2067;17154630.0;2954726.0;9349987.0;4203056.0;16.5;50.9;21.4;75.7;29.8;38.5;133148;1.19;158559;83.83;82.04;85.6;20.6;19.3;21.87;195772;174610;-30029
99;Ondergrens 95%-prognose-interval;2068;17175986.0;2948442.0;9310812.0;4236629.0;16.5;50.8;21.5;76.1;29.9;38.8;130908;1.18;157401;83.89;82.1;85.66;20.63;19.35;21.91;195747;174711;-31110
100;Ondergrens 95%-prognose-interval;2069;17181668.0;2942191.0;9283114.0;4273077.0;16.4;50.6;21.5;76.5;30.0;39.1;129493;1.18;156034;83.96;82.17;85.73;20.67;19.38;21.94;196346;175306;-32257
101;Ondergrens 95%-prognose-interval;2070;17229300.0;2932606.0;9255927.0;4299322.0;16.3;50.4;21.6;76.9;30.0;39.3;128053;1.17;155091;84.01;82.22;85.78;20.71;19.42;21.97;196145;174493;-32841
102;Bovengrens 95%-prognose-interval;2020;;;;;;;;;;;176327;1.62;177774;82.42;80.79;84.01;20.28;18.99;21.49;248252;170597;97628
103;Bovengrens 95%-prognose-interval;2021;17510190.0;3750567.0;10298901.0;3472563.0;21.4;58.8;19.9;70.3;36.5;33.8;172631;1.57;176255;83.24;81.62;84.82;20.98;19.7;22.18;296679;200079;122737
104;Bovengrens 95%-prognose-interval;2022;17632496.0;3730296.0;10359476.0;3563818.0;21.2;58.8;20.3;70.7;36.2;34.7;180215;1.61;179831;83.74;82.11;85.34;21.38;20.09;22.58;345256;215238;160345
