ID;PrognoseInterval;Perioden;LevendGeborenKinderen_1;Overledenen_2;Immigratie_3;EmigratieInclusiefCorrecties_4;MigratiesaldoInclusiefCorrecties_5
0;Prognose;2020;168344;164087;210629;151812;58817
1;Prognose;2021;161326;157790;243588;173301;70287
2;Prognose;2022;165720;157505;278977;181564;97413
3;Prognose;2023;172714;158529;288194;192871;95323
4;Prognose;2024;180476;160702;290245;203610;86635
5;Prognose;2025;185277;162908;294785;213206;81579
6;Prognose;2026;188153;165153;296415;220021;76394
7;Prognose;2027;192498;167465;297577;225447;72130
8;Prognose;2028;196108;169839;298952;229489;69463
9;Prognose;2029;198905;172278;297867;232498;65369
10;Prognose;2030;200583;174762;296781;234416;62365
11;Prognose;2031;202006;177280;296341;235675;60666
12;Prognose;2032;201845;179800;295627;236608;59019
13;Prognose;2033;201695;182296;294901;237201;57700
14;Prognose;2034;201448;184745;294116;237563;56553
15;Prognose;2035;201013;187123;294056;237950;56106
16;Prognose;2036;200277;189403;293943;238381;55562
17;Prognose;2037;199182;191565;293783;238808;54975
18;Prognose;2038;197986;193590;293616;239148;54468
19;Prognose;2039;196735;195455;293434;239406;54028
20;Prognose;2040;195463;197143;293245;239639;53606
21;Prognose;2041;194191;198666;293030;239820;53210
22;Prognose;2042;192987;200036;293021;240021;53000
23;Prognose;2043;191913;201259;293019;240256;52763
24;Prognose;2044;190967;202340;293026;240524;52502
25;Prognose;2045;190129;203364;293031;240791;52240
26;Prognose;2046;189388;204246;293043;241048;51995
27;Prognose;2047;188763;205084;293046;241290;51756
28;Prognose;2048;188318;205928;293071;241533;51538
29;Prognose;2049;188126;206773;293120;241802;51318
30;Prognose;2050;188228;207587;293201;242043;51158
31;Prognose;2051;188625;208336;293315;242403;50912
32;Prognose;2052;189315;208967;293393;242734;50659
33;Prognose;2053;190316;209452;293475;242984;50491
34;Prognose;2054;191639;209755;293590;243227;50363
35;Prognose;2055;193241;209846;293682;243465;50217
36;Prognose;2056;195067;209697;293780;243676;50104
37;Prognose;2057;197052;209289;293909;243876;50033
38;Prognose;2058;199151;208618;293996;244060;49936
39;Prognose;2059;201305;207681;294077;244233;49844
40;Prognose;2060;203384;206499;294215;244388;49827
41;Prognose;2061;205256;205077;294306;244540;49766
42;Prognose;2062;206860;203454;294422;244682;49740
43;Prognose;2063;208171;201671;294504;244816;49688
44;Prognose;2064;209194;199782;294584;244935;49649
45;Prognose;2065;209927;197863;294666;245051;49615
46;Prognose;2066;210379;195983;294757;245145;49612
47;Prognose;2067;210578;194192;294834;245235;49599
48;Prognose;2068;210563;192557;294897;245314;49583
49;Prognose;2069;210377;191116;294968;245382;49586
50;Prognose;2070;210064;189963;294968;245408;49560
51;Ondergrens 95%-prognose-interval;2020;159682;151303;182043;136728;26454
52;Ondergrens 95%-prognose-interval;2021;149767;141385;199086;152497;22407
53;Ondergrens 95%-prognose-interval;2022;151585;138035;223132;156113;38251
54;Ondergrens 95%-prognose-interval;2023;156351;136469;224776;163798;31186
55;Ondergrens 95%-prognose-interval;2024;161960;136853;221436;171181;18202
56;Ondergrens 95%-prognose-interval;2025;164565;137941;221942;177414;10808
57;Ondergrens 95%-prognose-interval;2026;165118;138993;219851;181173;3796
58;Ondergrens 95%-prognose-interval;2027;167488;139867;218408;184682;-1512
59;Ondergrens 95%-prognose-interval;2028;169097;140542;217633;186365;-3951
60;Ondergrens 95%-prognose-interval;2029;169889;142380;215913;187773;-7173
61;Ondergrens 95%-prognose-interval;2030;169240;144488;214308;188352;-10574
62;Ondergrens 95%-prognose-interval;2031;168427;146448;211250;187827;-12233
63;Ondergrens 95%-prognose-interval;2032;166691;147570;207481;187190;-14154
64;Ondergrens 95%-prognose-interval;2033;164925;148688;204034;187264;-16261
65;Ondergrens 95%-prognose-interval;2034;163337;149799;201358;186678;-20065
66;Ondergrens 95%-prognose-interval;2035;161017;151249;200828;186638;-21245
67;Ondergrens 95%-prognose-interval;2036;159140;152825;199898;186778;-23071
68;Ondergrens 95%-prognose-interval;2037;157729;154350;200027;186686;-24409
69;Ondergrens 95%-prognose-interval;2038;156393;155931;198478;185764;-25756
70;Ondergrens 95%-prognose-interval;2039;154509;157125;197213;185066;-27309
71;Ondergrens 95%-prognose-interval;2040;152754;158462;195986;183807;-28785
72;Ondergrens 95%-prognose-interval;2041;151004;159587;195389;183171;-28828
73;Ondergrens 95%-prognose-interval;2042;149092;160872;194988;182104;-29447
74;Ondergrens 95%-prognose-interval;2043;146774;161944;194580;181428;-29926
75;Ondergrens 95%-prognose-interval;2044;145004;163335;193743;180712;-29558
76;Ondergrens 95%-prognose-interval;2045;143780;163816;193171;180501;-29565
77;Ondergrens 95%-prognose-interval;2046;142389;164007;192386;179756;-29958
78;Ondergrens 95%-prognose-interval;2047;141571;164618;191691;179675;-29827
79;Ondergrens 95%-prognose-interval;2048;140246;165926;190806;179634;-29638
80;Ondergrens 95%-prognose-interval;2049;138792;167026;189834;179564;-29505
81;Ondergrens 95%-prognose-interval;2050;136919;166605;190240;179570;-29546
82;Ondergrens 95%-prognose-interval;2051;135787;166338;190593;179652;-29620
83;Ondergrens 95%-prognose-interval;2052;134858;166586;191073;179376;-29922
84;Ondergrens 95%-prognose-interval;2053;134855;167664;190170;178729;-30438
85;Ondergrens 95%-prognose-interval;2054;134672;168660;190841;178035;-31158
86;Ondergrens 95%-prognose-interval;2055;135243;169711;191774;177288;-32310
87;Ondergrens 95%-prognose-interval;2056;134444;170405;192005;176876;-33547
88;Ondergrens 95%-prognose-interval;2057;134641;170637;191637;176228;-33496
89;Ondergrens 95%-prognose-interval;2058;133890;170608;189895;175636;-33517
90;Ondergrens 95%-prognose-interval;2059;134801;169708;188753;175036;-33523
91;Ondergrens 95%-prognose-interval;2060;135086;168577;187936;175203;-33223
92;Ondergrens 95%-prognose-interval;2061;136539;166922;189450;175213;-33237
93;Ondergrens 95%-prognose-interval;2062;136991;165379;191703;175156;-33450
94;Ondergrens 95%-prognose-interval;2063;137065;163863;193123;175630;-33334
95;Ondergrens 95%-prognose-interval;2064;136349;162498;194075;175800;-31623
96;Ondergrens 95%-prognose-interval;2065;135589;161133;194808;174837;-31182
97;Ondergrens 95%-prognose-interval;2066;134307;160081;195608;175046;-30319
98;Ondergrens 95%-prognose-interval;2067;133148;158559;195772;174610;-30029
99;Ondergrens 95%-prognose-interval;2068;130908;157401;195747;174711;-31110
100;Ondergrens 95%-prognose-interval;2069;129493;156034;196346;175306;-32257
101;Ondergrens 95%-prognose-interval;2070;128053;155091;196145;174493;-32841
102;Bovengrens 95%-prognose-interval;2020;176327;177774;248252;170597;97628
103;Bovengrens 95%-prognose-interval;2021;172631;176255;296679;200079;122737
104;Bovengrens 95%-prognose-interval;2022;180215;179831;345256;215238;160345
105;Bovengrens 95%-prognose-interval;2023;190075;184523;363165;231736;162091
106;Bovengrens 95%-prognose-interval;2024;200238;189234;371257;248423;157642
107;Bovengrens 95%-prognose-interval;2025;207264;193663;379534;261872;154415
108;Bovengrens 95%-prognose-interval;2026;212742;196595;384791;272248;151474
109;Bovengrens 95%-prognose-interval;2027;219540;200102;388513;281873;147505
110;Bovengrens 95%-prognose-interval;2028;225689;203783;393026;288331;146668
111;Bovengrens 95%-prognose-interval;2029;230714;208209;396980;292493;143619
112;Bovengrens 95%-prognose-interval;2030;234717;211629;399860;297208;142308
113;Bovengrens 95%-prognose-interval;2031;237918;215012;402731;301285;141232
114;Bovengrens 95%-prognose-interval;2032;239450;217799;404551;303478;142366
115;Bovengrens 95%-prognose-interval;2033;240351;221641;406374;305917;142283
116;Bovengrens 95%-prognose-interval;2034;241677;225616;408850;308608;142256
117;Bovengrens 95%-prognose-interval;2035;242240;229125;409070;310468;141712
118;Bovengrens 95%-prognose-interval;2036;242867;232690;408743;311418;140602
119;Bovengrens 95%-prognose-interval;2037;242511;235237;408233;312951;139338
120;Bovengrens 95%-prognose-interval;2038;241972;238119;408488;314437;137844
121;Bovengrens 95%-prognose-interval;2039;240952;239299;410947;315994;138645
122;Bovengrens 95%-prognose-interval;2040;240729;240971;409761;316920;139504
123;Bovengrens 95%-prognose-interval;2041;240665;243483;410647;318059;139725
124;Bovengrens 95%-prognose-interval;2042;241418;244938;409466;320031;140067
125;Bovengrens 95%-prognose-interval;2043;240968;246798;410619;321054;141056
126;Bovengrens 95%-prognose-interval;2044;241267;247104;409400;321802;139248
127;Bovengrens 95%-prognose-interval;2045;241504;248460;410231;322121;137703
128;Bovengrens 95%-prognose-interval;2046;242826;249126;410016;322917;137098
129;Bovengrens 95%-prognose-interval;2047;243164;250263;409287;322234;135219
130;Bovengrens 95%-prognose-interval;2048;243608;251497;407739;323084;134019
131;Bovengrens 95%-prognose-interval;2049;243430;252816;406320;323944;134031
132;Bovengrens 95%-prognose-interval;2050;244493;253933;406823;326688;134401
133;Bovengrens 95%-prognose-interval;2051;246248;254509;406349;327354;134957
134;Bovengrens 95%-prognose-interval;2052;249446;253735;406768;327649;136362
135;Bovengrens 95%-prognose-interval;2053;252443;252544;406803;326584;136482
136;Bovengrens 95%-prognose-interval;2054;255985;252625;408278;326318;137632
137;Bovengrens 95%-prognose-interval;2055;260132;253604;409496;325679;138359
138;Bovengrens 95%-prognose-interval;2056;264573;254241;411222;327392;138340
139;Bovengrens 95%-prognose-interval;2057;268436;253589;411949;330301;137271
140;Bovengrens 95%-prognose-interval;2058;272094;253718;412404;331463;137323
141;Bovengrens 95%-prognose-interval;2059;275972;253297;411323;333076;134487
142;Bovengrens 95%-prognose-interval;2060;281819;252249;409297;332485;133340
143;Bovengrens 95%-prognose-interval;2061;286227;248889;408285;332359;132749
144;Bovengrens 95%-prognose-interval;2062;291656;246059;409393;331908;134181
145;Bovengrens 95%-prognose-interval;2063;295222;243482;410512;332315;133870
146;Bovengrens 95%-prognose-interval;2064;299144;241689;410699;331505;135296
147;Bovengrens 95%-prognose-interval;2065;302817;240116;410232;331518;136291
148;Bovengrens 95%-prognose-interval;2066;306018;239014;411304;330690;136878
149;Bovengrens 95%-prognose-interval;2067;309184;237411;414337;329665;136173
150;Bovengrens 95%-prognose-interval;2068;310643;237519;414867;330573;135870
151;Bovengrens 95%-prognose-interval;2069;312036;236704;414769;331616;135462
152;Bovengrens 95%-prognose-interval;2070;312347;236989;413048;332513;134461
