ID;Migratieachtergrond;Perioden;TotaalLevendGeborenKinderen_1;GemiddeldKindertalPerVrouw_2
0;Totaal;2020;168344;1.54
1;Totaal;2021;161326;1.46
2;Totaal;2022;165720;1.49
3;Totaal;2023;172714;1.53
4;Totaal;2024;180476;1.58
5;Totaal;2025;185277;1.61
6;Totaal;2026;188153;1.62
7;Totaal;2027;192498;1.64
8;Totaal;2028;196108;1.67
9;Totaal;2029;198905;1.68
10;Totaal;2030;200583;1.69
11;Totaal;2031;202006;1.7
12;Totaal;2032;201845;1.7
13;Totaal;2033;201695;1.7
14;Totaal;2034;201448;1.7
15;Totaal;2035;201013;1.7
16;Totaal;2036;200277;1.7
17;Totaal;2037;199182;1.7
18;Totaal;2038;197986;1.7
19;Totaal;2039;196735;1.7
20;Totaal;2040;195463;1.7
21;Totaal;2041;194191;1.7
22;Totaal;2042;192987;1.7
23;Totaal;2043;191913;1.7
24;Totaal;2044;190967;1.7
25;Totaal;2045;190129;1.7
26;Totaal;2046;189388;1.7
27;Totaal;2047;188763;1.7
28;Totaal;2048;188318;1.7
29;Totaal;2049;188126;1.7
30;Totaal;2050;188228;1.7
31;Totaal;2051;188625;1.7
32;Totaal;2052;189315;1.7
33;Totaal;2053;190316;1.7
34;Totaal;2054;191639;1.7
35;Totaal;2055;193241;1.7
36;Totaal;2056;195067;1.7
37;Totaal;2057;197052;1.7
38;Totaal;2058;199151;1.7
39;Totaal;2059;201305;1.7
40;Totaal;2060;203384;1.7
41;Totaal;2061;205256;1.7
42;Totaal;2062;206860;1.7
43;Totaal;2063;208171;1.7
44;Totaal;2064;209194;1.7
45;Totaal;2065;209927;1.7
46;Totaal;2066;210379;1.7
47;Totaal;2067;210578;1.7
48;Totaal;2068;210563;1.7
49;Totaal;2069;210377;1.7
50;Totaal;2070;210064;1.7
51;1e generatie migratieachtergrond;2020;35082;1.62
52;1e generatie migratieachtergrond;2021;33580;1.53
53;1e generatie migratieachtergrond;2022;34876;1.54
54;1e generatie migratieachtergrond;2023;36750;1.56
55;1e generatie migratieachtergrond;2024;38712;1.59
56;1e generatie migratieachtergrond;2025;40044;1.6
57;1e generatie migratieachtergrond;2026;41341;1.61
58;1e generatie migratieachtergrond;2027;42286;1.61
59;1e generatie migratieachtergrond;2028;43123;1.61
60;1e generatie migratieachtergrond;2029;43845;1.61
61;1e generatie migratieachtergrond;2030;44458;1.61
62;1e generatie migratieachtergrond;2031;45002;1.62
63;1e generatie migratieachtergrond;2032;45496;1.62
64;1e generatie migratieachtergrond;2033;45949;1.62
65;1e generatie migratieachtergrond;2034;46368;1.62
66;1e generatie migratieachtergrond;2035;46766;1.62
67;1e generatie migratieachtergrond;2036;47147;1.62
68;1e generatie migratieachtergrond;2037;47516;1.62
69;1e generatie migratieachtergrond;2038;47875;1.62
70;1e generatie migratieachtergrond;2039;48229;1.62
71;1e generatie migratieachtergrond;2040;48575;1.62
72;1e generatie migratieachtergrond;2041;48913;1.62
73;1e generatie migratieachtergrond;2042;49253;1.62
74;1e generatie migratieachtergrond;2043;49582;1.62
75;1e generatie migratieachtergrond;2044;49906;1.62
76;1e generatie migratieachtergrond;2045;50226;1.62
77;1e generatie migratieachtergrond;2046;50538;1.62
78;1e generatie migratieachtergrond;2047;50838;1.63
79;1e generatie migratieachtergrond;2048;51137;1.63
80;1e generatie migratieachtergrond;2049;51428;1.63
81;1e generatie migratieachtergrond;2050;51713;1.63
82;1e generatie migratieachtergrond;2051;51998;1.63
83;1e generatie migratieachtergrond;2052;52273;1.63
84;1e generatie migratieachtergrond;2053;52542;1.63
85;1e generatie migratieachtergrond;2054;52813;1.63
86;1e generatie migratieachtergrond;2055;53082;1.63
87;1e generatie migratieachtergrond;2056;53338;1.63
