ID;Verplaatsingskenmerken;Populatie;Vervoerwijzen;Marges;Regiokenmerken;Perioden;GemiddeldeAfstandPerVerplaatsing_1;GemiddeldeReisduurPerVerplaatsing_2
0;Totaal verplaatsingskenmerken ;Populatie: 6 jaar of ouder;Totaal;Waarde;Nederland;2018;13.0;26.81
1;Totaal verplaatsingskenmerken ;Populatie: 6 jaar of ouder;Totaal;Waarde;Nederland;2019;13.29;27.46
2;Totaal verplaatsingskenmerken ;Populatie: 6 jaar of ouder;Totaal;Waarde;Nederland;2020;10.58;26.34
3;Totaal verplaatsingskenmerken ;Populatie: 6 jaar of ouder;Totaal;Waarde;Nederland;2021;10.87;27.87
4;Totaal verplaatsingskenmerken ;Populatie: 6 jaar of ouder;Totaal;Waarde;Nederland;2022;11.2;26.96
5;Totaal verplaatsingskenmerken ;Populatie: 6 jaar of ouder;Totaal;Waarde;Nederland;2023;11.76;27.05
6;Totaal verplaatsingskenmerken ;Populatie: 6 jaar of ouder;Totaal;Waarde;Noord-Nederland (LD);2018;14.8;26.82
7;Totaal verplaatsingskenmerken ;Populatie: 6 jaar of ouder;Totaal;Waarde;Noord-Nederland (LD);2019;15.41;27.92
8;Totaal verplaatsingskenmerken ;Populatie: 6 jaar of ouder;Totaal;Waarde;Noord-Nederland (LD);2020;11.75;25.85
9;Totaal verplaatsingskenmerken ;Populatie: 6 jaar of ouder;Totaal;Waarde;Noord-Nederland (LD);2021;12.63;28.12
10;Totaal verplaatsingskenmerken ;Populatie: 6 jaar of ouder;Totaal;Waarde;Noord-Nederland (LD);2022;13.11;27.71
11;Totaal verplaatsingskenmerken ;Populatie: 6 jaar of ouder;Totaal;Waarde;Noord-Nederland (LD);2023;12.9;26.51
12;Totaal verplaatsingskenmerken ;Populatie: 6 jaar of ouder;Totaal;Waarde;Oost-Nederland (LD);2018;13.62;26.06
13;Totaal verplaatsingskenmerken ;Populatie: 6 jaar of ouder;Totaal;Waarde;Oost-Nederland (LD);2019;13.97;26.81
14;Totaal verplaatsingskenmerken ;Populatie: 6 jaar of ouder;Totaal;Waarde;Oost-Nederland (LD);2020;11.21;25.62
15;Totaal verplaatsingskenmerken ;Populatie: 6 jaar of ouder;Totaal;Waarde;Oost-Nederland (LD);2021;11.49;27.03
16;Totaal verplaatsingskenmerken ;Populatie: 6 jaar of ouder;Totaal;Waarde;Oost-Nederland (LD);2022;11.69;26.05
17;Totaal verplaatsingskenmerken ;Populatie: 6 jaar of ouder;Totaal;Waarde;Oost-Nederland (LD);2023;12.35;26.0
18;Totaal verplaatsingskenmerken ;Populatie: 6 jaar of ouder;Totaal;Waarde;West-Nederland (LD);2018;12.56;27.65
19;Totaal verplaatsingskenmerken ;Populatie: 6 jaar of ouder;Totaal;Waarde;West-Nederland (LD);2019;12.93;28.5
