ID;SoortBewoondeWoonruimten;RegioS;Perioden;BewoondeWoonruimte_1
0;Totaal;Nederland;2012;7092940.0
1;Totaal;Nederland;2013;7154875.0
2;Totaal;Nederland;2014;7233395.0
3;Totaal;Nederland;2015;7295070.0
4;Totaal;Nederland;2016;7357515.0
5;Totaal;Nederland;2017;7413835.0
6;Totaal;Nederland;2018;7479545.0
7;Totaal;Nederland;2019;7548465.0
8;Totaal;Nederland;2020;7624790.0
9;Totaal;Nederland;2021;7696135.0
10;Totaal;Nederland;2022;7783570.0
11;Totaal;Nederland;2023;7855735.0
12;Totaal;Nederland;2024;7933845.0
13;Totaal;Noord-Nederland (LD);2012;738920.0
14;Totaal;Noord-Nederland (LD);2013;743195.0
15;Totaal;Noord-Nederland (LD);2014;751205.0
16;Totaal;Noord-Nederland (LD);2015;756400.0
17;Totaal;Noord-Nederland (LD);2016;761105.0
18;Totaal;Noord-Nederland (LD);2017;766630.0
19;Totaal;Noord-Nederland (LD);2018;770330.0
20;Totaal;Noord-Nederland (LD);2019;775115.0
21;Totaal;Noord-Nederland (LD);2020;781980.0
22;Totaal;Noord-Nederland (LD);2021;788505.0
23;Totaal;Noord-Nederland (LD);2022;795300.0
24;Totaal;Noord-Nederland (LD);2023;799945.0
25;Totaal;Noord-Nederland (LD);2024;805745.0
26;Totaal;Oost-Nederland (LD);2012;1435155.0
27;Totaal;Oost-Nederland (LD);2013;1453160.0
28;Totaal;Oost-Nederland (LD);2014;1468390.0
29;Totaal;Oost-Nederland (LD);2015;1481560.0
30;Totaal;Oost-Nederland (LD);2016;1495010.0
31;Totaal;Oost-Nederland (LD);2017;1504625.0
32;Totaal;Oost-Nederland (LD);2018;1519185.0
33;Totaal;Oost-Nederland (LD);2019;1535295.0
34;Totaal;Oost-Nederland (LD);2020;1553065.0
35;Totaal;Oost-Nederland (LD);2021;1569875.0
36;Totaal;Oost-Nederland (LD);2022;1588045.0
37;Totaal;Oost-Nederland (LD);2023;1601075.0
38;Totaal;Oost-Nederland (LD);2024;1617600.0
39;Totaal;West-Nederland (LD);2012;3406895.0
40;Totaal;West-Nederland (LD);2013;3433855.0
41;Totaal;West-Nederland (LD);2014;3471820.0
42;Totaal;West-Nederland (LD);2015;3503775.0
43;Totaal;West-Nederland (LD);2016;3536170.0
44;Totaal;West-Nederland (LD);2017;3563745.0
45;Totaal;West-Nederland (LD);2018;3596085.0
46;Totaal;West-Nederland (LD);2019;3629615.0
47;Totaal;West-Nederland (LD);2020;3666630.0
48;Totaal;West-Nederland (LD);2021;3700125.0
49;Totaal;West-Nederland (LD);2022;3744415.0
50;Totaal;West-Nederland (LD);2023;3783985.0
51;Totaal;West-Nederland (LD);2024;3824880.0
52;Totaal;Zuid-Nederland (LD);2012;1511970.0
53;Totaal;Zuid-Nederland (LD);2013;1524660.0
54;Totaal;Zuid-Nederland (LD);2014;1541985.0
55;Totaal;Zuid-Nederland (LD);2015;1553330.0
56;Totaal;Zuid-Nederland (LD);2016;1565235.0
57;Totaal;Zuid-Nederland (LD);2017;1578835.0
58;Totaal;Zuid-Nederland (LD);2018;1593945.0
59;Totaal;Zuid-Nederland (LD);2019;1608435.0
60;Totaal;Zuid-Nederland (LD);2020;1623110.0
61;Totaal;Zuid-Nederland (LD);2021;1637630.0
62;Totaal;Zuid-Nederland (LD);2022;1655815.0
63;Totaal;Zuid-Nederland (LD);2023;1670730.0
64;Totaal;Zuid-Nederland (LD);2024;1685625.0
65;Totaal;Groningen (PV);2012;256775.0
66;Totaal;Groningen (PV);2013;258585.0
67;Totaal;Groningen (PV);2014;261420.0
68;Totaal;Groningen (PV);2015;263575.0
69;Totaal;Groningen (PV);2016;265495.0
70;Totaal;Groningen (PV);2017;267640.0
71;Totaal;Groningen (PV);2018;267970.0
72;Totaal;Groningen (PV);2019;269730.0
73;Totaal;Groningen (PV);2020;272255.0
74;Totaal;Groningen (PV);2021;275140.0
75;Totaal;Groningen (PV);2022;277525.0
76;Totaal;Groningen (PV);2023;279380.0
77;Totaal;Groningen (PV);2024;281230.0
78;Totaal;Fryslân (PV);2012;275785.0
79;Totaal;Fryslân (PV);2013;277215.0
80;Totaal;Fryslân (PV);2014;280245.0
81;Totaal;Fryslân (PV);2015;282155.0
82;Totaal;Fryslân (PV);2016;283590.0
83;Totaal;Fryslân (PV);2017;285450.0
84;Totaal;Fryslân (PV);2018;287305.0
85;Totaal;Fryslân (PV);2019;289025.0
86;Totaal;Fryslân (PV);2020;291545.0
87;Totaal;Fryslân (PV);2021;293610.0
88;Totaal;Fryslân (PV);2022;296220.0
89;Totaal;Fryslân (PV);2023;298025.0
90;Totaal;Fryslân (PV);2024;300390.0
91;Totaal;Drenthe (PV);2012;206365.0
92;Totaal;Drenthe (PV);2013;207395.0
93;Totaal;Drenthe (PV);2014;209540.0
94;Totaal;Drenthe (PV);2015;210670.0
95;Totaal;Drenthe (PV);2016;212020.0
96;Totaal;Drenthe (PV);2017;213540.0
97;Totaal;Drenthe (PV);2018;215055.0
98;Totaal;Drenthe (PV);2019;216360.0
99;Totaal;Drenthe (PV);2020;218180.0
100;Totaal;Drenthe (PV);2021;219750.0
101;Totaal;Drenthe (PV);2022;221550.0
102;Totaal;Drenthe (PV);2023;222535.0
103;Totaal;Drenthe (PV);2024;224125.0
104;Totaal;Overijssel (PV);2012;464185.0
105;Totaal;Overijssel (PV);2013;467710.0
106;Totaal;Overijssel (PV);2014;470930.0
107;Totaal;Overijssel (PV);2015;474235.0
108;Totaal;Overijssel (PV);2016;478010.0
109;Totaal;Overijssel (PV);2017;482040.0
110;Totaal;Overijssel (PV);2018;485350.0
111;Totaal;Overijssel (PV);2019;490015.0
112;Totaal;Overijssel (PV);2020;495435.0
113;Totaal;Overijssel (PV);2021;500290.0
114;Totaal;Overijssel (PV);2022;504700.0
115;Totaal;Overijssel (PV);2023;507915.0
116;Totaal;Overijssel (PV);2024;512160.0
117;Totaal;Flevoland (PV);2012;152970.0
118;Totaal;Flevoland (PV);2013;154530.0
119;Totaal;Flevoland (PV);2014;156310.0
120;Totaal;Flevoland (PV);2015;157665.0
121;Totaal;Flevoland (PV);2016;159170.0
122;Totaal;Flevoland (PV);2017;160965.0
123;Totaal;Flevoland (PV);2018;162975.0
124;Totaal;Flevoland (PV);2019;165535.0
125;Totaal;Flevoland (PV);2020;168220.0
126;Totaal;Flevoland (PV);2021;171180.0
127;Totaal;Flevoland (PV);2022;174865.0
128;Totaal;Flevoland (PV);2023;177805.0
129;Totaal;Flevoland (PV);2024;180645.0
130;Totaal;Gelderland (PV);2012;818000.0
131;Totaal;Gelderland (PV);2013;830925.0
132;Totaal;Gelderland (PV);2014;841145.0
133;Totaal;Gelderland (PV);2015;849665.0
134;Totaal;Gelderland (PV);2016;857830.0
135;Totaal;Gelderland (PV);2017;861620.0
136;Totaal;Gelderland (PV);2018;870860.0
137;Totaal;Gelderland (PV);2019;879750.0
138;Totaal;Gelderland (PV);2020;889415.0
139;Totaal;Gelderland (PV);2021;898405.0
140;Totaal;Gelderland (PV);2022;908480.0
141;Totaal;Gelderland (PV);2023;915360.0
142;Totaal;Gelderland (PV);2024;924795.0
143;Totaal;Utrecht (PV);2012;509105.0
144;Totaal;Utrecht (PV);2013;514190.0
145;Totaal;Utrecht (PV);2014;520195.0
146;Totaal;Utrecht (PV);2015;525815.0
147;Totaal;Utrecht (PV);2016;531025.0
148;Totaal;Utrecht (PV);2017;536825.0
149;Totaal;Utrecht (PV);2018;540870.0
150;Totaal;Utrecht (PV);2019;562375.0
151;Totaal;Utrecht (PV);2020;569255.0
152;Totaal;Utrecht (PV);2021;576360.0
153;Totaal;Utrecht (PV);2022;583930.0
154;Totaal;Utrecht (PV);2023;590575.0
155;Totaal;Utrecht (PV);2024;598010.0
156;Totaal;Noord-Holland (PV);2012;1202240.0
157;Totaal;Noord-Holland (PV);2013;1211640.0
158;Totaal;Noord-Holland (PV);2014;1226955.0
159;Totaal;Noord-Holland (PV);2015;1238780.0
160;Totaal;Noord-Holland (PV);2016;1250925.0
161;Totaal;Noord-Holland (PV);2017;1259180.0
162;Totaal;Noord-Holland (PV);2018;1271520.0
163;Totaal;Noord-Holland (PV);2019;1283610.0
164;Totaal;Noord-Holland (PV);2020;1298315.0
165;Totaal;Noord-Holland (PV);2021;1309255.0
166;Totaal;Noord-Holland (PV);2022;1325920.0
167;Totaal;Noord-Holland (PV);2023;1341395.0
168;Totaal;Noord-Holland (PV);2024;1356020.0
169;Totaal;Zuid-Holland (PV);2012;1529945.0
170;Totaal;Zuid-Holland (PV);2013;1541470.0
171;Totaal;Zuid-Holland (PV);2014;1556500.0
172;Totaal;Zuid-Holland (PV);2015;1570225.0
173;Totaal;Zuid-Holland (PV);2016;1584340.0
174;Totaal;Zuid-Holland (PV);2017;1597125.0
175;Totaal;Zuid-Holland (PV);2018;1612105.0
176;Totaal;Zuid-Holland (PV);2019;1611105.0
177;Totaal;Zuid-Holland (PV);2020;1625850.0
178;Totaal;Zuid-Holland (PV);2021;1639675.0
179;Totaal;Zuid-Holland (PV);2022;1658365.0
180;Totaal;Zuid-Holland (PV);2023;1674280.0
181;Totaal;Zuid-Holland (PV);2024;1692100.0
182;Totaal;Zeeland (PV);2012;165605.0
183;Totaal;Zeeland (PV);2013;166560.0
184;Totaal;Zeeland (PV);2014;168170.0
185;Totaal;Zeeland (PV);2015;168955.0
186;Totaal;Zeeland (PV);2016;169875.0
187;Totaal;Zeeland (PV);2017;170610.0
188;Totaal;Zeeland (PV);2018;171590.0
189;Totaal;Zeeland (PV);2019;172530.0
190;Totaal;Zeeland (PV);2020;173215.0
191;Totaal;Zeeland (PV);2021;174835.0
192;Totaal;Zeeland (PV);2022;176195.0
193;Totaal;Zeeland (PV);2023;177740.0
194;Totaal;Zeeland (PV);2024;178750.0
195;Totaal;Noord-Brabant (PV);2012;1022145.0
196;Totaal;Noord-Brabant (PV);2013;1032045.0
197;Totaal;Noord-Brabant (PV);2014;1045045.0
198;Totaal;Noord-Brabant (PV);2015;1054120.0
199;Totaal;Noord-Brabant (PV);2016;1063175.0
200;Totaal;Noord-Brabant (PV);2017;1073490.0
201;Totaal;Noord-Brabant (PV);2018;1085865.0
202;Totaal;Noord-Brabant (PV);2019;1098010.0
203;Totaal;Noord-Brabant (PV);2020;1110060.0
204;Totaal;Noord-Brabant (PV);2021;1121505.0
205;Totaal;Noord-Brabant (PV);2022;1135465.0
206;Totaal;Noord-Brabant (PV);2023;1146830.0
207;Totaal;Noord-Brabant (PV);2024;1157725.0
208;Totaal;Limburg (PV);2012;489825.0
209;Totaal;Limburg (PV);2013;492615.0
210;Totaal;Limburg (PV);2014;496940.0
211;Totaal;Limburg (PV);2015;499210.0
212;Totaal;Limburg (PV);2016;502060.0
213;Totaal;Limburg (PV);2017;505345.0
214;Totaal;Limburg (PV);2018;508080.0
215;Totaal;Limburg (PV);2019;510430.0
216;Totaal;Limburg (PV);2020;513050.0
217;Totaal;Limburg (PV);2021;516130.0
218;Totaal;Limburg (PV);2022;520345.0
219;Totaal;Limburg (PV);2023;523900.0
220;Totaal;Limburg (PV);2024;527900.0
221;Totaal;Oost-Groningen (CR);2012;65090.0
222;Totaal;Oost-Groningen (CR);2013;65240.0
223;Totaal;Oost-Groningen (CR);2014;65760.0
224;Totaal;Oost-Groningen (CR);2015;66015.0
225;Totaal;Oost-Groningen (CR);2016;66140.0
226;Totaal;Oost-Groningen (CR);2017;66305.0
227;Totaal;Oost-Groningen (CR);2018;61255.0
228;Totaal;Oost-Groningen (CR);2019;61390.0
229;Totaal;Oost-Groningen (CR);2020;61635.0
230;Totaal;Oost-Groningen (CR);2021;61870.0
231;Totaal;Oost-Groningen (CR);2022;62065.0
232;Totaal;Oost-Groningen (CR);2023;62285.0
