ID;LeeftijdReferentiepersoon;BurgerlijkeStaatReferentiepersoon;SamenstellingVanHetHuishouden;Perioden;ParticuliereHuishoudens_1
0;Totaal;Totaal burgerlijke staat;Particulier huishouden;2022;8120744
1;Totaal;Totaal burgerlijke staat;Particulier huishouden;2023;8212678
2;Totaal;Totaal burgerlijke staat;Particulier huishouden;2024;8295520
3;Totaal;Totaal burgerlijke staat;Particulier huishouden;2025;8363833
4;Totaal;Totaal burgerlijke staat;Particulier huishouden;2026;8429103
5;Totaal;Totaal burgerlijke staat;Particulier huishouden;2027;8491082
6;Totaal;Totaal burgerlijke staat;Particulier huishouden;2028;8549892
7;Totaal;Totaal burgerlijke staat;Particulier huishouden;2029;8606074
8;Totaal;Totaal burgerlijke staat;Particulier huishouden;2030;8658795
9;Totaal;Totaal burgerlijke staat;Particulier huishouden;2031;8708361
10;Totaal;Totaal burgerlijke staat;Particulier huishouden;2032;8754933
11;Totaal;Totaal burgerlijke staat;Particulier huishouden;2033;8798248
12;Totaal;Totaal burgerlijke staat;Particulier huishouden;2034;8838601
13;Totaal;Totaal burgerlijke staat;Particulier huishouden;2035;8876043
14;Totaal;Totaal burgerlijke staat;Particulier huishouden;2036;8910903
15;Totaal;Totaal burgerlijke staat;Particulier huishouden;2037;8943074
16;Totaal;Totaal burgerlijke staat;Particulier huishouden;2038;8972837
17;Totaal;Totaal burgerlijke staat;Particulier huishouden;2039;9000253
18;Totaal;Totaal burgerlijke staat;Particulier huishouden;2040;9025927
19;Totaal;Totaal burgerlijke staat;Particulier huishouden;2041;9050193
20;Totaal;Totaal burgerlijke staat;Particulier huishouden;2042;9073281
21;Totaal;Totaal burgerlijke staat;Particulier huishouden;2043;9095761
22;Totaal;Totaal burgerlijke staat;Particulier huishouden;2044;9117774
23;Totaal;Totaal burgerlijke staat;Particulier huishouden;2045;9139714
24;Totaal;Totaal burgerlijke staat;Particulier huishouden;2046;9161838
25;Totaal;Totaal burgerlijke staat;Particulier huishouden;2047;9184352
26;Totaal;Totaal burgerlijke staat;Particulier huishouden;2048;9207274
27;Totaal;Totaal burgerlijke staat;Particulier huishouden;2049;9230609
28;Totaal;Totaal burgerlijke staat;Particulier huishouden;2050;9254327
29;Totaal;Totaal burgerlijke staat;Particulier huishouden;2051;9278327
30;Totaal;Totaal burgerlijke staat;Particulier huishouden;2052;9302445
31;Totaal;Totaal burgerlijke staat;Particulier huishouden;2053;9326700
32;Totaal;Totaal burgerlijke staat;Particulier huishouden;2054;9351038
33;Totaal;Totaal burgerlijke staat;Particulier huishouden;2055;9375483
34;Totaal;Totaal burgerlijke staat;Particulier huishouden;2056;9399931
35;Totaal;Totaal burgerlijke staat;Particulier huishouden;2057;9424425
36;Totaal;Totaal burgerlijke staat;Particulier huishouden;2058;9449005
37;Totaal;Totaal burgerlijke staat;Particulier huishouden;2059;9473713
38;Totaal;Totaal burgerlijke staat;Particulier huishouden;2060;9498655
39;Totaal;Totaal burgerlijke staat;Particulier huishouden;2061;9523976
40;Totaal;Totaal burgerlijke staat;Particulier huishouden;2062;9549709
41;Totaal;Totaal burgerlijke staat;Particulier huishouden;2063;9576019
42;Totaal;Totaal burgerlijke staat;Particulier huishouden;2064;9603039
43;Totaal;Totaal burgerlijke staat;Particulier huishouden;2065;9630864
44;Totaal;Totaal burgerlijke staat;Particulier huishouden;2066;9659535
45;Totaal;Totaal burgerlijke staat;Particulier huishouden;2067;9689081
46;Totaal;Totaal burgerlijke staat;Particulier huishouden;2068;9719413
47;Totaal;Totaal burgerlijke staat;Particulier huishouden;2069;9750508
48;Totaal;Totaal burgerlijke staat;Particulier huishouden;2070;9782218
