ID;Huishoudensgrootte;LeeftijdReferentiepersoon;Perioden;ParticuliereHuishoudens_1
0;Totaal;Totaal;2022;8120744
1;Totaal;Totaal;2023;8212678
2;Totaal;Totaal;2024;8295521
3;Totaal;Totaal;2025;8363833
4;Totaal;Totaal;2026;8429104
5;Totaal;Totaal;2027;8491082
6;Totaal;Totaal;2028;8549892
7;Totaal;Totaal;2029;8606074
8;Totaal;Totaal;2030;8658795
9;Totaal;Totaal;2031;8708361
10;Totaal;Totaal;2032;8754933
11;Totaal;Totaal;2033;8798248
12;Totaal;Totaal;2034;8838601
13;Totaal;Totaal;2035;8876043
14;Totaal;Totaal;2036;8910903
15;Totaal;Totaal;2037;8943074
16;Totaal;Totaal;2038;8972838
17;Totaal;Totaal;2039;9000253
18;Totaal;Totaal;2040;9025926
19;Totaal;Totaal;2041;9050193
20;Totaal;Totaal;2042;9073281
21;Totaal;Totaal;2043;9095761
22;Totaal;Totaal;2044;9117774
23;Totaal;Totaal;2045;9139714
24;Totaal;Totaal;2046;9161839
25;Totaal;Totaal;2047;9184352
26;Totaal;Totaal;2048;9207274
27;Totaal;Totaal;2049;9230610
28;Totaal;Totaal;2050;9254327
29;Totaal;Totaal;2051;9278328
30;Totaal;Totaal;2052;9302445
31;Totaal;Totaal;2053;9326699
32;Totaal;Totaal;2054;9351038
33;Totaal;Totaal;2055;9375483
34;Totaal;Totaal;2056;9399931
35;Totaal;Totaal;2057;9424425
36;Totaal;Totaal;2058;9449006
37;Totaal;Totaal;2059;9473713
38;Totaal;Totaal;2060;9498656
39;Totaal;Totaal;2061;9523976
40;Totaal;Totaal;2062;9549709
41;Totaal;Totaal;2063;9576019
42;Totaal;Totaal;2064;9603040
43;Totaal;Totaal;2065;9630864
44;Totaal;Totaal;2066;9659535
45;Totaal;Totaal;2067;9689082
46;Totaal;Totaal;2068;9719413
47;Totaal;Totaal;2069;9750508
48;Totaal;Totaal;2070;9782218
49;Totaal;15 tot 20 jaar;2022;46060
50;Totaal;15 tot 20 jaar;2023;45223
51;Totaal;15 tot 20 jaar;2024;44832
52;Totaal;15 tot 20 jaar;2025;44386
53;Totaal;15 tot 20 jaar;2026;44235
54;Totaal;15 tot 20 jaar;2027;44163
55;Totaal;15 tot 20 jaar;2028;44504
56;Totaal;15 tot 20 jaar;2029;44452
57;Totaal;15 tot 20 jaar;2030;44118
58;Totaal;15 tot 20 jaar;2031;43428
59;Totaal;15 tot 20 jaar;2032;42888
