ID;RegioS;Bedrijfstype;Perioden;Bedrijven_1;Omzet_2
0;Nederland;Totaal bedrijfstype;2018 1e kwartaal;53910;6800.6
1;Nederland;Totaal bedrijfstype;2018 2e kwartaal;53910;6971.8
2;Nederland;Totaal bedrijfstype;2018 3e kwartaal;53910;6385.2
3;Nederland;Totaal bedrijfstype;2018 4e kwartaal;53910;6597.0
4;Nederland;Totaal bedrijfstype;2018;53910;26754.0
5;Nederland;Totaal bedrijfstype;2019 1e kwartaal;53233;6230.1
6;Nederland;Totaal bedrijfstype;2019 2e kwartaal;53233;7352.8
7;Nederland;Totaal bedrijfstype;2019 3e kwartaal;53233;6738.2
8;Nederland;Totaal bedrijfstype;2019 4e kwartaal;53233;7041.7
9;Nederland;Totaal bedrijfstype;2019;53233;27362.0
10;Nederland;Totaal bedrijfstype;2020 1e kwartaal;52695;6641.1
11;Nederland;Totaal bedrijfstype;2020 2e kwartaal;52695;7118.3
12;Nederland;Totaal bedrijfstype;2020 3e kwartaal;52695;6439.0
13;Nederland;Totaal bedrijfstype;2020 4e kwartaal;52695;6508.5
14;Nederland;Totaal bedrijfstype;2020;52695;26706.0
15;Nederland;Totaal bedrijfstype;2021 1e kwartaal;52107;6499.3
16;Nederland;Totaal bedrijfstype;2021 2e kwartaal;52107;7725.9
17;Nederland;Totaal bedrijfstype;2021 3e kwartaal;52107;6802.5
18;Nederland;Totaal bedrijfstype;2021 4e kwartaal;52107;7262.1
19;Nederland;Totaal bedrijfstype;2021;52107;28289.0
20;Nederland;Totaal bedrijfstype;2022 1e kwartaal;50975;6969.2
21;Nederland;Totaal bedrijfstype;2022 2e kwartaal;50975;8716.2
22;Nederland;Totaal bedrijfstype;2022 3e kwartaal;50975;8500.9
23;Nederland;Totaal bedrijfstype;2022 4e kwartaal;50975;8851.6
24;Nederland;Totaal bedrijfstype;2022;50975;33037.9
25;Nederland;Totaal bedrijfstype;2023 1e kwartaal;50634;8444.3
26;Nederland;Totaal bedrijfstype;2023 2e kwartaal;50634;9113.8
27;Nederland;Totaal bedrijfstype;2023 3e kwartaal;50634;7839.0
28;Nederland;Totaal bedrijfstype;2023 4e kwartaal;50634;7948.4
29;Nederland;Totaal bedrijfstype;2023;50634;33345.5
