ID;RegioIndeling2021;PrognoseInterval;Leeftijd;Perioden;TotaleBevolking_1
0;Nederland;Prognose;Totaal;2023;17735.8
1;Nederland;Prognose;Totaal;2024;17868.2
2;Nederland;Prognose;Totaal;2025;17980.5
3;Nederland;Prognose;Totaal;2026;18088.1
4;Nederland;Prognose;Totaal;2027;18191.8
5;Nederland;Prognose;Totaal;2028;18290.9
6;Nederland;Prognose;Totaal;2029;18387.4
7;Nederland;Prognose;Totaal;2030;18480.1
8;Nederland;Prognose;Totaal;2031;18569.3
9;Nederland;Prognose;Totaal;2032;18655.7
10;Nederland;Prognose;Totaal;2033;18738.4
11;Nederland;Prognose;Totaal;2034;18817.6
12;Nederland;Prognose;Totaal;2035;18893.0
13;Nederland;Prognose;Totaal;2036;18964.9
14;Nederland;Prognose;Totaal;2037;19032.9
15;Nederland;Prognose;Totaal;2038;19096.5
16;Nederland;Prognose;Totaal;2039;19156.2
17;Nederland;Prognose;Totaal;2040;19212.2
18;Nederland;Prognose;Totaal;2041;19264.8
19;Nederland;Prognose;Totaal;2042;19314.2
20;Nederland;Prognose;Totaal;2043;19360.8
21;Nederland;Prognose;Totaal;2044;19404.9
22;Nederland;Prognose;Totaal;2045;19446.7
23;Nederland;Prognose;Totaal;2046;19486.4
24;Nederland;Prognose;Totaal;2047;19524.3
25;Nederland;Prognose;Totaal;2048;19560.7
26;Nederland;Prognose;Totaal;2049;19595.9
27;Nederland;Prognose;Totaal;2050;19630.0
28;Nederland;Ondergrens 67%-prognose-interval;Totaal;2023;17689.6
29;Nederland;Ondergrens 67%-prognose-interval;Totaal;2024;17793.9
30;Nederland;Ondergrens 67%-prognose-interval;Totaal;2025;17871.0
31;Nederland;Ondergrens 67%-prognose-interval;Totaal;2026;17950.9
32;Nederland;Ondergrens 67%-prognose-interval;Totaal;2027;18015.8
33;Nederland;Ondergrens 67%-prognose-interval;Totaal;2028;18082.3
34;Nederland;Ondergrens 67%-prognose-interval;Totaal;2029;18147.2
35;Nederland;Ondergrens 67%-prognose-interval;Totaal;2030;18208.3
36;Nederland;Ondergrens 67%-prognose-interval;Totaal;2031;18263.7
37;Nederland;Ondergrens 67%-prognose-interval;Totaal;2032;18317.9
38;Nederland;Ondergrens 67%-prognose-interval;Totaal;2033;18372.3
39;Nederland;Ondergrens 67%-prognose-interval;Totaal;2034;18411.1
40;Nederland;Ondergrens 67%-prognose-interval;Totaal;2035;18457.7
41;Nederland;Ondergrens 67%-prognose-interval;Totaal;2036;18492.8
42;Nederland;Ondergrens 67%-prognose-interval;Totaal;2037;18527.6
43;Nederland;Ondergrens 67%-prognose-interval;Totaal;2038;18553.9
44;Nederland;Ondergrens 67%-prognose-interval;Totaal;2039;18570.4
45;Nederland;Ondergrens 67%-prognose-interval;Totaal;2040;18592.9
46;Nederland;Ondergrens 67%-prognose-interval;Totaal;2041;18604.7
47;Nederland;Ondergrens 67%-prognose-interval;Totaal;2042;18602.3
48;Nederland;Ondergrens 67%-prognose-interval;Totaal;2043;18603.4
49;Nederland;Ondergrens 67%-prognose-interval;Totaal;2044;18617.6
50;Nederland;Ondergrens 67%-prognose-interval;Totaal;2045;18611.7
51;Nederland;Ondergrens 67%-prognose-interval;Totaal;2046;18629.0
52;Nederland;Ondergrens 67%-prognose-interval;Totaal;2047;18620.6
