ID;BelastingschijfElektriciteit;SBI2008;Perioden;AantalDoorDeSchijfGehaaldeEenheden_1;LeveringVoorEigenGebruik_2;ElektriciteitsproductieTotaal_3;ElektriciteitsproductieAflevering_4;ElektriciteitsproductieVerbruik_5
0;Totaal elektriciteit;A-U Alle economische activiteiten;2019;947410;81551600.0;117798900.0;;
1;Totaal elektriciteit;A-U Alle economische activiteiten;2020;949125;78643400.0;118471400.0;;
2;Totaal elektriciteit;A-U Alle economische activiteiten;2022;940410;76529300.0;112872100.0;;
3;Totaal elektriciteit;A Landbouw, bosbouw en visserij;2019;78330;7104400.0;12158300.0;;
4;Totaal elektriciteit;A Landbouw, bosbouw en visserij;2020;79170;6990300.0;12446600.0;;
5;Totaal elektriciteit;A Landbouw, bosbouw en visserij;2022;67535;4715800.0;10529200.0;;
6;Totaal elektriciteit;B Delfstoffenwinning;2019;1560;2386500.0;0.0;;
7;Totaal elektriciteit;B Delfstoffenwinning;2020;1565;2064200.0;0.0;;
8;Totaal elektriciteit;B Delfstoffenwinning;2022;1520;2097400.0;5300.0;;
9;Totaal elektriciteit;C Industrie;2019;32945;33151400.0;7009400.0;2506900.0;4502500.0
10;Totaal elektriciteit;C Industrie;2020;32700;31808900.0;10022200.0;4469500.0;5552700.0
11;Totaal elektriciteit;C Industrie;2022;34010;30638900.0;9385800.0;4268800.0;5117000.0
12;Totaal elektriciteit;10-12 Voedings-, genotmiddelenindustrie;2019;4515;5768800.0;1255700.0;287300.0;968400.0
13;Totaal elektriciteit;10-12 Voedings-, genotmiddelenindustrie;2020;4405;5680300.0;1410000.0;348000.0;1062000.0
14;Totaal elektriciteit;10-12 Voedings-, genotmiddelenindustrie;2022;4625;5787500.0;1335100.0;369200.0;966000.0
15;Totaal elektriciteit;101 Slachterijen en vleeswarenindustrie;2019;335;800500.0;3500.0;0.0;3500.0
16;Totaal elektriciteit;101 Slachterijen en vleeswarenindustrie;2020;335;720400.0;10700.0;3800.0;6900.0
17;Totaal elektriciteit;101 Slachterijen en vleeswarenindustrie;2022;330;732600.0;14300.0;3200.0;11100.0
18;Totaal elektriciteit;103 Groente-, fruitverwerkende industrie;2019;140;623400.0;;;
19;Totaal elektriciteit;103 Groente-, fruitverwerkende industrie;2020;135;610400.0;;;
20;Totaal elektriciteit;103 Groente-, fruitverwerkende industrie;2022;150;646400.0;;1400.0;
21;Totaal elektriciteit;104 Spijsoliën- en -vettenindustrie e.d.;2019;30;193600.0;283100.0;;
22;Totaal elektriciteit;104 Spijsoliën- en -vettenindustrie e.d.;2020;30;177600.0;294500.0;;
23;Totaal elektriciteit;104 Spijsoliën- en -vettenindustrie e.d.;2022;25;176700.0;;;207800.0
24;Totaal elektriciteit;105 Zuivelindustrie;2019;175;1036200.0;80400.0;13800.0;66600.0
25;Totaal elektriciteit;105 Zuivelindustrie;2020;180;1044100.0;179200.0;46800.0;132400.0
26;Totaal elektriciteit;105 Zuivelindustrie;2022;190;1019900.0;;;110600.0
27;Totaal elektriciteit;106 Meelindustrie;2019;65;392800.0;524100.0;124900.0;399200.0
28;Totaal elektriciteit;106 Meelindustrie;2020;70;451500.0;565600.0;137900.0;427700.0
29;Totaal elektriciteit;106 Meelindustrie;2022;70;476100.0;;178200.0;
30;Totaal elektriciteit;108 Overige voedingsmiddelenindustrie;2019;3300;1557500.0;146200.0;15100.0;131100.0
31;Totaal elektriciteit;108 Overige voedingsmiddelenindustrie;2020;3170;1641600.0;145300.0;15700.0;129700.0
32;Totaal elektriciteit;108 Overige voedingsmiddelenindustrie;2022;3275;1691000.0;155600.0;14600.0;141000.0
33;Totaal elektriciteit;109 Diervoederindustrie;2019;165;712900.0;;;1900.0
34;Totaal elektriciteit;109 Diervoederindustrie;2020;165;639300.0;;;4500.0
35;Totaal elektriciteit;109 Diervoederindustrie;2022;160;661700.0;;;6500.0
36;Totaal elektriciteit;11-12 Dranken- en tabaksindustrie;2019;300;451900.0;92100.0;9200.0;82800.0
37;Totaal elektriciteit;11-12 Dranken- en tabaksindustrie;2020;330;395300.0;88400.0;13000.0;75300.0
38;Totaal elektriciteit;11-12 Dranken- en tabaksindustrie;2022;420;383100.0;99900.0;7800.0;92100.0
39;Totaal elektriciteit;13 Textielindustrie;2019;860;276900.0;2100.0;100.0;2000.0
40;Totaal elektriciteit;13 Textielindustrie;2020;870;371800.0;4000.0;300.0;3600.0
41;Totaal elektriciteit;13 Textielindustrie;2022;935;332400.0;16000.0;7600.0;8400.0
42;Totaal elektriciteit;13-15 Textiel-, kleding-, lederindustrie;2019;1655;329000.0;5400.0;2800.0;2600.0
43;Totaal elektriciteit;13-15 Textiel-, kleding-, lederindustrie;2020;1630;433000.0;5800.0;300.0;5500.0
44;Totaal elektriciteit;13-15 Textiel-, kleding-, lederindustrie;2022;1730;378000.0;21100.0;11700.0;9400.0
45;Totaal elektriciteit;14 Kledingindustrie;2019;600;7900.0;300.0;0.0;300.0
46;Totaal elektriciteit;14 Kledingindustrie;2020;570;6700.0;300.0;0.0;300.0
47;Totaal elektriciteit;14 Kledingindustrie;2022;585;5200.0;;700.0;
48;Totaal elektriciteit;15 Leer- en schoenenindustrie;2019;200;44200.0;3000.0;2700.0;300.0
49;Totaal elektriciteit;15 Leer- en schoenenindustrie;2020;195;54500.0;1500.0;0.0;1500.0
50;Totaal elektriciteit;15 Leer- en schoenenindustrie;2022;210;40400.0;;3400.0;
51;Totaal elektriciteit;16 Houtindustrie;2019;1340;161000.0;39000.0;17200.0;21800.0
52;Totaal elektriciteit;16 Houtindustrie;2020;1385;208600.0;45700.0;20600.0;25100.0
