ID;SIC2008;PersonsEmployed;Periods;Total_1;Births_2;Deaths_3;NewlyBornEnterprisesSurvivingYear1_4;NewlyBornEnterprisesSurvivingYear2_5;NewlyBornEnterprisesSurvivingYear3_6;NewlyBornEnterprisesSurvivingYear4_7;NewlyBornEnterprisesSurvivingYear5_8;PersonsEmployed_9;Employees_10;PersonsEmployed_11;Employees_12;PersonsEmployed_13;Employees_14;k_1Year_15;k_2Years_16;k_3Years_17;k_4Years_18;k_5Years_19;k_1Year_20;k_2Years_21;k_3Years_22;k_4Years_23;k_5Years_24
0;305700;Total;2010;377.0;43.0;38.0;29.0;21.0;13.0;8.0;3.0;;;38.0;23.0;9.0;;;569.0;36.0;26.0;;57.0;80.0;15.0;13.0;
1;305700;Total;2011;377.0;35.0;28.0;41.0;22.0;17.0;11.0;8.0;8476.0;8239.0;152.0;;21.0;;84.0;;560.0;46.0;26.0;37.0;55.0;69.0;10.0;13.0
2;305700;Total;2012;398.0;56.0;26.0;30.0;35.0;15.0;17.0;10.0;8698.0;8462.0;63.0;43.0;12.0;;246.0;77.0;;566.0;49.0;150.0;35.0;34.0;69.0;9.0
3;305700;Total;2013;419.0;49.0;36.0;51.0;25.0;26.0;15.0;16.0;10366.0;10099.0;157.0;;;;110.0;170.0;62.0;;555.0;59.0;144.0;18.0;34.0;67.0
4;305700;Total;2014;437.0;42.0;20.0;42.0;42.0;21.0;24.0;13.0;11326.0;11027.0;18.0;;8.0;;63.0;;169.0;69.0;;52.0;52.0;72.0;17.0;34.0
5;305700;Total;2015;464.0;47.0;48.0;40.0;41.0;40.0;20.0;22.0;11287.0;10889.0;43.0;;56.0;;41.0;72.0;111.0;175.0;79.0;18.0;51.0;51.0;72.0;16.0
6;305700;Total;2016;467.0;48.0;30.0;29.0;26.0;37.0;32.0;19.0;10558.0;10261.0;;14.0;14.0;;25.0;25.0;52.0;96.0;158.0;25.0;14.0;49.0;47.0;72.0
7;305700;Total;2017;480.0;55.0;33.0;44.0;25.0;23.0;32.0;27.0;8635.0;8344.0;24.0;4.0;;0.0;;27.0;24.0;48.0;90.0;;21.0;13.0;45.0;45.0
8;305700;Total;2018;523.0;66.0;23.0;53.0;41.0;21.0;20.0;30.0;;;32.0;;9.0;0.0;;45.0;25.0;24.0;44.0;;;13.0;13.0;44.0
9;305700;Total;2019;549.0;82.0;46.0;66.0;50.0;35.0;17.0;19.0;8562.0;8251.0;76.0;;25.0;14.0;69.0;59.0;39.0;36.0;23.0;32.0;23.0;;10.0;12.0
10;305700;Total;2020;583.0;87.0;47.0;81.0;61.0;44.0;28.0;14.0;8471.0;8122.0;70.0;;14.0;;141.0;68.0;61.0;36.0;35.0;75.0;31.0;20.0;;8.0
11;305700;Total;2021;588.0;64.0;22.0;83.0;74.0;53.0;41.0;23.0;7741.0;7505.0;33.0;5.0;7.0;;142.0;127.0;49.0;53.0;28.0;69.0;72.0;27.0;18.0;20.0
12;305700;Total;2022;653.0;76.0;51.0;62.0;79.0;72.0;52.0;39.0;7954.0;7675.0;38.0;;16.0;;50.0;204.0;144.0;52.0;57.0;32.0;67.0;72.0;26.0;17.0
13;305700;0 employees;2010;228.0;37.0;37.0;23.0;13.0;9.0;5.0;2.0;;;15.0;0.0;;0.0;;;;;;;;;;
14;305700;0 employees;2011;218.0;25.0;26.0;35.0;17.0;10.0;8.0;5.0;;0.0;10.0;0.0;;0.0;;;;;;;;;;
15;305700;0 employees;2012;244.0;48.0;25.0;21.0;29.0;12.0;10.0;7.0;;0.0;19.0;0.0;;0.0;;;;;;;;;5.0;
16;305700;0 employees;2013;260.0;40.0;32.0;44.0;17.0;22.0;12.0;10.0;;0.0;;0.0;7.0;0.0;43.0;13.0;;;;18.0;;;6.0;5.0
17;305700;0 employees;2014;276.0;39.0;19.0;34.0;38.0;14.0;21.0;10.0;240.0;0.0;;0.0;;0.0;34.0;46.0;;;;;;;;
18;305700;0 employees;2015;311.0;46.0;47.0;37.0;33.0;36.0;13.0;19.0;347.0;0.0;;0.0;;0.0;;46.0;;15.0;;;;;;
19;305700;0 employees;2016;306.0;42.0;29.0;28.0;23.0;30.0;29.0;12.0;244.0;0.0;;0.0;;0.0;;;;;;;;;;
20;305700;0 employees;2017;316.0;50.0;33.0;39.0;24.0;20.0;28.0;24.0;245.0;0.0;19.0;0.0;;0.0;;;;;;;;;;
21;305700;0 employees;2018;355.0;64.0;23.0;48.0;36.0;20.0;17.0;26.0;263.0;0.0;;0.0;9.0;0.0;;;;;;;;;;
22;305700;0 employees;2019;378.0;75.0;40.0;64.0;45.0;30.0;16.0;16.0;269.0;0.0;;0.0;;0.0;;50.0;;;;;;;;
23;305700;0 employees;2020;413.0;82.0;46.0;74.0;59.0;40.0;25.0;13.0;307.0;0.0;;0.0;;0.0;;;52.0;;;;;;;
24;305700;0 employees;2021;424.0;60.0;21.0;78.0;67.0;51.0;37.0;20.0;236.0;0.0;28.0;0.0;;0.0;52.0;48.0;;;;40.0;32.0;;;
25;305700;0 employees;2022;490.0;73.0;49.0;58.0;74.0;65.0;50.0;35.0;277.0;0.0;;0.0;;0.0;;53.0;54.0;;;27.0;38.0;31.0;;
26;305700;1 to 4 employees;2010;50.0;4.0;1.0;3.0;5.0;2.0;3.0;0.0;127.0;95.0;;;;;;;;;0.0;;;;;0.0
27;305700;1 to 4 employees;2011;59.0;8.0;1.0;4.0;2.0;5.0;2.0;3.0;148.0;111.0;;;;;;;;;;;;;;
28;305700;1 to 4 employees;2012;57.0;6.0;0.0;7.0;4.0;1.0;5.0;2.0;;;;;0.0;0.0;;;;;;;;;;
29;305700;1 to 4 employees;2013;60.0;6.0;2.0;5.0;6.0;3.0;1.0;4.0;;119.0;6.0;;;;;;;;;;;;;
30;305700;1 to 4 employees;2014;60.0;3.0;1.0;6.0;2.0;6.0;2.0;1.0;141.0;116.0;;;;;;;;;;;;;;
31;305700;1 to 4 employees;2015;54.0;1.0;0.0;3.0;6.0;2.0;6.0;2.0;127.0;103.0;;;0.0;0.0;;;;;;;;;;
32;305700;1 to 4 employees;2016;59.0;5.0;1.0;1.0;3.0;5.0;1.0;6.0;135.0;107.0;;;;;;;;;;;;;;
33;305700;1 to 4 employees;2017;70.0;5.0;0.0;4.0;1.0;3.0;2.0;1.0;156.0;129.0;5.0;4.0;0.0;0.0;;;;;;;;;;
34;305700;1 to 4 employees;2018;75.0;2.0;0.0;5.0;4.0;1.0;3.0;2.0;;;;;0.0;0.0;9.0;;;;;;;;;
35;305700;1 to 4 employees;2019;76.0;5.0;5.0;2.0;5.0;4.0;1.0;3.0;;125.0;;;;;;9.0;;;;;;;;
36;305700;1 to 4 employees;2020;74.0;3.0;1.0;5.0;2.0;4.0;2.0;1.0;153.0;124.0;;;;;;;9.0;;;;;;;
37;305700;1 to 4 employees;2021;70.0;4.0;1.0;3.0;5.0;2.0;4.0;2.0;110.0;110.0;5.0;5.0;;;;;;;;;;;;
38;305700;1 to 4 employees;2022;67.0;3.0;2.0;4.0;3.0;5.0;2.0;4.0;115.0;115.0;;;;;;;;;;5.0;;;;
39;305700;5 to 9 employees;2010;31.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;;212.0;;;0.0;0.0;;0.0;;;;;;;;
40;305700;5 to 9 employees;2011;24.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;;148.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;0.0;0.0;0.0
41;305700;5 to 9 employees;2012;27.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;187.0;;0.0;0.0;;;0.0;;;0.0;0.0;0.0;;;0.0;0.0
42;305700;5 to 9 employees;2013;20.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;143.0;136.0;0.0;0.0;;;0.0;0.0;;;0.0;0.0;0.0;;;0.0
43;305700;5 to 9 employees;2014;23.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;160.0;150.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;
44;305700;5 to 9 employees;2015;27.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;194.0;183.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;
45;305700;5 to 9 employees;2016;29.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;204.0;195.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
46;305700;5 to 9 employees;2017;21.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;144.0;136.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0
47;305700;5 to 9 employees;2018;20.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;128.0;124.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
48;305700;5 to 9 employees;2019;23.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;165.0;162.0;0.0;0.0;;;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0
49;305700;5 to 9 employees;2020;21.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;145.0;140.0;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0
50;305700;5 to 9 employees;2021;21.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;139.0;139.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;;0.0;0.0;0.0;
51;305700;5 to 9 employees;2022;16.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;101.0;101.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
52;305700;10 employees or more;2010;68.0;1.0;0.0;2.0;2.0;0.0;0.0;0.0;;;;;0.0;0.0;;;0.0;;0.0;;;0.0;;0.0
53;305700;10 employees or more;2011;76.0;2.0;1.0;1.0;2.0;2.0;0.0;0.0;7999.0;7980.0;;;;;;;;0.0;0.0;;;;0.0;0.0
54;305700;10 employees or more;2012;70.0;2.0;0.0;2.0;1.0;1.0;2.0;0.0;;8173.0;;;0.0;0.0;;;;;0.0;;;;;0.0
55;305700;10 employees or more;2013;79.0;3.0;1.0;2.0;2.0;0.0;1.0;2.0;9869.0;9844.0;;;;;;;0.0;;;;;0.0;;
56;305700;10 employees or more;2014;78.0;0.0;0.0;2.0;2.0;1.0;0.0;1.0;10786.0;10762.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;
57;305700;10 employees or more;2015;72.0;0.0;1.0;0.0;2.0;2.0;1.0;0.0;10619.0;10603.0;0.0;0.0;;;0.0;;;;0.0;0.0;;;;0.0
58;305700;10 employees or more;2016;73.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;9975.0;9960.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;;;
59;305700;10 employees or more;2017;73.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;8091.0;8079.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;
60;305700;10 employees or more;2018;73.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;7883.0;7869.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;
61;305700;10 employees or more;2019;72.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;;7964.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
62;305700;10 employees or more;2020;75.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;7866.0;7858.0;;;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0
63;305700;10 employees or more;2021;73.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;7255.0;7255.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;;0.0;0.0;0.0
