ID;BedrijfstakkenBranchesSBI2008;Perioden;InvesteringenVerwachtingen_1;InvesteringenRealisaties_2
0;B Delfstoffenwinning;2013;;
1;B Delfstoffenwinning;2014;;
2;B Delfstoffenwinning;2015;;
3;B Delfstoffenwinning;2016;;
4;B Delfstoffenwinning;2017;;
5;B Delfstoffenwinning;2018;;
6;B Delfstoffenwinning;2019;;
7;B Delfstoffenwinning;2020;;
8;B Delfstoffenwinning;2021;;
9;B Delfstoffenwinning;2022;;
10;B Delfstoffenwinning;2023;;
11;B Delfstoffenwinning;2024;-3.0;
12;B-E Nijverheid (geen bouw) en energie;2013;;
13;B-E Nijverheid (geen bouw) en energie;2014;;
14;B-E Nijverheid (geen bouw) en energie;2015;;
15;B-E Nijverheid (geen bouw) en energie;2016;;
16;B-E Nijverheid (geen bouw) en energie;2017;;
17;B-E Nijverheid (geen bouw) en energie;2018;;
18;B-E Nijverheid (geen bouw) en energie;2019;;
19;B-E Nijverheid (geen bouw) en energie;2020;;
20;B-E Nijverheid (geen bouw) en energie;2021;;
21;B-E Nijverheid (geen bouw) en energie;2022;;
22;B-E Nijverheid (geen bouw) en energie;2023;;
23;B-E Nijverheid (geen bouw) en energie;2024;31.0;
24;B-F Nijverheid en energie;2013;;
25;B-F Nijverheid en energie;2014;;
26;B-F Nijverheid en energie;2015;;
27;B-F Nijverheid en energie;2016;;
28;B-F Nijverheid en energie;2017;;
29;B-F Nijverheid en energie;2018;;
30;B-F Nijverheid en energie;2019;;
31;B-F Nijverheid en energie;2020;;
32;B-F Nijverheid en energie;2021;;
33;B-F Nijverheid en energie;2022;;
34;B-F Nijverheid en energie;2023;;
35;B-F Nijverheid en energie;2024;23.0;
36;06+09 Olie- en gaswinning;2013;;
37;06+09 Olie- en gaswinning;2014;;
38;06+09 Olie- en gaswinning;2015;;
39;06+09 Olie- en gaswinning;2016;;
40;06+09 Olie- en gaswinning;2017;;
41;06+09 Olie- en gaswinning;2018;;
42;06+09 Olie- en gaswinning;2019;;
43;06+09 Olie- en gaswinning;2020;;
44;06+09 Olie- en gaswinning;2021;;
45;06+09 Olie- en gaswinning;2022;;
46;06+09 Olie- en gaswinning;2023;;
47;06+09 Olie- en gaswinning;2024;;
48;06 Winning van aardolie en aardgas;2013;;
49;06 Winning van aardolie en aardgas;2014;;
50;06 Winning van aardolie en aardgas;2015;;
51;06 Winning van aardolie en aardgas;2016;;
52;06 Winning van aardolie en aardgas;2017;;
53;06 Winning van aardolie en aardgas;2018;;
54;06 Winning van aardolie en aardgas;2019;;
55;06 Winning van aardolie en aardgas;2020;;
56;06 Winning van aardolie en aardgas;2021;;
57;06 Winning van aardolie en aardgas;2022;;
58;06 Winning van aardolie en aardgas;2023;;
59;06 Winning van aardolie en aardgas;2024;-39.0;
60;08 Delfstoffenwinning (geen olie en gas);2013;;
61;08 Delfstoffenwinning (geen olie en gas);2014;;
62;08 Delfstoffenwinning (geen olie en gas);2015;;
63;08 Delfstoffenwinning (geen olie en gas);2016;;
64;08 Delfstoffenwinning (geen olie en gas);2017;;
65;08 Delfstoffenwinning (geen olie en gas);2018;;
66;08 Delfstoffenwinning (geen olie en gas);2019;;
67;08 Delfstoffenwinning (geen olie en gas);2020;;
68;08 Delfstoffenwinning (geen olie en gas);2021;;
69;08 Delfstoffenwinning (geen olie en gas);2022;;
70;08 Delfstoffenwinning (geen olie en gas);2023;;
71;08 Delfstoffenwinning (geen olie en gas);2024;27.0;
72;09 Dienstverlening delfstoffenwinning;2013;;
73;09 Dienstverlening delfstoffenwinning;2014;;
74;09 Dienstverlening delfstoffenwinning;2015;;
75;09 Dienstverlening delfstoffenwinning;2016;;
76;09 Dienstverlening delfstoffenwinning;2017;;
77;09 Dienstverlening delfstoffenwinning;2018;;
78;09 Dienstverlening delfstoffenwinning;2019;;
79;09 Dienstverlening delfstoffenwinning;2020;;
80;09 Dienstverlening delfstoffenwinning;2021;;
81;09 Dienstverlening delfstoffenwinning;2022;;
82;09 Dienstverlening delfstoffenwinning;2023;;
83;09 Dienstverlening delfstoffenwinning;2024;86.0;
84;C Industrie;2013;7.0;-7.0
85;C Industrie;2014;9.0;5.0
86;C Industrie;2015;16.0;12.0
87;C Industrie;2016;-3.0;-1.0
88;C Industrie;2017;15.0;9.0
89;C Industrie;2018;25.0;21.0
90;C Industrie;2019;8.0;9.0
91;C Industrie;2020;-11.0;-17.0
92;C Industrie;2021;6.0;0.0
93;C Industrie;2022;19.0;13.0
94;C Industrie;2023;15.0;7.0
95;C Industrie;2024;30.0;
96;10 Voedingsmiddelenindustrie;2013;18.0;7.0
97;10 Voedingsmiddelenindustrie;2014;10.0;16.0
98;10 Voedingsmiddelenindustrie;2015;8.0;-3.0
99;10 Voedingsmiddelenindustrie;2016;2.0;5.0
100;10 Voedingsmiddelenindustrie;2017;2.0;-1.0
101;10 Voedingsmiddelenindustrie;2018;10.0;16.0
102;10 Voedingsmiddelenindustrie;2019;6.0;0.0
103;10 Voedingsmiddelenindustrie;2020;2.0;-6.0
104;10 Voedingsmiddelenindustrie;2021;16.0;-5.0
105;10 Voedingsmiddelenindustrie;2022;26.0;13.0
106;10 Voedingsmiddelenindustrie;2023;12.0;9.0
107;10 Voedingsmiddelenindustrie;2024;19.0;
108;10-12 Voedings-, genotmiddelenindustrie;2013;21.0;10.0
109;10-12 Voedings-, genotmiddelenindustrie;2014;8.0;13.0
110;10-12 Voedings-, genotmiddelenindustrie;2015;8.0;-3.0
111;10-12 Voedings-, genotmiddelenindustrie;2016;2.0;7.0
112;10-12 Voedings-, genotmiddelenindustrie;2017;1.0;-4.0
113;10-12 Voedings-, genotmiddelenindustrie;2018;12.0;19.0
114;10-12 Voedings-, genotmiddelenindustrie;2019;6.0;2.0
115;10-12 Voedings-, genotmiddelenindustrie;2020;-3.0;-9.0
116;10-12 Voedings-, genotmiddelenindustrie;2021;13.0;-7.0
117;10-12 Voedings-, genotmiddelenindustrie;2022;23.0;12.0
118;10-12 Voedings-, genotmiddelenindustrie;2023;15.0;9.0
119;10-12 Voedings-, genotmiddelenindustrie;2024;19.0;
120;11 Drankenindustrie;2013;41.0;34.0
121;11 Drankenindustrie;2014;-1.0;
122;11 Drankenindustrie;2015;4.0;
123;11 Drankenindustrie;2016;-7.0;15.0
124;11 Drankenindustrie;2017;-8.0;-17.0
125;11 Drankenindustrie;2018;32.0;47.0
126;11 Drankenindustrie;2019;5.0;
127;11 Drankenindustrie;2020;-22.0;
128;11 Drankenindustrie;2021;;
129;11 Drankenindustrie;2022;;
130;11 Drankenindustrie;2023;;
131;11 Drankenindustrie;2024;;
132;12 Tabaksindustrie;2013;50.0;31.0
133;12 Tabaksindustrie;2014;-8.0;
134;12 Tabaksindustrie;2015;-3.0;
135;12 Tabaksindustrie;2016;114.0;259.0
136;12 Tabaksindustrie;2017;-33.0;-57.0
137;12 Tabaksindustrie;2018;34.0;30.0
138;12 Tabaksindustrie;2019;19.0;
139;12 Tabaksindustrie;2020;-81.0;
140;12 Tabaksindustrie;2021;;
141;12 Tabaksindustrie;2022;;
142;12 Tabaksindustrie;2023;;
143;12 Tabaksindustrie;2024;;
144;13 Textielindustrie;2013;7.0;0.0
145;13 Textielindustrie;2014;-6.0;35.0
146;13 Textielindustrie;2015;-20.0;-15.0
147;13 Textielindustrie;2016;-31.0;-24.0
148;13 Textielindustrie;2017;69.0;23.0
149;13 Textielindustrie;2018;28.0;19.0
150;13 Textielindustrie;2019;17.0;23.0
151;13 Textielindustrie;2020;-23.0;-22.0
152;13 Textielindustrie;2021;9.0;5.0
153;13 Textielindustrie;2022;53.0;49.0
154;13 Textielindustrie;2023;-20.0;-38.0
155;13 Textielindustrie;2024;54.0;
156;13-15 Textiel-, kleding-, lederindustrie;2013;8.0;17.0
157;13-15 Textiel-, kleding-, lederindustrie;2014;-8.0;19.0
158;13-15 Textiel-, kleding-, lederindustrie;2015;-19.0;-15.0
159;13-15 Textiel-, kleding-, lederindustrie;2016;-26.0;-24.0
160;13-15 Textiel-, kleding-, lederindustrie;2017;44.0;17.0
161;13-15 Textiel-, kleding-, lederindustrie;2018;33.0;30.0
162;13-15 Textiel-, kleding-, lederindustrie;2019;5.0;15.0
163;13-15 Textiel-, kleding-, lederindustrie;2020;-19.0;-23.0
164;13-15 Textiel-, kleding-, lederindustrie;2021;24.0;6.0
165;13-15 Textiel-, kleding-, lederindustrie;2022;58.0;53.0
166;13-15 Textiel-, kleding-, lederindustrie;2023;-23.0;-29.0
167;13-15 Textiel-, kleding-, lederindustrie;2024;29.0;
168;14 Kledingindustrie;2013;-8.0;16.0
169;14 Kledingindustrie;2014;21.0;60.0
